"Time","step2","J1_w","J2_w","J3_w","J4_w"
3.100000000000000E-01,0.000000000000000E+00,7.596816867909000E+00,3.022579982597500E+00,-1.776356839400300E-15,-1.777068518602500E-15
3.200000000000000E-01,0.000000000000000E+00,7.459237417873200E+00,3.114874368522000E+00,-8.881784197001300E-16,-8.888835154371099E-16
3.300000000000000E-01,0.000000000000000E+00,7.297019102383900E+00,3.206678253993300E+00,0.000000000000000E+00,-9.158720892620800E-19
3.400000000000000E-01,0.000000000000000E+00,7.117013296807100E+00,3.297976286336900E+00,-1.776356839400300E-15,-1.777377741763800E-15
3.500000000000000E-01,0.000000000000000E+00,6.927878110133200E+00,3.388748535714900E+00,-1.776356839400300E-15,-1.777414283501300E-15
3.600000000000000E-01,0.000000000000000E+00,6.739433218933500E+00,3.478985762109000E+00,-1.776356839400300E-15,-1.777336328388200E-15
3.700000000000000E-01,0.000000000000000E+00,6.561123041846800E+00,3.568681341922600E+00,-3.996802888650600E-15,-3.997747618577000E-15
3.800000000000000E-01,0.000000000000000E+00,6.401685193774000E+00,3.657815339788000E+00,-5.773159728050800E-15,-5.773828247632700E-15
3.900000000000000E-01,0.000000000000000E+00,6.268047415444100E+00,3.746372575884600E+00,-4.884981308350700E-15,-4.885373604204100E-15
4.000000000000000E-01,0.000000000000000E+00,6.164619165262200E+00,3.834339265408400E+00,-1.332267629550200E-15,-3.108790532894000E-15
4.100000000000000E-01,0.000000000000000E+00,6.092825799743800E+00,3.821702583481100E+00,9.999999999999799E-02,-3.830269434956800E-15
4.200000000000000E-01,0.000000000000000E+00,6.051268164832100E+00,3.808447788030600E+00,2.000000000000000E-01,-1.859623566247100E-15
4.300000000000000E-01,0.000000000000000E+00,6.035427257291600E+00,3.794560673958200E+00,3.000000000000000E-01,-3.497202527569200E-15
4.400000000000000E-01,0.000000000000000E+00,6.038643726036900E+00,3.780028215930600E+00,4.000000000000000E-01,-3.774758283725500E-15
4.500000000000000E-01,0.000000000000000E+00,6.052017077531900E+00,3.764836105440600E+00,5.000000000000000E-01,-1.998401444325300E-15
4.600000000000000E-01,0.000000000000000E+00,6.066072888839000E+00,3.748972693658700E+00,6.000000000000000E-01,-1.665334536937700E-15
4.700000000000000E-01,0.000000000000000E+00,6.071303561213800E+00,3.732422938535500E+00,7.000000000000000E-01,-3.330669073875500E-15
4.800000000000000E-01,0.000000000000000E+00,6.058905928484500E+00,3.715174233942000E+00,8.000000000000000E-01,-8.881784197001300E-16
4.900000000000000E-01,0.000000000000000E+00,6.022008491055000E+00,3.697213509241000E+00,9.000000000000000E-01,-3.552713678800500E-15
5.000000000000000E-01,0.000000000000000E+00,5.956221995193600E+00,3.678527737899600E+00,1.000000000000000E+00,-5.107025913275700E-15
5.100000000000000E-01,0.000000000000000E+00,5.860077874605300E+00,3.659103873220900E+00,1.100000000000000E+00,-7.105427357601000E-15
5.200000000000000E-01,0.000000000000000E+00,5.735070206454400E+00,3.638929660818600E+00,1.200000000000000E+00,-3.774758283725500E-15
5.300000000000000E-01,0.000000000000000E+00,5.585697980534500E+00,3.617992045316600E+00,1.300000000000000E+00,-3.552713678800500E-15
5.400000000000000E-01,0.000000000000000E+00,5.418733959674300E+00,3.596278958465400E+00,1.400000000000000E+00,-3.330669073875500E-15
5.500000000000000E-01,0.000000000000000E+00,5.243038972476300E+00,3.573777354899200E+00,1.500000000000000E+00,-5.107025913275700E-15
5.600000000000001E-01,0.000000000000000E+00,5.068138914191400E+00,3.550476615929200E+00,1.600000000000000E+00,-3.552713678800500E-15
5.700000000000000E-01,0.000000000000000E+00,4.903610433335500E+00,3.526363094029000E+00,1.700000000000000E+00,-4.440892098500600E-16
5.800000000000000E-01,0.000000000000000E+00,4.758168258012900E+00,3.501425441545900E+00,1.800000000000000E+00,2.886579864025400E-15
