"time","Circle_SWC_output_Coords.x","Circle_SWC_output_Coords.y"
1.84,0.9,-0.44
1.848,0.93,-0.35
1.856,0.96,-0.25
1.864,0.96,-0.25
1.872,0.98,-0.15
1.88,0.99,-0.05
1.888,0.99,0.05
1.896,0.98,0.14
1.904,0.98,0.14
1.912,0.96,0.24
1.92,0.93,0.34
1.928,0.9,0.43
1.936,0.85,0.52
1.944,0.85,0.52
1.952,0.79,0.6
1.96,0.73,0.68
1.968,0.65,0.75
1.976,0.58,0.81
1.984,0.58,0.81
1.992,0.49,0.86
2.008,0.31,0.94
2.016,0.21,0.97
2.024,0.21,0.97
2.032,0.12,0.99
2.04,0.02,0.99
2.048,-0.08,0.99
2.056,-0.18,0.98
2.064,-0.18,0.98
2.072,-0.28,0.96
2.08,-0.38,0.92
2.088,-0.47,0.88
2.096,-0.55,0.83
2.104,-0.55,0.83
2.112,-0.63,0.77
2.12,-0.71,0.71
2.128,-0.78,0.63
2.136,-0.84,0.55
2.144,-0.84,0.55
2.152,-0.89,0.47
2.16,-0.93,0.38
2.168,-0.96,0.28
2.176,-0.99,0.18
2.184,-0.99,0.18
2.192,-1,0.09
2.2,-1,-0.01
2.208,-1,-0.11
2.216,-0.98,-0.21
2.224,-0.98,-0.21
2.232,-0.96,-0.31
2.24,-0.92,-0.4
2.248,-0.88,-0.49
2.256,-0.83,-0.58
2.264,-0.83,-0.58
2.272,-0.76,-0.66
2.28,-0.7,-0.73
2.288,-0.62,-0.79
2.296,-0.54,-0.85
2.304,-0.54,-0.85
2.312,-0.45,-0.9
2.32,-0.36,-0.94
2.328,-0.26,-0.97
2.336,-0.17,-0.99
2.344,-0.17,-0.99
2.352,-0.07,-1
2.36,0.03,-1
2.368,0.13,-1
2.376,0.23,-0.98
2.384,0.23,-0.98
2.392,0.33,-0.95
2.4,0.42,-0.91
2.408,0.51,-0.86
2.416,0.59,-0.81
2.424,0.59,-0.81
2.432,0.67,-0.74
2.44,0.74,-0.67
2.448,0.8,-0.6
2.456,0.86,-0.51
2.464,0.86,-0.51
2.472,0.9,-0.42
2.48,0.94,-0.33
2.488,0.97,-0.24
2.496,0.99,-0.14
2.504,0.99,-0.14
2.512,0.99,-0.04
2.52,0.99,0.06
2.528,0.98,0.16
2.536,0.96,0.26
2.544,0.96,0.26
2.552,0.93,0.35
2.56,0.89,0.45
2.568,0.84,0.53
2.576,0.78,0.61
2.584,0.78,0.61
2.592,0.71,0.69
2.6,0.64,0.76
2.608,0.56,0.82
2.616,0.48,0.87
2.624,0.48,0.87
2.632,0.39,0.91
2.64,0.29,0.95
2.648,0.2,0.97
2.656,0.1,0.99
2.664,0.1,0.99
2.672,0,0.99
2.68,-0.1,0.99
2.688,-0.2,0.98
2.696,-0.3,0.95
2.704,-0.3,0.95
2.712,-0.39,0.92
2.72,-0.48,0.87
2.728,-0.57,0.82
2.736,-0.65,0.76
2.744,-0.65,0.76
2.752,-0.72,0.69
2.76,-0.79,0.62
2.768,-0.84,0.54
2.776,-0.89,0.45
2.784,-0.89,0.45
2.792,-0.94,0.36
2.8,-0.97,0.27
2.808,-0.99,0.17
2.816,-1,0.07
2.824,-1,0.07
2.832,-1,-0.03
2.84,-1,-0.13
2.848,-0.98,-0.23
2.856,-0.95,-0.33
2.864,-0.95,-0.33
2.872,-0.92,-0.42
2.88,-0.87,-0.51
2.888,-0.82,-0.59
2.896,-0.75,-0.67
2.904,-0.75,-0.67
2.912,-0.68,-0.74
2.92,-0.61,-0.8
2.928,-0.52,-0.86
2.936,-0.44,-0.91
2.944,-0.44,-0.91
2.952,-0.34,-0.95
2.96,-0.25,-0.98
2.968,-0.15,-0.99
2.976,-0.05,-1
2.984,-0.05,-1
2.992,0.05,-1
3,0.15,-0.99
3.008,0.25,-0.97
3.016,0.34,-0.94
3.024,0.34,-0.94
3.032,0.43,-0.9
3.04,0.52,-0.85
3.048,0.6,-0.8
3.056,0.68,-0.73
3.064,0.68,-0.73
3.072,0.75,-0.66
3.08,0.81,-0.58
3.088,0.86,-0.5
3.096,0.91,-0.41
3.104,0.91,-0.41
3.112,0.95,-0.32
3.12,0.97,-0.22
3.128,0.99,-0.12
3.136,0.99,-0.02
3.144,0.99,-0.02
3.152,0.99,0.08
3.16,0.98,0.18
3.168,0.95,0.28
3.176,0.92,0.37
3.184,0.92,0.37
3.192,0.88,0.46
3.2,0.83,0.55
3.208,0.77,0.63
3.216,0.7,0.7
3.224,0.7,0.7
3.232,0.63,0.77
3.24,0.55,0.83
3.248,0.46,0.88
3.256,0.37,0.92
3.264,0.37,0.92
3.272,0.28,0.95
3.28,0.18,0.98
3.288,0.08,0.99
3.296,-0.02,0.99
3.304,-0.02,0.99
3.312,-0.12,0.99
3.32,-0.22,0.97
3.328,-0.31,0.95
3.336,-0.41,0.91
3.344,-0.41,0.91
3.352,-0.5,0.87
3.36,-0.58,0.81
3.368,-0.66,0.75
3.376,-0.73,0.68
3.384,-0.73,0.68
3.392,-0.8,0.61
3.4,-0.85,0.52
3.408,-0.9,0.44
3.416,-0.94,0.34
3.424,-0.94,0.34
3.432,-0.97,0.25
3.44,-0.99,0.15
3.448,-1,0.05
3.456,-1,-0.05
3.464,-1,-0.05
3.472,-0.99,-0.15
3.48,-0.98,-0.25
3.488,-0.95,-0.34
3.496,-0.91,-0.43
3.504,-0.91,-0.43
3.512,-0.86,-0.52
3.52,-0.81,-0.6
3.528,-0.74,-0.68
3.536,-0.67,-0.75
3.544,-0.67,-0.75
3.552,-0.59,-0.81
3.56,-0.51,-0.87
3.568,-0.42,-0.91
3.576,-0.33,-0.95
3.584,-0.33,-0.95
3.592,-0.23,-0.98
3.6,-0.13,-1
3.608,-0.03,-1
3.616,0.07,-1
3.624,0.07,-1
3.632,0.17,-0.99
3.64,0.26,-0.97
3.648,0.36,-0.94
3.656,0.45,-0.9
3.664,0.45,-0.9
3.672,0.54,-0.85
3.68,0.62,-0.79
3.688,0.69,-0.72
3.696,0.76,-0.65
3.704,0.76,-0.65
3.712,0.82,-0.57
3.72,0.87,-0.48
3.728,0.92,-0.39
3.736,0.95,-0.3
3.744,0.95,-0.3
3.752,0.98,-0.2
3.76,0.99,-0.1
3.768,0.99,0
3.776,0.99,0.1
3.784,0.99,0.1
3.792,0.97,0.19
3.8,0.95,0.29
3.808,0.92,0.39
3.816,0.87,0.48
3.824,0.87,0.48
3.832,0.82,0.56
3.84,0.76,0.64
3.848,0.69,0.71
3.856,0.62,0.78
3.864,0.62,0.78
3.872,0.53,0.84
3.88,0.45,0.89
3.888,0.36,0.93
3.896,0.26,0.96
3.904,0.26,0.96
3.912,0.16,0.98
3.92,0.06,0.99
3.928,-0.04,0.99
3.936,-0.13,0.99
3.944,-0.13,0.99
3.952,-0.23,0.97
3.96,-0.33,0.94
3.968,-0.42,0.9
3.976,-0.51,0.86
3.984,-0.51,0.86
3.992,-0.59,0.8
4,-0.67,0.74
