"time","TRes","heatCapacitor_T","switch_Controll"
0.353,296.594,23.4439,0
0.354,296.603,23.4534,0
0.355,296.613,23.4629,0
0.356,296.622,23.4724,0
0.357,296.632,23.4819,0
0.358,296.641,23.4914,0
0.359,296.651,23.501,0
0.36,296.66,23.5105,0
0.36,296.66,23.5105,0
0.36,296.66,23.5105,0
0.361,296.67,23.52,0
0.362,296.679,23.5295,0
0.363,296.689,23.539,0
0.364,296.698,23.5485,0
0.365,296.708,23.558,0
0.366,296.717,23.5675,0
0.367,296.727,23.577,0
0.368,296.736,23.5865,0
0.369,296.746,23.596,0
0.37,296.755,23.6055,0
0.371,296.765,23.615,0
0.372,296.774,23.6245,0
0.373,296.784,23.634,0
0.374,296.793,23.6435,0
0.375,296.803,23.653,0
0.376,296.812,23.6625,0
0.377,296.822,23.6719,0
0.378,296.831,23.6814,0
0.379,296.841,23.6909,0
0.38,296.85,23.7004,0
0.38,296.85,23.7004,0
0.38,296.85,23.7004,0
0.381,296.86,23.7099,0
0.382,296.869,23.7194,0
0.383,296.879,23.7288,0
0.384,296.888,23.7383,0
0.385,296.898,23.7478,0
0.386,296.907,23.7573,0
0.387,296.917,23.7667,0
0.388,296.926,23.7762,0
0.389,296.936,23.7857,0
0.39,296.945,23.7952,0
0.391,296.955,23.8046,0
0.392,296.964,23.8141,0
0.393,296.974,23.8236,0
0.394,296.983,23.833,0
0.395,296.993,23.8425,0
0.396,297.002,23.852,0
0.397,297.011,23.8614,0
0.398,297.021,23.8709,0
0.399,297.03,23.8804,0
0.4,297.04,23.8898,0
0.4,297.04,23.8898,0
0.4,297.04,23.8898,0
0.401,297.049,23.8993,0
0.402,297.059,23.9087,0
0.403,297.068,23.9182,0
0.404,297.078,23.9276,0
0.405,297.087,23.9371,0
0.406,297.097,23.9465,0
0.407,297.106,23.956,0
0.408,297.115,23.9654,0
0.409,297.125,23.9749,0
0.41,297.134,23.9843,0
0.411,297.144,23.9938,0
0.412,297.153,24.0032,0
0.413,297.163,24.0126,0
0.414,297.172,24.0221,0
0.415,297.182,24.0315,0
0.416,297.191,24.041,0
0.417,297.2,24.0504,0
0.418,297.21,24.0598,0
0.419,297.219,24.0693,0
0.42,297.229,24.0787,0
0.42,297.229,24.0787,0
0.42,297.229,24.0787,0
0.421,297.238,24.0881,0
0.422,297.248,24.0976,0
0.423,297.257,24.107,0
0.424,297.266,24.1164,0
0.425,297.276,24.1258,0
0.426,297.285,24.1353,0
0.427,297.295,24.1447,0
0.428,297.304,24.1541,0
0.429,297.314,24.1635,0
0.43,297.323,24.1729,0
0.431,297.332,24.1824,0
0.432,297.342,24.1918,0
0.433,297.351,24.2012,0
0.434,297.361,24.2106,0
0.435,297.37,24.22,0
0.436,297.379,24.2294,0
0.437,297.389,24.2388,0
0.438,297.398,24.2483,0
0.439,297.408,24.2577,0
0.44,297.417,24.2671,0
0.44,297.417,24.2671,0
0.44,297.417,24.2671,0
0.441,297.426,24.2765,0
0.442,297.436,24.2859,0
0.443,297.445,24.2953,0
0.444,297.455,24.3047,0
0.445,297.464,24.3141,0
0.446,297.473,24.3235,0
0.447,297.483,24.3329,0
0.448,297.492,24.3423,0
0.449,297.502,24.3516,0
0.45,297.511,24.361,0
0.451,297.52,24.3704,0
0.452,297.53,24.3798,0
