"time","EGO","press","speed","throttle"
1.72000000,0.67917526,0.68240952,300.00000000,14.30000019
1.73000000,0.67627758,0.68395185,300.00000000,14.32499981
1.74000000,0.67343450,0.68548733,300.00000000,14.35000038
1.75000000,0.67064297,0.68701589,300.00000000,14.37500000
1.76000000,0.66789997,0.68853760,300.00000000,14.39999962
1.77000000,0.66521072,0.69005245,300.00000000,14.42500019
1.78000000,0.66257000,0.69156039,300.00000000,14.44999981
1.79000000,0.65998131,0.69306147,300.00000000,14.47500038
1.80000000,0.65743840,0.69455570,300.00000000,14.50000000
1.81000000,0.65494400,0.69604307,300.00000000,14.52499962
1.82000000,0.65249926,0.69752359,300.00000000,14.55000019
1.83000000,0.65010422,0.69899720,300.00000000,14.57499981
1.84000000,0.64774996,0.70046401,300.00000000,14.60000038
1.85000000,0.64543736,0.70192397,300.00000000,14.62500000
1.86000000,0.64316642,0.70337713,300.00000000,14.64999962
1.87000000,0.64093614,0.70482337,300.00000000,14.67500019
1.88000000,0.63874519,0.70626289,300.00000000,14.69999981
1.89000000,0.63659185,0.70769554,300.00000000,14.72500038
1.90000000,0.63447398,0.70912141,300.00000000,14.75000000
1.91000000,0.63239765,0.71054047,300.00000000,14.77499962
1.92000000,0.63035822,0.71195275,300.00000000,14.80000019
1.93000000,0.62835139,0.71335828,300.00000000,14.82499981
1.94000000,0.62637329,0.71475703,300.00000000,14.85000038
1.95000000,0.62442887,0.71614903,300.00000000,14.87500000
1.96000000,0.62251252,0.71753424,300.00000000,14.89999962
1.97000000,0.62062800,0.71891278,300.00000000,14.92500019
1.98000000,0.61877710,0.72028464,300.00000000,14.94999981
1.99000000,0.61695200,0.72164977,300.00000000,14.97500038
2.00000000,0.61515474,0.72300816,300.00000000,15.00000000
2.01000000,0.61338615,0.72435993,300.00000000,15.02499962
2.02000000,0.61164606,0.72570503,300.00000000,15.05000019
2.03000000,0.60993361,0.72704351,300.00000000,15.07499981
2.04000000,0.60824746,0.72837538,300.00000000,15.10000038
2.05000000,0.60658598,0.72970057,300.00000000,15.12500000
2.06000000,0.60494721,0.73101920,300.00000000,15.14999962
2.07000000,0.60332894,0.73233128,300.00000000,15.17500019
2.08000000,0.60173780,0.73363674,300.00000000,15.19999981
2.09000000,0.60016888,0.73493570,300.00000000,15.22500038
2.10000000,0.59862691,0.73622811,300.00000000,15.25000000
2.11000000,0.59710568,0.73751402,300.00000000,15.27499962
2.12000000,0.59560883,0.73879349,300.00000000,15.30000019
2.13000000,0.59412956,0.74006641,300.00000000,15.32499981
2.14000000,0.59267104,0.74133289,300.00000000,15.35000038
2.15000000,0.59122604,0.74259299,300.00000000,15.37500000
2.16000000,0.58979750,0.74384665,300.00000000,15.39999962
2.17000000,0.58838695,0.74509388,300.00000000,15.42500019
2.18000000,0.58699495,0.74633479,300.00000000,15.44999981
2.19000000,0.58562094,0.74756932,300.00000000,15.47500038
2.20000000,0.58426404,0.74879748,300.00000000,15.50000000
2.21000000,0.58292288,0.75001937,300.00000000,15.52499962
2.22000000,0.58159596,0.75123495,300.00000000,15.55000019
2.23000000,0.58029038,0.75244427,300.00000000,15.57499981
2.24000000,0.57900161,0.75364733,300.00000000,15.60000038
2.25000000,0.57772577,0.75484419,300.00000000,15.62500000
2.26000000,0.57645953,0.75603479,300.00000000,15.64999962
2.27000000,0.57520872,0.75721925,300.00000000,15.67500019
2.28000000,0.57396805,0.75839752,300.00000000,15.69999981
2.29000000,0.57273299,0.75956970,300.00000000,15.72500038
2.30000000,0.57150871,0.76073575,300.00000000,15.75000000
2.31000000,0.57029843,0.76189566,300.00000000,15.77499962
2.32000000,0.56909472,0.76304954,300.00000000,15.80000019
2.33000000,0.56790072,0.76419735,300.00000000,15.82499981
2.34000000,0.56671816,0.76533914,300.00000000,15.85000038
2.35000000,0.56554765,0.76647496,300.00000000,15.87500000
2.36000000,0.56438905,0.76760477,300.00000000,15.89999962
2.37000000,0.56324160,0.76872861,300.00000000,15.92500019
2.38000000,0.56210428,0.76984656,300.00000000,15.94999981
2.39000000,0.56097567,0.77095860,300.00000000,15.97500038
2.40000000,0.55985409,0.77206475,300.00000000,16.00000000
2.41000000,0.55873793,0.77316505,300.00000000,16.02499962
2.42000000,0.55762553,0.77425951,300.00000000,16.04999924
2.43000000,0.55651492,0.77534813,300.00000000,16.07500076
2.44000000,0.55541348,0.77643102,300.00000000,16.10000038
2.45000000,0.55431670,0.77750814,300.00000000,16.12500000
2.46000000,0.55323005,0.77857947,300.00000000,16.14999962
2.47000000,0.55214781,0.77964514,300.00000000,16.17499924
2.48000000,0.55107433,0.78070515,300.00000000,16.20000076
2.49000000,0.55000305,0.78175944,300.00000000,16.22500038
2.50000000,0.54893798,0.78280813,300.00000000,16.25000000
2.51000000,0.54788136,0.78385121,300.00000000,16.27499962
2.52000000,0.54683435,0.78488868,300.00000000,16.29999924
2.53000000,0.54578805,0.78592062,300.00000000,16.32500076
2.54000000,0.54474467,0.78694701,300.00000000,16.35000038
2.55000000,0.54370540,0.78796792,300.00000000,16.37500000
2.56000000,0.54267061,0.78898329,300.00000000,16.39999962
2.57000000,0.54163980,0.78999329,300.00000000,16.42499924
2.58000000,0.54062170,0.79099774,300.00000000,16.45000076
2.59000000,0.53961253,0.79199690,300.00000000,16.47500038
2.60000000,0.53860909,0.79299057,300.00000000,16.50000000
2.61000000,0.53760856,0.79397893,300.00000000,16.52499962
2.62000000,0.53661770,0.79496199,300.00000000,16.54999924
2.63000000,0.53563160,0.79593968,300.00000000,16.57500076
2.64000000,0.53464621,0.79691213,300.00000000,16.60000038
2.65000000,0.53366739,0.79787934,300.00000000,16.62500000
2.66000000,0.53268957,0.79884130,300.00000000,16.64999962
2.67000000,0.53171754,0.79979807,300.00000000,16.67499924
2.68000000,0.53075433,0.80074966,300.00000000,16.70000076
2.69000000,0.52980167,0.80169606,300.00000000,16.72500038
2.70000000,0.52885079,0.80263734,300.00000000,16.75000000
2.71000000,0.52790427,0.80357355,300.00000000,16.77499962
2.72000000,0.52696359,0.80450469,300.00000000,16.79999924
2.73000000,0.52602917,0.80543071,300.00000000,16.82500076
2.74000000,0.52509165,0.80635178,300.00000000,16.85000038
2.75000000,0.52415311,0.80726779,300.00000000,16.87500000
2.76000000,0.52321470,0.80817890,300.00000000,16.89999962
2.77000000,0.52227670,0.80908501,300.00000000,16.92499924
2.78000000,0.52134836,0.80998617,300.00000000,16.95000076
2.79000000,0.52042633,0.81088245,300.00000000,16.97500038
2.80000000,0.51950771,0.81177390,300.00000000,17.00000000
2.81000000,0.51859015,0.81266046,300.00000000,17.02499962
2.82000000,0.51767123,0.81354219,300.00000000,17.04999924
2.83000000,0.51675850,0.81441915,300.00000000,17.07500076
2.84000000,0.51584733,0.81529129,300.00000000,17.10000038
2.85000000,0.51494342,0.81615871,300.00000000,17.12500000
2.86000000,0.51404101,0.81702143,300.00000000,17.14999962
2.87000000,0.51314491,0.81787938,300.00000000,17.17499924
2.88000000,0.51224869,0.81873274,300.00000000,17.20000076
2.89000000,0.51135683,0.81958139,300.00000000,17.22500038
2.90000000,0.51046246,0.82042545,300.00000000,17.25000000
2.91000000,0.50957000,0.82126486,300.00000000,17.27499962
2.92000000,0.50868195,0.82209975,300.00000000,17.29999924
2.93000000,0.50779969,0.82293004,300.00000000,17.32500076
2.94000000,0.50691444,0.82375586,300.00000000,17.35000038
2.95000000,0.50602901,0.82457715,300.00000000,17.37500000
2.96000000,0.50514477,0.82539392,300.00000000,17.39999962
2.97000000,0.50426257,0.82620633,300.00000000,17.42499924
2.98000000,0.50338238,0.82701421,300.00000000,17.45000076
2.99000000,0.50250393,0.82781774,300.00000000,17.47500038
3.00000000,0.50162661,0.82861686,300.00000000,17.50000000
3.01000000,0.50075901,0.82941163,300.00000000,17.52499962
3.02000000,0.49989727,0.83020210,300.00000000,17.54999924
3.03000000,0.49903843,0.83098823,300.00000000,17.57500076
3.04000000,0.49817973,0.83177006,300.00000000,17.60000038
3.05000000,0.49732843,0.83254766,300.00000000,17.62500000
3.06000000,0.49647978,0.83332098,300.00000000,17.64999962
3.07000000,0.49563003,0.83409011,300.00000000,17.67499924
3.08000000,0.49478558,0.83485508,300.00000000,17.70000076
3.09000000,0.49394107,0.83561581,300.00000000,17.72500038
3.10000000,0.49310184,0.83637244,300.00000000,17.75000000
3.11000000,0.49226180,0.83712494,300.00000000,17.77499962
3.12000000,0.49142569,0.83787334,300.00000000,17.79999924
