time,res_line/LINE1/i_to_ka
63668,0.271411
63671,0.26842
63672,0.271507
63673,0.271488
63681,0.274582
63683,0.277578
63687,0.274466
63691,0.277464
63693,0.274326
63694,0.277319
63696,0.274217
63697,0.280341
63698,0.28348
63699,0.280374
63700,0.277271
63701,0.283382
63703,0.274041
63704,0.277168
63705,0.274067
63706,0.270945
63707,0.264797
63708,0.261682
63711,0.261544
63712,0.258442
63713,0.261517
63715,0.255361
63717,0.252262
63718,0.249204
63720,0.251184
63722,0.248132
63723,0.25122
63724,0.248187
63726,0.245114
63727,0.25745
63733,0.260387
63735,0.263326
63736,0.269389
63737,0.275587
63739,0.284871
63741,0.287992
63742,0.291103
63743,0.294351
63744,0.297486
63745,0.294453
63746,0.300764
63747,0.306974
63748,0.310133
63749,0.316537
63750,0.319668
63753,0.313438
63754,0.313593
63755,0.313522
63756,0.316652
63758,0.316657
63759,0.313605
63760,0.316806
63761,0.323119
63762,0.323259
63763,0.320201
63764,0.323336
63765,0.326511
63770,0.323295
63774,0.326484
63775,0.320216
63776,0.323121
63779,0.326159
63780,0.323751
63781,0.320696
63782,0.323882
63788,0.326941
63789,0.329851
63790,0.332898
63791,0.339013
63793,0.339191
63794,0.335939
63795,0.332762
63798,0.335984
63801,0.339192
63802,0.342264
63805,0.332601
63806,0.335664
63808,0.332799
63809,0.332779
63810,0.336357
63812,0.333135
63813,0.323514
63814,0.317166
63815,0.320371
63817,0.314058
63818,0.307878
63819,0.304905
63820,0.305071
63821,0.29893
63822,0.295965
63823,0.289704
63824,0.292736
63825,0.283548
63829,0.283484
63831,0.280413
63832,0.277254
63833,0.277164
63834,0.2803
63835,0.277251
63836,0.274167
63838,0.277246
63840,0.276961
63841,0.273963
63842,0.270885
63844,0.27095
63845,0.289668
63847,0.286571
63848,0.289421
63849,0.298931
63850,0.301786
63855,0.307942
63856,0.310986
63857,0.317098
63858,0.32294
63859,0.329299
63860,0.329257
63861,0.342114
63862,0.342274
63863,0.345328
63864,0.342123
63868,0.345087
63869,0.338656
63870,0.33548
63871,0.332319
63872,0.341657
63873,0.34492
63874,0.344841
63875,0.345146
63877,0.339018
63878,0.34213
63883,0.345379
63884,0.348442
63885,0.345234
63887,0.345155
63890,0.348432
63891,0.342316
63892,0.339263
63893,0.342544
63894,0.339492
63895,0.333243
63896,0.333265
63897,0.336454
63898,0.33632
63900,0.333567
63903,0.333724
63904,0.336942
63907,0.34013
63909,0.343339
63911,0.346255
63912,0.349461
63913,0.352383
63914,0.358846
63915,0.368188
63916,0.371418
63917,0.374693
63918,0.377911
63919,0.380789
63923,0.384067
63924,0.390556
63925,0.393498
63926,0.390208
63927,0.386877
63928,0.383557
63930,0.383168
63931,0.386269
63932,0.395592
63933,0.392269
63934,0.388964
63936,0.385713
63937,0.388794
63938,0.391881
63939,0.385389
63940,0.385232
63941,0.388113
63942,0.385002
63943,0.3785
63944,0.381575
63946,0.38457
63948,0.381466
63951,0.378184
63952,0.381418
63953,0.384609
63955,0.38452
63956,0.391011
63957,0.390985
63958,0.38464
63959,0.378165
63960,0.393168
63962,0.393188
63966,0.399546
63967,0.402911
63968,0.409515
63969,0.406226
63971,0.402947
63973,0.399676
63974,0.399705
63975,0.402955
63976,0.396422
63978,0.396266
63979,0.39626
63980,0.399505
63982,0.406044
63984,0.409174
63985,0.409306
63986,0.412587
63989,0.419214
63992,0.41927
63994,0.422417
63995,0.425789
63997,0.42912
63999,0.425967
64001,0.423082
64002,0.423181
64003,0.423375
64004,0.423419
64005,0.417182
64007,0.413845
64008,0.417139
64009,0.417337
64010,0.413985
64011,0.414355
64012,0.417735
64013,0.421068
64014,0.424397
64015,0.424646
64016,0.421754
64018,0.422142
64019,0.422282
64020,0.420439
64021,0.417286
64022,0.413934
64027,0.407707
64031,0.410852
64032,0.407589
64035,0.404328
64037,0.410536
64038,0.407201
64039,0.403958
64040,0.407219
64041,0.403755
64042,0.400436
64043,0.397126
64045,0.397159
64046,0.393771
64047,0.393361
64048,0.399804
64049,0.406039
64050,0.40937
64052,0.40891
64053,0.412244
64054,0.408617
64057,0.389026
64058,0.382458
64059,0.385541
64060,0.382661
64061,0.382534
64062,0.379656
64063,0.382535
64065,0.379556
64066,0.376328
64067,0.379434
64068,0.382629
64069,0.379464
64070,0.379864
64071,0.376689
64072,0.373415
64073,0.370127
64074,0.373374
64075,0.373387
64077,0.379874
64078,0.38314
64079,0.376559
64080,0.370709
64081,0.37412
64082,0.377351
64083,0.380634
64084,0.380544
64085,0.377523
64087,0.374506
64088,0.374566
64089,0.374677
64090,0.377992
64091,0.374779
64093,0.378066
64097,0.378069
64098,0.378122
64099,0.374909
64100,0.391132
64101,0.391135
64102,0.391169
64103,0.40062
64104,0.404001
64105,0.406887
64106,0.406717
64108,0.403472
64109,0.396881
64111,0.396585
64113,0.396243
64114,0.392952
64115,0.399468
64116,0.402835
64117,0.406036
64118,0.409354
64119,0.416308
64121,0.416215
64122,0.413107
64125,0.416149
64126,0.412935
64127,0.419095
64128,0.419192
64129,0.42585
64130,0.429075
64131,0.432347
64134,0.428997
64135,0.422748
64137,0.419432
64139,0.422693
64140,0.418135
64141,0.418542
64142,0.421803
64143,0.409304
64144,0.406201
64145,0.409484
64146,0.4161
64148,0.419367
64150,0.422676
64151,0.425835
64152,0.429171
64153,0.428914
64154,0.432233
64155,0.435563
64157,0.448645
64158,0.455335
64159,0.45865
64160,0.462066
64161,0.458585
64162,0.45519
64163,0.44859
64164,0.448595
64165,0.445215
64166,0.448592
64167,0.444939
64168,0.450913
64169,0.447536
64170,0.450675
64171,0.443914
64172,0.450165
64173,0.456726
64174,0.459823
64175,0.4564
64177,0.459479
64178,0.462628
64179,0.449102
64180,0.449061
64181,0.455165
64183,0.45812
64185,0.454757
64186,0.451179
64187,0.450982
64189,0.454124
64190,0.450807
64192,0.447471
64193,0.450803
64196,0.447471
64197,0.444147
64199,0.447577
64200,0.44822
64201,0.45156
64202,0.45491
64203,0.458301
64205,0.461666
64207,0.458381
64208,0.455196
64209,0.461746
64211,0.468531
64212,0.47189
64213,0.46869
64214,0.465495
64215,0.472232
64216,0.472296
64219,0.479111
64221,0.475714
64222,0.482626
64223,0.4861
64224,0.482886
64225,0.479412
64226,0.476015
64227,0.47622
64229,0.479677
64230,0.473078
64231,0.473292
64232,0.47669
64233,0.480118
64234,0.483516
64236,0.486936
64237,0.487146
64238,0.490549
64239,0.487329
64242,0.483832
64243,0.474202
64244,0.464096
64245,0.457237
64247,0.45048
64248,0.453656
64249,0.450483
64250,0.447104
64253,0.450386
64254,0.447217
64258,0.440981
64259,0.434479
64260,0.436142
64261,0.436167
64262,0.436071
64263,0.42974
64264,0.436232
64265,0.439639
64266,0.442991
64267,0.433373
64268,0.436722
64269,0.440069
64270,0.436776
64271,0.430749
64272,0.424275
64273,0.430768
64275,0.437098
64276,0.433809
64277,0.430852
64278,0.434018
64279,0.443527
64280,0.446775
64281,0.446925
64282,0.440784
64283,0.444157
64284,0.441195
64285,0.434797
64286,0.424626
64287,0.424555
64288,0.421433
64290,0.427759
64291,0.434294
64293,0.428411
64294,0.434647
64295,0.441201
64296,0.444601
64297,0.431204
64298,0.427932
64299,0.427751
64300,0.421514
64302,0.418625
64303,0.415393
64304,0.41517
64305,0.411921
64307,0.414886
64308,0.411663
64309,0.405236
64310,0.405609
64311,0.411747
64312,0.405252
64313,0.405213
64314,0.405042
64315,0.404876
64316,0.408133
64317,0.411082
64318,0.414418
64320,0.413912
64322,0.4168
64323,0.413521
64324,0.416472
64327,0.412955
64328,0.41295
64330,0.419533
64331,0.412656
64332,0.409437
64333,0.422255
64334,0.428949
64336,0.428951
64337,0.422584
64338,0.425832
64339,0.413036
64340,0.409993
64341,0.409715
64342,0.406405
64343,0.413168
64344,0.416483
64345,0.422941
64346,0.425831
64347,0.432319
64348,0.441918
64349,0.44193
64351,0.441896
64352,0.445216
64353,0.441842
64354,0.438566
64356,0.444709
64357,0.447851
64359,0.451275
64360,0.451228
64361,0.447885
64362,0.451205
64363,0.451385
64365,0.448095
64367,0.451425
64370,0.454842
64371,0.455032
64372,0.458379
64374,0.468661
64375,0.465502
64376,0.468892
64377,0.465517
64378,0.458659
64380,0.46194
64381,0.455177
64382,0.458253
64383,0.458184
64384,0.461571
64385,0.461552
64386,0.461475
64387,0.471391
64388,0.464572
64390,0.467978
64391,0.464536
64393,0.458187
64394,0.461497
64395,0.458535
64396,0.458531
64397,0.461847
64400,0.458444
64402,0.455054
64403,0.455005
64405,0.451628
64407,0.448293
64408,0.451591
64411,0.454733
64413,0.451361
64414,0.448001
64419,0.447736
64420,0.444343
64421,0.450828
64423,0.457148
64426,0.457158
64427,0.45387
64429,0.463677
64430,0.463637
64432,0.466986
64433,0.466922
64435,0.460252
64436,0.469997
64438,0.476361
64439,0.482985
64440,0.483407
64441,0.483356
64444,0.476834
64445,0.473452
64447,0.470254
64448,0.470444
64449,0.467068
64450,0.470464
64451,0.473836
64453,0.470449
64455,0.477209
64456,0.480607
64457,0.484017
64460,0.4776
64461,0.4742
64463,0.47081
64465,0.470854
64466,0.464516
64469,0.467957
64470,0.464581
64472,0.46802
64473,0.468059
64475,0.471342
64476,0.468146
64477,0.464691
64478,0.464482
64480,0.461172
64481,0.464613
64483,0.467915
64484,0.46454
64485,0.467929
64487,0.471315
64490,0.467914
64491,0.471303
64492,0.48123
64493,0.484648
64494,0.481168
64495,0.480965
64496,0.484171
64497,0.477265
64499,0.470541
64500,0.468152
64501,0.464993
64502,0.458287
64503,0.451534
64505,0.44522
64507,0.448567
64508,0.451738
64509,0.448778
64510,0.435797
64511,0.432754
64512,0.432953
64513,0.426505
64514,0.423069
64515,0.419711
64516,0.419802
64517,0.416485
64519,0.413427
64520,0.404031
64521,0.40408
64522,0.400846
64523,0.401269
64524,0.395108
64525,0.372602
64526,0.372806
64528,0.369924
64529,0.357631
64530,0.357997
64534,0.355125
64536,0.352203
64537,0.355492
64538,0.355876
64540,0.359181
64541,0.355878
64542,0.352816
64543,0.359175
64545,0.356349
64547,0.365894
64548,0.369183
64549,0.369069
64550,0.378885
64551,0.388762
64553,0.395175
64554,0.391881
64556,0.381978
64557,0.384937
64558,0.394327
64559,0.387798
64560,0.390153
64561,0.38995
64562,0.40269
64563,0.406069
64564,0.412195
64565,0.425316
64566,0.428206
64567,0.424813
64568,0.428052
64569,0.434429
64570,0.43775
64571,0.4309
64572,0.433859
64573,0.450441
64574,0.453597
64576,0.456496
64577,0.456207
64578,0.462454
64579,0.458996
64580,0.452767
64581,0.446057
64583,0.44277
64584,0.436052
64586,0.438948
64587,0.435622
64588,0.435389
64589,0.435459
64590,0.432151
64591,0.428699
64593,0.431935
64594,0.425137
64597,0.425072
64598,0.424875
64599,0.428182
64600,0.428172
64602,0.431383
64603,0.431579
64604,0.441568
64605,0.43497
64606,0.431629
64607,0.438266
64608,0.4318
64609,0.428497
64610,0.425182
64611,0.42207
64612,0.418963
64613,0.419026
64617,0.429048
64618,0.425727
64620,0.425396
64622,0.428688
64623,0.431742
64624,0.428417
64625,0.434798
64626,0.434531
64627,0.444491
64628,0.447623
64629,0.450908
64633,0.451356
64635,0.445043
64636,0.448335
64637,0.454996
64639,0.461739
64640,0.468429
64643,0.475264
64644,0.471941
64645,0.468534
64646,0.478746
64647,0.475276
64648,0.471818
64650,0.468612
64651,0.478531
64652,0.475205
64653,0.471987
64654,0.461948
64655,0.465354
64656,0.468515
64657,0.471937
64658,0.478739
64659,0.481914
64660,0.485094
64661,0.481763
64662,0.485155
64664,0.488579
64666,0.488341
64672,0.491992
64679,0.494977
64680,0.495527
64681,0.498451
64684,0.495012
64685,0.494745
64686,0.491391
64687,0.487963
64688,0.484548
64689,0.477737
64690,0.474321
64691,0.474331
64692,0.474233
64693,0.467425
64694,0.464045
64695,0.464067
64696,0.467482
64697,0.464097
64698,0.46073
64699,0.467299
64700,0.470796
64702,0.477434
64703,0.477207
64705,0.467092
64706,0.4639
64707,0.46052
64708,0.453841
64709,0.45038
64711,0.447238
64712,0.440574
64715,0.440438
64716,0.427654
64717,0.420994
64720,0.417797
64721,0.420935
64722,0.417729
64723,0.414438
64724,0.414515
64726,0.40822
64728,0.411553
64729,0.408452
64730,0.411917
64731,0.405383
64732,0.398968
64734,0.398923
64735,0.402237
64736,0.405564
64737,0.40243
64738,0.405728
64739,0.405925
64740,0.406391
64741,0.409694
64742,0.399934
64743,0.403239
64744,0.400152
64745,0.397267
64746,0.403676
64747,0.400791
64748,0.404094
64751,0.400789
64752,0.407243
64754,0.413807
64755,0.4078
64757,0.411246
64758,0.414568
64759,0.408354
64760,0.41481
64761,0.408513
64762,0.395254
64763,0.392486
64765,0.398734
64766,0.402005
64768,0.398761
64769,0.399013
64771,0.40222
64772,0.399268
64774,0.402764
64775,0.405981
64776,0.396851
64777,0.393504
64778,0.396604
64779,0.396599
64780,0.406559
64781,0.406627
64782,0.403314
64783,0.4067
64784,0.409918
64785,0.403726
64786,0.397306
64787,0.40352
64788,0.406638
64789,0.399966
64790,0.413025
64792,0.409637
64793,0.412523
64794,0.409199
64795,0.408715
64796,0.405393
64797,0.398838
64798,0.401975
64799,0.388789
64800,0.392234
64801,0.385662
64803,0.385265
64804,0.384974
64805,0.394581
64806,0.397867
64807,0.394835
64808,0.395059
64809,0.394651
64811,0.397986
64814,0.401437
64815,0.410663
64816,0.407364
64819,0.40704
64820,0.413259
64821,0.409948
64822,0.406374
64824,0.406157
64828,0.39984
64829,0.400074
64830,0.396802
64831,0.396561
64832,0.399815
64833,0.396601
64835,0.402936
64836,0.409419
64839,0.416039
64842,0.426027
64843,0.435773
64845,0.43587
64846,0.435873
64847,0.452751
64848,0.446606
64849,0.443433
64850,0.443477
64851,0.446854
64853,0.456692
64854,0.46006
64855,0.463141
64856,0.466224
64857,0.473006
64858,0.473066
64859,0.476396
64860,0.489109
64861,0.48291
64863,0.479683
64864,0.476202
64865,0.479533
64867,0.476339
64868,0.47951
64869,0.482963
64870,0.493172
64871,0.489676
64873,0.486219
64876,0.492765
64877,0.495957
64879,0.499414
64881,0.499187
64882,0.495732
64894,0.499179
64895,0.502419
64896,0.501926
64898,0.498208
64899,0.504794
64900,0.497962
64901,0.491119
64902,0.491158
64903,0.484359
64904,0.477499
64906,0.47093
64907,0.474242
64908,0.47085
64909,0.473824
64910,0.467099
64911,0.466838
64912,0.466882
64913,0.46692
64915,0.460301
64916,0.460227
64917,0.456791
64918,0.450085
64919,0.453487
64920,0.461849
64921,0.458508
64923,0.452016
64925,0.448601
64926,0.442231
64927,0.435778
64928,0.432617
64929,0.432624
64930,0.429613
64931,0.432873
64932,0.429753
64933,0.426373
64934,0.423222
64936,0.420114
64937,0.413445
64938,0.410092
64944,0.406961
64945,0.403643
64946,0.39728
64947,0.400575
64948,0.390897
64950,0.397418
64951,0.397779
64952,0.401031
64953,0.404697
64954,0.41464
64955,0.411361
64956,0.414678
64957,0.405017
64958,0.408331
64959,0.411613
64960,0.414923
64961,0.418352
64962,0.41827
64963,0.421574
64964,0.421526
64965,0.421329
64967,0.431265
64968,0.431272
64971,0.434586
64972,0.434596
64973,0.441072
64975,0.434348
64976,0.443901
64977,0.4504
64978,0.446997
64979,0.450402
64980,0.460469
64981,0.460462
64982,0.46366
64983,0.463649
64985,0.466805
64986,0.470239
64987,0.463968
64989,0.457422
64990,0.450752
64991,0.451225
64992,0.454418
64993,0.457853
64994,0.457653
64995,0.454457
64996,0.454524
64997,0.461778
64999,0.458376
65000,0.461254
65001,0.454863
65002,0.448185
65003,0.444897
65004,0.44508
65005,0.448206
65007,0.45495
65009,0.451798
65010,0.461553
65011,0.458165
65012,0.444985
65013,0.448967
65015,0.452414
65016,0.435941
65017,0.426259
65018,0.426314
65021,0.426574
65022,0.42685
65024,0.420443
65025,0.417512
65026,0.407744
65027,0.404497
65028,0.397995
65029,0.394686
65031,0.394652
65032,0.39138
65033,0.394701
65034,0.388479
65035,0.388441
65036,0.385211
65037,0.388531
65038,0.388459
65039,0.394531
65040,0.392939
65041,0.396063
65043,0.399195
65044,0.405736
65045,0.402197
65047,0.402058
65048,0.408595
65049,0.418497
65050,0.418126
65051,0.421452
65052,0.421109
65053,0.414718
65058,0.421009
65059,0.424126
65060,0.427509
65061,0.437105
65062,0.440063
65063,0.443237
65064,0.453436
65065,0.45047
65066,0.45376
65067,0.456715
65070,0.456352
65071,0.449561
65072,0.456003
65073,0.462375
65074,0.469128
65075,0.479013
65076,0.485773
65077,0.48578
65078,0.479425
65080,0.476414
65081,0.479627
65083,0.482803
65084,0.489097
65085,0.492316
65086,0.485575
65087,0.488926
65089,0.482134
65090,0.471835
65091,0.468426
65092,0.465263
65093,0.465172
65095,0.47183
65096,0.468427
65097,0.465192
65098,0.465101
65099,0.458558
65100,0.458177
65101,0.454924
65102,0.451783
65103,0.454991
65104,0.451606
65106,0.448469
65107,0.445218
65108,0.441853
65111,0.4452
65112,0.441877
65113,0.43835
65114,0.435013
65116,0.42847
65117,0.428405
65118,0.425083
65119,0.431775
65120,0.43516
65121,0.431838
65126,0.438187
65127,0.438363
65128,0.44799
65129,0.444634
65131,0.441506
65132,0.434755
65133,0.428029
65134,0.428065
65135,0.424766
65136,0.431335
65138,0.434652
65139,0.441304
65140,0.448046
65141,0.444677
65142,0.447811
65143,0.43128
65144,0.427968
65145,0.424815
65146,0.425267
65147,0.431612
65148,0.425407
65149,0.425135
65151,0.418535
65152,0.418529
65153,0.418382
65154,0.418346
65155,0.415043
65156,0.415261
65157,0.418472
65158,0.42178
65159,0.415113
65160,0.408381
65161,0.405209
65162,0.401984
65163,0.405264
65165,0.401998
65166,0.405183
65167,0.402083
65168,0.405362
65170,0.405378
65173,0.402099
65175,0.399003
65177,0.405374
65179,0.402054
65181,0.408434
65182,0.415019
65183,0.418361
65184,0.421664
65185,0.418348
65186,0.421635
65191,0.428287
65193,0.448197
65194,0.451541
65195,0.445042
65196,0.451309
65197,0.454691
65198,0.46095
65199,0.464142
65201,0.477564
65203,0.480971
65204,0.478119
65206,0.481028
65207,0.471091
65208,0.468184
65209,0.481761
65210,0.482045
65211,0.478587
65212,0.481763
65213,0.485267
65214,0.482286
65215,0.485729
65216,0.489149
65217,0.492332
65218,0.488833
65219,0.485922
65220,0.488372
65221,0.485654
65222,0.475256
65223,0.465432
65225,0.465389
65227,0.468871
65228,0.465781
65229,0.453032
65230,0.440699
65231,0.43106
65232,0.424354
65233,0.421006
65234,0.41773
65235,0.417808
65239,0.41455
65240,0.408255
65241,0.404919
65242,0.398432
65243,0.398317
65244,0.382347
65245,0.372578
65246,0.369307
65247,0.372573
65248,0.36938
65249,0.363135
65251,0.35994
65252,0.366069
65253,0.362846
65255,0.366052
65256,0.365732
65257,0.372107
65260,0.371913
65261,0.381507
65262,0.377926
65264,0.374693
65265,0.364925
65266,0.352068
65267,0.358201
65268,0.35514
65269,0.348602
65271,0.361566
65272,0.358292
65273,0.35846
65277,0.358013
65278,0.367284
65279,0.373221
65280,0.379968
65281,0.392918
65282,0.389636
65283,0.392868
65284,0.389931
65286,0.383737
65288,0.386794
65289,0.390176
65290,0.393383
65291,0.396607
65292,0.402808
65293,0.419111
65294,0.425636
65295,0.428929
65296,0.425582
65297,0.431938
65298,0.435203
65299,0.431852
65300,0.435122
65303,0.438431
65304,0.431742
65305,0.431681
65307,0.428343
65308,0.421631
65309,0.418315
65310,0.421664
65311,0.415054
65312,0.418302
65313,0.415192
65314,0.411909
65315,0.418566
65316,0.428434
65317,0.42532
65318,0.421669
65319,0.414822
65320,0.417769
65321,0.414409
65322,0.414478
65323,0.423899
65326,0.423917
65327,0.430468
65329,0.423836
65330,0.420558
65332,0.417718
65333,0.420585
65334,0.417696
65335,0.420647
65337,0.417366
65338,0.420577
65339,0.420388
65340,0.420179
65342,0.420493
65343,0.417378
65344,0.420654
65345,0.420574
65347,0.417458
65349,0.420746
65351,0.414484
65353,0.417774
65354,0.424387
65357,0.421427
65358,0.425
65359,0.428329
65360,0.425168
65361,0.42848
65362,0.435117
65363,0.438243
65364,0.441566
65365,0.444907
65366,0.444842
65367,0.44814
65368,0.454907
65369,0.46512
65370,0.461667
65371,0.461963
65372,0.461968
65373,0.458577
65374,0.455384
65376,0.458786
65377,0.455594
65378,0.448973
65379,0.462398
65380,0.469232
65381,0.465818
65382,0.468732
65383,0.472124
65384,0.478443
65385,0.474961
65387,0.474934
65388,0.474872
65389,0.478287
65390,0.471661
65392,0.474569
65393,0.474325
65395,0.477799
65396,0.474598
65397,0.477764
65400,0.481527
65401,0.484701
65403,0.481321
65404,0.477949
65406,0.48116
65407,0.477833
65408,0.481006
65409,0.477605
65410,0.471165
65411,0.474566
65412,0.471207
65413,0.464438
65414,0.464983
65415,0.458528
65416,0.458572
65417,0.451783
65418,0.455221
65419,0.451916
65420,0.452323
65421,0.45547
65423,0.455775
65424,0.455672
65425,0.446553
65426,0.446929
65427,0.437018
65428,0.437055
65429,0.427126
65430,0.430477
65431,0.433825
65432,0.42404
65433,0.41732
65434,0.420718
65435,0.417595
65436,0.414707
65437,0.418194
65438,0.421543
65439,0.418181
65440,0.408582
65441,0.405343
65442,0.402195
65443,0.405512
65444,0.402308
65446,0.39273
65447,0.379618
65448,0.373225
65450,0.363611
65451,0.35389
65452,0.350581
65453,0.350535
65455,0.340972
65456,0.337925
65457,0.337966
65458,0.331514
65459,0.337691
65460,0.340863
65461,0.337978
65462,0.334858
65463,0.340966
65464,0.337756
65465,0.34395
65466,0.341094
65467,0.347537
65468,0.350721
65469,0.353642
65470,0.343982
65472,0.340771
65473,0.340572
65474,0.346435
65475,0.339798
65476,0.345705
65477,0.351936
65479,0.355362
65480,0.348873
65481,0.345802
65482,0.352196
65483,0.358687
65484,0.355475
65485,0.358169
65486,0.351751
65487,0.354909
65488,0.35799
65489,0.351738
65490,0.367339
65491,0.360901
65492,0.357698
65493,0.351434
65494,0.357433
65495,0.35732
65496,0.366807
65497,0.369974
65498,0.369981
65499,0.369931
65500,0.373098
65501,0.382818
65502,0.382888
65503,0.386162
65504,0.389394
65505,0.38911
65506,0.3922
65508,0.395923
65509,0.405274
65510,0.405714
65514,0.412052
65516,0.415094
65518,0.409098
65519,0.412514
65520,0.41144
65521,0.408074
65522,0.414663
65523,0.417965
65524,0.421259
65525,0.427857
65526,0.434579
65528,0.431229
65529,0.440905
65530,0.440881
65531,0.447206
65533,0.440886
65534,0.444185
65535,0.44083
65536,0.444328
65537,0.441156
65538,0.44138
65539,0.447883
65540,0.447897
65541,0.454632
65543,0.458007
65544,0.458312
65545,0.468562
65546,0.465356
65547,0.468769
65548,0.472171
65549,0.47239
65550,0.475824
65552,0.476035
65554,0.469229
65555,0.476226
65557,0.472801
65558,0.475707
65560,0.481786
65562,0.478573
65563,0.471692
65566,0.475107
65568,0.4844
65569,0.477634
65571,0.481138
65572,0.477637
65574,0.474312
65576,0.467674
65578,0.467663
65579,0.464511
65580,0.464874
65582,0.464761
65583,0.458154
65584,0.458091
65585,0.461293
65586,0.461046
65588,0.454115
65590,0.457497
65591,0.44437
65592,0.4345
65593,0.437628
65594,0.437627
65596,0.437453
65598,0.440613
65599,0.430872
65602,0.437333
65603,0.427326
65604,0.433816
65605,0.424367
65606,0.421049
65607,0.42435
65608,0.421094
65609,0.411946
65611,0.412181
65612,0.412284
65613,0.409055
65614,0.402616
65615,0.393356
65618,0.390065
65619,0.393335
