time,load/LOAD1/p_mw,load/LOAD2/p_mw,load/LOAD3/p_mw,load/LOAD4/p_mw,load/LOAD5/p_mw,load/LOAD6/p_mw,load/LOAD7/p_mw,load/LOAD8/p_mw,load/LOAD9/p_mw,load/LOAD10/p_mw,load/LOAD11/p_mw,load/LOAD12/p_mw,load/LOAD13/p_mw,load/LOAD14/p_mw,load/LOAD15/p_mw,load/LOAD16/p_mw,load/LOAD17/p_mw,load/LOAD18/p_mw,load/LOAD19/p_mw,load/LOAD20/p_mw,load/LOAD21/p_mw,load/LOAD22/p_mw,load/LOAD23/p_mw,load/LOAD24/p_mw,load/LOAD25/p_mw,load/LOAD26/p_mw,load/LOAD27/p_mw,load/LOAD28/p_mw,load/LOAD29/p_mw,load/LOAD30/p_mw,load/LOAD31/p_mw,load/LOAD32/p_mw,load/LOAD33/p_mw,load/LOAD34/p_mw,load/LOAD35/p_mw,load/LOAD36/p_mw,load/LOAD37/p_mw,load/LOAD38/p_mw,load/LOAD39/p_mw,load/LOAD40/p_mw,load/LOAD41/p_mw,load/LOAD42/p_mw,load/LOAD43/p_mw,load/LOAD44/p_mw,load/LOAD45/p_mw,load/LOAD46/p_mw,load/LOAD47/p_mw,load/LOAD48/p_mw,load/LOAD49/p_mw,load/LOAD50/p_mw,load/LOAD51/p_mw,load/LOAD52/p_mw,load/LOAD53/p_mw,load/LOAD54/p_mw,load/LOAD55/p_mw
63095,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.002056,0.000655,0.000656,4.3e-05,0.000595,4.5e-05,0.0027,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.002606,0.000649,4.8e-05,0.0003
63096,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.002056,0.000655,0.000656,4.3e-05,0.000595,4.5e-05,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.002606,0.000649,4.8e-05,0.0003
63099,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.004056,0.000655,0.000656,4.3e-05,0.000595,4.5e-05,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.004606,0.000649,4.8e-05,0.0003
63102,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.004056,0.000655,0.000656,4.3e-05,0.000595,4.5e-05,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.0003
63107,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.004056,0.000655,0.000656,4.3e-05,0.000595,0.002045,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.0003
63111,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.004034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.004056,0.000655,0.000656,4.3e-05,0.000595,0.004045,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.0003
63112,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.002034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.004056,0.000655,0.000656,4.3e-05,0.000595,0.004045,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.0003
63113,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.002034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.004056,0.000655,0.000656,4.3e-05,0.000595,0.006045,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.0003
63114,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.002034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.004056,0.000655,0.000656,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.0003
63118,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.002034,0.000412,2.8e-05,0.000452,0.000786,0.000189,0.006056,0.000655,0.000656,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.0003
63120,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.002213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,3.4e-05,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63133,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.006951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.002213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,3.4e-05,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63136,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.004951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.002213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,3.4e-05,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63140,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.002213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,3.4e-05,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63141,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.004213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,3.4e-05,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63147,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.004213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.002034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63148,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.004213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.004034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63155,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.006213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.004034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63156,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.006213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63158,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00054,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63159,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.002951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00254,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63169,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.004951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00254,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63171,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.004951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00454,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63172,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.006951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00454,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.006606,0.000649,4.8e-05,0.00024
63175,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.006951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00454,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.004606,0.000649,4.8e-05,0.00024
63176,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00454,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.004606,0.000649,4.8e-05,0.00024
63177,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00654,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0067,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.004606,0.000649,4.8e-05,0.00024
63178,0.001423,0.000904,5.4e-05,0.000647,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.008213,0.00654,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000154,0.000603,0.000457,0.004606,0.000649,4.8e-05,0.00024
63180,0.001145,0.000944,5.4e-05,0.000647,3.5e-05,0.000127,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.006715,0.00654,5.3e-05,0.000701,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.000585,5e-05,0.006034,0.000412,2.8e-05,0.000829,0.000415,0.000189,0.006056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000174,0.000603,0.000457,0.004606,0.000589,4.8e-05,0.00024
63181,0.001145,0.000944,5.4e-05,0.000647,3.5e-05,0.000127,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.006715,0.00654,5.3e-05,0.000701,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.000585,5e-05,0.006034,0.000412,2.8e-05,0.000829,0.000415,0.000189,0.004056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0047,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000174,0.000603,0.000457,0.004606,0.000589,4.8e-05,0.00024
63182,0.001145,0.000944,5.4e-05,0.000647,3.5e-05,0.000127,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.006715,0.00654,5.3e-05,0.000701,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.000585,5e-05,0.006034,0.000412,2.8e-05,0.000829,0.000415,0.000189,0.004056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0027,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000174,0.000603,0.000457,0.004606,0.000589,4.8e-05,0.00024
63185,0.001145,0.000944,5.4e-05,0.000647,3.5e-05,0.000127,0.008951,0.000497,0.000233,5.7e-05,0.000525,0.000359,0.006715,0.00654,5.3e-05,0.000701,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.000585,5e-05,0.006034,0.000412,2.8e-05,0.000829,0.000415,0.000189,0.002056,0.000655,0.000644,4.3e-05,0.000595,0.006045,0.0027,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000485,0.001052,0.000233,0.000106,0.000174,0.000603,0.000457,0.002606,0.000589,4.8e-05,0.00024
