"time","J1_w","J2_w","J3_w","J4_w"
0.378,6.43125,3.64015,-6.66134e-15,-6.61737e-15
0.381,6.38659,3.66681,-7.54952e-15,-7.50707e-15
0.384,6.34432,3.69342,-7.54952e-15,-7.50894e-15
0.387,6.30458,3.71998,-7.10543e-15,-7.06723e-15
0.39,6.26748,3.74649,-7.99361e-15,-7.958e-15
0.393,6.23315,3.77294,-7.10543e-15,-7.07206e-15
0.396,6.20163,3.79934,-7.54952e-15,-7.51819e-15
0.399,6.17297,3.82569,-7.10543e-15,-7.07574e-15
0.402,6.14718,3.83198,0.02,-9.33281e-15
0.405,6.12423,3.82821,0.05,-8.93036e-15
0.408,6.1041,3.82439,0.08,-9.82547e-15
0.411,6.08676,3.82052,0.11,-9.38138e-15
0.414,6.07212,3.81659,0.14,-9.60343e-15
0.417,6.06004,3.81261,0.17,-9.15934e-15
0.42,6.0505,3.80856,0.2,-1.00475e-14
0.423,6.04332,3.80447,0.23,-1.00475e-14
0.426,6.03831,3.80031,0.26,-1.07692e-14
0.429,6.03528,3.7961,0.29,-1.0103e-14
0.432,6.03406,3.79182,0.32,-1.01585e-14
0.435,6.03443,3.78749,0.35,-1.02141e-14
0.438,6.03614,3.7831,0.38,-9.38138e-15
0.441,6.03896,3.77866,0.41,-8.99281e-15
0.444,6.04262,3.77415,0.44,-8.54872e-15
0.447,6.04687,3.76958,0.47,-8.32667e-15
0.45,6.05145,3.76496,0.5,-9.65894e-15
0.453,6.05609,3.76027,0.53,-8.99281e-15
0.456,6.06053,3.75552,0.56,-9.4369e-15
0.459,6.0645,3.75071,0.59,-9.21485e-15
0.462,6.06775,3.74584,0.62,-9.10383e-15
0.465,6.07005,3.7409,0.65,-9.32587e-15
0.468,6.07113,3.73591,0.68,-9.54792e-15
0.471,6.07074,3.73085,0.71,-9.10383e-15
0.474,6.0687,3.72573,0.74,-9.32587e-15
0.477,6.06477,3.72054,0.77,-9.76996e-15
0.48,6.0588,3.7153,0.8,-9.99201e-15
0.483,6.05061,3.70998,0.83,-9.54792e-15
0.486,6.04005,3.70461,0.86,-9.76996e-15
0.489,6.02701,3.69916,0.89,-9.32587e-15
0.492,6.01136,3.69366,0.92,-9.54792e-15
0.495,5.99306,3.68809,0.95,-9.10383e-15
0.498,5.97202,3.68245,0.98,-9.32587e-15
0.502,5.93971,3.67483,1.02,-9.54792e-15
0.505,5.91225,3.66903,1.05,-9.99201e-15
0.508,5.88208,3.66317,1.08,-1.06581e-14
0.511,5.84921,3.65725,1.11,-9.99201e-15
0.514,5.81376,3.65125,1.14,-9.32587e-15
0.517,5.7758,3.64519,1.17,-9.99201e-15
0.52,5.73547,3.63906,1.2,-9.76996e-15
0.523,5.69292,3.63286,1.23,-9.54792e-15
0.526,5.64831,3.62659,1.26,-9.76996e-15
0.529,5.60184,3.62025,1.29,-9.54792e-15
0.532,5.5537,3.61384,1.32,-9.32587e-15
0.535,5.50413,3.60736,1.35,-9.54792e-15
0.538,5.45334,3.60081,1.38,-1.02141e-14
0.541,5.40158,3.59419,1.41,-1.04361e-14
0.544,5.34909,3.5875,1.44,-9.32587e-15
0.547,5.29615,3.58074,1.47,-9.10383e-15
0.55,5.24302,3.57391,1.5,-9.32587e-15
0.553,5.18994,3.567,1.53,-9.54792e-15
0.556,5.1372,3.56002,1.56,-9.76996e-15
0.559,5.08508,3.55297,1.59,-9.32587e-15
0.562,5.0338,3.54585,1.62,-9.76996e-15
0.565,4.98365,3.53865,1.65,-9.10383e-15
0.568,4.93486,3.53138,1.68,-8.65974e-15
0.571,4.88766,3.52404,1.71,-8.88178e-15
0.574,4.84227,3.51662,1.74,-8.88178e-15
0.577,4.7989,3.50913,1.77,-9.54792e-15
0.58,4.75772,3.50156,1.8,-9.54792e-15
0.583,4.71891,3.49392,1.83,-9.32587e-15
0.586,4.6826,3.4862,1.86,-9.76996e-15
0.589,4.64893,3.4784,1.89,-9.32587e-15
0.592,4.61799,3.47053,1.92,-9.54792e-15
0.595,4.58986,3.46258,1.95,-9.76996e-15
0.598,4.56461,3.45456,1.98,-9.10383e-15
0.601,4.54224,3.44646,2.01,-8.88178e-15
0.604,4.52278,3.43828,2.04,-9.76996e-15
0.607,4.5062,3.43002,2.07,-8.88178e-15
0.61,4.49246,3.42168,2.1,-8.88178e-15
0.613,4.48148,3.41327,2.13,-8.88178e-15
0.616,4.47317,3.40478,2.16,-8.88178e-15
0.619,4.46743,3.39621,2.19,-8.88178e-15
0.622,4.46409,3.38756,2.22,-9.76996e-15
0.625,4.46301,3.37883,2.25,-9.76996e-15
0.628,4.46402,3.37002,2.28,-8.88178e-15
0.631,4.4669,3.36113,2.31,-8.88178e-15
0.634,4.47145,3.35216,2.34,-8.88178e-15
0.637,4.47744,3.34311,2.37,-9.76996e-15
0.64,4.48463,3.33397,2.4,-9.32587e-15
0.643,4.49278,3.32476,2.43,-8.88178e-15
0.646,4.50163,3.31546,2.46,-8.43769e-15
0.649,4.51091,3.30609,2.49,-8.43769e-15
0.652,4.52036,3.29663,2.52,-9.32587e-15
0.655,4.52971,3.28708,2.55,-8.88178e-15
0.658,4.53871,3.27746,2.58,-9.76996e-15
0.661,4.54708,3.26775,2.61,-1.11022e-14
0.664,4.55458,3.25796,2.64,-1.02141e-14
0.667,4.56096,3.24808,2.67,-1.02141e-14
0.67,4.56598,3.23812,2.7,-1.06581e-14
0.673,4.56943,3.22808,2.73,-1.11022e-14
0.676,4.57109,3.21795,2.76,-1.11022e-14
0.679,4.57078,3.20774,2.79,-9.32587e-15
0.682,4.5683,3.19744,2.82,-1.02141e-14
0.685,4.56352,3.18705,2.85,-1.02141e-14
0.688,4.55629,3.17658,2.88,-1.02141e-14
0.691,4.54653,3.16603,2.91,-1.02141e-14
0.694,4.53415,3.15539,2.94,-1.02141e-14
0.697,4.51907,3.14466,2.97,-9.76996e-15
0.7,4.50127,3.13384,3,-9.32587e-15
0.703,4.48074,3.12294,3.03,-9.76996e-15
0.706,4.45749,3.11195,3.06,-9.32587e-15
0.709,4.43155,3.10087,3.09,-9.32587e-15
0.712,4.40294,3.10485,3.10485,-7.99361e-15
0.715,4.37186,3.11423,3.11423,-9.32587e-15
0.718,4.33837,3.12355,3.12355,-7.99361e-15
0.721,4.30258,3.13284,3.13284,-7.54952e-15
0.724,4.26466,3.14208,3.14208,-7.54952e-15
0.727,4.22478,3.15127,3.15127,-7.99361e-15
0.73,4.18312,3.16043,3.16043,-7.54952e-15
0.733,4.1399,3.16953,3.16953,-7.10543e-15
0.736,4.09532,3.17859,3.17859,-6.66134e-15
0.739,4.04963,3.18761,3.18761,-6.66134e-15
0.742,4.00302,3.19658,3.19658,-6.66134e-15
0.745,3.95578,3.2055,3.2055,-6.21725e-15
0.748,3.90819,3.21438,3.21438,-6.21725e-15
0.751,3.86053,3.22322,3.22322,-6.66134e-15
0.754,3.81304,3.23201,3.23201,-6.66134e-15
0.757,3.76599,3.24075,3.24075,-7.10543e-15
0.76,3.71966,3.24945,3.24945,-6.66134e-15
0.763,3.67429,3.2581,3.2581,-7.10543e-15
0.766,3.63014,3.2667,3.2667,-6.66134e-15
0.769,3.58744,3.27526,3.27526,-7.10543e-15
0.772,3.54642,3.28377,3.28377,-7.10543e-15
0.775,3.50729,3.29223,3.29223,-7.10543e-15
0.778,3.47025,3.30065,3.30065,-7.10543e-15
0.781,3.43548,3.30902,3.30902,-7.10543e-15
0.784,3.40314,3.31734,3.31734,-6.66134e-15
0.787,3.37336,3.32562,3.32562,-6.66134e-15
0.79,3.34628,3.33385,3.33385,-7.10543e-15
0.793,3.33541,3.33541,3.33541,-7.54952e-15
0.796,3.33372,3.33372,3.33372,-7.54952e-15
