    "time",     "y_0",     "y_1",     "y_2"
      1.74,-290.73192, 43.564522, 66.299799
      1.76,-327.24417, 42.646255, 66.299799
      1.78,-362.84803, 41.718897, 64.841063
       1.8,-397.44685, 40.783716, 64.841063
      1.82,-430.94749, 39.841973,  63.34178
      1.84,-463.26056, 38.894911,  63.34178
      1.86,-494.30089, 37.943764, 61.811813
      1.88,-523.98767, 36.989743, 61.811813
       1.9,-552.24481, 36.034046, 60.260789
      1.92,-579.00118, 35.077846, 60.260789
      1.94,-604.19087, 34.122299, 58.698046
      1.96,-627.75338, 33.168532, 58.698046
      1.98,-649.63385,  32.21765, 57.132571
         2,-669.78324, 31.270731, 57.132571
      2.02,-688.15856, 30.328821, 55.572951
      2.04,-704.72286, 29.392942, 55.572951
      2.06,-719.44549, 28.464078, 54.027319
      2.08, -732.3021, 27.543185, 54.027319
       2.1,-743.27488, 26.631181, 52.503308
      2.12,-752.35235, 25.728953, 52.503308
      2.14,-759.52968, 24.837348, 51.008012
      2.16,-764.80845, 23.957177, 51.008012
      2.18,-768.19678,  23.08921, 49.547944
       2.2,-769.70925,  22.23418, 49.547944
      2.22,-769.36683, 21.392779,    48.129
      2.24,-767.19687, 20.565655,    48.129
      2.26,-763.23272, 19.753416, 46.756429
      2.28,-757.51402, 18.956628, 46.756429
       2.3,-750.08622,  18.17581, 45.434815
      2.32,-741.00057, 17.411441, 45.434815
      2.34,-730.31376, 16.663951, 44.168044
      2.36,-718.08797,  15.93373, 44.168044
      2.38,-704.39037, 15.221117, 42.959297
       2.4,-689.29299, 14.526413, 42.959297
      2.42,-672.87251, 13.849867,  41.81104
      2.44,-655.20985, 13.191685,  41.81104
      2.46,-636.38997, 12.552027, 40.725008
      2.48,-616.50144, 11.931008, 40.725008
       2.5,-595.63628, 11.328699, 39.702219
      2.52,-573.88945, 10.745122, 39.702219
      2.54,-551.35869, 10.180256, 38.742966
      2.56,-528.14391,   9.63404, 38.742966
      2.58,  -504.347,  9.106363, 37.846839
       2.6,-480.07151,  8.597072, 37.846839
      2.62,-455.42209,  8.105976, 37.012722
      2.64,-430.50419,  7.632836, 37.012722
      2.66,-405.42374,  7.177376, 36.238829
      2.68,-380.28662,  6.739278, 36.238829
       2.7,-355.19843,  6.318186, 35.522722
      2.72,  -330.264,  5.913704, 35.522722
      2.74,-305.58698,    5.5254, 34.861338
      2.76,-281.26961,  5.152806, 34.861338
      2.78,-257.41218,  4.795417, 34.251023
       2.8,-234.11277,  4.452696, 34.251023
      2.82,-211.46685,  4.124075, 33.687567
      2.84,-189.56692,  3.808951, 33.687567
      2.86,-168.50222,  3.506697,  33.16625
      2.88,-148.35836,  3.216651,  33.16625
       2.9,-129.21705, 2.9381293, 32.681879
      2.92,-111.15576, 2.6704224, 32.681879
      2.94,-94.247438, 2.4127968, 32.228848
      2.96,-78.560278, 2.1644945, 32.228848
      2.98,-64.157467, 1.9247422, 31.801167
         3,-51.096924, 1.6927444, 31.801167
      3.02,-39.431118, 1.4676904,  31.39254
      3.04,-29.206861, 1.2487543,  31.39254
      3.06,-20.465149, 1.0350967, 30.996401
      3.08,-13.241004, 0.8258673, 30.996401
       3.1,-7.5633512,  0.620206, 30.605981
      3.12,-3.4549125,  0.417245, 30.605981
      3.14,-0.93212313, 0.2161111, 30.214363
      3.16,-0.0050730802,0.01592661, 30.214363
      3.18,-0.67746948,-0.1841878, 29.814541
       3.2,-2.9466235,-0.3851117, 29.814541
      3.22,-6.8034601,-0.5877231, 29.399485
      3.24,-12.232551,-0.7928961, 29.399485
      3.26, -19.21217,-1.0014994, 28.962193
      3.28,-27.714375,-1.2143945, 28.962193
       3.3,-37.705105,-1.4324335, 28.495758
      3.32,-49.144309,-1.6564574, 28.495758
      3.34,-61.986086,-1.8872946, 27.993425
      3.36,-76.178861,-2.1257584, 27.993425
      3.38,-91.665562,-2.3726461,  27.44865
       3.4,-108.38383,-2.6287363,  27.44865
      3.42,-126.26627, -2.894788, 26.855156
      3.44,-145.24065, -3.171539, 26.855156
      3.46,-165.23019, -3.459703,  26.20699
      3.48,-186.15386, -3.759968,  26.20699
       3.5,-207.92665, -4.072998, 25.498577
      3.52,-230.45988, -4.399429, 25.498577
      3.54,-253.66154, -4.739865, 24.724765
      3.56, -277.4366, -5.094881, 24.724765
      3.58,-301.68737,  -5.46502, 23.880878
       3.6, -326.3139, -5.850789, 23.880878
      3.62,-351.21425, -6.252665, 22.962764
      3.64,-376.28496, -6.671084, 22.962764
      3.66,-401.42132, -7.106448, 21.966826
      3.68, -426.5179, -7.559121, 21.966826
       3.7,-451.46876, -8.029425, 20.890065
      3.72,-476.16803, -8.517645, 20.890065
      3.74,-500.51011, -9.024023, 19.730115
      3.76,-524.39018, -9.548761, 19.730115
      3.78,-547.70456,-10.092017, 18.485269
       3.8,-570.35103,-10.653906, 18.485269
      3.82,-592.22928,-11.234502, 17.154501
      3.84,-613.24129,-11.833828, 17.154501
      3.86,-633.29161, -12.45187, 15.737494
      3.88,-652.28775,-13.088566, 15.737494
       3.9, -670.1405,-13.743807, 14.234643
      3.92,-686.76433,-14.417441, 14.234643
      3.94,-702.07765,-15.109269, 12.647077
      3.96,-716.00315,-15.819047, 12.647077
      3.98,  -728.468,-16.546486, 10.976653
         4,-739.40417,-17.291251, 10.976653
      4.02, -748.7488, -18.05296,  9.225963
