    "time","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel",  "J1.phi",    "J1.w"
      0.76,-3.1386097,-0.46966254, -1.397262,1.01915e-016,-0.63931469,-3.2493779, 5.1751864, 3.7190405
      0.77,-3.1424263,-0.29490646, -1.397262,1.01915e-016,-0.67195217, -3.278032, 5.2116405, 3.5729384
      0.78, -3.144582,-0.14004565, -1.397262,1.01915e-016,-0.70487361,-3.3061689, 5.2467177, 3.4462145
      0.79,-3.1453171,-0.011992204, -1.397262,1.01915e-016,-0.73807398,-3.3337839, 5.2806532, 3.3457761
       0.8,-3.1453236,1.7218865e-014, -1.397262,1.01915e-016,-0.77141952,-3.3336441, 5.3140052, 3.3336441
      0.81,-3.1453236,1.7218865e-014, -1.397262,1.01915e-016,-0.80478153,-3.3394022, 5.3473672, 3.3394022
      0.82,-3.1453236,1.7218865e-014, -1.397262,1.01915e-016,-0.83825101, -3.354433, 5.3808366,  3.354433
      0.83,-3.1453236,1.7218865e-014, -1.397262,1.01915e-016,-0.87192881,-3.3776155, 5.4145145, 3.3776155
      0.84, -3.145373,-0.013153961, -1.397262,1.01915e-016,-0.90583312,-3.4028166, 5.4484681, 3.4159705
      0.85,-3.1456222,-0.038312234, -1.397262,1.01915e-016,-0.93998373,-3.4272137, 5.4828679, 3.4655259
      0.86,-3.1461393,-0.06513043, -1.397262,1.01915e-016,-0.97437557,-3.4510604,  5.517777, 3.5161909
      0.87,-3.1468959,-0.084000491, -1.397262,1.01915e-016,-1.0090031,-3.4743531,  5.553161, 3.5583536
      0.88,-3.1477634,-0.086168493, -1.397262,1.01915e-016,-1.0438612,-3.4970868, 5.5888867, 3.5832552
      0.89,-3.1485387,-0.064828428, -1.397262,1.01915e-016,-1.0789435,  -3.51926, 5.6247442, 3.5840885
       0.9,-3.1489654,-0.015596521, -1.397262,1.01915e-016,-1.1142446,-3.5408686,  5.660472, 3.5564652
      0.91,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.1489977,-3.4075151, 5.6957844, 3.5075151
      0.92,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.1823341,-3.2591815,  5.730621, 3.4591815
      0.93,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.2141365,-3.1027163, 5.7649235, 3.4027163
      0.94,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.2443505,-2.9399686, 5.7986375, 3.3399686
