Time,step2,J1_w,J2_w,J3_w,J4_w,
0.144,0,8.94576,1.43226,-4.44089e-016,-4.52767e-016,
0.147,0,8.88653,1.46176,-2.22045e-016,-2.30827e-016,
0.15,0,8.82706,1.49124,8.88178e-016,8.79255e-016,
0.153,0,8.76759,1.52071,4.44089e-016,4.35115e-016,
0.156,0,8.70841,1.55015,1.77636e-015,1.76736e-015,
0.159,0,8.64981,1.57957,6.66134e-016,6.57123e-016,
0.162,0,8.59198,1.60896,4.44089e-016,4.35072e-016,
0.165,0,8.53522,1.63834,0,-9.0286e-018,
0.168,0,8.47979,1.66769,1.11022e-015,1.10117e-015,
0.171,0,8.42588,1.69701,-1.33227e-015,-1.34128e-015,
0.174,0,8.37372,1.72632,-8.88178e-016,-8.97034e-016,
0.177,0,8.32354,1.7556,-8.88178e-016,-8.96732e-016,
0.18,0,8.2755,1.78485,-1.33227e-015,-1.34039e-015,
0.183,0,8.22975,1.81408,-1.9984e-015,-2.00598e-015,
0.186,0,8.18648,1.84328,-1.9984e-015,-2.00528e-015,
0.189,0,8.1458,1.87246,-2.66454e-015,-2.67065e-015,
0.192,0,8.1078,1.90161,-8.88178e-016,-8.93646e-016,
0.195,0,8.07256,1.93073,-8.88178e-016,-8.93155e-016,
0.198,0,8.04016,1.95983,-1.33227e-015,-1.33688e-015,
0.201,0,8.01059,1.98889,-1.11022e-015,-1.11424e-015,
0.204,0,7.98389,2.01793,-1.77636e-015,-1.77961e-015,
0.207,0,7.96003,2.04695,-2.66454e-015,-2.66679e-015,
0.21,0,7.93895,2.07593,-1.33227e-015,-1.33358e-015,
0.213,0,7.92059,2.10488,-2.22045e-015,-2.22075e-015,
0.216,0,7.90486,2.1338,-1.33227e-015,-1.33153e-015,
0.219,0,7.89164,2.1627,-1.77636e-015,-1.7746e-015,
0.222,0,7.88079,2.19156,-2.22045e-015,-2.21772e-015,
0.225,0,7.87215,2.22039,-2.22045e-015,-2.21688e-015,
0.228,0,7.86555,2.24919,-8.88178e-016,-8.83932e-016,
0.231,0,7.86079,2.27796,-1.33227e-015,-1.32759e-015,
0.234,0,7.85764,2.30669,-8.88178e-016,-8.83382e-016,
0.237,0,7.8559,2.3354,-8.88178e-016,-8.83354e-016,
0.24,0,7.85532,2.36407,-8.88178e-016,-8.83323e-016,
0.243,0,7.85563,2.3927,-1.33227e-015,-1.32732e-015,
0.246,0,7.85661,2.4213,-8.88178e-016,-8.83162e-016,
0.249,0,7.85799,2.44987,-1.33227e-015,-1.32726e-015,
0.252,0,7.85947,2.47841,-8.88178e-016,-8.83179e-016,
0.255,0,7.86082,2.5069,-1.77636e-015,-1.77136e-015,
0.258,0,7.86178,2.53537,-8.88178e-016,-8.83187e-016,
0.261,0,7.86206,2.56379,-2.22045e-015,-2.21545e-015,
0.264,0,7.86141,2.59218,-1.77636e-015,-1.77137e-015,
0.267,0,7.85961,2.62054,-1.33227e-015,-1.3273e-015,
0.27,0,7.85641,2.64885,-1.33227e-015,-1.32736e-015,
0.273,0,7.85156,2.67713,-4.44089e-016,-4.3929e-016,
0.276,0,7.84491,2.70537,4.44089e-016,4.48677e-016,
0.279,0,7.83623,2.73358,-4.44089e-016,-4.39843e-016,
0.282,0,7.82534,2.76174,-8.88178e-016,-8.8444e-016,
0.285,0,7.81212,2.78986,-4.44089e-016,-4.4095e-016,
0.288,0,7.79642,2.81795,-4.44089e-016,-4.41681e-016,
0.291,0,7.7781,2.84599,-4.44089e-016,-4.42542e-016,
0.294,0,7.75713,2.874,4.44089e-016,4.44855e-016,
0.297,0,7.73343,2.90196,1.33227e-015,1.33238e-015,
0.3,0,7.70693,2.92989,8.88178e-016,8.87891e-016,
0.303,0,7.67766,2.95777,8.88178e-016,8.87414e-016,
0.306,0,7.64561,2.98561,1.77636e-015,1.77496e-015,
0.309,0,7.61082,3.0134,1.77636e-015,1.77414e-015,
0.312,0,7.57336,3.04116,8.88178e-016,8.85061e-016,
0.315,0,7.53331,3.06887,8.88178e-016,8.84193e-016,
0.318,0,7.49078,3.09654,1.77636e-015,1.77148e-015,
0.321,0,7.44591,3.12416,1.77636e-015,1.77059e-015,
0.324,0,7.39884,3.15174,1.33227e-015,1.32566e-015,
0.327,0,7.34976,3.17927,1.77636e-015,1.76902e-015,
0.33,0,7.29885,3.20676,2.22045e-015,2.21248e-015,
0.333,0,7.24631,3.23421,2.66454e-015,2.65595e-015,
0.336,0,7.19238,3.2616,2.66454e-015,2.65538e-015,
0.339,0,7.1373,3.28896,2.66454e-015,2.65486e-015,
0.342,0,7.08129,3.31626,2.66454e-015,2.65445e-015,
0.345,0,7.02463,3.34352,2.66454e-015,2.65412e-015,
0.348,0,6.96759,3.37073,2.22045e-015,2.2098e-015,
0.351,0,6.91039,3.39789,2.22045e-015,2.20965e-015,
0.354,0,6.85333,3.42501,3.10862e-015,3.09777e-015,
0.357,0,6.7967,3.45207,2.66454e-015,2.65371e-015,
0.36,0,6.7407,3.47909,2.66454e-015,2.65382e-015,
0.363,0,6.68562,3.50606,2.66454e-015,2.65402e-015,
0.366,0,6.63174,3.53298,2.66454e-015,2.65429e-015,
0.369,0,6.57926,3.55985,3.10862e-015,3.09871e-015,
0.372,0,6.5284,3.58666,3.10862e-015,3.09907e-015,
0.375,0,6.47942,3.61343,3.10862e-015,3.09945e-015,
0.378,0,6.43248,3.64015,2.22045e-015,2.21172e-015,
0.381,0,6.38776,3.66681,2.66454e-015,2.65637e-015,
0.384,0,6.34545,3.69342,2.22045e-015,2.21296e-015,
0.387,0,6.30567,3.71998,2.66454e-015,2.65775e-015,
0.39,0,6.26852,3.74649,2.22045e-015,2.21423e-015,
0.393,0,6.23412,3.77294,2.66454e-015,2.65873e-015,
0.396,0,6.20255,3.79934,2.66454e-015,2.659e-015,
0.399,0,6.17382,3.82569,2.66454e-015,2.65929e-015,
0.402,0,6.14801,3.83198,0.02,1.46758e-015,
0.405,0,6.12507,3.82821,0.05,8.46545e-016,
0.408,0,6.10494,3.8244,0.08,8.32667e-016,
0.411,0,6.08759,3.82052,0.11,1.72085e-015,
0.414,0,6.07295,3.81659,0.14,1.72085e-015,
0.417,0,6.06088,3.81261,0.17,1.249e-015,
0.42,0,6.05134,3.80856,0.2,1.52656e-015,
0.423,0,6.04415,3.80447,0.23,9.15934e-016,
0.426,0,6.03914,3.80031,0.26,1.60982e-015,
0.429,0,6.03612,3.7961,0.29,1.16573e-015,
0.432,0,6.0349,3.79182,0.32,1.9984e-015,
0.435,0,6.03527,3.78749,0.35,1.94289e-015,
0.438,0,6.03698,3.78311,0.38,1.44329e-015,
0.441,0,6.0398,3.77866,0.41,4.996e-016,
0.444,0,6.04346,3.77415,0.44,1.38778e-015,
0.447,0,6.04771,3.76958,0.47,1.38778e-015,
0.45,0,6.05229,3.76496,0.5,4.44089e-016,
0.453,0,6.05693,3.76027,0.53,4.44089e-016,
0.456,0,6.06137,3.75552,0.56,4.44089e-016,
0.459,0,6.06534,3.75071,0.59,4.44089e-016,
0.462,0,6.0686,3.74584,0.62,-4.44089e-016,
0.465,0,6.07089,3.74091,0.65,-4.44089e-016,
0.468,0,6.07196,3.73591,0.68,-8.88178e-016,
0.471,0,6.07158,3.73085,0.71,-6.66134e-016,
0.474,0,6.06953,3.72573,0.74,-6.66134e-016,
0.477,0,6.06561,3.72055,0.77,-4.44089e-016,
0.48,0,6.05963,3.7153,0.8,0,
0.483,0,6.05144,3.70998,0.83,2.22045e-016,
0.486,0,6.04088,3.70461,0.86,2.22045e-016,
0.489,0,6.02784,3.69917,0.89,4.44089e-016,
0.492,0,6.01219,3.69366,0.92,4.44089e-016,
0.495,0,5.9939,3.68809,0.95,2.22045e-016,
0.498,0,5.97286,3.68245,0.98,-2.22045e-016,
0.501,0,5.94909,3.67674,1.01,2.22045e-016,
0.504,0,5.92254,3.67097,1.04,2.22045e-016,
0.507,0,5.89328,3.66513,1.07,2.22045e-016,
0.51,0,5.8613,3.65923,1.1,6.66134e-016,
0.513,0,5.8267,3.65326,1.13,2.22045e-016,
0.516,0,5.78956,3.64722,1.16,8.88178e-016,
0.519,0,5.75,3.64111,1.19,1.33227e-015,
0.522,0,5.70817,3.63493,1.22,8.88178e-016,
0.525,0,5.66423,3.62868,1.25,1.33227e-015,
0.528,0,5.61836,3.62237,1.28,8.88178e-016,
0.531,0,5.57075,3.61598,1.31,8.88178e-016,
0.534,0,5.52163,3.60953,1.34,1.33227e-015,
0.537,0,5.47122,3.603,1.37,8.88178e-016,
0.54,0,5.41976,3.59641,1.4,1.33227e-015,
0.543,0,5.36749,3.58974,1.43,1.77636e-015,
0.546,0,5.31469,3.583,1.46,1.33227e-015,
0.549,0,5.26159,3.57619,1.49,1.77636e-015,
0.552,0,5.20848,3.56931,1.52,1.11022e-015,
0.555,0,5.15561,3.56236,1.55,1.11022e-015,
0.558,0,5.10325,3.55533,1.58,1.55431e-015,
0.561,0,5.05167,3.54823,1.61,1.55431e-015,
0.564,0,5.0011,3.54106,1.64,1.55431e-015,
0.567,0,4.95181,3.53382,1.67,1.9984e-015,
0.57,0,4.90405,3.5265,1.7,1.77636e-015,
0.573,0,4.85801,3.5191,1.73,1.11022e-015,
0.576,0,4.81392,3.51163,1.76,8.88178e-016,
0.579,0,4.77198,3.50409,1.79,8.88178e-016,
0.582,0,4.73234,3.49647,1.82,1.9984e-015,
0.585,0,4.69518,3.48878,1.85,1.77636e-015,
0.588,0,4.66061,3.48101,1.88,1.11022e-015,
0.591,0,4.62875,3.47316,1.91,1.33227e-015,
0.594,0,4.59968,3.46524,1.94,6.66134e-016,
0.597,0,4.57347,3.45724,1.97,1.55431e-015,
0.6,0,4.55014,3.44917,2,1.33227e-015,
0.603,0,4.52972,3.44101,2.03,8.88178e-016,
0.606,0,4.51219,3.43278,2.06,8.88178e-016,
0.609,0,4.49751,3.42447,2.09,1.33227e-015,
0.612,0,4.48562,3.41608,2.12,4.44089e-016,
0.615,0,4.47644,3.40762,2.15,8.88178e-016,
0.618,0,4.46985,3.39907,2.18,8.88178e-016,
0.621,0,4.46573,3.39045,2.21,8.88178e-016,
0.624,0,4.46391,3.38175,2.24,4.44089e-016,
0.627,0,4.46424,3.37296,2.27,4.44089e-016,
0.63,0,4.46652,3.3641,2.3,4.44089e-016,
0.633,0,4.47054,3.35516,2.33,4.44089e-016,
0.636,0,4.47607,3.34613,2.36,8.88178e-016,
0.639,0,4.4829,3.33703,2.39,8.88178e-016,
0.642,0,4.49076,3.32784,2.42,8.88178e-016,
0.645,0,4.4994,3.31857,2.45,8.88178e-016,
0.648,0,4.50857,3.30922,2.48,0,
0.651,0,4.51799,3.29979,2.51,4.44089e-016,
0.654,0,4.52741,3.29027,2.54,-4.44089e-016,
0.657,0,4.53655,3.28068,2.57,8.88178e-016,
0.66,0,4.54516,3.271,2.6,4.44089e-016,
0.663,0,4.55298,3.26123,2.63,4.44089e-016,
0.666,0,4.55976,3.25138,2.66,0,
0.669,0,4.56526,3.24145,2.69,8.88178e-016,
0.672,0,4.56926,3.23144,2.72,0,
0.675,0,4.57154,3.22134,2.75,-4.44089e-016,
0.678,0,4.5719,3.21115,2.78,0,
0.681,0,4.57018,3.20088,2.81,0,
0.684,0,4.5662,3.19052,2.84,4.44089e-016,
0.687,0,4.55983,3.18008,2.87,0,
0.69,0,4.55095,3.16956,2.9,4.44089e-016,
0.693,0,4.53947,3.15894,2.93,-8.88178e-016,
0.696,0,4.52532,3.14824,2.96,-4.44089e-016,
0.699,0,4.50845,3.13746,2.99,-4.44089e-016,
0.702,0,4.48884,3.12658,3.02,-8.88178e-016,
0.705,0,4.4665,3.11562,3.05,-8.88178e-016,
0.708,0,4.44146,3.10457,3.08,-8.88178e-016,
0.711,0,4.41376,3.10172,3.10172,-1.33227e-015,
0.714,0,4.38351,3.11111,3.11111,-4.44089e-016,
0.717,0,4.3508,3.12045,3.12045,-8.88178e-016,
0.72,0,4.31577,3.12975,3.12975,-8.88178e-016,
0.723,0,4.27854,3.13901,3.13901,-1.33227e-015,
0.726,0,4.23928,3.14822,3.14822,-1.77636e-015,
0.729,0,4.19816,3.15738,3.15738,-1.77636e-015,
0.732,0,4.15538,3.1665,3.1665,-1.33227e-015,
0.735,0,4.11117,3.17558,3.17558,-1.33227e-015,
0.738,0,4.06577,3.18461,3.18461,-1.77636e-015,
0.741,0,4.01942,3.19359,3.19359,-2.22045e-015,
0.744,0,3.97239,3.20254,3.20254,-1.77636e-015,
0.747,0,3.92491,3.21143,3.21143,-2.22045e-015,
0.75,0,3.87727,3.22028,3.22028,-2.22045e-015,
0.753,0,3.82971,3.22908,3.22908,-2.66454e-015,
0.756,0,3.78251,3.23784,3.23784,-2.66454e-015,
0.759,0,3.73593,3.24655,3.24655,-1.77636e-015,
0.762,0,3.69022,3.25522,3.25522,-2.22045e-015,
0.765,0,3.64564,3.26384,3.26384,-2.22045e-015,
0.768,0,3.60243,3.27241,3.27241,-1.77636e-015,
0.771,0,3.56082,3.28094,3.28094,-2.66454e-015,
0.774,0,3.52104,3.28942,3.28942,-2.22045e-015,
0.777,0,3.48328,3.29785,3.29785,-2.22045e-015,
0.78,0,3.44774,3.30624,3.30624,-2.22045e-015,
0.783,0,3.41456,3.31458,3.31458,-2.66454e-015,
0.786,0,3.38392,3.32287,3.32287,-3.10862e-015,
0.789,0,3.35594,3.33111,3.33111,-3.10862e-015,
0.792,0,3.33647,3.33647,3.33647,-3.10862e-015,
0.795,0,3.33447,3.33447,3.33447,-3.10862e-015,
0.798,0,3.33338,3.33338,3.33338,-3.10862e-015,
0.801,0,3.33323,3.33323,3.33323,-3.10862e-015,
0.804,0,3.33401,3.33401,3.33401,-3.10862e-015,
0.807,0,3.33572,3.33572,3.33572,-3.10862e-015,
0.81,0,3.33834,3.33834,3.33834,-3.10862e-015,
0.813,0,3.34185,3.34185,3.34185,-3.55271e-015,
0.816,0,3.34622,3.34622,3.34622,-3.10862e-015,
0.819,0,3.3514,3.3514,3.3514,-3.10862e-015,
0.822,0,3.35736,3.35736,3.35736,-3.10862e-015,
0.825,0,3.36403,3.36403,3.36403,-3.10862e-015,
0.828,0,3.37138,3.37138,3.37138,-3.10862e-015,
0.831,0,3.37928,3.37928,3.37928,-3.10862e-015,
0.834,0,3.38973,3.38684,3.38684,-3.9968e-015,
0.837,0,3.40168,3.39432,3.39432,-4.44089e-015,
0.84,0,3.41483,3.40175,3.40175,-3.9968e-015,
0.843,0,3.42896,3.40912,3.40912,-3.9968e-015,
0.846,0,3.4438,3.41645,3.41645,-4.44089e-015,
0.849,0,3.45912,3.42373,3.42373,-3.9968e-015,
0.852,0,3.47465,3.43096,3.43096,-3.9968e-015,
0.855,0,3.49011,3.43813,3.43813,-4.88498e-015,
0.858,0,3.50522,3.44526,3.44526,-3.9968e-015,
0.861,0,3.51974,3.45234,3.45234,-4.44089e-015,
0.864,0,3.53339,3.45937,3.45937,-3.9968e-015,
0.867,0,3.54594,3.46635,3.46635,-3.55271e-015,
0.87,0,3.55716,3.47328,3.47328,-3.10862e-015,
0.873,0,3.56682,3.48016,3.48016,-3.10862e-015,
0.876,0,3.5747,3.48699,3.48699,-2.66454e-015,
0.879,0,3.58064,3.49377,3.49377,-3.10862e-015,
0.882,0,3.58444,3.5005,3.5005,-3.10862e-015,
0.885,0,3.58596,3.50717,3.50717,-3.10862e-015,
0.888,0,3.58507,3.5138,3.5138,-3.10862e-015,
0.891,0,3.58165,3.52038,3.52038,-3.55271e-015,
0.894,0,3.57562,3.5269,3.5269,-3.10862e-015,
0.897,0,3.56692,3.53338,3.53338,-3.10862e-015,
0.9,1,3.55551,3.5398,3.5398,-3.55271e-015,
0.903,1,3.54132,3.53117,3.53117,0.03,
0.906,1,3.52446,3.52249,3.52249,0.06,
0.909,1,3.51077,3.51077,3.51077,0.09,
0.912,1,3.49752,3.49752,3.49752,0.12,
0.915,1,3.48343,3.48343,3.48343,0.15,
0.918,1,3.4685,3.4685,3.4685,0.18,
0.921,1,3.4528,3.4528,3.4528,0.21,
0.924,1,3.43635,3.43635,3.43635,0.24,
0.927,1,3.41925,3.41925,3.41925,0.27,
0.93,1,3.40149,3.40149,3.40149,0.3,
0.933,1,3.38316,3.38316,3.38316,0.33,
0.936,1,3.36435,3.36435,3.36435,0.36,
0.939,1,3.34515,3.34515,3.34515,0.39,
0.942,1,3.32566,3.32566,3.32566,0.42,
0.945,1,3.30591,3.30591,3.30591,0.45,
0.948,1,3.28603,3.28603,3.28603,0.48,
0.951,1,3.26607,3.26607,3.26607,0.51,
0.954,1,3.24613,3.24613,3.24613,0.54,
0.957,1,3.2263,3.2263,3.2263,0.57,
0.96,1,3.20666,3.20666,3.20666,0.6,
0.963,1,3.18731,3.18731,3.18731,0.63,
0.966,1,3.16833,3.16833,3.16833,0.66,
0.969,1,3.14979,3.14979,3.14979,0.69,
0.972,1,3.13179,3.13179,3.13179,0.72,
0.975,1,3.11438,3.11438,3.11438,0.75,
0.978,1,3.09765,3.09765,3.09765,0.78,
0.981,1,3.08163,3.08163,3.08163,0.81,
0.984,1,3.06639,3.06639,3.06639,0.84,
0.987,1,3.05197,3.05197,3.05197,0.87,
0.99,1,3.03842,3.03842,3.03842,0.9,
0.993,1,3.02577,3.02577,3.02577,0.93,
0.996,1,3.01402,3.01402,3.01402,0.96,
0.999,1,3.00322,3.00322,3.00322,0.99,
1.002,1,2.99422,2.99296,2.99296,1.02,
1.005,1,2.98834,2.98254,2.98254,1.05,
1.008,1,2.98534,2.97207,2.97207,1.08,
1.011,1,2.98519,2.96154,2.96154,1.11,
1.014,1,2.9878,2.95097,2.95097,1.14,
1.017,1,2.99308,2.94033,2.94033,1.17,
1.02,1,3.0009,2.92965,2.92965,1.2,
1.023,1,3.01113,2.91891,2.91891,1.23,
1.026,1,3.02359,2.90811,2.90811,1.26,
1.029,1,3.0381,2.89726,2.89726,1.29,
1.032,1,3.05444,2.88636,2.88636,1.32,
1.035,1,3.07241,2.8754,2.8754,1.35,
1.038,1,3.09175,2.86439,2.86439,1.38,
1.041,1,3.11225,2.85332,2.85332,1.41,
1.044,1,3.13364,2.8422,2.8422,1.44,
1.047,1,3.15567,2.83103,2.83103,1.47,
1.05,1,3.17808,2.8198,2.8198,1.5,
1.053,1,3.20061,2.80851,2.80851,1.53,
1.056,1,3.22298,2.79717,2.79717,1.56,
1.059,1,3.24494,2.78578,2.78578,1.59,
1.062,1,3.26622,2.77433,2.77433,1.62,
1.065,1,3.28658,2.76282,2.76282,1.65,
1.068,1,3.30576,2.75126,2.75126,1.68,
1.071,1,3.32353,2.73965,2.73965,1.71,
1.074,1,3.33969,2.72798,2.72798,1.74,
1.077,1,3.35402,2.71625,2.71625,1.77,
1.08,1,3.36634,2.70447,2.70447,1.8,
1.083,1,3.37648,2.69263,2.69263,1.83,
1.086,1,3.3843,2.68074,2.68074,1.86,
1.089,1,3.38968,2.6688,2.6688,1.89,
1.092,1,3.39251,2.65679,2.65679,1.92,
1.095,1,3.39271,2.64474,2.64474,1.95,
1.098,1,3.39023,2.63262,2.63262,1.98,
1.101,1,3.38504,2.62046,2.62046,2.01,
1.104,1,3.37714,2.60823,2.60823,2.04,
1.107,1,3.36654,2.59595,2.59595,2.07,
1.11,1,3.3533,2.58362,2.58362,2.1,
1.113,1,3.33748,2.57123,2.57123,2.13,
1.116,1,3.31918,2.55878,2.55878,2.16,
1.119,1,3.29851,2.54628,2.54628,2.19,
1.122,1,3.27562,2.53372,2.53372,2.22,
1.125,1,3.25066,2.52111,2.52111,2.25,
1.128,1,3.22381,2.50844,2.50844,2.28,
1.131,1,3.19527,2.49571,2.49571,2.31,
1.134,1,3.16526,2.48293,2.48293,2.34,
1.137,1,3.134,2.47009,2.47009,2.37,
1.14,1,3.10172,2.4572,2.4572,2.4,
1.143,1,3.06869,2.44425,2.44425,2.43,
1.146,1,3.03516,2.44083,2.44083,2.44083,
1.149,1,3.0014,2.44212,2.44212,2.44212,
1.152,1,2.96767,2.44338,2.44338,2.44338,
1.155,1,2.93421,2.44459,2.44459,2.44459,
1.158,1,2.90129,2.44577,2.44577,2.44577,
1.161,1,2.8692,2.44692,2.44692,2.44692,
1.164,1,2.83817,2.44802,2.44802,2.44802,
1.167,1,2.80845,2.44909,2.44909,2.44909,
1.17,1,2.78029,2.45012,2.45012,2.45012,
1.173,1,2.7539,2.45111,2.45111,2.45111,
1.176,1,2.72949,2.45207,2.45207,2.45207,
1.179,1,2.70725,2.45299,2.45299,2.45299,
1.182,1,2.68735,2.45387,2.45387,2.45387,
1.185,1,2.66996,2.45471,2.45471,2.45471,
1.188,1,2.65518,2.45551,2.45551,2.45551,
1.191,1,2.64315,2.45628,2.45628,2.45628,
1.194,1,2.63395,2.45701,2.45701,2.45701,
1.197,1,2.62763,2.4577,2.4577,2.4577,
1.2,1,2.62424,2.45836,2.45836,2.45836,
1.203,1,2.62378,2.45898,2.45898,2.45898,
1.206,1,2.62623,2.45955,2.45955,2.45955,
1.209,1,2.63159,2.4601,2.4601,2.4601,
1.212,1,2.63976,2.4606,2.4606,2.4606,
1.215,1,2.65068,2.46107,2.46107,2.46107,
1.218,1,2.66424,2.4615,2.4615,2.4615,
1.221,1,2.68031,2.46189,2.46189,2.46189,
1.224,1,2.69873,2.46224,2.46224,2.46224,
1.227,1,2.71932,2.46256,2.46256,2.46256,
1.23,1,2.7419,2.46283,2.46283,2.46283,
1.233,1,2.76625,2.46307,2.46307,2.46307,
1.236,1,2.79215,2.46328,2.46328,2.46328,
1.239,1,2.81937,2.46344,2.46344,2.46344,
1.242,1,2.84766,2.46357,2.46357,2.46357,
1.245,1,2.87677,2.46366,2.46366,2.46366,
1.248,1,2.90643,2.46371,2.46371,2.46371,
1.251,1,2.9364,2.46373,2.46373,2.46373,
1.254,1,2.96627,2.46373,2.46373,2.46373,
1.257,1,2.99578,2.46373,2.46373,2.46373,
1.26,1,3.02468,2.46373,2.46373,2.46373,
1.263,1,3.05273,2.46373,2.46373,2.46373,
1.266,1,3.07966,2.46373,2.46373,2.46373,
1.269,1,3.10524,2.46373,2.46373,2.46373,
1.272,1,3.12926,2.46373,2.46373,2.46373,
1.275,1,3.15146,2.46373,2.46373,2.46373,
1.278,1,3.17167,2.46373,2.46373,2.46373,
1.281,1,3.18969,2.46373,2.46373,2.46373,
1.284,1,3.20537,2.46373,2.46373,2.46373,
1.287,1,3.21858,2.46373,2.46373,2.46373,
1.29,1,3.22919,2.46373,2.46373,2.46373,
1.293,1,3.23712,2.46373,2.46373,2.46373,
1.296,1,3.24229,2.46373,2.46373,2.46373,
1.299,1,3.24466,2.46373,2.46373,2.46373,
1.302,1,3.24421,2.46373,2.46373,2.46373,
1.305,1,3.24094,2.46373,2.46373,2.46373,
1.308,1,3.2349,2.46373,2.46373,2.46373,
1.311,1,3.22611,2.46373,2.46373,2.46373,
1.314,1,3.21466,2.46373,2.46373,2.46373,
1.317,1,3.20064,2.46373,2.46373,2.46373,
1.32,1,3.18417,2.46373,2.46373,2.46373,
1.323,1,3.16542,2.46373,2.46373,2.46373,
1.326,1,3.14454,2.46373,2.46373,2.46373,
1.329,1,3.12173,2.46373,2.46373,2.46373,
1.332,1,3.09719,2.46373,2.46373,2.46373,
1.335,1,3.07114,2.46373,2.46373,2.46373,
1.338,1,3.04379,2.46373,2.46373,2.46373,
1.341,1,3.01542,2.46373,2.46373,2.46373,
1.344,1,2.98623,2.46373,2.46373,2.46373,
1.347,1,2.95652,2.46373,2.46373,2.46373,
1.35,1,2.92655,2.46373,2.46373,2.46373,
1.353,1,2.89656,2.46373,2.46373,2.46373,
1.356,1,2.86684,2.46373,2.46373,2.46373,
1.359,1,2.83767,2.46373,2.46373,2.46373,
1.362,1,2.80928,2.46373,2.46373,2.46373,
1.365,1,2.78193,2.46373,2.46373,2.46373,
1.368,1,2.75588,2.46373,2.46373,2.46373,
1.371,1,2.73134,2.46373,2.46373,2.46373,
1.374,1,2.70854,2.46373,2.46373,2.46373,
1.377,1,2.68767,2.46373,2.46373,2.46373,
1.38,1,2.66893,2.46373,2.46373,2.46373,
1.383,1,2.65248,2.46373,2.46373,2.46373,
1.386,1,2.63845,2.46373,2.46373,2.46373,
1.389,1,2.62698,2.46373,2.46373,2.46373,
1.392,1,2.61817,2.46373,2.46373,2.46373,
1.395,1,2.61209,2.46373,2.46373,2.46373,
1.398,1,2.60881,2.46373,2.46373,2.46373,
1.401,1,2.60834,2.46373,2.46373,2.46373,
1.404,1,2.6107,2.46373,2.46373,2.46373,
