"time","Rectifier_r(1)","Rectifier_r(3)","Rectifier_r(5)","Rectifier_r(7)","Rectifier_r(0)","Rectifier_r(2)","Rectifier_r(4)","Rectifier_r(6)","Rectifier_r(8)","Rectifier_r(9)","Rectifier_r(10)","Rectifier_r(11)","Rectifier_r(12)","Rectifier_r(13)","Rectifier_r(14)","Rectifier_r(15)","Rectifier_r(16)","Rectifier_r(17)","Rectifier_r(18)","Rectifier_r(19)","Rectifier_r(20)","Rectifier_r(21)","Rectifier_r(22)","Rectifier_r(23)","Rectifier_r(24)","Rectifier_r(25)","Rectifier_r(26)","Rectifier_r(27)","Rectifier_r(28)","Rectifier_r(29)","Rectifier_r(30)","Rectifier_r(31)","Rectifier_r(32)","Rectifier_r(33)","Rectifier_r(34)","Rectifier_r(35)","Rectifier_r(36)","Rectifier_r(37)","Rectifier_r(38)","Rectifier_r(39)","Rectifier_r(40)","Rectifier_r(41)","Rectifier_r(42)","Rectifier_r(43)","Rectifier_r(44)","Rectifier_r(45)","Rectifier_r(46)","Rectifier_r(47)","Rectifier_r(48)","Rectifier_r(49)","Rectifier_r(50)","Rectifier_r(51)","Rectifier_r(52)","Rectifier_r(53)","Rectifier_r(54)","Rectifier_r(55)","Rectifier_r(56)","Rectifier_r(57)","Rectifier_r(58)","Rectifier_r(59)","Rectifier_r(60)","Rectifier_r(61)","Rectifier_r(62)","Rectifier_r(63)","Rectifier_r(64)","Rectifier_r(65)","Rectifier_r(66)","Rectifier_r(67)","Rectifier_r(68)","_HiddenStates.der(x[0])","_HiddenStates.der(x[1])","_HiddenStates.der(x[2])","_HiddenStates.der(x[3])"
0.05107105565,262.6657281,262.6657281,726.7030647,-726.3796196,0.05107105565,7507.418715,7507.418715,26640.69005,-26350.13411,-426.3882755,726.173007,-530.0573058,-102.9431808,-530.0576293,725.8495623,-0.1009431808,-0.5280576293,725.8515623,1.598441403,-1.581008047,-161.7399807,266.9903425,-53.90740796,-266.9725857,1,0,1,1,1,0,0.015,0.001,500,6e-005,0.001,400,2,50,7507.418715,7507.418715,26640.69005,-26350.13411,262.6657281,262.6657281,726.7030647,-726.3796196,-426.3882755,726.173007,-530.0573058,-102.9431808,-530.0576293,725.8495623,-0.1009431808,-0.5280576293,725.8515623,1.598441403,-1.581008047,-161.7399807,266.9903425,-53.90740796,-266.9725857,1,0,1,1,1,0,426.3882755,-726.173007,7507.418715,7507.418715,26640.69005,-26350.13411
0.05157356821,266.0809017,266.0809017,654.2397847,-653.7749596,0.05157356821,5089.055357,5089.055357,-329106.0673,329377.0351,-500.493498,653.7029692,-536.8150415,-35.66830537,-536.8155063,653.2381445,-0.03366830537,-0.5348155063,653.2401445,-19.74636404,19.7626221,-232.4288544,248.9882406,-77.4707105,-248.9715177,1,0,1,1,1,0,0.015,0.001,500,6e-005,0.001,400,2,50,5089.055357,5089.055357,-329106.0673,329377.0351,266.0809017,266.0809017,654.2397847,-653.7749596,-500.493498,653.7029692,-536.8150415,-35.66830537,-536.8155063,653.2381445,-0.03366830537,-0.5348155063,653.2401445,-19.74636404,19.7626221,-232.4288544,248.9882406,-77.4707105,-248.9715177,1,0,1,1,1,0,500.493498,-653.7029692,5089.055357,5089.055357,-329106.0673,329377.0351
0.05185363468,266.9787227,266.9787227,530.7527433,-530.2059138,0.05185363468,971.4603692,971.4603692,-552215.6672,557254.8007,-537.9574543,530.2142556,-538.4871129,0.008872042608,-538.4876597,529.6674267,0.01087204261,-0.5364876597,529.6694267,-33.13294003,33.43528804,-269.2810796,236.3759969,-89.65939492,-236.0731021,1,0,1,0,1,0,0.015,0.001,500,6e-005,0.001,400,2,50,971.4603692,971.4603692,-552215.6672,557254.8007,266.9787227,266.9787227,530.7527433,-530.2059138,-537.9574543,530.2142556,-538.4871129,0.008872042608,-538.4876597,529.6674267,0.01087204261,-0.5364876597,529.6694267,-33.13294003,33.43528804,-269.2810796,236.3759969,-89.65939492,-236.0731021,1,0,1,0,1,0,537.9574543,-530.2142556,971.4603692,971.4603692,-552215.6672,557254.8007
0.05235614725,265.0532037,265.0532037,236.6575294,-57.28838164,0.05235614725,-8831.308718,-8831.308718,-622334.9174,1323277.972,-534.2852422,236.1231869,-534.1631615,178.8348625,-534.3425305,56.75421848,178.8368625,-0.5323425305,56.75621848,-37.34009505,79.39667831,-309.2886218,229.9492318,-89.01755652,-187.7132796,1,0,1,0,1,0,0.015,0.001,500,6e-005,0.001,400,2,50,-8831.308718,-8831.308718,-622334.9174,1323277.972,265.0532037,265.0532037,236.6575294,-57.28838164,-534.2852422,236.1231869,-534.1631615,178.8348625,-534.3425305,56.75421848,178.8368625,-0.5323425305,56.75621848,-37.34009505,79.39667831,-309.2886218,229.9492318,-89.01755652,-187.7132796,1,0,1,0,1,0,534.2852422,-236.1231869,-8831.308718,-8831.308718,-622334.9174,1323277.972
0.05239804225,264.6649463,264.6649463,210.4429312,-0.5258192288,0.05239804225,-9704.92408,-9704.92408,-608264.5178,1344726.34,-533.5392762,209.9093914,-529.5745607,209.3835727,-533.5398021,-3.755331944,209.3855727,-0.5315398021,-0.001755331944,-36.49587107,80.6835804,-311.0620392,230.3789847,-87.63636286,-182.226034,1,0,1,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-9704.92408,-9704.92408,-608264.5178,1344726.34,264.6649463,264.6649463,210.4429312,-0.5258192288,-533.5392762,209.9093914,-529.5745607,209.3835727,-533.5398021,-3.755331944,209.3855727,-0.5315398021,-0.001755331944,-36.49587107,80.6835804,-311.0620392,230.3789847,-87.63636286,-182.226034,1,0,1,0,1,1,533.5392762,-209.9093914,-9704.92408,-9704.92408,-608264.5178,1344726.34
0.05290055481,260.4272492,260.4272492,305.6486279,-0.132859122,0.05290055481,-6524.151601,-6524.151601,291517.2953,304.9686061,-525.1594891,305.1234683,-328.8568102,304.9906093,-525.1596219,-195.9976882,304.9926093,-0.5231596219,-0.1939976882,17.49103772,0.01829811636,-280.2415757,280.2234104,-22.14314271,-66.41126287,1,0,1,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-6524.151601,-6524.151601,291517.2953,304.9686061,260.4272492,260.4272492,305.6486279,-0.132859122,-525.1594891,305.1234683,-328.8568102,304.9906093,-525.1596219,-195.9976882,304.9926093,-0.5231596219,-0.1939976882,17.49103772,0.01829811636,-280.2415757,280.2234104,-22.14314271,-66.41126287,1,0,1,0,1,1,525.1594891,-305.1234683,-6524.151601,-6524.151601,291517.2953,304.9686061
0.05340306738,258.5342367,258.5342367,476.9490263,0.02140784155,0.05340306738,-811.2631275,-811.2631275,362582.2336,307.7381689,-521.5449223,476.4274814,-249.8303159,476.4488892,-521.5449009,-271.2381575,476.4508892,-0.5195449009,-0.2692381575,21.75493402,0.01846429013,-282.7840839,282.7655982,3.567966455,10.72238506,1,0,1,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-811.2631275,-811.2631275,362582.2336,307.7381689,258.5342367,258.5342367,476.9490263,0.02140784155,-521.5449223,476.4274814,-249.8303159,476.4488892,-521.5449009,-271.2381575,476.4508892,-0.5195449009,-0.2692381575,21.75493402,0.01846429013,-282.7840839,282.7655982,3.567966455,10.72238506,1,0,1,0,1,1,521.5449223,-476.4274814,-811.2631275,-811.2631275,362582.2336,307.7381689
0.05390557994,259.5771292,259.5771292,642.0939092,0.1751423729,0.05390557994,4695.943713,4695.943713,267607.5488,302.8540264,-523.7960037,641.5701133,-174.0059428,641.7452555,-523.7958286,-349.1483157,641.7472555,-0.5217958286,-0.3471483157,16.05645293,0.01817124159,-278.2934987,278.2751523,29.1903371,87.58935768,1,0,1,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,4695.943713,4695.943713,267607.5488,302.8540264,259.5771292,259.5771292,642.0939092,0.1751423729,-523.7960037,641.5701133,-174.0059428,641.7452555,-523.7958286,-349.1483157,641.7472555,-0.5217958286,-0.3471483157,16.05645293,0.01817124159,-278.2934987,278.2751523,29.1903371,87.58935768,1,0,1,0,1,1,523.7960037,-641.5701133,4695.943713,4695.943713,267607.5488,302.8540264
0.0544080925,262.7678377,262.7678377,720.6923785,0.3245209565,0.0544080925,7317.845306,7317.845306,22929.23687,290.437647,-530.2561621,720.1621227,-102.5073595,720.4866433,-530.2558376,-427.028316,720.4886433,-0.5282558376,-0.425028316,1.375754212,0.01742625882,-266.8815049,266.8637541,54.08671791,162.2779045,1,0,1,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,7317.845306,7317.845306,22929.23687,290.437647,262.7678377,262.7678377,720.6923785,0.3245209565,-530.2561621,720.1621227,-102.5073595,720.4866433,-530.2558376,-427.028316,720.4886433,-0.5282558376,-0.425028316,1.375754212,0.01742625882,-266.8815049,266.8637541,54.08671791,162.2779045,1,0,1,0,1,1,530.2561621,-720.1621227,7317.845306,7317.845306,22929.23687,290.437647
0.05491060507,266.0746532,266.0746532,646.6105164,0.4658284133,0.05491060507,4850.258823,4850.258823,-331758.5276,270.7976977,-536.795846,646.073721,-35.16044657,646.5395489,-536.7953802,-500.9888599,646.5415489,-0.5347953802,-0.4989888599,-19.90551165,0.01624786186,-248.831929,248.8152153,77.63791361,232.9304545,1,0,1,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,4850.258823,4850.258823,-331758.5276,270.7976977,266.0746532,266.0746532,646.6105164,0.4658284133,-536.795846,646.073721,-35.16044657,646.5395489,-536.7953802,-500.9888599,646.5415489,-0.5347953802,-0.4989888599,-19.90551165,0.01624786186,-248.831929,248.8152153,77.63791361,232.9304545,1,0,1,0,1,1,536.795846,-646.073721,4850.258823,4850.258823,-331758.5276,270.7976977
0.05518298388,266.8967778,266.8967778,526.7354113,0.5377942566,0.05518298388,855.4923987,855.4923987,-550198.2234,257.2433776,-538.3202906,526.1970915,7.009146868e-007,526.7348853,-538.3197528,-537.7935557,526.7368853,-0.5363197528,-0.5357935557,-33.0118934,0.01543460266,-236.4270539,236.4110815,89.63208002,268.9122124,1,0,0,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,855.4923987,855.4923987,-550198.2234,257.2433776,266.8967778,266.8967778,526.7354113,0.5377942566,-538.3202906,526.1970915,7.009146868e-007,526.7348853,-538.3197528,-537.7935557,526.7368853,-0.5363197528,-0.5357935557,-33.0118934,0.01543460266,-236.4270539,236.4110815,89.63208002,268.9122124,1,0,0,0,1,1,538.3202906,-526.1970915,855.4923987,855.4923987,-550198.2234,257.2433776
0.05568549644,264.925684,264.925684,57.59688285,177.26728,0.05568549644,-8891.061978,-8891.061978,-1315372.922,697361.7506,-534.0856982,57.06297442,176.7332519,234.3300772,-533.9084311,-534.0281013,234.3320772,-0.5319084311,-0.5320281013,-78.9223753,41.84170504,-230.0793439,188.0603717,88.97505006,308.9441223,1,0,0,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-8891.061978,-8891.061978,-1315372.922,697361.7506,264.925684,264.925684,57.59688285,177.26728,-534.0856982,57.06297442,176.7332519,234.3300772,-533.9084311,-534.0281013,234.3320772,-0.5319084311,-0.5320281013,-78.9223753,41.84170504,-230.0793439,188.0603717,88.97505006,308.9441223,1,0,0,0,1,1,534.0856982,-57.06297442,-8891.061978,-8891.061978,-1315372.922,697361.7506
0.05572785621,264.5305135,264.5305135,0.5256699236,208.0175919,0.05572785621,-9768.221374,-9768.221374,-1338137.405,733927.2824,-533.2690369,-3.695551635,207.4843234,208.0099928,-529.3654753,-533.2685112,208.0119928,-0.5273654753,-0.5312685112,-80.28824433,44.03563694,-230.4859161,182.5467175,87.61147872,310.7736347,1,1,0,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-9768.221374,-9768.221374,-1338137.405,733927.2824,264.5305135,264.5305135,0.5256699236,208.0175919,-533.2690369,-3.695551635,207.4843234,208.0099928,-529.3654753,-533.2685112,208.0119928,-0.5273654753,-0.5312685112,-80.28824433,44.03563694,-230.4859161,182.5467175,87.61147872,310.7736347,1,1,0,0,1,1,533.2690369,3.695551635,-9768.221374,-9768.221374,-1338137.405,733927.2824
0.05623036877,260.2660061,260.2660061,0.1339323392,304.3160616,0.05623036877,-6564.096999,-6564.096999,-304.9222962,293820.2957,-524.8359373,-195.2998365,303.7912258,303.925158,-329.2321757,-524.8358034,303.927158,-0.3272321757,-0.5228358034,-0.01829533777,17.62921774,-280.1808536,66.94787428,22.3220119,280.199015,1,1,0,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-6564.096999,-6564.096999,-304.9222962,293820.2957,260.2660061,260.2660061,0.1339323392,304.3160616,-524.8359373,-195.2998365,303.7912258,303.925158,-329.2321757,-524.8358034,303.927158,-0.3272321757,-0.5228358034,-0.01829533777,17.62921774,-280.1808536,66.94787428,22.3220119,280.199015,1,1,0,0,1,1,524.8359373,195.2998365,-6564.096999,-6564.096999,-304.9222962,293820.2957
0.05673288134,258.3628124,258.3628124,-0.02032478301,477.0331741,0.05673288134,-809.1251783,-809.1251783,-307.7454165,365857.2799,-521.2021165,-270.5252039,476.511972,476.4916472,-250.2004209,-521.2021368,476.4936472,-0.2482004209,-0.5192021368,-0.01846472499,21.95143679,-282.7722761,-10.18085623,-3.38745706,282.7907612,1,1,0,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-809.1251783,-809.1251783,-307.7454165,365857.2799,258.3628124,258.3628124,-0.02032478301,477.0331741,-521.2021165,-270.5252039,476.511972,476.4916472,-250.2004209,-521.2021368,476.4936472,-0.2482004209,-0.5192021368,-0.01846472499,21.95143679,-282.7722761,-10.18085623,-3.38745706,282.7907612,1,1,0,0,1,1,521.2021165,270.5252039,-809.1251783,-809.1251783,-307.7454165,365857.2799
0.0572353939,259.420215,259.420215,-0.1740764097,643.9805843,0.0572353939,4753.038608,4753.038608,-302.9146624,271426.2627,-523.4837129,-348.4584198,643.4571004,643.2830241,-174.3820101,-523.483887,643.2850241,-0.1723820101,-0.521483887,-0.01817487974,16.28557576,-278.3308989,-87.05637973,-29.01267692,278.3492478,1,1,0,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,4753.038608,4753.038608,-302.9146624,271426.2627,259.420215,259.420215,-0.1740764097,643.9805843,-523.4837129,-348.4584198,643.4571004,643.2830241,-174.3820101,-523.483887,643.2850241,-0.1723820101,-0.521483887,-0.01817487974,16.28557576,-278.3308989,-87.05637973,-29.01267692,278.3492478,1,1,0,0,1,1,523.4837129,348.4584198,4753.038608,4753.038608,-302.9146624,271426.2627
0.05773790646,262.6546193,262.6546193,-0.3234986002,724.526895,0.05773790646,7434.880833,7434.880833,-290.5501192,26772.05232,-530.032912,-426.4039194,723.9968618,723.6733635,-102.9053193,-530.0332355,723.6753635,-0.1009053193,-0.5280332355,-0.01743300715,1.606323139,-266.9671828,-161.7667331,-53.91632553,266.9849393,1,1,0,0,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,7434.880833,7434.880833,-290.5501192,26772.05232,262.6546193,262.6546193,-0.3234986002,724.526895,-530.032912,-426.4039194,723.9968618,723.6733635,-102.9053193,-530.0332355,723.6753635,-0.1009053193,-0.5280332355,-0.01743300715,1.606323139,-266.9671828,-161.7667331,-53.91632553,266.9849393,1,1,0,0,1,1,530.032912,426.4039194,7434.880833,7434.880833,-290.5501192,26772.05232
