Time,temperatureSensor_port_T,onOffController_reference
0.403,297.06,25
0.404,297.069,25
0.405,297.079,25
0.406,297.088,25
0.407,297.098,25
0.408,297.107,25
0.409,297.117,25
0.41,297.126,25
0.411,297.136,25
0.412,297.145,25
0.413,297.154,25
0.414,297.164,25
0.415,297.173,25
0.416,297.183,25
0.417,297.192,25
0.418,297.202,25
0.419,297.211,25
0.42,297.22,25
0.421,297.23,25
0.422,297.239,25
0.423,297.249,25
0.424,297.258,25
0.425,297.268,25
0.426,297.277,25
0.427,297.286,25
0.428,297.296,25
0.429,297.305,25
0.43,297.315,25
0.431,297.324,25
0.432,297.334,25
0.433,297.343,25
0.434,297.352,25
0.435,297.362,25
0.436,297.371,25
0.437,297.381,25
0.438,297.39,25
0.439,297.4,25
0.44,297.409,25
0.441,297.418,25
0.442,297.428,25
0.443,297.437,25
0.444,297.447,25
0.445,297.456,25
0.446,297.465,25
0.447,297.475,25
0.448,297.484,25
0.449,297.494,25
0.45,297.503,25
0.451,297.512,25
0.452,297.522,25
0.453,297.531,25
0.454,297.541,25
0.455,297.55,25
0.456,297.559,25
0.457,297.569,25
0.458,297.578,25
0.459,297.587,25
0.46,297.597,25
0.461,297.606,25
0.462,297.616,25
0.463,297.625,25
0.464,297.634,25
0.465,297.644,25
0.466,297.653,25
0.467,297.663,25
0.468,297.672,25
0.469,297.681,25
0.47,297.691,25
0.471,297.7,25
0.472,297.709,25
0.473,297.719,25
0.474,297.728,25
0.475,297.737,25
0.476,297.747,25
0.477,297.756,25
0.478,297.766,25
0.479,297.775,25
0.48,297.784,25
0.481,297.794,25
0.482,297.803,25
0.483,297.812,25
0.484,297.822,25
0.485,297.831,25
0.486,297.84,25
0.487,297.85,25
0.488,297.859,25
0.489,297.868,25
0.49,297.878,25
0.491,297.887,25
0.492,297.896,25
0.493,297.906,25
0.494,297.915,25
0.495,297.925,25
0.496,297.934,25
0.497,297.943,25
0.498,297.953,25
0.499,297.962,25
0.5,297.971,25
0.501,297.981,25
0.502,297.99,25
0.503,297.999,25
0.504,298.009,25
0.505,298.018,25
0.506,298.027,25
0.507,298.036,25
0.508,298.046,25
0.509,298.055,25
0.51,298.064,25
0.511,298.074,25
0.512,298.083,25
0.513,298.092,25
0.514,298.102,25
0.515,298.111,25
0.516,298.12,25
0.517,298.13,25
0.518,298.139,25
0.519,298.148,25
0.52,298.158,25
0.521,298.167,25
0.522,298.176,25
0.523,298.186,25
0.524,298.195,25
0.525,298.204,25
0.526,298.213,25
0.527,298.223,25
0.528,298.232,25
0.529,298.241,25
0.53,298.251,25
0.531,298.26,25
0.532,298.269,25
0.533,298.278,25
0.534,298.288,25
0.535,298.297,25
0.536,298.306,25
0.537,298.316,25
0.538,298.325,25
0.539,298.334,25
0.54,298.343,25
0.541,298.353,25
0.542,298.362,25
0.543,298.371,25
0.544,298.381,25
0.545,298.39,25
0.546,298.399,25
0.547,298.408,25
0.548,298.418,25
0.549,298.427,25
0.55,298.436,25
0.551,298.445,25
0.552,298.455,25
0.553,298.464,25
0.554,298.473,25
0.555,298.483,25
0.556,298.492,25
0.557,298.501,25
0.558,298.51,25
0.559,298.52,25
0.56,298.529,25
0.561,298.538,25
0.562,298.547,25
0.563,298.557,25
0.564,298.566,25
0.565,298.575,25
0.566,298.584,25
0.567,298.594,25
0.568,298.603,25
0.569,298.612,25
0.57,298.621,25
0.571,298.631,25
0.572,298.64,25
0.573,298.649,25
0.574,298.658,25
0.575,298.668,25
0.576,298.677,25
0.577,298.686,25
0.578,298.695,25
0.579,298.704,25
0.58,298.714,25
0.581,298.723,25
0.582,298.732,25
0.583,298.741,25
0.584,298.751,25
0.585,298.76,25
0.586,298.769,25
0.587,298.778,25
0.588,298.787,25
0.589,298.797,25
0.59,298.806,25
0.591,298.815,25
0.592,298.824,25
0.593,298.834,25
0.594,298.843,25
0.595,298.852,25
0.596,298.861,25
0.597,298.87,25
0.598,298.88,25
0.599,298.889,25
0.6,298.898,25
0.601,298.907,25
0.602,298.916,25
0.603,298.926,25
0.604,298.935,25
0.605,298.944,25
0.606,298.953,25
0.607,298.962,25
0.608,298.972,25
0.609,298.981,25
0.61,298.99,25
0.611,298.999,25
0.612,299.008,25
0.613,299.018,25
0.614,299.027,25
0.615,299.036,25
0.616,299.045,25
0.617,299.054,25
0.618,299.064,25
0.619,299.073,25
0.62,299.082,25
0.621,299.091,25
0.622,299.1,25
0.623,299.109,25
0.624,299.119,25
0.625,299.128,25
0.626,299.137,25
0.627,299.146,25
0.628,299.15,25
0.629,299.149,25
0.63,299.148,25
0.631,299.148,25
0.632,299.147,25
0.633,299.147,25
0.634,299.146,25
0.635,299.145,25
0.636,299.145,25
0.637,299.144,25
0.638,299.144,25
0.639,299.143,25
0.64,299.142,25
0.641,299.142,25
0.642,299.141,25
0.643,299.141,25
0.644,299.14,25
0.645,299.139,25
0.646,299.139,25
0.647,299.138,25
0.648,299.138,25
0.649,299.137,25
0.65,299.136,25
0.651,299.136,25
0.652,299.135,25
0.653,299.135,25
0.654,299.134,25
0.655,299.133,25
0.656,299.133,25
0.657,299.132,25
0.658,299.132,25
0.659,299.131,25
0.66,299.13,25
0.661,299.13,25
0.662,299.129,25
0.663,299.129,25
0.664,299.128,25
0.665,299.127,25
0.666,299.127,25
0.667,299.126,25
0.668,299.126,25
0.669,299.125,25
0.67,299.125,25
0.671,299.124,25
0.672,299.123,25
0.673,299.123,25
0.674,299.122,25
0.675,299.122,25
0.676,299.121,25
0.677,299.12,25
0.678,299.12,25
0.679,299.119,25
0.68,299.119,25
0.681,299.118,25
0.682,299.117,25
0.683,299.117,25
0.684,299.116,25
0.685,299.116,25
0.686,299.115,25
0.687,299.114,25
0.688,299.114,25
0.689,299.113,25
0.69,299.113,25
0.691,299.112,25
0.692,299.111,25
0.693,299.111,25
0.694,299.11,25
0.695,299.11,25
0.696,299.109,25
0.697,299.108,25
0.698,299.108,25
0.699,299.107,25
0.7,299.107,25
0.701,299.106,25
0.702,299.105,25
0.703,299.105,25
0.704,299.104,25
0.705,299.104,25
0.706,299.103,25
0.707,299.102,25
0.708,299.102,25
0.709,299.101,25
0.71,299.101,25
0.711,299.1,25
0.712,299.099,25
0.713,299.099,25
0.714,299.098,25
0.715,299.098,25
0.716,299.097,25
0.717,299.096,25
0.718,299.096,25
0.719,299.095,25
0.72,299.095,25
0.721,299.094,25
0.722,299.094,25
0.723,299.093,25
0.724,299.092,25
0.725,299.092,25
0.726,299.091,25
0.727,299.091,25
0.728,299.09,25
0.729,299.089,25
0.73,299.089,25
0.731,299.088,25
0.732,299.088,25
0.733,299.087,25
0.734,299.086,25
0.735,299.086,25
0.736,299.085,25
0.737,299.085,25
0.738,299.084,25
0.739,299.083,25
0.74,299.083,25
0.741,299.082,25
0.742,299.082,25
0.743,299.081,25
0.744,299.08,25
0.745,299.08,25
0.746,299.079,25
0.747,299.079,25
0.748,299.078,25
0.749,299.077,25
0.75,299.077,25
0.751,299.076,25
0.752,299.076,25
0.753,299.075,25
0.754,299.075,25
0.755,299.074,25
0.756,299.073,25
0.757,299.073,25
0.758,299.072,25
0.759,299.072,25
0.76,299.071,25
0.761,299.07,25
0.762,299.07,25
0.763,299.069,25
0.764,299.069,25
0.765,299.068,25
0.766,299.067,25
0.767,299.067,25
0.768,299.066,25
0.769,299.066,25
0.77,299.065,25
0.771,299.064,25
0.772,299.064,25
0.773,299.063,25
0.774,299.063,25
0.775,299.062,25
0.776,299.062,25
0.777,299.061,25
0.778,299.06,25
0.779,299.06,25
0.78,299.059,25
0.781,299.059,25
0.782,299.058,25
0.783,299.057,25
0.784,299.057,25
0.785,299.056,25
0.786,299.056,25
0.787,299.055,25
0.788,299.054,25
0.789,299.054,25
0.79,299.053,25
0.791,299.053,25
0.792,299.052,25
0.793,299.051,25
0.794,299.051,25
0.795,299.05,25
0.796,299.05,25
0.797,299.049,25
0.798,299.049,25
0.799,299.048,25
0.8,299.047,25
0.801,299.047,25
0.802,299.046,25
0.803,299.046,25
0.804,299.045,25
0.805,299.044,25
0.806,299.044,25
0.807,299.043,25
0.808,299.043,25
0.809,299.042,25
0.81,299.041,25
0.811,299.041,25
0.812,299.04,25
0.813,299.04,25
0.814,299.039,25
0.815,299.039,25
0.816,299.038,25
0.817,299.037,25
0.818,299.037,25
0.819,299.036,25
0.82,299.036,25
0.821,299.035,25
0.822,299.034,25
0.823,299.034,25
0.824,299.033,25
0.825,299.033,25
0.826,299.032,25
0.827,299.031,25
0.828,299.031,25
0.829,299.03,25
0.83,299.03,25
0.831,299.029,25
0.832,299.029,25
0.833,299.028,25
0.834,299.027,25
0.835,299.027,25
0.836,299.026,25
0.837,299.026,25
0.838,299.025,25
0.839,299.024,25
0.84,299.024,25
0.841,299.023,25
0.842,299.023,25
0.843,299.022,25
0.844,299.021,25
0.845,299.021,25
0.846,299.02,25
0.847,299.02,25
0.848,299.019,25
0.849,299.019,25
0.85,299.018,25
0.851,299.017,25
0.852,299.017,25
0.853,299.016,25
0.854,299.016,25
0.855,299.015,25
0.856,299.014,25
0.857,299.014,25
0.858,299.013,25
0.859,299.013,25
0.86,299.012,25
0.861,299.011,25
0.862,299.011,25
0.863,299.01,25
0.864,299.01,25
0.865,299.009,25
0.866,299.009,25
0.867,299.008,25
0.868,299.007,25
0.869,299.007,25
0.87,299.006,25
0.871,299.006,25
0.872,299.005,25
0.873,299.004,25
0.874,299.004,25
0.875,299.003,25
0.876,299.003,25
0.877,299.002,25
0.878,299.002,25
0.879,299.001,25
0.88,299,25
0.881,299,25
0.882,298.999,25
0.883,298.999,25
0.884,298.998,25
0.885,298.997,25
0.886,298.997,25
0.887,298.996,25
0.888,298.996,25
0.889,298.995,25
0.89,298.995,25
0.891,298.994,25
0.892,298.993,25
0.893,298.993,25
0.894,298.992,25
0.895,298.992,25
0.896,298.991,25
0.897,298.99,25
0.898,298.99,25
0.899,298.989,25
0.9,298.989,25
0.901,298.988,25
0.902,298.987,25
0.903,298.987,25
0.904,298.986,25
0.905,298.986,25
0.906,298.985,25
0.907,298.985,25
0.908,298.984,25
0.909,298.983,25
0.91,298.983,25
0.911,298.982,25
0.912,298.982,25
0.913,298.981,25
0.914,298.98,25
0.915,298.98,25
0.916,298.979,25
0.917,298.979,25
0.918,298.978,25
0.919,298.978,25
0.92,298.977,25
0.921,298.976,25
0.922,298.976,25
0.923,298.975,25
0.924,298.975,25
0.925,298.974,25
0.926,298.974,25
0.927,298.973,25
0.928,298.972,25
0.929,298.972,25
0.93,298.971,25
0.931,298.971,25
0.932,298.97,25
0.933,298.969,25
0.934,298.969,25
0.935,298.968,25
0.936,298.968,25
0.937,298.967,25
0.938,298.967,25
0.939,298.966,25
0.94,298.965,25
0.941,298.965,25
0.942,298.964,25
0.943,298.964,25
0.944,298.963,25
0.945,298.962,25
0.946,298.962,25
0.947,298.961,25
0.948,298.961,25
0.949,298.96,25
0.95,298.96,25
0.951,298.959,25
0.952,298.958,25
0.953,298.958,25
0.954,298.957,25
0.955,298.957,25
0.956,298.956,25
0.957,298.955,25
0.958,298.955,25
0.959,298.954,25
0.96,298.954,25
0.961,298.953,25
0.962,298.953,25
0.963,298.952,25
0.964,298.951,25
0.965,298.951,25
0.966,298.95,25
0.967,298.95,25
0.968,298.949,25
0.969,298.949,25
0.97,298.948,25
0.971,298.947,25
0.972,298.947,25
0.973,298.946,25
0.974,298.946,25
0.975,298.945,25
0.976,298.944,25
0.977,298.944,25
0.978,298.943,25
0.979,298.943,25
0.98,298.942,25
0.981,298.942,25
0.982,298.941,25
0.983,298.94,25
0.984,298.94,25
0.985,298.939,25
0.986,298.939,25
0.987,298.938,25
0.988,298.938,25
0.989,298.937,25
0.99,298.936,25
0.991,298.936,25
0.992,298.935,25
0.993,298.935,25
0.994,298.934,25
0.995,298.933,25
0.996,298.933,25
0.997,298.932,25
0.998,298.932,25
0.999,298.931,25
1,298.931,25
1.001,298.93,25
1.002,298.929,25
1.003,298.929,25
1.004,298.928,25
1.005,298.928,25
1.006,298.927,25
1.007,298.927,25
1.008,298.926,25
1.009,298.925,25
1.01,298.925,25
1.011,298.924,25
1.012,298.924,25
1.013,298.923,25
1.014,298.922,25
1.015,298.922,25
1.016,298.921,25
1.017,298.921,25
1.018,298.92,25
1.019,298.92,25
1.02,298.919,25
1.021,298.918,25
1.022,298.918,25
1.023,298.917,25
1.024,298.917,25
1.025,298.916,25
1.026,298.916,25
1.027,298.915,25
1.028,298.914,25
1.029,298.914,25
1.03,298.913,25
1.031,298.913,25
1.032,298.912,25
1.033,298.912,25
1.034,298.911,25
1.035,298.91,25
1.036,298.91,25
1.037,298.909,25
1.038,298.909,25
1.039,298.908,25
1.04,298.907,25
1.041,298.907,25
1.042,298.906,25
1.043,298.906,25
1.044,298.905,25
1.045,298.905,25
1.046,298.904,25
1.047,298.903,25
1.048,298.903,25
1.049,298.902,25
1.05,298.902,25
1.051,298.901,25
1.052,298.901,25
1.053,298.9,25
1.054,298.899,25
1.055,298.899,25
1.056,298.898,25
1.057,298.898,25
1.058,298.897,25
1.059,298.897,25
1.06,298.896,25
1.061,298.895,25
1.062,298.895,25
1.063,298.894,25
1.064,298.894,25
1.065,298.893,25
1.066,298.893,25
1.067,298.892,25
1.068,298.891,25
1.069,298.891,25
1.07,298.89,25
1.071,298.89,25
1.072,298.889,25
1.073,298.889,25
1.074,298.888,25
1.075,298.887,25
1.076,298.887,25
1.077,298.886,25
1.078,298.886,25
1.079,298.885,25
1.08,298.885,25
1.081,298.884,25
1.082,298.883,25
1.083,298.883,25
1.084,298.882,25
1.085,298.882,25
1.086,298.881,25
1.087,298.88,25
1.088,298.88,25
1.089,298.879,25
1.09,298.879,25
1.091,298.878,25
1.092,298.878,25
1.093,298.877,25
1.094,298.876,25
1.095,298.876,25
1.096,298.875,25
1.097,298.875,25
1.098,298.874,25
1.099,298.874,25
1.1,298.873,25
1.101,298.872,25
1.102,298.872,25
1.103,298.871,25
1.104,298.871,25
1.105,298.87,25
1.106,298.87,25
1.107,298.869,25
1.108,298.868,25
1.109,298.868,25
1.11,298.867,25
1.111,298.867,25
1.112,298.866,25
1.113,298.866,25
1.114,298.865,25
1.115,298.864,25
1.116,298.864,25
1.117,298.863,25
1.118,298.863,25
1.119,298.862,25
1.12,298.862,25
1.121,298.861,25
1.122,298.86,25
1.123,298.86,25
1.124,298.859,25
1.125,298.859,25
1.126,298.858,25
1.127,298.858,25
1.128,298.857,25
1.129,298.856,25
1.13,298.856,25
1.131,298.855,25
1.132,298.855,25
1.133,298.854,25
1.134,298.854,25
1.135,298.853,25
1.136,298.852,25
1.137,298.852,25
1.138,298.851,25
1.139,298.851,25
1.14,298.85,25
1.141,298.85,25
1.142,298.849,25
1.143,298.848,25
1.144,298.848,25
1.145,298.847,25
1.146,298.847,25
1.147,298.846,25
1.148,298.846,25
1.149,298.845,25
1.15,298.845,25
1.151,298.844,25
1.152,298.843,25
1.153,298.843,25
1.154,298.842,25
1.155,298.842,25
1.156,298.841,25
1.157,298.841,25
1.158,298.84,25
1.159,298.839,25
1.16,298.839,25
1.161,298.838,25
1.162,298.838,25
1.163,298.837,25
1.164,298.837,25
1.165,298.836,25
1.166,298.835,25
1.167,298.835,25
1.168,298.834,25
1.169,298.834,25
1.17,298.833,25
1.171,298.833,25
1.172,298.832,25
1.173,298.831,25
1.174,298.831,25
1.175,298.83,25
1.176,298.83,25
1.177,298.829,25
1.178,298.829,25
1.179,298.828,25
1.18,298.827,25
1.181,298.827,25
1.182,298.826,25
1.183,298.826,25
1.184,298.825,25
1.185,298.825,25
1.186,298.824,25
1.187,298.823,25
1.188,298.823,25
1.189,298.822,25
1.19,298.822,25
1.191,298.821,25
1.192,298.821,25
1.193,298.82,25
1.194,298.82,25
1.195,298.819,25
1.196,298.818,25
1.197,298.818,25
1.198,298.817,25
1.199,298.817,25
1.2,298.816,25
1.201,298.816,25
1.202,298.815,25
1.203,298.814,25
1.204,298.814,25
1.205,298.813,25
1.206,298.813,25
1.207,298.812,25
1.208,298.812,25
1.209,298.811,25
1.21,298.81,25
1.211,298.81,25
1.212,298.809,25
1.213,298.809,25
1.214,298.808,25
1.215,298.808,25
1.216,298.807,25
1.217,298.806,25
1.218,298.806,25
1.219,298.805,25
1.22,298.805,25
1.221,298.804,25
1.222,298.804,25
1.223,298.803,25
1.224,298.803,25
1.225,298.802,25
1.226,298.801,25
1.227,298.801,25
1.228,298.8,25
1.229,298.8,25
1.23,298.799,25
1.231,298.799,25
1.232,298.798,25
1.233,298.797,25
1.234,298.797,25
1.235,298.796,25
1.236,298.796,25
1.237,298.795,25
1.238,298.795,25
1.239,298.794,25
1.24,298.793,25
1.241,298.793,25
1.242,298.792,25
1.243,298.792,25
1.244,298.791,25
1.245,298.791,25
1.246,298.79,25
1.247,298.79,25
1.248,298.789,25
1.249,298.788,25
1.25,298.788,25
1.251,298.787,25
1.252,298.787,25
1.253,298.786,25
1.254,298.786,25
1.255,298.785,25
1.256,298.784,25
1.257,298.784,25
1.258,298.783,25
1.259,298.783,25
1.26,298.782,25
1.261,298.782,25
1.262,298.781,25
1.263,298.781,25
1.264,298.78,25
1.265,298.779,25
1.266,298.779,25
1.267,298.778,25
1.268,298.778,25
1.269,298.777,25
1.27,298.777,25
1.271,298.776,25
1.272,298.775,25
1.273,298.775,25
1.274,298.774,25
1.275,298.774,25
1.276,298.773,25
1.277,298.773,25
1.278,298.772,25
1.279,298.772,25
1.28,298.771,25
1.281,298.77,25
1.282,298.77,25
1.283,298.769,25
1.284,298.769,25
1.285,298.768,25
1.286,298.768,25
1.287,298.767,25
1.288,298.766,25
1.289,298.766,25
1.29,298.765,25
1.291,298.765,25
1.292,298.764,25
1.293,298.764,25
1.294,298.763,25
1.295,298.763,25
1.296,298.762,25
1.297,298.761,25
1.298,298.761,25
1.299,298.76,25
1.3,298.76,25
1.301,298.759,25
1.302,298.759,25
1.303,298.758,25
1.304,298.757,25
1.305,298.757,25
1.306,298.756,25
1.307,298.756,25
1.308,298.755,25
1.309,298.755,25
1.31,298.754,25
1.311,298.754,25
1.312,298.753,25
1.313,298.752,25
1.314,298.752,25
1.315,298.751,25
1.316,298.751,25
1.317,298.75,25
1.318,298.75,25
1.319,298.749,25
1.32,298.749,25
1.321,298.748,25
1.322,298.747,25
1.323,298.747,25
1.324,298.746,25
1.325,298.746,25
1.326,298.745,25
1.327,298.745,25
1.328,298.744,25
1.329,298.743,25
1.33,298.743,25
1.331,298.742,25
1.332,298.742,25
1.333,298.741,25
1.334,298.741,25
1.335,298.74,25
1.336,298.74,25
1.337,298.739,25
1.338,298.738,25
1.339,298.738,25
1.34,298.737,25
1.341,298.737,25
1.342,298.736,25
1.343,298.736,25
1.344,298.735,25
1.345,298.735,25
1.346,298.734,25
1.347,298.733,25
1.348,298.733,25
1.349,298.732,25
1.35,298.732,25
1.351,298.731,25
1.352,298.731,25
1.353,298.73,25
1.354,298.73,25
1.355,298.729,25
1.356,298.728,25
1.357,298.728,25
1.358,298.727,25
1.359,298.727,25
1.36,298.726,25
1.361,298.726,25
1.362,298.725,25
1.363,298.724,25
1.364,298.724,25
1.365,298.723,25
1.366,298.723,25
1.367,298.722,25
1.368,298.722,25
1.369,298.721,25
1.37,298.721,25
1.371,298.72,25
1.372,298.719,25
1.373,298.719,25
1.374,298.718,25
1.375,298.718,25
1.376,298.717,25
1.377,298.717,25
1.378,298.716,25
1.379,298.716,25
1.38,298.715,25
1.381,298.714,25
1.382,298.714,25
1.383,298.713,25
1.384,298.713,25
1.385,298.712,25
1.386,298.712,25
1.387,298.711,25
1.388,298.711,25
1.389,298.71,25
1.39,298.709,25
1.391,298.709,25
1.392,298.708,25
1.393,298.708,25
1.394,298.707,25
1.395,298.707,25
