"time","heatCapacitor_T","switch_Controll"
2.06,25.1986667523,1.0
2.08,25.1882798182,1.0
2.1,25.1779136371,1.0
2.12,25.1675681677,1.0
2.14,25.1572433686,1.0
2.16,25.1469391984,1.0
2.18,25.1366556159,1.0
2.2,25.12639258,1.0
2.22,25.1161500497,1.0
2.24,25.1059279839,1.0
2.26,25.0957263418,1.0
2.28,25.2554437864,0.0
2.3,25.4406386156,0.0
2.32,25.6253245112,0.0
2.34,25.809503068,0.0
2.36,25.9931758745,0.0
2.38,26.1763445125,0.0
2.4,26.3590105578,0.0
2.42,26.5411755798,0.0
2.44,26.7228411415,0.0
2.46,26.9040087998,0.0
2.48,27.0846801053,0.0
2.5,27.2648566027,0.0
2.52,27.4445398302,0.0
2.54,27.6237313202,0.0
2.56,27.8024325989,0.0
2.58,27.9806451865,0.0
2.6,28.1583705973,0.0
2.62,28.3356103395,0.0
2.64,28.5123659154,0.0
2.66,28.6886388215,0.0
2.68,28.7993254715,1.0
2.7,28.7817444213,1.0
2.72,28.764198498,1.0
2.74,28.7466876315,1.0
2.76,28.7292117516,1.0
2.78,28.7117707886,1.0
2.8,28.6943646727,1.0
2.82,28.6769933341,1.0
2.84,28.6596567035,1.0
2.86,28.6423547115,1.0
2.88,28.6250872888,1.0
2.9,28.6078543665,1.0
2.92,28.5906558755,1.0
2.94,28.5734917471,1.0
2.96,28.5563619127,1.0
2.98,28.5392663037,1.0
3.0,28.5222048516,1.0
3.02,28.5051774884,1.0
3.04,28.4881841459,1.0
3.06,28.471224756,1.0
3.08,28.5424908988,0.0
3.1,28.7186815593,0.0
3.12,28.8943912946,0.0
3.14,29.0696215883,0.0
3.16,29.2443739184,0.0
3.18,29.4186497572,0.0
3.2,29.5924505712,0.0
3.22,29.7657778212,0.0
3.24,29.9386329624,0.0
3.26,30.1110174443,0.0
3.28,30.2829327108,0.0
3.3,30.4543802002,0.0
3.32,30.6253613455,0.0
3.34,30.7958775738,0.0
3.36,30.965930307,0.0
3.38,31.1355209615,0.0
3.4,31.3046509482,0.0
3.42,31.4733216726,0.0
3.44,31.6415345351,0.0
3.46,31.8092909303,0.0
3.48,31.9765922479,0.0
3.5,32.1434398721,0.0
3.52,32.309835182,0.0
3.54,32.3393054153,1.0
3.56,32.3146514852,1.0
3.58,32.2900468136,1.0
3.6,32.2654913022,1.0
3.62,32.2409848527,1.0
3.64,32.216527367,1.0
3.66,32.1921187474,1.0
3.68,32.1677588963,1.0
3.7,32.1434477161,1.0
3.72,32.1191851097,1.0
3.74,32.0949709799,1.0
3.76,32.07080523,1.0
3.78,32.0466877632,1.0
3.8,32.0226184832,1.0
3.82,31.9985972935,1.0
3.84,31.9746240982,1.0
3.86,31.9506988014,1.0
3.88,31.9268213072,1.0
3.9,31.9273757493,0.0
3.92,32.0943568249,0.0
3.94,32.2608851807,0.0
3.96,32.426962192,0.0
3.98,32.5925892287,0.0
4.0,32.757767656,0.0
4.02,32.9224988336,0.0
4.04,33.0867841162,0.0
4.06,33.2506248533,0.0
4.08,33.4140223894,0.0
4.1,33.5769780641,0.0
4.12,33.7394932117,0.0
4.14,33.9015691617,0.0
4.16,34.0632072385,0.0
4.18,34.2244087619,0.0
4.2,34.3851750462,0.0
4.22,34.5455074014,0.0
4.24,34.7054071323,0.0
4.26,34.8648755389,0.0
4.28,35.0239139164,0.0
4.3,35.1825235554,0.0
4.32,35.3407057413,0.0
4.34,35.4984617553,0.0
4.36,35.6557928734,0.0
4.38,35.8127003672,0.0
4.4,35.9691855036,0.0
4.42,36.0167528727,1.0
4.44,35.9847514026,1.0
4.46,35.9528138714,1.0
4.48,35.9209401515,1.0
4.5,35.8891301152,1.0
4.52,35.8573836353,1.0
4.54,35.8257005849,1.0
4.56,35.7940808373,1.0
4.58,35.7625242659,1.0
4.6,35.7310307445,1.0
4.62,35.6996001472,1.0
4.64,35.6682323482,1.0
4.66,35.6369272221,1.0
4.68,35.6056846437,1.0
4.7,35.5745044879,1.0
4.72,35.54338663,1.0
4.74,35.5123309456,1.0
4.76,35.5121164448,0.0
4.78,35.6694107918,0.0
4.8,35.8262816244,0.0
4.82,35.9827302092,0.0
4.84,36.1387578079,0.0
4.86,36.2943656777,0.0
4.88,36.4495550712,0.0
4.9,36.6043272364,0.0
4.92,36.7586834167,0.0
4.94,36.912624851,0.0
4.96,37.0661527737,0.0
4.98,37.2192684149,0.0
5.0,37.3719729998,0.0
5.02,37.5242677496,0.0
5.04,37.6761538809,0.0
5.06,37.8276326058,0.0
5.08,37.9787051322,0.0
5.1,38.1293726635,0.0
5.12,38.279636399,0.0
5.14,38.4294975333,0.0
5.16,38.5789572572,0.0
5.18,38.7280167567,0.0
5.2,38.876677214,0.0
5.22,39.0249398068,0.0
5.24,39.1728057087,0.0
5.26,39.3202760891,0.0
5.28,39.4673521132,0.0
5.3,39.6140349421,0.0
