"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi","der(J1.phi)"
0.309,0.2,0.4,0.9,2.7196,-2.78991,2.7196,-9.25855,1,2.7196,7.60991
0.3105,0.2,0.4,0.9,2.731,-3.23917,2.731,-9.25141,1,2.731,7.59148
0.312,0.2,0.4,0.9,2.74237,-3.68125,2.74237,-9.24424,1,2.74237,7.57239
0.3135,0.2,0.4,0.9,2.75372,-4.11514,2.75372,-9.23703,1,2.75372,7.55265
0.315,0.2,0.4,0.9,2.76503,-4.53991,2.76503,-9.2298,1,2.76503,7.53227
0.3165,0.2,0.4,0.9,2.77631,-4.95459,2.77631,-9.22252,1,2.77631,7.51128
0.318,0.2,0.4,0.9,2.78756,-5.35827,2.78756,-9.21522,1,2.78756,7.48969
0.3195,0.2,0.4,0.9,2.79878,-5.75005,2.79878,-9.20788,1,2.79878,7.46751
0.321,0.2,0.4,0.9,2.80997,-6.12907,2.80997,-9.20052,1,2.80997,7.44478
0.3225,0.2,0.4,0.9,2.82112,-6.49448,2.82112,-9.19311,1,2.82112,7.4215
0.324,0.2,0.4,0.9,2.83223,-6.84547,2.83223,-9.18568,1,2.83223,7.39768
0.3255,0.2,0.4,0.9,2.84331,-7.18126,2.84331,-9.17821,1,2.84331,7.37335
0.327,0.2,0.4,0.9,2.85435,-7.50111,2.85435,-9.17071,1,2.85435,7.34853
0.3285,0.2,0.4,0.9,2.86535,-7.8043,2.86535,-9.16318,1,2.86535,7.32327
0.33,0.2,0.4,0.9,2.87632,-8.09017,2.87632,-9.15562,1,2.87632,7.29757
0.3315,0.2,0.4,0.9,2.88725,-8.35807,2.88725,-9.14802,1,2.88725,7.27147
0.333,0.2,0.4,0.9,2.89813,-8.60742,2.89813,-9.14039,1,2.89813,7.24501
0.3345,0.2,0.4,0.9,2.90898,-8.83766,2.90898,-9.13273,1,2.90898,7.2182
0.336,0.2,0.4,0.9,2.91979,-9.04827,2.91979,-9.12503,1,2.91979,7.19107
0.3375,0.2,0.4,0.9,2.93055,-9.2388,2.93055,-9.11731,1,2.93055,7.16364
0.339,0.2,0.4,0.9,2.94128,-9.40881,2.94128,-9.10955,1,2.94128,7.13595
0.3405,0.2,0.4,0.9,2.95196,-9.55793,2.95196,-9.10176,1,2.95196,7.10803
0.342,0.2,0.4,0.9,2.9626,-9.68583,2.9626,-9.09393,1,2.9626,7.07991
0.3435,0.2,0.4,0.9,2.9732,-9.79223,2.9732,-9.08607,1,2.9732,7.05164
0.345,0.2,0.4,0.9,2.98376,-9.87688,2.98376,-9.07819,1,2.98376,7.02323
0.3465,0.2,0.4,0.9,2.99427,-9.93961,2.99427,-9.07027,1,2.99427,6.99474
0.348,0.2,0.4,0.9,3.00474,-9.98027,3.00474,-9.06231,1,3.00474,6.96619
0.3495,0.2,0.4,0.9,3.01517,-9.99877,3.01517,-9.05433,1,3.01517,6.93759
0.351,0.2,0.4,0.9,3.02555,-9.99507,3.02555,-9.04631,1,3.02555,6.90899
0.3525,0.2,0.4,0.9,3.03589,-9.96917,3.03589,-9.03826,1,3.03589,6.88043
0.354,0.2,0.4,0.9,3.04619,-9.92115,3.04619,-9.03018,1,3.04619,6.85193
0.3555,0.2,0.4,0.9,3.05645,-9.85109,3.05645,-9.02206,1,3.05645,6.82354
0.357,0.2,0.4,0.9,3.06666,-9.75917,3.06666,-9.01392,1,3.06666,6.79528
0.3585,0.2,0.4,0.9,3.07683,-9.64557,3.07683,-9.00574,1,3.07683,6.7672
0.36,0.2,0.4,0.9,3.08696,-9.51056,3.08696,-8.99753,1,3.08696,6.73931
0.3615,0.2,0.4,0.9,3.09705,-9.35444,3.09705,-8.98929,1,3.09705,6.71167
0.363,0.2,0.4,0.9,3.10709,-9.17755,3.10709,-8.98102,1,3.10709,6.68427
0.3645,0.2,0.4,0.9,3.1171,-8.98028,3.1171,-8.97271,1,3.1171,6.65718
0.366,0.2,0.4,0.9,3.12706,-8.76307,3.12706,-8.96437,1,3.12706,6.6304
0.3675,0.2,0.4,0.9,3.13699,-8.5264,3.13699,-8.956,1,3.13699,6.60398
0.369,0.2,0.4,0.9,3.14687,-8.27081,3.14687,-8.9476,1,3.14687,6.57794
0.3705,0.2,0.4,0.9,3.15672,-7.99685,3.15672,-8.93917,1,3.15672,6.55232
0.372,0.2,0.4,0.9,3.16653,-7.70513,3.16653,-8.9307,1,3.16653,6.52713
0.3735,0.2,0.4,0.9,3.1763,-7.39631,3.1763,-8.92221,1,3.1763,6.50241
0.375,0.2,0.4,0.9,3.18604,-7.07107,3.18604,-8.91368,1,3.18604,6.47818
0.3765,0.2,0.4,0.9,3.19573,-6.73012,3.19573,-8.90512,1,3.19573,6.45446
0.378,0.2,0.4,0.9,3.2054,-6.37424,3.2054,-8.89653,1,3.2054,6.43128
0.3795,0.2,0.4,0.9,3.21503,-6.0042,3.21503,-8.8879,1,3.21503,6.40866
0.381,0.2,0.4,0.9,3.22462,-5.62083,3.22462,-8.87925,1,3.22462,6.38662
0.3825,0.2,0.4,0.9,3.23418,-5.22499,3.23418,-8.87056,1,3.23418,6.36518
0.384,0.2,0.4,0.9,3.24372,-4.81754,3.24372,-8.86184,1,3.24372,6.34435
0.3855,0.2,0.4,0.9,3.25322,-4.39939,3.25322,-8.85309,1,3.25322,6.32415
0.387,0.2,0.4,0.9,3.26269,-3.97148,3.26269,-8.84431,1,3.26269,6.30461
0.3885,0.2,0.4,0.9,3.27213,-3.53475,3.27213,-8.8355,1,3.27213,6.28572
0.39,0.2,0.4,0.9,3.28154,-3.09017,3.28154,-8.82666,1,3.28154,6.26752
0.3915,0.2,0.4,0.9,3.29093,-2.63873,3.29093,-8.81778,1,3.29093,6.25
0.393,0.2,0.4,0.9,3.30029,-2.18143,3.30029,-8.80888,1,3.30029,6.23319
0.3945,0.2,0.4,0.9,3.30963,-1.71929,3.30963,-8.79994,1,3.30963,6.21707
0.396,0.2,0.4,0.9,3.31894,-1.25333,3.31894,-8.79097,1,3.31894,6.20166
0.3975,0.2,0.4,0.9,3.32823,-0.784591,3.32823,-8.78197,1,3.32823,6.18697
0.399,0.2,0.4,0.9,3.3375,-0.314108,3.3375,-8.77294,1,3.3375,6.17299
0.4005,0.2,0.4,0.9,3.34675,0.157073,3.34675,-8.76388,1,3.34675,6.15974
0.402,0.2,0.4,0.9,3.35598,0.627905,3.35598,-8.75478,1,3.35598,6.1472
0.4035,0.2,0.4,0.9,3.36519,1.09734,3.36519,-8.74566,1,3.36519,6.13537
0.405,0.2,0.4,0.9,3.37439,1.56434,3.37439,-8.7365,1,3.37439,6.12426
0.4065,0.2,0.4,0.9,3.38357,2.02787,3.38357,-8.72731,1,3.38357,6.11384
0.408,0.2,0.4,0.9,3.39273,2.4869,3.39273,-8.7181,1,3.39273,6.10413
0.4095,0.2,0.4,0.9,3.40188,2.9404,3.40188,-8.70885,1,3.40188,6.09512
0.411,0.2,0.4,0.9,3.41102,3.38738,3.41102,-8.69957,1,3.41102,6.08678
0.4125,0.2,0.4,0.9,3.42015,3.82683,3.42015,-8.69026,1,3.42015,6.07912
0.414,0.2,0.4,0.9,3.42927,4.25779,3.42927,-8.68092,1,3.42927,6.07214
