"time","driveAngle","spring.w_rel","PI.I.y","inertia1.phi","spring.phi_rel","integrator.y","inertia1.w"
1.036,1.57,-6.82387E-08,-0.0699949,0.140659,0.000800021,0.536,0.536008
1.04,1.57,-9.23851E-08,-0.0699953,0.1428,0.000800021,0.54,0.540008
1.044,1.57,-1.07971E-07,-0.0699956,0.14498,0.000800021,0.544,0.544007
1.048,1.57,-1.23557E-07,-0.0699958,0.14716,0.00080002,0.548,0.548007
1.052,1.57,-1.35913E-07,-0.0699961,0.14936,0.00080002,0.552,0.552007
1.056,1.57,-1.4504E-07,-0.0699964,0.15158,0.000800019,0.556,0.556006
1.06,1.57,-1.54168E-07,-0.0699966,0.1538,0.000800019,0.56,0.560006
1.064,1.57,-1.58508E-07,-0.0699968,0.15606,0.000800018,0.564,0.564006
1.068,1.57,-1.62848E-07,-0.0699971,0.15832,0.000800017,0.568,0.568005
1.072,1.57,-1.65454E-07,-0.0699973,0.1606,0.000800017,0.572,0.572005
1.076,1.57,-1.66325E-07,-0.0699975,0.1629,0.000800016,0.576,0.576005
1.08,1.57,-1.67196E-07,-0.0699977,0.1652,0.000800015,0.58,0.580004
1.084,1.57,-1.65626E-07,-0.0699978,0.16754,0.000800015,0.584,0.584004
1.088,1.57,-1.64055E-07,-0.069998,0.16988,0.000800014,0.588,0.588004
1.092,1.57,-1.61662E-07,-0.0699981,0.17224,0.000800013,0.592,0.592004
1.096,1.57,-1.58446E-07,-0.0699983,0.17462,0.000800013,0.596,0.596003
1.1,1.57,-1.55229E-07,-0.0699984,0.177,0.000800012,0.6,0.600003
1.104,1.57,-1.50973E-07,-0.0699985,0.17942,0.000800011,0.604,0.604003
1.108,1.57,-1.46716E-07,-0.0699986,0.18184,0.000800011,0.608,0.608003
1.112,1.57,-1.42168E-07,-0.0699987,0.18428,0.00080001,0.612,0.612003
1.116,1.57,-1.37327E-07,-0.0699988,0.18674,0.00080001,0.616,0.616002
1.12,1.57,-1.32487E-07,-0.0699989,0.1892,0.000800009,0.62,0.620002
1.124,1.57,-1.27397E-07,-0.069999,0.1917,0.000800009,0.624,0.624002
1.128,1.57,-1.22308E-07,-0.0699991,0.1942,0.000800008,0.628,0.628002
1.132,1.57,-1.17214E-07,-0.0699992,0.19672,0.000800008,0.632,0.632002
1.136,1.57,-1.12117E-07,-0.0699992,0.19926,0.000800007,0.636,0.636002
