"time",	"outputs"
0.059,	257.676
0.0591,	256.3083
0.0592,	255.0139
0.0593,	253.8128
0.0594,	252.723
0.0595,	251.7603
0.0596,	250.9384
0.0597,	250.2685
0.0598,	249.7595
0.0599,	249.4178
0.06,	249.2473
0.0601,	249.2495
0.0602,	249.4234
0.0603,	249.7652
0.0604,	250.2691
0.0605,	250.9264
0.0606,	251.7264
0.0607,	252.6559
0.0608,	253.6995
0.0609,	254.8397
0.061,	256.0571
0.0611,	257.3303
0.0612,	258.636
0.0613,	259.9498
0.0614,	261.2452
0.0615,	262.4949
0.0616,	263.6704
0.0617,	264.7422
0.0618,	265.6801
0.0619,	266.4541
0.062,	267.0453
0.0621,	267.4445
0.0622,	267.6422
0.0623,	267.6286
0.0624,	267.3938
0.0625,	266.9278
0.0626,	266.2974
0.0627,	265.6957
0.0628,	265.1453
0.0629,	264.658
0.063,	264.2438
0.0631,	263.911
0.0632,	263.6656
0.0633,	263.5116
0.0634,	263.451
0.0635,	263.4837
0.0636,	263.6077
0.0637,	263.8186
0.0638,	264.1104
0.0639,	264.4747
0.064,	264.9016
0.0641,	265.379
0.0642,	265.8931
0.0643,	266.4286
0.0644,	266.9685
0.0645,	267.4943
0.0646,	267.9861
0.0647,	268.4229
0.0648,	268.7826
0.0649,	269.042
0.065,	269.1772
0.0651,	269.1638
0.0652,	268.9768
0.0653,	268.5909
0.0654,	267.9805
0.0655,	267.1204
0.0656,	265.9852
0.0657,	264.5502
0.0658,	262.8997
0.0659,	261.2817
0.066,	259.7268
0.0661,	258.2544
0.0662,	256.8821
0.0663,	255.6254
0.0664,	254.4973
0.0665,	253.5089
0.0666,	252.6688
0.0667,	251.9832
0.0668,	251.4558
0.0669,	251.0881
0.067,	250.879
0.0671,	250.8249
0.0672,	250.9201
0.0673,	251.1563
0.0674,	251.5229
0.0675,	252.0072
0.0676,	252.5942
0.0677,	253.2672
0.0678,	254.0071
0.0679,	254.7934
0.068,	255.6036
0.0681,	256.414
0.0682,	257.1992
0.0683,	257.9327
0.0684,	258.5872
0.0685,	259.1345
0.0686,	259.5564
0.0687,	259.8455
0.0688,	259.9942
0.0689,	259.9941
0.069,	259.8365
0.0691,	259.5117
0.0692,	259.0237
0.0693,	258.5514
0.0694,	258.1629
0.0695,	257.8702
0.0696,	257.6833
0.0697,	257.6099
0.0698,	257.6556
0.0699,	257.8239
0.07,	258.1159
0.0701,	258.5307
0.0702,	259.0648
0.0703,	259.7129
0.0704,	260.4673
0.0705,	261.3181
0.0706,	262.2537
0.0707,	263.26
0.0708,	264.3216
0.0709,	265.4208
0.071,	266.5385
0.0711,	267.654
0.0712,	268.7451
0.0713,	269.7884
0.0714,	270.7593
0.0715,	271.6323
0.0716,	272.381
0.0717,	272.9783
0.0718,	273.3969
0.0719,	273.6088
0.072,	273.59
0.0721,	273.3317
0.0722,	272.8294
0.0723,	272.0786
0.0724,	271.075
0.0725,	269.8143
0.0726,	268.2923
0.0727,	267.4086
0.0728,	266.3686
0.0729,	265.3858
0.073,	264.4729
0.0731,	263.6409
0.0732,	262.8986
0.0733,	262.2528
0.0734,	261.7083
0.0735,	261.2676
0.0736,	260.9312
0.0737,	260.6974
0.0738,	260.5625
0.0739,	260.5206
0.074,	260.5638
0.0741,	260.6823
0.0742,	260.8641
0.0743,	261.0959
0.0744,	261.3621
0.0745,	261.6457
0.0746,	261.9282
0.0747,	262.1897
0.0748,	262.4088
0.0749,	262.5634
0.075,	262.6299
0.0751,	262.5843
0.0752,	262.4015
0.0753,	262.0563
0.0754,	261.5229
0.0755,	260.7755
0.0756,	259.7879
0.0757,	258.5347
0.0758,	256.9921
0.0759,	255.3723
0.076,	253.8483
0.0761,	252.4395
0.0762,	251.1629
0.0763,	250.0334
0.0764,	249.0635
0.0765,	248.2631
0.0766,	247.6397
0.0767,	247.1984
0.0768,	246.9414
0.0769,	246.8687
0.077,	246.9776
0.0771,	247.2626
0.0772,	247.716
0.0773,	248.3276
0.0774,	249.0847
0.0775,	249.9723
0.0776,	250.9734
0.0777,	252.0686
0.0778,	253.2367
0.0779,	254.4547
0.078,	255.6979
0.0781,	256.9399
0.0782,	258.1531
0.0783,	259.3087
0.0784,	260.3768
0.0785,	261.3269
0.0786,	262.1354
0.0787,	262.7913
0.0788,	263.2844
0.0789,	263.6039
0.079,	263.7386
0.0791,	263.6767
0.0792,	263.4063
0.0793,	262.993
0.0794,	262.63
0.0795,	262.3379
0.0796,	262.1267
0.0797,	262.0045
0.0798,	261.9771
0.0799,	262.0484
0.08,	262.2202
0.0801,	262.4921
0.0802,	262.8617
0.0803,	263.3245
0.0804,	263.8737
0.0805,	264.501
0.0806,	265.1956
0.0807,	265.9452
0.0808,	266.7354
0.0809,	267.5504
0.081,	268.3726
0.0811,	269.1828
0.0812,	269.9607
0.0813,	270.6846
0.0814,	271.3316
0.0815,	271.8781
0.0816,	272.2994
0.0817,	272.5705
0.0818,	272.6655
0.0819,	272.5586
0.082,	272.2235
0.0821,	271.6343
0.0822,	270.7649
0.0823,	269.5899
0.0824,	268.0845
0.0825,	266.4223
0.0826,	264.7867
0.0827,	263.1984
0.0828,	261.6769
0.0829,	260.2393
0.083,	258.9012
0.0831,	257.6754
0.0832,	256.5732
0.0833,	255.6032
0.0834,	254.7718
0.0835,	254.0833
0.0836,	253.5393
0.0837,	253.1393
0.0838,	252.8804
0.0839,	252.7573
0.084,	252.7626
0.0841,	252.8864
0.0842,	253.1169
0.0843,	253.4402
0.0844,	253.8402
0.0845,	254.2992
0.0846,	254.7976
0.0847,	255.3141
0.0848,	255.826
0.0849,	256.3094
0.085,	256.7389
0.0851,	257.0882
0.0852,	257.3303
0.0853,	257.4373
0.0854,	257.3811
0.0855,	257.1329
0.0856,	256.6641
0.0857,	255.9459
0.0858,	254.9501
0.0859,	253.6487
0.086,	252.0524
0.0861,	250.4993
0.0862,	249.0894
0.0863,	247.8383
0.0864,	246.7592
0.0865,	245.8626
0.0866,	245.1565
0.0867,	244.6464
0.0868,	244.3349
0.0869,	244.2223
0.087,	244.3058
0.0871,	244.5805
0.0872,	245.0385
0.0873,	245.6694
0.0874,	246.4606
0.0875,	247.3969
0.0876,	248.4607
0.0877,	249.6326
0.0878,	250.8908
0.0879,	252.2117
0.088,	253.57
0.0881,	254.9388
0.0882,	256.2897
0.0883,	257.593
0.0884,	258.8182
0.0885,	259.9337
0.0886,	260.9072
0.0887,	261.7061
0.0888,	262.2975
0.0889,	262.6485
0.089,	262.7263
0.0891,	262.4985
0.0892,	261.9333
0.0893,	260.9999
0.0894,	259.6681
0.0895,	258.0439
0.0896,	256.5038
0.0897,	255.0862
0.0898,	253.8039
0.0899,	252.6678
0.09,	251.6862
0.0901,	250.8652
0.0902,	250.2082
0.0903,	249.7162
0.0904,	249.388
0.0905,	249.2195
0.0906,	249.2045
0.0907,	249.3344
0.0908,	249.5981
0.0909,	249.9826
0.091,	250.4724
0.0911,	251.0503
0.0912,	251.6967
0.0913,	252.3907
0.0914,	253.1094
0.0915,	253.8285
0.0916,	254.5224
0.0917,	255.1641
0.0918,	255.7257
0.0919,	256.1786
0.092,	256.4933
0.0921,	256.64
0.0922,	256.5886
0.0923,	256.3088
0.0924,	255.7705
0.0925,	254.9441
0.0926,	253.8002
0.0927,	252.3104
0.0928,	250.711
0.0929,	249.2567
0.093,	247.9625
0.0931,	246.8415
0.0932,	245.9039
0.0933,	245.1575
0.0934,	244.6073
0.0935,	244.2558
0.0936,	244.1028
0.0937,	244.1455
0.0938,	244.3785
0.0939,	244.7937
0.094,	245.3804
0.0941,	246.1257
0.0942,	247.0142
0.0943,	248.0282
0.0944,	249.1478
0.0945,	250.3512
0.0946,	251.6146
0.0947,	252.9125
0.0948,	254.2179
0.0949,	255.5022
0.095,	256.7358
0.0951,	257.888
0.0952,	258.9294
0.0953,	259.8444
0.0954,	260.6219
0.0955,	261.2501
0.0956,	261.7167
0.0957,	262.0087
0.0958,	262.1126
0.0959,	262.0148
0.096,	261.7013
0.0961,	261.158
0.0962,	260.3708
0.0963,	259.326
0.0964,	258.0099
0.0965,	257.4082
0.0966,	259.2774
0.0967,	260.7577
0.0968,	261.8675
0.0969,	262.6459
0.097,	263.4103
0.0971,	264.2585
0.0972,	265.18
0.0973,	266.1618
0.0974,	267.1897
0.0975,	268.2471
0.0976,	269.3163
0.0977,	270.3778
0.0978,	271.4107
0.0979,	272.3929
0.098,	273.301
0.0981,	274.1109
0.0982,	274.7975
0.0983,	275.3349
0.0984,	275.6971
0.0985,	275.8572
0.0986,	275.7888
0.0987,	275.4649
0.0988,	274.859
0.0989,	273.9451
0.099,	272.6974
0.0991,	271.1116
0.0992,	269.4436
0.0993,	267.7896
0.0994,	266.1702
0.0995,	264.6042
0.0996,	263.1087
0.0997,	261.6988
0.0998,	260.3876
0.0999,	259.1862
0.1,	258.1032
