Time,clutch3_f_0normalized,J1_w,J2_w,J3_w,J4_w,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0.159,0,8.6494,1.57957,0,0,0,1,8,28
0.162,0,8.59164,1.60896,0,0,0,1,8,28
0.165,0,8.53493,1.63834,0,0,0,1,8,28
0.168,0,8.47954,1.66769,0,0,0,1,8,28
0.171,0,8.42568,1.69701,0,0,0,1,8,28
0.174,0,8.37358,1.72632,0,0,0,1,8,28
0.177,0,8.32344,1.7556,0,0,0,1,8,28
0.18,0,8.27544,1.78485,0,0,0,1,8,28
0.183,0,8.22975,1.81408,0,0,0,1,8,28
0.186,0,8.18652,1.84328,0,0,0,1,8,28
0.189,0,8.14587,1.87246,0,0,0,1,8,28
0.192,0,8.10791,1.90161,0,0,0,1,8,28
0.195,0,8.07271,1.93073,0,0,0,1,8,28
0.198,0,8.04033,1.95983,0,0,0,1,8,28
0.201,0,8.0108,1.98889,0,0,0,1,8,28
0.204,0,7.98411,2.01793,0,0,0,1,8,28
0.207,0,7.96026,2.04695,0,0,0,1,8,28
0.21,0,7.9392,2.07593,0,0,0,1,8,28
0.213,0,7.92085,2.10488,0,0,0,1,8,28
0.216,0,7.90512,2.1338,0,0,0,1,8,28
0.219,0,7.8919,2.1627,0,0,0,1,8,28
0.222,0,7.88105,2.19156,0,0,0,1,8,28
0.225,0,7.8724,2.22039,0,0,0,1,8,28
0.228,0,7.86578,2.24919,0,0,0,1,8,28
0.231,0,7.861,2.27796,0,0,0,1,8,28
0.234,0,7.85784,2.30669,0,0,0,1,8,28
0.237,0,7.85606,2.3354,0,0,0,1,8,28
0.24,0,7.85545,2.36407,0,0,0,1,8,28
0.243,0,7.85574,2.3927,0,0,0,1,8,28
0.246,0,7.85667,2.4213,0,0,0,1,8,28
0.249,0,7.858,2.44987,0,0,0,1,8,28
0.252,0,7.85945,2.47841,0,0,0,1,8,28
0.255,0,7.86076,2.5069,0,0,0,1,8,28
0.258,0,7.86166,2.53537,0,0,0,1,8,28
0.261,0,7.86189,2.56379,0,0,0,1,8,28
0.264,0,7.8612,2.59218,0,0,0,1,8,28
0.267,0,7.85935,2.62054,0,0,0,1,8,28
0.27,0,7.85609,2.64885,0,0,0,1,8,28
0.273,0,7.85121,2.67713,0,0,0,1,8,28
0.276,0,7.8445,2.70537,0,0,0,1,8,28
0.279,0,7.83577,2.73357,0,0,0,1,8,28
0.282,0,7.82485,2.76174,0,0,0,1,8,28
0.285,0,7.81157,2.78986,0,0,0,1,8,28
0.288,0,7.79583,2.81795,0,0,0,1,8,28
0.291,0,7.77749,2.84599,0,0,0,1,8,28
0.294,0,7.75648,2.874,0,0,0,1,8,28
0.297,0,7.73274,2.90196,0,0,0,1,8,28
0.3,0,7.70622,2.92988,0,0,0,1,8,28
0.303,0,7.67692,2.95777,0,0,0,1,8,28
0.306,0,7.64485,2.98561,0,0,0,1,8,28
0.309,0,7.61005,3.0134,0,0,0,1,8,28
0.312,0,7.57258,3.04116,0,0,0,1,8,28
0.315,0,7.53252,3.06887,0,0,0,1,8,28
0.318,0,7.49,3.09653,0,0,0,1,8,28
0.321,0,7.44513,3.12416,0,0,0,1,8,28
0.324,0,7.39806,3.15174,0,0,0,1,8,28
0.327,0,7.34899,3.17927,0,0,0,1,8,28
0.33,0,7.2981,3.20676,0,0,0,1,8,28
0.333,0,7.24559,3.23421,0,0,0,1,8,28
0.336,0,7.19168,3.2616,0,0,0,1,8,28
0.339,0,7.13663,3.28896,0,0,0,1,8,28
0.342,0,7.08066,3.31626,0,0,0,1,8,28
0.345,0,7.02404,3.34352,0,0,0,1,8,28
0.348,0,6.96702,3.37073,0,0,0,1,8,28
0.351,0,6.90988,3.39789,0,0,0,1,8,28
0.354,0,6.85287,3.42501,0,0,0,1,8,28
0.357,0,6.79626,3.45207,0,0,0,1,8,28
0.36,0,6.74032,3.47909,0,0,0,1,8,28
0.363,0,6.6853,3.50606,0,0,0,1,8,28
0.366,0,6.63146,3.53298,0,0,0,1,8,28
0.369,0,6.57902,3.55985,0,0,0,1,8,28
0.372,0,6.52823,3.58666,0,0,0,1,8,28
0.375,0,6.47929,3.61343,0,0,0,1,8,28
0.378,0,6.4324,3.64015,0,0,0,1,8,28
0.381,0,6.38773,3.66681,0,0,0,1,8,28
0.384,0,6.34546,3.69342,0,0,0,1,8,28
0.387,0,6.30571,3.71998,0,0,0,1,8,28
0.39,0,6.26861,3.74649,0,0,0,1,8,28
0.393,0,6.23424,3.77294,0,0,0,1,8,28
0.396,0,6.2027,3.79934,0,0,0,1,8,28
0.399,0,6.174,3.82569,0,0,0,1,8,28
0.4,0,6.16508,3.83446,0,0,0,1,8,28
0.4,0,6.16508,3.83446,0,0,0,1,8,28
0.402,0,6.14818,3.83198,0.02,0,0,1,8,28
0.405,0,6.12523,3.82821,0.05,0,0,1,8,28
0.408,0,6.10509,3.8244,0.08,0,0,1,8,28
0.411,0,6.08774,3.82052,0.11,0,0,1,8,28
0.414,0,6.07305,3.81659,0.14,0,0,1,8,28
0.417,0,6.061,3.81261,0.17,0,0,1,8,28
0.42,0,6.05141,3.80856,0.2,0,0,1,8,28
0.423,0,6.04416,3.80447,0.23,0,0,1,8,28
0.426,0,6.03911,3.80031,0.26,0,0,1,8,28
0.429,0,6.03606,3.7961,0.29,0,0,1,8,28
0.432,0,6.03479,3.79182,0.32,0,0,1,8,28
0.435,0,6.03508,3.78749,0.35,0,0,1,8,28
0.438,0,6.03671,3.7831,0.38,0,0,1,8,28
0.441,0,6.03944,3.77866,0.41,0,0,1,8,28
0.444,0,6.04303,3.77415,0.44,0,0,1,8,28
0.447,0,6.0472,3.76958,0.47,0,0,1,8,28
0.45,0,6.0517,3.76495,0.5,0,0,1,8,28
0.453,0,6.05628,3.76027,0.53,0,0,1,8,28
0.456,0,6.0607,3.75552,0.56,0,0,1,8,28
0.459,0,6.06467,3.75071,0.59,0,0,1,8,28
0.462,0,6.06791,3.74584,0.62,0,0,1,8,28
0.465,0,6.07019,3.7409,0.65,0,0,1,8,28
0.468,0,6.07125,3.73591,0.68,0,0,1,8,28
0.471,0,6.07087,3.73085,0.71,0,0,1,8,28
0.474,0,6.0688,3.72573,0.74,0,0,1,8,28
0.477,0,6.06489,3.72054,0.77,0,0,1,8,28
0.48,0,6.0589,3.7153,0.8,0,0,1,8,28
0.483,0,6.0507,3.70998,0.83,0,0,1,8,28
0.486,0,6.04012,3.70461,0.86,0,0,1,8,28
0.489,0,6.02704,3.69916,0.89,0,0,1,8,28
0.492,0,6.01137,3.69366,0.92,0,0,1,8,28
0.495,0,5.99302,3.68808,0.95,0,0,1,8,28
0.498,0,5.97195,3.68245,0.98,0,0,1,8,28
0.501,0,5.94813,3.67674,1.01,0,0,1,8,28
0.504,0,5.92155,3.67097,1.04,0,0,1,8,28
0.507,0,5.89223,3.66513,1.07,0,0,1,8,28
0.51,0,5.86023,3.65923,1.1,0,0,1,8,28
0.513,0,5.8256,3.65326,1.13,0,0,1,8,28
0.516,0,5.78845,3.64722,1.16,0,0,1,8,28
0.519,0,5.74889,3.64111,1.19,0,0,1,8,28
0.522,0,5.70705,3.63493,1.22,0,0,1,8,28
0.525,0,5.6631,3.62868,1.25,0,0,1,8,28
0.528,0,5.61722,3.62237,1.28,0,0,1,8,28
0.531,0,5.56957,3.61598,1.31,0,0,1,8,28
0.534,0,5.52041,3.60953,1.34,0,0,1,8,28
0.537,0,5.46996,3.603,1.37,0,0,1,8,28
0.54,0,5.41847,3.59641,1.4,0,0,1,8,28
0.543,0,5.36613,3.58974,1.43,0,0,1,8,28
0.546,0,5.31325,3.583,1.46,0,0,1,8,28
0.549,0,5.26014,3.57619,1.49,0,0,1,8,28
0.552,0,5.20699,3.56931,1.52,0,0,1,8,28
0.555,0,5.15411,3.56236,1.55,0,0,1,8,28
0.558,0,5.10179,3.55533,1.58,0,0,1,8,28
0.561,0,5.05023,3.54823,1.61,0,0,1,8,28
0.564,0,4.99971,3.54106,1.64,0,0,1,8,28
0.567,0,4.95047,3.53381,1.67,0,0,1,8,28
0.57,0,4.90273,3.52649,1.7,0,0,1,8,28
0.573,0,4.85673,3.5191,1.73,0,0,1,8,28
0.576,0,4.81266,3.51163,1.76,0,0,1,8,28
0.579,0,4.77071,3.50409,1.79,0,0,1,8,28
0.582,0,4.73108,3.49647,1.82,0,0,1,8,28
0.585,0,4.6939,3.48878,1.85,0,0,1,8,28
0.588,0,4.65931,3.48101,1.88,0,0,1,8,28
0.591,0,4.62744,3.47316,1.91,0,0,1,8,28
0.594,0,4.59835,3.46524,1.94,0,0,1,8,28
0.597,0,4.57212,3.45724,1.97,0,0,1,8,28
0.6,0,4.54878,3.44916,2,0,0,1,8,28
0.603,0,4.52835,3.44101,2.03,0,0,1,8,28
0.606,0,4.51081,3.43278,2.06,0,0,1,8,28
0.609,0,4.49613,3.42447,2.09,0,0,1,8,28
0.612,0,4.48424,3.41608,2.12,0,0,1,8,28
0.615,0,4.47505,3.40762,2.15,0,0,1,8,28
0.618,0,4.46846,3.39907,2.18,0,0,1,8,28
0.621,0,4.46434,3.39045,2.21,0,0,1,8,28
0.624,0,4.46252,3.38175,2.24,0,0,1,8,28
0.627,0,4.46284,3.37296,2.27,0,0,1,8,28
0.63,0,4.46511,3.3641,2.3,0,0,1,8,28
0.633,0,4.46912,3.35516,2.33,0,0,1,8,28
0.636,0,4.47465,3.34613,2.36,0,0,1,8,28
0.639,0,4.48147,3.33703,2.39,0,0,1,8,28
0.642,0,4.48932,3.32784,2.42,0,0,1,8,28
0.645,0,4.49796,3.31857,2.45,0,0,1,8,28
0.648,0,4.50712,3.30922,2.48,0,0,1,8,28
0.651,0,4.51654,3.29979,2.51,0,0,1,8,28
0.654,0,4.52595,3.29027,2.54,0,0,1,8,28
0.657,0,4.53509,3.28067,2.57,0,0,1,8,28
0.66,0,4.5437,3.27099,2.6,0,0,1,8,28
0.663,0,4.55152,3.26123,2.63,0,0,1,8,28
0.666,0,4.55829,3.25138,2.66,0,0,1,8,28
0.669,0,4.5638,3.24145,2.69,0,0,1,8,28
0.672,0,4.56779,3.23143,2.72,0,0,1,8,28
0.675,0,4.57007,3.22133,2.75,0,0,1,8,28
0.678,0,4.57044,3.21115,2.78,0,0,1,8,28
0.681,0,4.56871,3.20088,2.81,0,0,1,8,28
0.684,0,4.56473,3.19052,2.84,0,0,1,8,28
0.687,0,4.55836,3.18008,2.87,0,0,1,8,28
0.69,0,4.54948,3.16955,2.9,0,0,1,8,28
0.693,0,4.53801,3.15894,2.93,0,0,1,8,28
0.696,0,4.52386,3.14824,2.96,0,0,1,8,28
0.699,0,4.507,3.13746,2.99,0,0,1,8,28
0.702,0,4.48739,3.12658,3.02,0,0,1,8,28
0.705,0,4.46506,3.11562,3.05,0,0,1,8,28
0.708,0,4.44002,3.10457,3.08,0,0,1,8,28
0.709793,0,4.42379,3.09793,3.09793,0,0,1,8,28
0.709793,0,4.42379,3.09793,3.09793,0,0,1,8,28
0.711,0,4.41234,3.10172,3.10172,0,0,1,8,28
0.714,0,4.3821,3.11111,3.11111,0,0,1,8,28
0.717,0,4.3494,3.12045,3.12045,0,0,1,8,28
0.72,0,4.31436,3.12975,3.12975,0,0,1,8,28
0.723,0,4.27714,3.139,3.139,0,0,1,8,28
0.726,0,4.23787,3.14822,3.14822,0,0,1,8,28
0.729,0,4.19676,3.15738,3.15738,0,0,1,8,28
0.732,0,4.15399,3.1665,3.1665,0,0,1,8,28
0.735,0,4.10981,3.17558,3.17558,0,0,1,8,28
0.738,0,4.06442,3.18461,3.18461,0,0,1,8,28
0.741,0,4.01808,3.19359,3.19359,0,0,1,8,28
0.744,0,3.97105,3.20253,3.20253,0,0,1,8,28
0.747,0,3.92357,3.21143,3.21143,0,0,1,8,28
0.75,0,3.87591,3.22028,3.22028,0,0,1,8,28
0.753,0,3.82835,3.22908,3.22908,0,0,1,8,28
0.756,0,3.78114,3.23784,3.23784,0,0,1,8,28
0.759,0,3.73456,3.24655,3.24655,0,0,1,8,28
0.762,0,3.68885,3.25522,3.25522,0,0,1,8,28
0.765,0,3.64428,3.26384,3.26384,0,0,1,8,28
0.768,0,3.60108,3.27241,3.27241,0,0,1,8,28
0.771,0,3.55949,3.28094,3.28094,0,0,1,8,28
0.774,0,3.51972,3.28942,3.28942,0,0,1,8,28
0.777,0,3.48199,3.29785,3.29785,0,0,1,8,28
0.78,0,3.44646,3.30624,3.30624,0,0,1,8,28
0.783,0,3.41332,3.31458,3.31458,0,0,1,8,28
0.786,0,3.3827,3.32287,3.32287,0,0,1,8,28
0.789,0,3.35474,3.33111,3.33111,0,0,1,8,28
0.791095,0,3.33684,3.33684,3.33684,0,0,1,8,28
0.791095,0,3.33684,3.33684,3.33684,0,0,1,8,28
0.792,0,3.33605,3.33605,3.33605,0,0,1,8,28
0.795,0,3.33403,3.33403,3.33403,0,0,1,8,28
0.798,0,3.33293,3.33293,3.33293,0,0,1,8,28
0.801,0,3.33278,3.33278,3.33278,0,0,1,8,28
0.804,0,3.33356,3.33356,3.33356,0,0,1,8,28
0.807,0,3.33526,3.33526,3.33526,0,0,1,8,28
0.81,0,3.33788,3.33788,3.33788,0,0,1,8,28
0.813,0,3.34139,3.34139,3.34139,0,0,1,8,28
0.816,0,3.34577,3.34577,3.34577,0,0,1,8,28
0.819,0,3.35097,3.35097,3.35097,0,0,1,8,28
0.822,0,3.35693,3.35693,3.35693,0,0,1,8,28
0.825,0,3.36363,3.36363,3.36363,0,0,1,8,28
0.828,0,3.37099,3.37099,3.37099,0,0,1,8,28
0.831,0,3.37896,3.37896,3.37896,0,0,1,8,28
0.831167,0,3.37942,3.37942,3.37942,0,0,1,8,28
0.831167,0,3.37942,3.37942,3.37942,0,0,1,8,28
0.831167,0,3.37942,3.37942,3.37942,0,0,1,8,28
0.831167,0,3.37942,3.37942,3.37942,0,0,1,8,28
0.834,0,3.38939,3.38652,3.38652,0,0,1,8,28
0.837,0,3.40133,3.394,3.394,0,0,1,8,28
0.84,0,3.41447,3.40142,3.40142,0,0,1,8,28
0.843,0,3.42859,3.4088,3.4088,0,0,1,8,28
0.846,0,3.44342,3.41613,3.41613,0,0,1,8,28
0.849,0,3.4587,3.42341,3.42341,0,0,1,8,28
0.852,0,3.47419,3.43063,3.43063,0,0,1,8,28
0.855,0,3.48963,3.43781,3.43781,0,0,1,8,28
0.858,0,3.50474,3.44494,3.44494,0,0,1,8,28
0.861,0,3.51925,3.45202,3.45202,0,0,1,8,28
0.864,0,3.5329,3.45905,3.45905,0,0,1,8,28
0.867,0,3.54546,3.46603,3.46603,0,0,1,8,28
0.87,0,3.55667,3.47296,3.47296,0,0,1,8,28
0.873,0,3.56633,3.47984,3.47984,0,0,1,8,28
0.876,0,3.57422,3.48667,3.48667,0,0,1,8,28
0.879,0,3.58014,3.49345,3.49345,0,0,1,8,28
0.882,0,3.58394,3.50018,3.50018,0,0,1,8,28
0.885,0,3.58544,3.50685,3.50685,0,0,1,8,28
0.888,0,3.58453,3.51348,3.51348,0,0,1,8,28
0.891,0,3.58109,3.52006,3.52006,0,0,1,8,28
0.894,0,3.57504,3.52658,3.52658,0,0,1,8,28
0.897,0,3.56632,3.53305,3.53305,0,0,1,8,28
0.9,0,3.55489,3.53948,3.53948,0,0,1,8,28
0.902288,0,3.54434,3.54434,3.54434,0,0,1,8,28
0.902288,0,3.54434,3.54434,3.54434,0,0,1,8,28
0.903,0,3.54414,3.54414,3.54414,0,0,1,8,28
0.906,0,3.54274,3.54274,3.54274,0,0,1,8,28
0.909,0,3.54041,3.54041,3.54041,0,0,1,8,28
0.912,0,3.53718,3.53718,3.53718,0,0,1,8,28
0.915,0,3.53308,3.53308,3.53308,0,0,1,8,28
0.918,0,3.52813,3.52813,3.52813,0,0,1,8,28
0.921,0,3.5224,3.5224,3.5224,0,0,1,8,28
0.92296,0,3.51824,3.51824,3.51824,0,0,1,8,28
0.92296,0,3.51824,3.51824,3.51824,0,0,1,8,28
0.924,0,3.5154,3.51616,3.51616,0,0,1,8,28
0.927,0,3.5058,3.5102,3.5102,0,0,1,8,28
0.93,0,3.49425,3.5043,3.5043,0,0,1,8,28
0.933,0,3.48093,3.49844,3.49844,0,0,1,8,28
0.936,0,3.46606,3.49264,3.49264,0,0,1,8,28
0.939,0,3.44987,3.48689,3.48689,0,0,1,8,28
0.942,0,3.43262,3.48119,3.48119,0,0,1,8,28
0.945,0,3.41456,3.47554,3.47554,0,0,1,8,28
0.948,0,3.39594,3.46995,3.46995,0,0,1,8,28
0.951,0,3.37704,3.46441,3.46441,0,0,1,8,28
0.954,0,3.35812,3.45892,3.45892,0,0,1,8,28
0.957,0,3.33945,3.45348,3.45348,0,0,1,8,28
0.96,0,3.32128,3.4481,3.4481,0,0,1,8,28
0.963,0,3.30388,3.44276,3.44276,0,0,1,8,28
0.966,0,3.28748,3.43749,3.43749,0,0,1,8,28
0.969,0,3.27233,3.43226,3.43226,0,0,1,8,28
0.972,0,3.25868,3.42709,3.42709,0,0,1,8,28
0.975,0,3.24669,3.42197,3.42197,0,0,1,8,28
0.978,0,3.23662,3.41691,3.41691,0,0,1,8,28
0.981,0,3.2286,3.41189,3.41189,0,0,1,8,28
0.984,0,3.22284,3.40693,3.40693,0,0,1,8,28
0.987,0,3.21941,3.40203,3.40203,0,0,1,8,28
0.99,0,3.2185,3.39718,3.39718,0,0,1,8,28
0.993,0,3.22015,3.39238,3.39238,0,0,1,8,28
0.996,0,3.22448,3.38763,3.38763,0,0,1,8,28
0.999,0,3.23148,3.38294,3.38294,0,0,1,8,28
1.002,0,3.24122,3.3783,3.3783,0,0,1,8,28
1.005,0,3.25366,3.37372,3.37372,0,0,1,8,28
1.008,0,3.26877,3.36919,3.36919,0,0,1,8,28
1.011,0,3.28652,3.36471,3.36471,0,0,1,8,28
1.014,0,3.30681,3.36029,3.36029,0,0,1,8,28
1.017,0,3.32956,3.35592,3.35592,0,0,1,8,28
1.0197,0,3.35204,3.35204,3.35204,0,0,1,8,28
1.0197,0,3.35204,3.35204,3.35204,0,0,1,8,28
1.02,0,3.35292,3.35246,3.35246,0,0,1,8,28
1.023,0,3.36314,3.35672,3.35672,0,0,1,8,28
1.026,0,3.37557,3.36093,3.36093,0,0,1,8,28
1.029,0,3.39003,3.36508,3.36508,0,0,1,8,28
1.032,0,3.40633,3.36917,3.36917,0,0,1,8,28
1.035,0,3.42426,3.37322,3.37322,0,0,1,8,28
1.038,0,3.4436,3.3772,3.3772,0,0,1,8,28
1.041,0,3.46409,3.38114,3.38114,0,0,1,8,28
1.044,0,3.48548,3.38502,3.38502,0,0,1,8,28
1.047,0,3.50752,3.38884,3.38884,0,0,1,8,28
1.05,0,3.52993,3.39261,3.39261,0,0,1,8,28
1.053,0,3.55246,3.39632,3.39632,0,0,1,8,28
1.056,0,3.57483,3.39998,3.39998,0,0,1,8,28
1.059,0,3.59679,3.40359,3.40359,0,0,1,8,28
1.062,0,3.61807,3.40714,3.40714,0,0,1,8,28
1.065,0,3.63844,3.41063,3.41063,0,0,1,8,28
1.068,0,3.65766,3.41407,3.41407,0,0,1,8,28
1.071,0,3.67547,3.41746,3.41746,0,0,1,8,28
1.074,0,3.69165,3.42079,3.42079,0,0,1,8,28
1.077,0,3.70605,3.42406,3.42406,0,0,1,8,28
1.08,0,3.71841,3.42728,3.42728,0,0,1,8,28
1.083,0,3.72861,3.43045,3.43045,0,0,1,8,28
1.086,0,3.73648,3.43356,3.43356,0,0,1,8,28
1.089,0,3.74188,3.43661,3.43661,0,0,1,8,28
1.092,0,3.74474,3.43961,3.43961,0,0,1,8,28
1.095,0,3.74495,3.44255,3.44255,0,0,1,8,28
1.098,0,3.74249,3.44544,3.44544,0,0,1,8,28
1.101,0,3.7373,3.44827,3.44827,0,0,1,8,28
1.104,0,3.72941,3.45104,3.45104,0,0,1,8,28
1.107,0,3.71883,3.45377,3.45377,0,0,1,8,28
1.11,0,3.7056,3.45643,3.45643,0,0,1,8,28
1.113,0,3.68981,3.45904,3.45904,0,0,1,8,28
1.116,0,3.67153,3.46159,3.46159,0,0,1,8,28
1.119,0,3.65089,3.46409,3.46409,0,0,1,8,28
1.122,0,3.62803,3.46653,3.46653,0,0,1,8,28
1.125,0,3.6031,3.46892,3.46892,0,0,1,8,28
1.128,0,3.57628,3.47125,3.47125,0,0,1,8,28
1.131,0,3.54776,3.47352,3.47352,0,0,1,8,28
1.134,0,3.51776,3.47574,3.47574,0,0,1,8,28
1.137,0,3.48651,3.47791,3.47791,0,0,1,8,28
1.13776,0,3.47844,3.47844,3.47844,0,0,1,8,28
1.13776,0,3.47844,3.47844,3.47844,0,0,1,8,28
1.14,0,3.46052,3.47687,3.47687,0,0,1,8,28
1.143,0,3.43574,3.47482,3.47482,0,0,1,8,28
1.146,0,3.41023,3.47283,3.47283,0,0,1,8,28
1.149,0,3.38426,3.47089,3.47089,0,0,1,8,28
1.152,0,3.35808,3.46901,3.46901,0,0,1,8,28
1.155,0,3.33193,3.46718,3.46718,0,0,1,8,28
1.158,0,3.30611,3.46541,3.46541,0,0,1,8,28
1.161,0,3.28086,3.4637,3.4637,0,0,1,8,28
1.164,0,3.25647,3.46204,3.46204,0,0,1,8,28
1.167,0,3.23316,3.46044,3.46044,0,0,1,8,28
1.17,0,3.21117,3.45889,3.45889,0,0,1,8,28
1.173,0,3.19073,3.4574,3.4574,0,0,1,8,28
1.176,0,3.17204,3.45597,3.45597,0,0,1,8,28
1.179,0,3.15531,3.45459,3.45459,0,0,1,8,28
1.182,0,3.14068,3.45327,3.45327,0,0,1,8,28
1.185,0,3.12834,3.45201,3.45201,0,0,1,8,28
1.188,0,3.11839,3.4508,3.4508,0,0,1,8,28
1.191,0,3.11097,3.44965,3.44965,0,0,1,8,28
1.194,0,3.10614,3.44855,3.44855,0,0,1,8,28
1.197,0,3.10398,3.44752,3.44752,0,0,1,8,28
1.2,0,3.10453,3.44653,3.44653,0,0,1,8,28
1.203,0,3.10779,3.44561,3.44561,0,0,1,8,28
1.206,0,3.11376,3.44474,3.44474,0,0,1,8,28
1.209,0,3.12239,3.44393,3.44393,0,0,1,8,28
1.212,0,3.13362,3.44317,3.44317,0,0,1,8,28
1.215,0,3.14736,3.44247,3.44247,0,0,1,8,28
1.218,0,3.16352,3.44183,3.44183,0,0,1,8,28
1.221,0,3.18195,3.44124,3.44124,0,0,1,8,28
1.224,0,3.20251,3.44071,3.44071,0,0,1,8,28
1.227,0,3.22501,3.44024,3.44024,0,0,1,8,28
1.23,0,3.24926,3.43982,3.43982,0,0,1,8,28
1.233,0,3.27508,3.43946,3.43946,0,0,1,8,28
1.236,0,3.30223,3.43916,3.43916,0,0,1,8,28
1.239,0,3.33045,3.43891,3.43891,0,0,1,8,28
1.242,0,3.35954,3.43872,3.43872,0,0,1,8,28
1.245,0,3.38921,3.43858,3.43858,0,0,1,8,28
1.248,0,3.41918,3.4385,3.4385,0,0,1,8,28
1.24993,0,3.43848,3.43848,3.43848,0,0,1,8,28
1.24993,0,3.43848,3.43848,3.43848,0,0,1,8,28
1.25063,0,3.44557,3.43849,3.43849,0,0,1,8,28
1.25063,0,3.44557,3.43849,3.43849,0,0,1,8,28
1.251,0,3.44923,3.43849,3.43849,0,0,1,8,28
1.254,0,3.47911,3.43849,3.43849,0,0,1,8,28
1.257,0,3.50863,3.43849,3.43849,0,0,1,8,28
1.26,0,3.53754,3.43849,3.43849,0,0,1,8,28
1.263,0,3.56559,3.43849,3.43849,0,0,1,8,28
1.266,0,3.59253,3.43849,3.43849,0,0,1,8,28
1.269,0,3.61811,3.43849,3.43849,0,0,1,8,28
1.272,0,3.64211,3.43849,3.43849,0,0,1,8,28
1.275,0,3.66431,3.43849,3.43849,0,0,1,8,28
1.278,0,3.68452,3.43849,3.43849,0,0,1,8,28
1.281,0,3.70255,3.43849,3.43849,0,0,1,8,28
1.284,0,3.71824,3.43849,3.43849,0,0,1,8,28
1.287,0,3.73147,3.43849,3.43849,0,0,1,8,28
1.29,0,3.7421,3.43849,3.43849,0,0,1,8,28
1.293,0,3.75005,3.43849,3.43849,0,0,1,8,28
1.296,0,3.75523,3.43849,3.43849,0,0,1,8,28
1.299,0,3.75763,3.43849,3.43849,0,0,1,8,28
1.302,0,3.75718,3.43849,3.43849,0,0,1,8,28
1.305,0,3.7539,3.43849,3.43849,0,0,1,8,28
1.308,0,3.74782,3.43849,3.43849,0,0,1,8,28
1.311,0,3.73901,3.43849,3.43849,0,0,1,8,28
