Time,circle_SWC_fmu.Circle_SWC_output_Coords_x,circle_SWC_fmu.Circle_SWC_output_Coords_y,circle_SWC_fmu.fmi_loggingOn,circle_SWC_fmu.fmi_pullInputsForInitialization,circle_SWC_fmu.fmi_StartTime,circle_SWC_fmu.fmi_StopTime,circle_SWC_fmu.fmi_NumberOfSteps,circle_SWC_fmu.fmi_CommunicationStepSize,circle_SWC_fmu.stepSizeScaleFactor,circle_SWC_fmu.fmi_forceShutDownAtStopTime
0.106,0.45,0.89,0,1,0,1,500,0.002,1,0
0.108,0.45,0.89,0,1,0,1,500,0.002,1,0
0.11,0.45,0.89,0,1,0,1,500,0.002,1,0
0.112,0.45,0.89,0,1,0,1,500,0.002,1,0
0.114,0.45,0.89,0,1,0,1,500,0.002,1,0
0.116,0.45,0.89,0,1,0,1,500,0.002,1,0
0.116,0.36,0.93,0,1,0,1,500,0.002,1,0
0.118,0.36,0.93,0,1,0,1,500,0.002,1,0
0.12,0.36,0.93,0,1,0,1,500,0.002,1,0
0.122,0.36,0.93,0,1,0,1,500,0.002,1,0
0.124,0.36,0.93,0,1,0,1,500,0.002,1,0
0.126,0.36,0.93,0,1,0,1,500,0.002,1,0
0.126,0.26,0.96,0,1,0,1,500,0.002,1,0
0.128,0.26,0.96,0,1,0,1,500,0.002,1,0
0.13,0.26,0.96,0,1,0,1,500,0.002,1,0
0.132,0.26,0.96,0,1,0,1,500,0.002,1,0
0.134,0.26,0.96,0,1,0,1,500,0.002,1,0
0.136,0.16,0.98,0,1,0,1,500,0.002,1,0
0.138,0.16,0.98,0,1,0,1,500,0.002,1,0
0.14,0.16,0.98,0,1,0,1,500,0.002,1,0
0.142,0.16,0.98,0,1,0,1,500,0.002,1,0
0.144,0.16,0.98,0,1,0,1,500,0.002,1,0
0.146,0.16,0.98,0,1,0,1,500,0.002,1,0
0.146,0.07,0.99,0,1,0,1,500,0.002,1,0
0.148,0.07,0.99,0,1,0,1,500,0.002,1,0
0.15,0.07,0.99,0,1,0,1,500,0.002,1,0
0.152,0.07,0.99,0,1,0,1,500,0.002,1,0
0.154,0.07,0.99,0,1,0,1,500,0.002,1,0
0.156,0.07,0.99,0,1,0,1,500,0.002,1,0
0.156,-0.03,0.99,0,1,0,1,500,0.002,1,0
0.158,-0.03,0.99,0,1,0,1,500,0.002,1,0
0.16,-0.03,0.99,0,1,0,1,500,0.002,1,0
0.162,-0.03,0.99,0,1,0,1,500,0.002,1,0
0.164,-0.03,0.99,0,1,0,1,500,0.002,1,0
0.166,-0.03,0.99,0,1,0,1,500,0.002,1,0
0.166,-0.13,0.99,0,1,0,1,500,0.002,1,0
0.168,-0.13,0.99,0,1,0,1,500,0.002,1,0
0.17,-0.13,0.99,0,1,0,1,500,0.002,1,0
0.172,-0.13,0.99,0,1,0,1,500,0.002,1,0
0.174,-0.13,0.99,0,1,0,1,500,0.002,1,0
0.176,-0.23,0.97,0,1,0,1,500,0.002,1,0
0.178,-0.23,0.97,0,1,0,1,500,0.002,1,0
0.18,-0.23,0.97,0,1,0,1,500,0.002,1,0
0.182,-0.23,0.97,0,1,0,1,500,0.002,1,0
0.184,-0.23,0.97,0,1,0,1,500,0.002,1,0
0.186,-0.23,0.97,0,1,0,1,500,0.002,1,0
0.186,-0.33,0.94,0,1,0,1,500,0.002,1,0
0.188,-0.33,0.94,0,1,0,1,500,0.002,1,0
0.19,-0.33,0.94,0,1,0,1,500,0.002,1,0
0.192,-0.33,0.94,0,1,0,1,500,0.002,1,0
0.194,-0.33,0.94,0,1,0,1,500,0.002,1,0
0.196,-0.33,0.94,0,1,0,1,500,0.002,1,0
0.196,-0.42,0.9,0,1,0,1,500,0.002,1,0
0.198,-0.42,0.9,0,1,0,1,500,0.002,1,0
0.2,-0.42,0.9,0,1,0,1,500,0.002,1,0
0.202,-0.42,0.9,0,1,0,1,500,0.002,1,0
0.204,-0.42,0.9,0,1,0,1,500,0.002,1,0
0.206,-0.42,0.9,0,1,0,1,500,0.002,1,0
0.206,-0.51,0.86,0,1,0,1,500,0.002,1,0
0.208,-0.51,0.86,0,1,0,1,500,0.002,1,0
0.21,-0.51,0.86,0,1,0,1,500,0.002,1,0
0.212,-0.51,0.86,0,1,0,1,500,0.002,1,0
0.214,-0.51,0.86,0,1,0,1,500,0.002,1,0
0.216,-0.59,0.8,0,1,0,1,500,0.002,1,0
0.218,-0.59,0.8,0,1,0,1,500,0.002,1,0
0.22,-0.59,0.8,0,1,0,1,500,0.002,1,0
0.222,-0.59,0.8,0,1,0,1,500,0.002,1,0
0.224,-0.59,0.8,0,1,0,1,500,0.002,1,0
0.226,-0.59,0.8,0,1,0,1,500,0.002,1,0
0.226,-0.67,0.74,0,1,0,1,500,0.002,1,0
0.228,-0.67,0.74,0,1,0,1,500,0.002,1,0
0.23,-0.67,0.74,0,1,0,1,500,0.002,1,0
0.232,-0.67,0.74,0,1,0,1,500,0.002,1,0
0.234,-0.67,0.74,0,1,0,1,500,0.002,1,0
0.236,-0.67,0.74,0,1,0,1,500,0.002,1,0
0.236,-0.74,0.67,0,1,0,1,500,0.002,1,0
0.238,-0.74,0.67,0,1,0,1,500,0.002,1,0
0.24,-0.74,0.67,0,1,0,1,500,0.002,1,0
0.242,-0.74,0.67,0,1,0,1,500,0.002,1,0
0.244,-0.74,0.67,0,1,0,1,500,0.002,1,0
0.246,-0.74,0.67,0,1,0,1,500,0.002,1,0
0.246,-0.81,0.59,0,1,0,1,500,0.002,1,0
0.248,-0.81,0.59,0,1,0,1,500,0.002,1,0
0.25,-0.81,0.59,0,1,0,1,500,0.002,1,0
0.252,-0.81,0.59,0,1,0,1,500,0.002,1,0
0.254,-0.81,0.59,0,1,0,1,500,0.002,1,0
0.256,-0.86,0.51,0,1,0,1,500,0.002,1,0
0.258,-0.86,0.51,0,1,0,1,500,0.002,1,0
0.26,-0.86,0.51,0,1,0,1,500,0.002,1,0
0.262,-0.86,0.51,0,1,0,1,500,0.002,1,0
0.264,-0.86,0.51,0,1,0,1,500,0.002,1,0
0.266,-0.86,0.51,0,1,0,1,500,0.002,1,0
0.266,-0.91,0.42,0,1,0,1,500,0.002,1,0
0.268,-0.91,0.42,0,1,0,1,500,0.002,1,0
0.27,-0.91,0.42,0,1,0,1,500,0.002,1,0
0.272,-0.91,0.42,0,1,0,1,500,0.002,1,0
0.274,-0.91,0.42,0,1,0,1,500,0.002,1,0
0.276,-0.91,0.42,0,1,0,1,500,0.002,1,0
0.276,-0.95,0.33,0,1,0,1,500,0.002,1,0
0.278,-0.95,0.33,0,1,0,1,500,0.002,1,0
0.28,-0.95,0.33,0,1,0,1,500,0.002,1,0
0.282,-0.95,0.33,0,1,0,1,500,0.002,1,0
0.284,-0.95,0.33,0,1,0,1,500,0.002,1,0
0.286,-0.95,0.33,0,1,0,1,500,0.002,1,0
0.286,-0.98,0.23,0,1,0,1,500,0.002,1,0
0.288,-0.98,0.23,0,1,0,1,500,0.002,1,0
0.29,-0.98,0.23,0,1,0,1,500,0.002,1,0
0.292,-0.98,0.23,0,1,0,1,500,0.002,1,0
0.294,-0.98,0.23,0,1,0,1,500,0.002,1,0
0.296,-0.99,0.14,0,1,0,1,500,0.002,1,0
0.298,-0.99,0.14,0,1,0,1,500,0.002,1,0
0.3,-0.99,0.14,0,1,0,1,500,0.002,1,0
0.302,-0.99,0.14,0,1,0,1,500,0.002,1,0
0.304,-0.99,0.14,0,1,0,1,500,0.002,1,0
0.306,-0.99,0.14,0,1,0,1,500,0.002,1,0
0.306,-1,0.04,0,1,0,1,500,0.002,1,0
0.308,-1,0.04,0,1,0,1,500,0.002,1,0
0.31,-1,0.04,0,1,0,1,500,0.002,1,0
0.312,-1,0.04,0,1,0,1,500,0.002,1,0
0.314,-1,0.04,0,1,0,1,500,0.002,1,0
0.316,-1,0.04,0,1,0,1,500,0.002,1,0
0.316,-1,-0.06,0,1,0,1,500,0.002,1,0
0.318,-1,-0.06,0,1,0,1,500,0.002,1,0
0.32,-1,-0.06,0,1,0,1,500,0.002,1,0
0.322,-1,-0.06,0,1,0,1,500,0.002,1,0
0.324,-1,-0.06,0,1,0,1,500,0.002,1,0
0.326,-1,-0.06,0,1,0,1,500,0.002,1,0
0.326,-0.99,-0.16,0,1,0,1,500,0.002,1,0
0.328,-0.99,-0.16,0,1,0,1,500,0.002,1,0
0.33,-0.99,-0.16,0,1,0,1,500,0.002,1,0
0.332,-0.99,-0.16,0,1,0,1,500,0.002,1,0
0.334,-0.99,-0.16,0,1,0,1,500,0.002,1,0
0.336,-0.97,-0.26,0,1,0,1,500,0.002,1,0
0.338,-0.97,-0.26,0,1,0,1,500,0.002,1,0
0.34,-0.97,-0.26,0,1,0,1,500,0.002,1,0
0.342,-0.97,-0.26,0,1,0,1,500,0.002,1,0
0.344,-0.97,-0.26,0,1,0,1,500,0.002,1,0
0.346,-0.97,-0.26,0,1,0,1,500,0.002,1,0
0.346,-0.94,-0.36,0,1,0,1,500,0.002,1,0
0.348,-0.94,-0.36,0,1,0,1,500,0.002,1,0
0.35,-0.94,-0.36,0,1,0,1,500,0.002,1,0
0.352,-0.94,-0.36,0,1,0,1,500,0.002,1,0
0.354,-0.94,-0.36,0,1,0,1,500,0.002,1,0
0.356,-0.94,-0.36,0,1,0,1,500,0.002,1,0
0.356,-0.9,-0.45,0,1,0,1,500,0.002,1,0
0.358,-0.9,-0.45,0,1,0,1,500,0.002,1,0
0.36,-0.9,-0.45,0,1,0,1,500,0.002,1,0
0.362,-0.9,-0.45,0,1,0,1,500,0.002,1,0
0.364,-0.9,-0.45,0,1,0,1,500,0.002,1,0
0.366,-0.9,-0.45,0,1,0,1,500,0.002,1,0
0.366,-0.85,-0.53,0,1,0,1,500,0.002,1,0
0.368,-0.85,-0.53,0,1,0,1,500,0.002,1,0
0.37,-0.85,-0.53,0,1,0,1,500,0.002,1,0
0.372,-0.85,-0.53,0,1,0,1,500,0.002,1,0
0.374,-0.85,-0.53,0,1,0,1,500,0.002,1,0
0.376,-0.8,-0.62,0,1,0,1,500,0.002,1,0
0.378,-0.8,-0.62,0,1,0,1,500,0.002,1,0
0.38,-0.8,-0.62,0,1,0,1,500,0.002,1,0
0.382,-0.8,-0.62,0,1,0,1,500,0.002,1,0
0.384,-0.8,-0.62,0,1,0,1,500,0.002,1,0
0.386,-0.8,-0.62,0,1,0,1,500,0.002,1,0
0.386,-0.73,-0.69,0,1,0,1,500,0.002,1,0
0.388,-0.73,-0.69,0,1,0,1,500,0.002,1,0
0.39,-0.73,-0.69,0,1,0,1,500,0.002,1,0
0.392,-0.73,-0.69,0,1,0,1,500,0.002,1,0
0.394,-0.73,-0.69,0,1,0,1,500,0.002,1,0
0.396,-0.73,-0.69,0,1,0,1,500,0.002,1,0
0.396,-0.66,-0.76,0,1,0,1,500,0.002,1,0
0.398,-0.66,-0.76,0,1,0,1,500,0.002,1,0
0.4,-0.66,-0.76,0,1,0,1,500,0.002,1,0
0.402,-0.66,-0.76,0,1,0,1,500,0.002,1,0
0.404,-0.66,-0.76,0,1,0,1,500,0.002,1,0
0.406,-0.66,-0.76,0,1,0,1,500,0.002,1,0
0.406,-0.58,-0.82,0,1,0,1,500,0.002,1,0
0.408,-0.58,-0.82,0,1,0,1,500,0.002,1,0
0.41,-0.58,-0.82,0,1,0,1,500,0.002,1,0
0.412,-0.58,-0.82,0,1,0,1,500,0.002,1,0
0.414,-0.58,-0.82,0,1,0,1,500,0.002,1,0
0.416,-0.5,-0.88,0,1,0,1,500,0.002,1,0
0.418,-0.5,-0.88,0,1,0,1,500,0.002,1,0
0.42,-0.5,-0.88,0,1,0,1,500,0.002,1,0
0.422,-0.5,-0.88,0,1,0,1,500,0.002,1,0
0.424,-0.5,-0.88,0,1,0,1,500,0.002,1,0
0.426,-0.5,-0.88,0,1,0,1,500,0.002,1,0
0.426,-0.41,-0.92,0,1,0,1,500,0.002,1,0
0.428,-0.41,-0.92,0,1,0,1,500,0.002,1,0
0.43,-0.41,-0.92,0,1,0,1,500,0.002,1,0
0.432,-0.41,-0.92,0,1,0,1,500,0.002,1,0
0.434,-0.41,-0.92,0,1,0,1,500,0.002,1,0
0.436,-0.41,-0.92,0,1,0,1,500,0.002,1,0
0.436,-0.31,-0.96,0,1,0,1,500,0.002,1,0
0.438,-0.31,-0.96,0,1,0,1,500,0.002,1,0
0.44,-0.31,-0.96,0,1,0,1,500,0.002,1,0
0.442,-0.31,-0.96,0,1,0,1,500,0.002,1,0
0.444,-0.31,-0.96,0,1,0,1,500,0.002,1,0
0.446,-0.31,-0.96,0,1,0,1,500,0.002,1,0
0.446,-0.22,-0.98,0,1,0,1,500,0.002,1,0
0.448,-0.22,-0.98,0,1,0,1,500,0.002,1,0
0.45,-0.22,-0.98,0,1,0,1,500,0.002,1,0
0.452,-0.22,-0.98,0,1,0,1,500,0.002,1,0
0.454,-0.22,-0.98,0,1,0,1,500,0.002,1,0
0.456,-0.12,-1,0,1,0,1,500,0.002,1,0
0.458,-0.12,-1,0,1,0,1,500,0.002,1,0
0.46,-0.12,-1,0,1,0,1,500,0.002,1,0
0.462,-0.12,-1,0,1,0,1,500,0.002,1,0
0.464,-0.12,-1,0,1,0,1,500,0.002,1,0
0.466,-0.12,-1,0,1,0,1,500,0.002,1,0
0.466,-0.02,-1,0,1,0,1,500,0.002,1,0
0.468,-0.02,-1,0,1,0,1,500,0.002,1,0
0.47,-0.02,-1,0,1,0,1,500,0.002,1,0
0.472,-0.02,-1,0,1,0,1,500,0.002,1,0
0.474,-0.02,-1,0,1,0,1,500,0.002,1,0
0.476,-0.02,-1,0,1,0,1,500,0.002,1,0
0.476,0.08,-1,0,1,0,1,500,0.002,1,0
0.478,0.08,-1,0,1,0,1,500,0.002,1,0
0.48,0.08,-1,0,1,0,1,500,0.002,1,0
0.482,0.08,-1,0,1,0,1,500,0.002,1,0
0.484,0.08,-1,0,1,0,1,500,0.002,1,0
0.486,0.08,-1,0,1,0,1,500,0.002,1,0
0.486,0.18,-0.99,0,1,0,1,500,0.002,1,0
0.488,0.18,-0.99,0,1,0,1,500,0.002,1,0
0.49,0.18,-0.99,0,1,0,1,500,0.002,1,0
0.492,0.18,-0.99,0,1,0,1,500,0.002,1,0
0.494,0.18,-0.99,0,1,0,1,500,0.002,1,0
0.496,0.28,-0.96,0,1,0,1,500,0.002,1,0
0.498,0.28,-0.96,0,1,0,1,500,0.002,1,0
0.5,0.28,-0.96,0,1,0,1,500,0.002,1,0
0.502,0.28,-0.96,0,1,0,1,500,0.002,1,0
0.504,0.28,-0.96,0,1,0,1,500,0.002,1,0
0.506,0.28,-0.96,0,1,0,1,500,0.002,1,0
0.506,0.37,-0.93,0,1,0,1,500,0.002,1,0
0.508,0.37,-0.93,0,1,0,1,500,0.002,1,0
0.51,0.37,-0.93,0,1,0,1,500,0.002,1,0
0.512,0.37,-0.93,0,1,0,1,500,0.002,1,0
0.514,0.37,-0.93,0,1,0,1,500,0.002,1,0
0.516,0.37,-0.93,0,1,0,1,500,0.002,1,0
0.516,0.46,-0.89,0,1,0,1,500,0.002,1,0
0.518,0.46,-0.89,0,1,0,1,500,0.002,1,0
0.52,0.46,-0.89,0,1,0,1,500,0.002,1,0
0.522,0.46,-0.89,0,1,0,1,500,0.002,1,0
0.524,0.46,-0.89,0,1,0,1,500,0.002,1,0
0.526,0.46,-0.89,0,1,0,1,500,0.002,1,0
0.526,0.55,-0.84,0,1,0,1,500,0.002,1,0
0.528,0.55,-0.84,0,1,0,1,500,0.002,1,0
0.53,0.55,-0.84,0,1,0,1,500,0.002,1,0
0.532,0.55,-0.84,0,1,0,1,500,0.002,1,0
0.534,0.55,-0.84,0,1,0,1,500,0.002,1,0
0.536,0.63,-0.78,0,1,0,1,500,0.002,1,0
0.538,0.63,-0.78,0,1,0,1,500,0.002,1,0
0.54,0.63,-0.78,0,1,0,1,500,0.002,1,0
0.542,0.63,-0.78,0,1,0,1,500,0.002,1,0
0.544,0.63,-0.78,0,1,0,1,500,0.002,1,0
0.546,0.63,-0.78,0,1,0,1,500,0.002,1,0
0.546,0.7,-0.71,0,1,0,1,500,0.002,1,0
0.548,0.7,-0.71,0,1,0,1,500,0.002,1,0
0.55,0.7,-0.71,0,1,0,1,500,0.002,1,0
0.552,0.7,-0.71,0,1,0,1,500,0.002,1,0
0.554,0.7,-0.71,0,1,0,1,500,0.002,1,0
0.556,0.7,-0.71,0,1,0,1,500,0.002,1,0
0.556,0.77,-0.64,0,1,0,1,500,0.002,1,0
0.558,0.77,-0.64,0,1,0,1,500,0.002,1,0
0.56,0.77,-0.64,0,1,0,1,500,0.002,1,0
0.562,0.77,-0.64,0,1,0,1,500,0.002,1,0
0.564,0.77,-0.64,0,1,0,1,500,0.002,1,0
0.566,0.77,-0.64,0,1,0,1,500,0.002,1,0
0.566,0.83,-0.56,0,1,0,1,500,0.002,1,0
0.568,0.83,-0.56,0,1,0,1,500,0.002,1,0
0.57,0.83,-0.56,0,1,0,1,500,0.002,1,0
0.572,0.83,-0.56,0,1,0,1,500,0.002,1,0
0.574,0.83,-0.56,0,1,0,1,500,0.002,1,0
0.576,0.88,-0.47,0,1,0,1,500,0.002,1,0
0.578,0.88,-0.47,0,1,0,1,500,0.002,1,0
0.58,0.88,-0.47,0,1,0,1,500,0.002,1,0
0.582,0.88,-0.47,0,1,0,1,500,0.002,1,0
0.584,0.88,-0.47,0,1,0,1,500,0.002,1,0
0.586,0.88,-0.47,0,1,0,1,500,0.002,1,0
0.586,0.92,-0.38,0,1,0,1,500,0.002,1,0
0.588,0.92,-0.38,0,1,0,1,500,0.002,1,0
0.59,0.92,-0.38,0,1,0,1,500,0.002,1,0
0.592,0.92,-0.38,0,1,0,1,500,0.002,1,0
0.594,0.92,-0.38,0,1,0,1,500,0.002,1,0
0.596,0.92,-0.38,0,1,0,1,500,0.002,1,0
0.596,0.96,-0.28,0,1,0,1,500,0.002,1,0
0.598,0.96,-0.28,0,1,0,1,500,0.002,1,0
0.6,0.96,-0.28,0,1,0,1,500,0.002,1,0
0.602,0.96,-0.28,0,1,0,1,500,0.002,1,0
0.604,0.96,-0.28,0,1,0,1,500,0.002,1,0
0.606,0.96,-0.28,0,1,0,1,500,0.002,1,0
0.606,0.98,-0.19,0,1,0,1,500,0.002,1,0
0.608,0.98,-0.19,0,1,0,1,500,0.002,1,0
0.61,0.98,-0.19,0,1,0,1,500,0.002,1,0
0.612,0.98,-0.19,0,1,0,1,500,0.002,1,0
0.614,0.98,-0.19,0,1,0,1,500,0.002,1,0
0.616,0.99,-0.09,0,1,0,1,500,0.002,1,0
0.618,0.99,-0.09,0,1,0,1,500,0.002,1,0
0.62,0.99,-0.09,0,1,0,1,500,0.002,1,0
0.622,0.99,-0.09,0,1,0,1,500,0.002,1,0
0.624,0.99,-0.09,0,1,0,1,500,0.002,1,0
0.626,0.99,-0.09,0,1,0,1,500,0.002,1,0
0.626,0.99,0.01,0,1,0,1,500,0.002,1,0
0.628,0.99,0.01,0,1,0,1,500,0.002,1,0
0.63,0.99,0.01,0,1,0,1,500,0.002,1,0
0.632,0.99,0.01,0,1,0,1,500,0.002,1,0
0.634,0.99,0.01,0,1,0,1,500,0.002,1,0
0.636,0.99,0.01,0,1,0,1,500,0.002,1,0
0.636,0.99,0.11,0,1,0,1,500,0.002,1,0
0.638,0.99,0.11,0,1,0,1,500,0.002,1,0
0.64,0.99,0.11,0,1,0,1,500,0.002,1,0
0.642,0.99,0.11,0,1,0,1,500,0.002,1,0
0.644,0.99,0.11,0,1,0,1,500,0.002,1,0
0.646,0.99,0.11,0,1,0,1,500,0.002,1,0
0.646,0.97,0.21,0,1,0,1,500,0.002,1,0
0.648,0.97,0.21,0,1,0,1,500,0.002,1,0
0.65,0.97,0.21,0,1,0,1,500,0.002,1,0
0.652,0.97,0.21,0,1,0,1,500,0.002,1,0
0.654,0.97,0.21,0,1,0,1,500,0.002,1,0
0.656,0.95,0.31,0,1,0,1,500,0.002,1,0
0.658,0.95,0.31,0,1,0,1,500,0.002,1,0
0.66,0.95,0.31,0,1,0,1,500,0.002,1,0
0.662,0.95,0.31,0,1,0,1,500,0.002,1,0
0.664,0.95,0.31,0,1,0,1,500,0.002,1,0
0.666,0.95,0.31,0,1,0,1,500,0.002,1,0
0.666,0.91,0.4,0,1,0,1,500,0.002,1,0
0.668,0.91,0.4,0,1,0,1,500,0.002,1,0
0.67,0.91,0.4,0,1,0,1,500,0.002,1,0
0.672,0.91,0.4,0,1,0,1,500,0.002,1,0
0.674,0.91,0.4,0,1,0,1,500,0.002,1,0
0.676,0.91,0.4,0,1,0,1,500,0.002,1,0
0.676,0.86,0.49,0,1,0,1,500,0.002,1,0
0.678,0.86,0.49,0,1,0,1,500,0.002,1,0
0.68,0.86,0.49,0,1,0,1,500,0.002,1,0
0.682,0.86,0.49,0,1,0,1,500,0.002,1,0
0.684,0.86,0.49,0,1,0,1,500,0.002,1,0
0.686,0.86,0.49,0,1,0,1,500,0.002,1,0
0.686,0.81,0.57,0,1,0,1,500,0.002,1,0
0.688,0.81,0.57,0,1,0,1,500,0.002,1,0
0.69,0.81,0.57,0,1,0,1,500,0.002,1,0
0.692,0.81,0.57,0,1,0,1,500,0.002,1,0
0.694,0.81,0.57,0,1,0,1,500,0.002,1,0
0.696,0.75,0.65,0,1,0,1,500,0.002,1,0
0.698,0.75,0.65,0,1,0,1,500,0.002,1,0
0.7,0.75,0.65,0,1,0,1,500,0.002,1,0
0.702,0.75,0.65,0,1,0,1,500,0.002,1,0
0.704,0.75,0.65,0,1,0,1,500,0.002,1,0
0.706,0.75,0.65,0,1,0,1,500,0.002,1,0
0.706,0.68,0.72,0,1,0,1,500,0.002,1,0
0.708,0.68,0.72,0,1,0,1,500,0.002,1,0
0.71,0.68,0.72,0,1,0,1,500,0.002,1,0
0.712,0.68,0.72,0,1,0,1,500,0.002,1,0
0.714,0.68,0.72,0,1,0,1,500,0.002,1,0
0.716,0.68,0.72,0,1,0,1,500,0.002,1,0
0.716,0.6,0.79,0,1,0,1,500,0.002,1,0
0.718,0.6,0.79,0,1,0,1,500,0.002,1,0
0.72,0.6,0.79,0,1,0,1,500,0.002,1,0
0.722,0.6,0.79,0,1,0,1,500,0.002,1,0
0.724,0.6,0.79,0,1,0,1,500,0.002,1,0
0.726,0.6,0.79,0,1,0,1,500,0.002,1,0
0.726,0.52,0.85,0,1,0,1,500,0.002,1,0
0.728,0.52,0.85,0,1,0,1,500,0.002,1,0
0.73,0.52,0.85,0,1,0,1,500,0.002,1,0
0.732,0.52,0.85,0,1,0,1,500,0.002,1,0
0.734,0.52,0.85,0,1,0,1,500,0.002,1,0
0.736,0.43,0.89,0,1,0,1,500,0.002,1,0
0.738,0.43,0.89,0,1,0,1,500,0.002,1,0
0.74,0.43,0.89,0,1,0,1,500,0.002,1,0
0.742,0.43,0.89,0,1,0,1,500,0.002,1,0
0.744,0.43,0.89,0,1,0,1,500,0.002,1,0
0.746,0.43,0.89,0,1,0,1,500,0.002,1,0
0.746,0.34,0.93,0,1,0,1,500,0.002,1,0
0.748,0.34,0.93,0,1,0,1,500,0.002,1,0
0.75,0.34,0.93,0,1,0,1,500,0.002,1,0
0.752,0.34,0.93,0,1,0,1,500,0.002,1,0
0.754,0.34,0.93,0,1,0,1,500,0.002,1,0
0.756,0.34,0.93,0,1,0,1,500,0.002,1,0
0.756,0.25,0.96,0,1,0,1,500,0.002,1,0
0.758,0.25,0.96,0,1,0,1,500,0.002,1,0
0.76,0.25,0.96,0,1,0,1,500,0.002,1,0
0.762,0.25,0.96,0,1,0,1,500,0.002,1,0
0.764,0.25,0.96,0,1,0,1,500,0.002,1,0
