"time","egsCarSpeed","egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
2.71,40.23047,1,2,2,2.44,0,0,0,0.48,0,0.48,1,0,0
2.74,40.562996,1,2,2,2.44,0,0,0,0.42,0,0.42,1,0,0
2.76,40.59922,1,2,2,2.44,0,0,0,0.38,0,0.38,1,0,0
2.78,40.658054,1,2,2,2.44,0,0,0,0.34,0,0.34,1,0,0
2.8,40.74957,1,2,2,2.44,0,0,0,0.3,0,0.3,1,0,0
2.83,40.922867,1,2,2,2.44,0,0,0,0.24,0,0.24,1,0,0
2.85,41.073673,1,2,2,2.44,0,0,0,0.2,0,0.2,1,0,0
2.87,41.25622,1,2,2,2.44,0,0,0,0.16,0,0.16,1,0,0
2.89,41.466312,1,2,2,2.44,0,0,0,0.12,0,0.12,1,0,0
2.92,41.818485,1,2,2,2.44,0,0,0,0.06,0,0.06,1,0,0
2.94,42.094467,1,2,2,2.44,0,0,0,0.02,0,0.02,1,0,0
2.96,42.395847,1,2,2,2.44,0,0,0,0,0,0,1,0,0
2.98,42.59499,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.01,42.985737,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.03,43.310623,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.05,43.630337,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.07,43.946724,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.09,44.261307,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.12,44.730465,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.14,45.04166,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.16,45.35148,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.18,45.659935,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.21,46.12009,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.23,46.425198,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.25,46.720375,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.27,47.030334,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.3,47.494274,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.32,47.794537,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.34,48.09335,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.36,48.39498,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.39,48.847046,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.41,49.144543,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.43,49.441418,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.45,49.741207,1,2,2,2.44,0,0,0,0,0,0,1,0,0
3.48,50.189304,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.5,50.486618,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.52,50.783318,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.54,51.07925,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.56,51.37441,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.59,51.815697,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.61,52.10894,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.63,52.401413,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.65,52.693127,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.68,53.129265,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.7,53.41907,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.72,53.708122,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.74,53.9964,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.77,54.42741,2,1,2,2.44,0,0,0,0,0,0,1,0,0
