"time","J1.w","J2.w","J3.w","J4.w"
0.7997,3.33333,3.33333,3.33333,0
0.8028,3.33375,3.33375,3.33375,0
0.8059,3.33518,3.33518,3.33518,0
0.809,3.33759,3.33759,3.33759,0
0.8121,3.34096,3.34096,3.34096,0
0.8152,3.34527,3.34527,3.34527,0
0.8183,3.35048,3.35048,3.35048,0
0.8214,3.35652,3.35652,3.35652,0
0.8245,3.36335,3.36335,3.36335,0
0.8276,3.3709,3.3709,3.3709,0
0.8307,3.3791,3.3791,3.3791,0
0.8338,3.38969,3.38697,3.38697,0
0.8369,3.40204,3.39469,3.39469,0
0.84,3.41571,3.40235,3.40235,0
0.8431,3.4304,3.40996,3.40996,0
0.8462,3.44585,3.41752,3.41752,0
0.8493,3.46175,3.42502,3.42502,0
0.8524,3.47782,3.43247,3.43247,0
0.8555,3.49377,3.43987,3.43987,0
0.8586,3.5093,3.44722,3.44722,0
0.8617,3.52412,3.45451,3.45451,0
0.8648,3.53797,3.46175,3.46175,0
0.8679,3.55056,3.46893,3.46893,0
0.871,3.56165,3.47607,3.47607,0
0.8741,3.57099,3.48314,3.48314,0
0.8772,3.57837,3.49017,3.49017,0
0.8803,3.58357,3.49714,3.49714,0
0.8834,3.58642,3.50406,3.50406,0
0.8865,3.58676,3.51092,3.51092,0
0.8896,3.58446,3.51773,3.51773,0
0.8927,3.57941,3.52448,3.52448,0
0.8958,3.57153,3.53118,3.53118,0
0.8989,3.56077,3.53783,3.53783,0
0.902,3.5471,3.53542,3.53542,0.018
0.9051,3.53053,3.52645,3.52645,0.049
0.9082,3.51533,3.51533,3.51533,0.08
0.9113,3.50188,3.50188,3.50188,0.111
0.9144,3.48749,3.48749,3.48749,0.142
0.9175,3.4722,3.4722,3.4722,0.173
0.9206,3.45604,3.45604,3.45604,0.204
0.9237,3.43909,3.43909,3.43909,0.235
0.9268,3.42139,3.42139,3.42139,0.266
0.9299,3.40303,3.40303,3.40303,0.297
0.933,3.38407,3.38407,3.38407,0.328
0.9361,3.3646,3.3646,3.3646,0.359
0.9392,3.34471,3.34471,3.34471,0.39
0.9423,3.32448,3.32448,3.32448,0.421
0.9454,3.30401,3.30401,3.30401,0.452
0.9485,3.28339,3.28339,3.28339,0.483
0.9516,3.26273,3.26273,3.26273,0.514
0.9547,3.24212,3.24212,3.24212,0.545
0.9578,3.22166,3.22166,3.22166,0.576
0.9609,3.20144,3.20144,3.20144,0.607
0.964,3.18155,3.18155,3.18155,0.638
0.9671,3.1621,3.1621,3.1621,0.669
0.9702,3.14316,3.14316,3.14316,0.7
0.9733,3.12481,3.12481,3.12481,0.731
0.9764,3.10714,3.10714,3.10714,0.762
0.9795,3.09021,3.09021,3.09021,0.793
0.9826,3.07409,3.07409,3.07409,0.824
0.9857,3.05882,3.05882,3.05882,0.855
0.9888,3.04446,3.04446,3.04446,0.886
0.9919,3.03104,3.03104,3.03104,0.917
0.995,3.0186,3.0186,3.0186,0.948
0.9981,3.00715,3.00715,3.00715,0.979
1.0012,2.99707,2.99652,2.99652,1.01
1.0043,2.99027,2.98576,2.98576,1.041
1.0074,2.98657,2.97494,2.97494,1.072
1.0105,2.98592,2.96406,2.96406,1.103
1.0136,2.98824,2.95313,2.95313,1.134
1.0167,2.99342,2.94213,2.94213,1.165
1.0198,3.00133,2.93109,2.93109,1.196
1.0229,3.01181,2.91998,2.91998,1.227
1.026,3.02467,2.90881,2.90881,1.258
1.0291,3.03971,2.89759,2.89759,1.289
1.0322,3.05671,2.88631,2.88631,1.32
1.0353,3.07542,2.87497,2.87497,1.351
1.0384,3.0956,2.86357,2.86357,1.382
1.0415,3.11697,2.85211,2.85211,1.413
1.0446,3.13925,2.8406,2.8406,1.444
1.0477,3.16215,2.82903,2.82903,1.475
1.0508,3.18539,2.8174,2.8174,1.506
1.0539,3.20868,2.80571,2.80571,1.537
1.057,3.23171,2.79396,2.79396,1.568
1.0601,3.2542,2.78215,2.78215,1.599
1.0632,3.27586,2.77029,2.77029,1.63
1.0663,3.29643,2.75836,2.75836,1.661
1.0694,3.31564,2.74638,2.74638,1.692
1.0725,3.33324,2.73434,2.73434,1.723
1.0756,3.349,2.72224,2.72224,1.754
1.0787,3.3627,2.71008,2.71008,1.785
1.0818,3.37415,2.69786,2.69786,1.816
1.0849,3.38319,2.68558,2.68558,1.847
1.088,3.38966,2.67324,2.67324,1.878
1.0911,3.39344,2.66085,2.66085,1.909
1.0942,3.39444,2.64839,2.64839,1.94
1.0973,3.3926,2.63588,2.63588,1.971
1.1004,3.38786,2.6233,2.6233,2.002
1.1035,3.38023,2.61067,2.61067,2.033
1.1066,3.36972,2.59798,2.59798,2.064
1.1097,3.35638,2.58523,2.58523,2.095
1.1128,3.34027,2.57242,2.57242,2.126
1.1159,3.32151,2.55955,2.55955,2.157
1.119,3.30022,2.54662,2.54662,2.188
1.1221,3.27656,2.53363,2.53363,2.219
1.1252,3.25069,2.52058,2.52058,2.25
1.1283,3.22283,2.50747,2.50747,2.281
1.1314,3.19318,2.4943,2.4943,2.312
1.1345,3.16199,2.48107,2.48107,2.343
1.1376,3.12951,2.46778,2.46778,2.374
1.1407,3.096,2.45443,2.45443,2.405
1.1438,3.06174,2.44103,2.44103,2.436
1.1469,3.02701,2.44071,2.44071,2.44071
1.15,2.99212,2.44202,2.44202,2.44202
1.1531,2.95735,2.44329,2.44329,2.44329
1.1562,2.92299,2.44453,2.44453,2.44453
1.1593,2.88935,2.44572,2.44572,2.44572
1.1624,2.85669,2.44688,2.44688,2.44688
