"time","'p1@general_0hydraulic_0chamber'","'p1@hydraulic_04'","'q@volumesensor'"
0.01236,200.045,200.333,0
0.01236,200.046,200.824,0
0.01239,200.046,200.824,0
0.01239,200.05,200.979,0
0.01242,200.05,200.979,0
0.01242,200.055,200.752,0
0.01245,200.055,200.752,0
0.01245,200.06,200.254,0
0.01248,200.06,200.254,0
0.01248,200.061,199.691,0
0.01251,200.061,199.691,0
0.01251,200.059,199.291,0
0.01254,200.059,199.291,0
0.01254,200.055,199.222,0
0.01257,200.055,199.222,0
0.01257,200.05,199.495,0
0.0126,200.05,199.495,0
0.0126,200.047,199.985,0
0.01263,200.047,199.985,0
0.01263,200.046,200.49,0
0.01266,200.046,200.49,0
0.01266,200.048,200.804,0
0.01269,200.048,200.804,0
0.01269,200.053,200.799,0
0.01272,200.053,200.799,0
0.01272,200.057,200.493,0
0.01275,200.057,200.493,0
0.01275,200.06,200.021,0
0.01278,200.06,200.021,0
0.01278,200.06,199.576,0
0.01281,200.06,199.576,0
0.01281,200.057,199.342,0
0.01284,200.057,199.342,0
0.01284,200.053,199.41,0
0.01287,200.053,199.41,0
0.01287,200.049,199.737,0
0.0129,200.049,199.737,0
0.0129,200.047,200.183,0
0.01293,200.047,200.183,0
0.01293,200.048,200.565,0
0.01296,200.048,200.565,0
0.01296,200.05,200.726,0
0.01299,200.05,200.726,0
0.01299,200.054,200.608,0
0.01302,200.054,200.608,0
0.01302,200.058,200.269,0
0.01305,200.058,200.269,0
0.01305,200.059,199.856,0
0.01308,200.059,199.856,0
0.01308,200.058,199.536,0
0.01311,200.058,199.536,0
0.01311,200.055,199.439,0
0.01314,200.055,199.439,0
0.01314,200.052,199.598,0
0.01317,200.052,199.598,0
0.01317,200.049,199.938,0
0.0132,200.049,199.938,0
0.0132,200.048,200.314,0
0.01323,200.048,200.314,0
0.01323,200.049,200.575,0
0.01326,200.049,200.575,0
0.01326,200.052,200.613,0
0.01329,200.052,200.613,0
0.01329,200.055,200.424,0
0.01332,200.055,200.424,0
0.01332,200.058,200.091,0
0.01335,200.058,200.091,0
0.01335,200.058,199.755,0
0.01338,200.058,199.755,0
0.01338,200.057,199.551,0
0.01341,200.057,199.551,0
0.01341,200.054,199.562,0
0.01344,200.054,199.562,0
0.01344,200.051,199.773,0
0.01347,200.051,199.773,0
0.01347,200.049,200.092,0
0.0135,200.049,200.092,0
0.0135,200.049,200.386,0
0.01353,200.049,200.386,0
0.01353,200.051,200.536,0
0.01356,200.051,200.536,0
0.01356,200.054,200.485,0
0.01359,200.054,200.485,0
0.01359,200.056,200.26,0
0.01362,200.056,200.26,0
0.01362,200.057,199.961,0
0.01365,200.057,199.961,0
0.01365,200.057,199.708,0
0.01368,200.057,199.708,0
0.01368,200.055,199.607,0
0.01371,200.055,199.607,0
0.01371,200.053,199.692,0
0.01374,200.053,199.692,0
0.01374,200.05,199.922,0
0.01377,200.05,199.922,0
0.01377,200.05,200.199,0
0.0138,200.05,200.199,0
