"Time","axlePosition","speedVal2"
15.96,0,500
16.08,0,0
16.2,0,0
16.32,0,0
16.44,0,0
16.56,0,0
16.68,0,0
16.8,0,0
16.92,0,0
17.04,0,0
17.16,0,0
17.28,0,0
17.4,0,0
17.52,0,0
17.64,0,0
17.76,0,0
17.88,0,0
18,0,0
18.12,0,0
18.24,0,0
18.36,0,0
18.48,0,0
18.6,20,1000
18.72,50,2500
18.84,70,3500
18.96,80,4500
19.08,95,5000
19.2,100,5000
19.32,75,5000
19.44,55,5000
19.56,35,5000
19.68,20,4000
19.8,10,3000
19.92,0,1500
20.04,0,500
20.16,0,0
20.28,0,0
20.4,0,0
20.52,0,0
20.64,0,0
20.76,0,0
20.88,0,0
21,0,0
21.12,0,0
21.24,0,0
21.36,0,0
21.48,0,0
21.6,0,0
21.72,0,0
21.84,0,0
21.96,0,0
22.08,0,0
22.2,0,0
22.32,0,0
22.44,0,0
22.56,0,0
22.68,20,1000
22.8,40,2000
22.92,70,3500
23.04,80,4500
23.16,90,5000
23.28,100,5000
23.4,85,5000
23.52,55,5000
23.64,35,5000
23.76,25,4500
23.88,10,3000
24,0,2000
24.12,0,500
24.24,0,0
24.36,0,0
24.48,0,0
24.6,0,0
24.72,0,0
24.84,0,0
24.96,0,0
25.08,0,0
25.2,0,0
25.32,0,0
25.44,0,0
25.56,0,0
25.68,0,0
25.8,0,0
25.92,0,0
26.04,0,0
26.16,0,0
26.28,0,0
26.4,0,0
26.52,0,0
26.64,0,0
26.76,10,500
26.88,40,2000
27,60,3000
27.12,80,4500
27.24,90,5000
27.36,100,5000
27.48,85,5000
27.6,65,5000
27.72,35,5000
27.84,25,4500
27.96,15,3500
28.08,0,2000
28.2,0,1000
28.32,0,0
28.44,0,0
28.56,0,0
28.68,0,0
28.8,0,0
28.92,0,0
29.04,0,0
29.16,0,0
29.28,0,0
29.4,0,0
29.52,0,0
29.64,0,0
29.76,0,0
29.88,0,0
30,0,0
30.12,0,0
30.24,0,0
30.36,0,0
30.48,0,0
30.6,0,0
30.72,0,0
30.84,10,500
30.96,30,1500
31.08,60,3000
31.2,80,4000
31.32,90,5000
31.44,100,5000
31.56,95,5000
31.68,65,5000
31.8,45,5000
31.92,25,4500
32.04,15,3500
32.16,5,2500
32.28,0,1000
32.4,0,0
32.52,0,0
32.64,0,0
32.76,0,0
32.88,0,0
33,0,0
33.12,0,0
33.24,0,0
33.36,0,0
33.48,0,0
33.6,0,0
33.72,0,0
33.84,0,0
33.96,0,0
34.08,0,0
34.2,0,0
34.32,0,0
34.44,0,0
34.56,0,0
34.68,0,0
34.8,0,0
34.92,10,500
35.04,30,1500
35.16,50,2500
35.28,80,4000
35.4,85,5000
35.52,100,5000
35.64,95,5000
35.76,75,5000
35.88,45,5000
36,25,5000
36.12,15,3500
36.24,5,2500
36.36,0,1500
36.48,0,0
36.6,0,0
36.72,0,0
36.84,0,0
36.96,0,0
37.08,0,0
37.2,0,0
37.32,0,0
37.44,0,0
37.56,0,0
37.68,0,0
37.8,0,0
37.92,0,0
38.04,0,0
38.16,0,0
38.28,0,0
38.4,0,0
38.52,0,0
38.64,0,0
38.76,0,0
38.88,0,0
39,0,0
39.12,30,1500
39.24,50,2500
39.36,70,3500
39.48,85,5000
39.6,95,5000
39.72,95,5000
39.84,75,5000
39.96,55,5000
40.08,25,5000
40.2,20,4000
40.32,5,2500
40.44,0,1500
40.56,0,500
40.68,0,0
40.8,0,0
40.92,0,0
41.04,0,0
41.16,0,0
41.28,0,0
41.4,0,0
41.52,0,0
41.64,0,0
41.76,0,0
41.88,0,0
42,0,0
42.12,0,0
42.24,0,0
42.36,0,0
42.48,0,0
42.6,0,0
42.72,0,0
42.84,0,0
42.96,0,0
43.08,0,0
43.2,20,1000
43.32,50,2500
43.44,70,3500
43.56,80,4500
43.68,95,5000
43.8,100,5000
43.92,75,5000
44.04,55,5000
44.16,35,5000
44.28,20,4000
44.4,10,3000
44.52,0,1500
44.64,0,500
44.76,0,0
44.88,0,0
45,0,0
45.12,0,0
45.24,0,0
45.36,0,0
45.48,0,0
45.6,0,0
45.72,0,0
45.84,0,0
45.96,0,0
46.08,0,0
46.2,0,0
46.32,0,0
46.44,0,0
46.56,0,0
46.68,0,0
46.8,0,0
46.92,0,0
47.04,0,0
47.16,0,0
47.28,20,1000
47.4,40,2000
47.52,70,3500
47.64,80,4500
47.76,90,5000
47.88,100,5000
48,85,5000
48.12,55,5000
48.24,35,5000
48.36,25,4500
48.48,10,3000
48.6,0,2000
48.72,0,500
48.84,0,0
48.96,0,0
49.08,0,0
49.2,0,0
49.32,0,0
49.44,0,0
49.56,0,0
49.68,0,0
49.8,0,0
49.92,0,0
50.04,0,0
50.16,0,0
50.28,0,0
50.4,0,0
50.52,0,0
50.64,0,0
50.76,0,0
50.88,0,0
51,0,0
51.12,0,0
51.24,0,0
51.36,10,500
51.48,40,2000
51.6,60,3000
51.72,80,4500
51.84,90,5000
51.96,100,5000
52.08,85,5000
52.2,65,5000
52.32,35,5000
52.44,25,4500
52.56,15,3500
52.68,0,2000
52.8,0,1000
52.92,0,0
53.04,0,0
53.16,0,0
53.28,0,0
53.4,0,0
53.52,0,0
53.64,0,0
53.76,0,0
53.88,0,0
54,0,0
54.12,0,0
54.24,0,0
54.36,0,0
54.48,0,0
54.6,0,0
54.72,0,0
54.84,0,0
54.96,0,0
55.08,0,0
55.2,0,0
55.32,0,0
55.44,10,500
55.56,30,1500
55.68,60,3000
55.8,80,4000
55.92,90,5000
56.04,100,5000
56.16,95,5000
56.28,65,5000
56.4,45,5000
56.52,25,4500
56.64,15,3500
56.76,5,2500
56.88,0,1000
57,0,0
57.12,0,0
57.24,0,0
57.36,0,0
57.48,0,0
57.6,0,0
57.72,0,0
57.84,0,0
57.96,0,0
58.08,0,0
58.2,0,0
58.32,0,0
58.44,0,0
58.56,0,0
58.68,0,0
58.8,0,0
58.92,0,0
59.04,0,0
59.16,0,0
59.28,0,0
59.4,0,0
59.52,10,500
59.64,30,1500
59.76,50,2500
59.88,80,4000
60,85,5000
