Time,clutch3_f_normalized,J1_w,J2_w,J3_w,J4_w
0.381,0,6.38716,3.66681,0,0
0.384,0,6.34488,3.69342,0,0
0.387,0,6.30513,3.71998,0,0
0.39,0,6.26802,3.74648,0,0
0.393,0,6.23366,3.77294,0,0
0.396,0,6.2021,3.79934,0,0
0.399,0,6.1734,3.82568,0,0
0.402,0,6.14763,3.83197,0.02,0
0.405,0,6.12468,3.82821,0.05,0
0.408,0,6.10457,3.82439,0.08,0
0.411,0,6.08725,3.82052,0.11,0
0.414,0,6.07262,3.81659,0.14,0
0.417,0,6.06061,3.8126,0.17,0
0.42,0,6.05107,3.80856,0.2,0
0.423,0,6.04387,3.80446,0.23,0
0.426,0,6.03884,3.80031,0.26,0
0.429,0,6.03579,3.79609,0.29,0
0.432,0,6.03453,3.79182,0.32,0
0.435,0,6.03484,3.78749,0.35,0
0.438,0,6.03648,3.7831,0.38,0
0.441,0,6.03922,3.77866,0.41,0
0.444,0,6.0428,3.77415,0.44,0
0.447,0,6.04697,3.76958,0.47,0
0.45,0,6.05147,3.76495,0.5,0
0.453,0,6.05602,3.76027,0.53,0
0.456,0,6.06037,3.75552,0.56,0
0.459,0,6.06426,3.75071,0.59,0
0.462,0,6.06741,3.74584,0.62,0
0.465,0,6.0696,3.7409,0.65,0
0.468,0,6.07056,3.73591,0.68,0
0.471,0,6.07008,3.73085,0.71,0
0.474,0,6.06793,3.72573,0.74,0
0.477,0,6.06392,3.72054,0.77,0
0.48,0,6.05786,3.71529,0.8,0
0.483,0,6.04958,3.70998,0.83,0
0.486,0,6.03895,3.7046,0.86,0
0.489,0,6.02583,3.69916,0.89,0
0.492,0,6.01012,3.69365,0.92,0
0.495,0,5.99175,3.68808,0.95,0
0.498,0,5.97066,3.68244,0.98,0
0.501,0,5.94683,3.67674,1.01,0
0.504,0,5.92025,3.67097,1.04,0
0.507,0,5.89094,3.66513,1.07,0
0.51,0,5.85895,3.65922,1.1,0
0.513,0,5.82435,3.65325,1.13,0
0.516,0,5.78723,3.64721,1.16,0
0.519,0,5.74771,3.6411,1.19,0
0.522,0,5.70593,3.63493,1.22,0
0.525,0,5.66205,3.62868,1.25,0
0.528,0,5.61624,3.62236,1.28,0
0.531,0,5.56871,3.61598,1.31,0
0.534,0,5.51967,3.60952,1.34,0
0.537,0,5.46934,3.603,1.37,0
0.54,0,5.41796,3.5964,1.4,0
0.543,0,5.36579,3.58974,1.43,0
0.546,0,5.31307,3.583,1.46,0
0.549,0,5.26007,3.57619,1.49,0
0.552,0,5.20705,3.56931,1.52,0
0.555,0,5.15429,3.56235,1.55,0
0.558,0,5.10204,3.55533,1.58,0
0.561,0,5.05056,3.54823,1.61,0
0.564,0,5.00011,3.54105,1.64,0
0.567,0,4.95093,3.53381,1.67,0
0.57,0,4.90327,3.52649,1.7,0
0.573,0,4.85733,3.51909,1.73,0
0.576,0,4.81333,3.51163,1.76,0
0.579,0,4.77146,3.50408,1.79,0
0.582,0,4.73189,3.49646,1.82,0
0.585,0,4.69477,3.48877,1.85,0
0.588,0,4.66024,3.481,1.88,0
0.591,0,4.62841,3.47315,1.91,0
0.594,0,4.59936,3.46523,1.94,0
0.597,0,4.57315,3.45723,1.97,0
0.6,0,4.54982,3.44916,2,0
0.603,0,4.52939,3.441,2.03,0
0.606,0,4.51184,3.43277,2.06,0
0.609,0,4.49714,3.42446,2.09,0
0.612,0,4.48522,3.41608,2.12,0
0.615,0,4.47599,3.40761,2.15,0
0.618,0,4.46936,3.39907,2.18,0
0.621,0,4.46518,3.39044,2.21,0
0.624,0,4.46331,3.38174,2.24,0
0.627,0,4.46357,3.37295,2.27,0
0.63,0,4.46577,3.36409,2.3,0
0.633,0,4.46971,3.35515,2.33,0
0.636,0,4.47516,3.34612,2.36,0
0.639,0,4.48189,3.33702,2.39,0
0.642,0,4.48966,3.32783,2.42,0
0.645,0,4.49821,3.31856,2.45,0
0.648,0,4.50728,3.30921,2.48,0
0.651,0,4.51661,3.29978,2.51,0
0.654,0,4.52593,3.29026,2.54,0
0.657,0,4.53499,3.28067,2.57,0
0.66,0,4.54351,3.27099,2.6,0
0.663,0,4.55124,3.26122,2.63,0
0.666,0,4.55794,3.25137,2.66,0
0.669,0,4.56336,3.24144,2.69,0
0.672,0,4.56728,3.23143,2.72,0
0.675,0,4.56949,3.22132,2.75,0
0.678,0,4.5698,3.21114,2.78,0
0.681,0,4.56802,3.20087,2.81,0
0.684,0,4.56399,3.19051,2.84,0
0.687,0,4.55758,3.18007,2.87,0
0.69,0,4.54867,3.16955,2.9,0
0.693,0,4.53717,3.15893,2.93,0
0.696,0,4.523,3.14823,2.96,0
0.699,0,4.50613,3.13745,2.99,0
0.702,0,4.48653,3.12657,3.02,0
0.705,0,4.4642,3.11561,3.05,0
0.708,0,4.43918,3.10456,3.08,0
0.711,0,4.41148,3.10171,3.10171,0
0.714,0,4.38122,3.1111,3.1111,0
0.717,0,4.34853,3.12044,3.12044,0
0.72,0,4.3135,3.12974,3.12974,0
0.723,0,4.27629,3.139,3.139,0
0.726,0,4.23706,3.14821,3.14821,0
0.729,0,4.19598,3.15738,3.15738,0
0.732,0,4.15327,3.1665,3.1665,0
0.735,0,4.10915,3.17557,3.17557,0
0.738,0,4.06383,3.1846,3.1846,0
0.741,0,4.01757,3.19359,3.19359,0
0.744,0,3.97061,3.20253,3.20253,0
0.747,0,3.92322,3.21142,3.21142,0
0.75,0,3.87565,3.22027,3.22027,0
0.753,0,3.82818,3.22908,3.22908,0
0.756,0,3.78106,3.23783,3.23783,0
0.759,0,3.73457,3.24655,3.24655,0
0.762,0,3.68895,3.25521,3.25521,0
0.765,0,3.64446,3.26383,3.26383,0
0.768,0,3.60135,3.2724,3.2724,0
0.771,0,3.55983,3.28093,3.28093,0
0.774,0,3.52014,3.28941,3.28941,0
0.777,0,3.48247,3.29784,3.29784,0
0.78,0,3.44701,3.30623,3.30623,0
0.783,0,3.41392,3.31457,3.31457,0
0.786,0,3.38335,3.32286,3.32286,0
0.789,0,3.35542,3.33111,3.33111,0
0.792,0,3.33629,3.33629,3.33629,0
0.795,0,3.33427,3.33427,3.33427,0
0.798,0,3.33318,3.33318,3.33318,0
0.801,0,3.33302,3.33302,3.33302,0
0.804,0,3.3338,3.3338,3.3338,0
0.807,0,3.33552,3.33552,3.33552,0
0.81,0,3.33815,3.33815,3.33815,0
0.813,0,3.34167,3.34167,3.34167,0
0.816,0,3.34606,3.34606,3.34606,0
0.819,0,3.35127,3.35127,3.35127,0
0.822,0,3.35726,3.35726,3.35726,0
0.825,0,3.36397,3.36397,3.36397,0
0.828,0,3.37134,3.37134,3.37134,0
0.831,0,3.37931,3.37931,3.37931,0
0.834,0,3.38977,3.38687,3.38687,0
0.837,0,3.40173,3.39435,3.39435,0
0.84,0,3.41491,3.40177,3.40177,0
0.843,0,3.42907,3.40915,3.40915,0
0.846,0,3.44396,3.41648,3.41648,0
0.849,0,3.45931,3.42376,3.42376,0
0.852,0,3.47484,3.43098,3.43098,0
0.855,0,3.49029,3.43816,3.43816,0
0.858,0,3.50539,3.44529,3.44529,0
0.861,0,3.5199,3.45237,3.45237,0
0.864,0,3.53355,3.4594,3.4594,0
0.867,0,3.54609,3.46638,3.46638,0
0.87,0,3.5573,3.47331,3.47331,0
0.873,0,3.56695,3.48019,3.48019,0
0.876,0,3.57484,3.48702,3.48702,0
0.879,0,3.58076,3.4938,3.4938,0
0.882,0,3.58455,3.50052,3.50052,0
0.885,0,3.58606,3.5072,3.5072,0
0.888,0,3.58515,3.51383,3.51383,0
0.891,0,3.58172,3.5204,3.5204,0
0.894,0,3.57568,3.52693,3.52693,0
0.897,0,3.56696,3.5334,3.5334,0
0.9,0,3.55553,3.53983,3.53983,0
0.903,0,3.54459,3.54459,3.54459,0
0.906,0.3,3.54016,3.54016,3.54016,0.009
0.909,0.6,3.53179,3.53179,3.53179,0.0269584
0.912,0.9,3.51951,3.51951,3.51951,0.053845
0.915,1,3.50536,3.50536,3.50536,0.0837942
0.918,1,3.49039,3.49039,3.49039,0.113794
0.921,1,3.47465,3.47465,3.47465,0.143794
0.924,1,3.45816,3.45816,3.45816,0.173794
0.927,1,3.44099,3.44099,3.44099,0.203794
0.93,1,3.42319,3.42319,3.42319,0.233794
0.933,1,3.40484,3.40484,3.40484,0.263794
0.936,1,3.38601,3.38601,3.38601,0.293794
0.939,1,3.36678,3.36678,3.36678,0.323794
0.942,1,3.34722,3.34722,3.34722,0.353794
0.945,1,3.32744,3.32744,3.32744,0.383794
0.948,1,3.3075,3.3075,3.3075,0.413794
0.951,1,3.28751,3.28751,3.28751,0.443794
0.954,1,3.26754,3.26754,3.26754,0.473794
0.957,1,3.24769,3.24769,3.24769,0.503794
0.96,1,3.22805,3.22805,3.22805,0.533794
0.963,1,3.2087,3.2087,3.2087,0.563794
0.966,1,3.18972,3.18972,3.18972,0.593794
0.969,1,3.1712,3.1712,3.1712,0.623794
0.972,1,3.1532,3.1532,3.1532,0.653794
0.975,1,3.13581,3.13581,3.13581,0.683794
0.978,1,3.11908,3.11908,3.11908,0.713794
0.981,1,3.10307,3.10307,3.10307,0.743794
0.984,1,3.08785,3.08785,3.08785,0.773794
0.987,1,3.07345,3.07345,3.07345,0.803794
0.99,1,3.05992,3.05992,3.05992,0.833794
0.993,1,3.04728,3.04728,3.04728,0.863794
0.996,1,3.03555,3.03555,3.03555,0.893794
0.999,1,3.02477,3.02477,3.02477,0.923794
1.002,1,3.0158,3.01451,3.01451,0.953794
1.005,1,3.00993,3.0041,3.0041,0.983794
1.008,1,3.00694,2.99363,2.99363,1.01379
1.011,1,3.00679,2.9831,2.9831,1.04379
1.014,1,3.00939,2.97252,2.97252,1.07379
1.017,1,3.01465,2.96189,2.96189,1.10379
1.02,1,3.02245,2.95121,2.95121,1.13379
1.023,1,3.03263,2.94047,2.94047,1.16379
1.026,1,3.04503,2.92967,2.92967,1.19379
1.029,1,3.05947,2.91882,2.91882,1.22379
1.032,1,3.07574,2.90792,2.90792,1.25379
1.035,1,3.09363,2.89696,2.89696,1.28379
1.038,1,3.11291,2.88595,2.88595,1.31379
1.041,1,3.13334,2.87488,2.87488,1.34379
1.044,1,3.15466,2.86376,2.86376,1.37379
1.047,1,3.17661,2.85258,2.85258,1.40379
1.05,1,3.19894,2.84135,2.84135,1.43379
1.053,1,3.22138,2.83007,2.83007,1.46379
1.056,1,3.24366,2.81873,2.81873,1.49379
1.059,1,3.26552,2.80733,2.80733,1.52379
1.062,1,3.28671,2.79588,2.79588,1.55379
1.065,1,3.30697,2.78438,2.78438,1.58379
1.068,1,3.32606,2.77282,2.77282,1.61379
1.071,1,3.34375,2.7612,2.7612,1.64379
1.074,1,3.35982,2.74953,2.74953,1.67379
1.077,1,3.37408,2.73781,2.73781,1.70379
1.08,1,3.38633,2.72603,2.72603,1.73379
1.083,1,3.39641,2.71419,2.71419,1.76379
1.086,1,3.40418,2.7023,2.7023,1.79379
1.089,1,3.40951,2.69035,2.69035,1.82379
1.092,1,3.4123,2.67835,2.67835,1.85379
1.095,1,3.41247,2.66629,2.66629,1.88379
1.098,1,3.40997,2.65418,2.65418,1.91379
1.101,1,3.40477,2.64201,2.64201,1.94379
1.104,1,3.39687,2.62979,2.62979,1.97379
1.107,1,3.38628,2.61751,2.61751,2.00379
1.11,1,3.37305,2.60517,2.60517,2.03379
1.113,1,3.35726,2.59278,2.59278,2.06379
1.116,1,3.33899,2.58034,2.58034,2.09379
1.119,1,3.31837,2.56783,2.56783,2.12379
1.122,1,3.29553,2.55528,2.55528,2.15379
1.125,1,3.27063,2.54266,2.54266,2.18379
1.128,1,3.24385,2.52999,2.52999,2.21379
1.131,1,3.21538,2.51727,2.51727,2.24379
1.134,1,3.18545,2.50449,2.50449,2.27379
1.137,1,3.15427,2.49165,2.49165,2.30379
1.14,1,3.12208,2.47876,2.47876,2.33379
1.143,1,3.08914,2.46581,2.46581,2.36379
1.146,1,3.05569,2.4528,2.4528,2.39379
1.149,1,3.02201,2.43974,2.43974,2.42379
1.152,1,2.98831,2.43568,2.43568,2.43568
1.155,1,2.95487,2.4369,2.4369,2.4369
1.158,1,2.92196,2.43808,2.43808,2.43808
1.161,1,2.88987,2.43922,2.43922,2.43922
1.164,1,2.85884,2.44032,2.44032,2.44032
1.167,1,2.82913,2.44139,2.44139,2.44139
1.17,1,2.80097,2.44242,2.44242,2.44242
1.173,1,2.77459,2.44341,2.44341,2.44341
1.176,1,2.75018,2.44437,2.44437,2.44437
1.179,1,2.72795,2.44529,2.44529,2.44529
1.182,1,2.70806,2.44617,2.44617,2.44617
1.185,1,2.69067,2.44701,2.44701,2.44701
1.188,1,2.67591,2.44782,2.44782,2.44782
1.191,1,2.66389,2.44858,2.44858,2.44858
1.194,1,2.65469,2.44931,2.44931,2.44931
1.197,1,2.64838,2.45001,2.45001,2.45001
1.2,1,2.645,2.45066,2.45066,2.45066
1.203,1,2.64455,2.45128,2.45128,2.45128
1.206,1,2.64703,2.45186,2.45186,2.45186
1.209,1,2.6524,2.4524,2.4524,2.4524
1.212,1,2.6606,2.4529,2.4529,2.4529
1.215,1,2.67153,2.45337,2.45337,2.45337
1.218,1,2.6851,2.4538,2.4538,2.4538
1.221,1,2.70117,2.45419,2.45419,2.45419
1.224,1,2.71958,2.45454,2.45454,2.45454
1.227,1,2.74016,2.45486,2.45486,2.45486
1.23,1,2.76273,2.45514,2.45514,2.45514
1.233,1,2.78706,2.45538,2.45538,2.45538
1.236,1,2.81296,2.45558,2.45558,2.45558
1.239,1,2.84016,2.45574,2.45574,2.45574
1.242,1,2.86844,2.45587,2.45587,2.45587
1.245,1,2.89754,2.45596,2.45596,2.45596
1.248,1,2.92719,2.45601,2.45601,2.45601
1.251,1,2.95713,2.45603,2.45603,2.45603
1.254,1,2.987,2.45603,2.45603,2.45603
1.257,1,3.01651,2.45603,2.45603,2.45603
1.26,1,3.04543,2.45603,2.45603,2.45603
1.263,1,3.07349,2.45603,2.45603,2.45603
1.266,1,3.10042,2.45603,2.45603,2.45603
1.269,1,3.126,2.45603,2.45603,2.45603
1.272,1,3.14998,2.45603,2.45603,2.45603
1.275,1,3.17216,2.45603,2.45603,2.45603
1.278,1,3.19235,2.45603,2.45603,2.45603
1.281,1,3.21035,2.45603,2.45603,2.45603
1.284,1,3.22603,2.45603,2.45603,2.45603
1.287,1,3.23922,2.45603,2.45603,2.45603
1.29,1,3.24982,2.45603,2.45603,2.45603
1.293,1,3.25774,2.45603,2.45603,2.45603
1.296,1,3.2629,2.45603,2.45603,2.45603
1.299,1,3.26526,2.45603,2.45603,2.45603
1.302,1,3.26479,2.45603,2.45603,2.45603
1.305,1,3.2615,2.45603,2.45603,2.45603
1.308,1,3.25542,2.45603,2.45603,2.45603
1.311,1,3.24661,2.45603,2.45603,2.45603
1.314,1,3.23513,2.45603,2.45603,2.45603
1.317,1,3.22111,2.45603,2.45603,2.45603
1.32,1,3.20465,2.45603,2.45603,2.45603
1.323,1,3.1859,2.45603,2.45603,2.45603
1.326,1,3.16504,2.45603,2.45603,2.45603
1.329,1,3.14224,2.45603,2.45603,2.45603
1.332,1,3.11771,2.45603,2.45603,2.45603
1.335,1,3.09166,2.45603,2.45603,2.45603
1.338,1,3.06433,2.45603,2.45603,2.45603
1.341,1,3.03596,2.45603,2.45603,2.45603
1.344,1,3.00681,2.45603,2.45603,2.45603
1.347,1,2.97712,2.45603,2.45603,2.45603
1.35,1,2.94716,2.45603,2.45603,2.45603
1.353,1,2.91721,2.45603,2.45603,2.45603
1.356,1,2.88752,2.45603,2.45603,2.45603
1.359,1,2.85836,2.45603,2.45603,2.45603
1.362,1,2.82998,2.45603,2.45603,2.45603
1.365,1,2.80265,2.45603,2.45603,2.45603
1.368,1,2.7766,2.45603,2.45603,2.45603
1.371,1,2.75206,2.45603,2.45603,2.45603
1.374,1,2.72925,2.45603,2.45603,2.45603
1.377,1,2.70838,2.45603,2.45603,2.45603
1.38,1,2.68962,2.45603,2.45603,2.45603
1.383,1,2.67316,2.45603,2.45603,2.45603
1.386,1,2.65912,2.45603,2.45603,2.45603
1.389,1,2.64764,2.45603,2.45603,2.45603
1.392,1,2.63881,2.45603,2.45603,2.45603
1.395,1,2.63272,2.45603,2.45603,2.45603
1.398,1,2.62943,2.45603,2.45603,2.45603
1.401,1,2.62895,2.45603,2.45603,2.45603
1.404,1,2.6313,2.45603,2.45603,2.45603
1.407,1,2.63645,2.45603,2.45603,2.45603
1.41,1,2.64435,2.45603,2.45603,2.45603
1.413,1,2.65495,2.45603,2.45603,2.45603
1.416,1,2.66814,2.45603,2.45603,2.45603
1.419,1,2.6838,2.45603,2.45603,2.45603
1.422,1,2.7018,2.45603,2.45603,2.45603
1.425,1,2.72198,2.45603,2.45603,2.45603
1.428,1,2.74415,2.45603,2.45603,2.45603
1.431,1,2.76813,2.45603,2.45603,2.45603
1.434,1,2.7937,2.45603,2.45603,2.45603
1.437,1,2.82062,2.45603,2.45603,2.45603
1.44,1,2.84867,2.45603,2.45603,2.45603
1.443,1,2.8776,2.45603,2.45603,2.45603
1.446,1,2.90714,2.45603,2.45603,2.45603
1.449,1,2.93703,2.45603,2.45603,2.45603
1.452,1,2.96702,2.45603,2.45603,2.45603
1.455,1,2.99683,2.45603,2.45603,2.45603
1.458,1,3.02619,2.45603,2.45603,2.45603
1.461,1,3.05486,2.45603,2.45603,2.45603
1.464,1,3.08256,2.45603,2.45603,2.45603
1.467,1,3.10907,2.45603,2.45603,2.45603
1.47,1,3.13414,2.45603,2.45603,2.45603
1.473,1,3.15755,2.45603,2.45603,2.45603
1.476,1,3.17908,2.45603,2.45603,2.45603
1.479,1,3.19857,2.45603,2.45603,2.45603
1.482,1,3.21581,2.45603,2.45603,2.45603
1.485,1,3.23068,2.45603,2.45603,2.45603
1.488,1,3.24302,2.45603,2.45603,2.45603
1.491,1,3.25274,2.45603,2.45603,2.45603
1.494,1,3.25975,2.45603,2.45603,2.45603
1.497,1,3.26398,2.45603,2.45603,2.45603
1.5,1,3.2654,2.45603,2.45603,2.45603
