      "time","light_intensity","light_switch",  "resetReq", "headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType","qtronic.silver.real_time","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
      0.19,0.22222222,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.2,0.33333333,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.21,0.44444444,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.22,0.55555556,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.23,0.66666667,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.24,0.77777778,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.25,0.88888889,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.26,         1,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.27, 1.1111111,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.28, 1.2222222,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.29, 1.3333333,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.3, 1.4444444,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.31, 1.5555556,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.32, 1.6666667,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.33, 1.7777778,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.34, 1.8888889,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.35,         2,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.36,        11,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.37,        23,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.38,        41,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.39,        59,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.4,        72,         2,         0,         1,         0,         1,         0,         1,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.41,        83,         2,         0,         1,         0,         2,         0,         2,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.42,        95,         2,         0,         1,         0,         3,         0,         3,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.43,       100,         2,         0,         1,         0,         4,         0,         4,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.44, 99.991525,         2,         0,         1,         0,         5,         0,         5,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.45, 99.983051,         2,         0,         1,         0,         6,         0,         6,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.46, 99.974576,         2,         0,         1,         0,         7,         0,         7,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.47, 99.966102,         2,         0,         1,         0,         8,         0,         8,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.48, 99.957627,         2,         0,         1,         0,         9,         0,         9,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.49, 99.949153,         2,         0,         1,         0,        10,         0,        10,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.5, 99.940678,         2,         0,         1,         0,        11,         0,        11,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.51, 99.932203,         2,         0,         1,         0,        12,         0,        12,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.52, 99.923729,         2,         0,         1,         0,        13,         0,        13,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.53, 99.915254,         2,         0,         1,         0,        14,         0,        14,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.54,  99.90678,         2,         0,         1,         0,        15,         0,        15,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.55, 99.898305,         2,         0,         1,         0,        16,         0,        16,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.56, 99.889831,         2,         0,         1,         0,        17,         0,        17,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.57, 99.881356,         2,         0,         1,         0,        18,         0,        18,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.58, 99.872881,         2,         0,         1,         0,        19,         0,        19,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.59, 99.864407,         2,         0,         1,         0,        20,         0,        20,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.6, 99.855932,         2,         0,         1,         0,        21,         0,        21,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.61, 99.847458,         2,         0,         1,         0,        22,         0,        22,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.62, 99.838983,         2,         0,         1,         0,        23,         0,        23,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.63, 99.830508,         2,         0,         1,         0,        24,         0,        24,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.64, 99.822034,         2,         0,         1,         0,        25,         0,        25,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.65, 99.813559,         2,         0,         1,         0,        26,         0,        26,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.66, 99.805085,         2,         0,         1,         0,        27,         0,        27,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.67,  99.79661,         2,         0,         1,         0,        28,         0,        28,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.68, 99.788136,         2,         0,         1,         0,        29,         0,        29,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.69, 99.779661,         2,         0,         1,         0,        30,         0,        30,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.7, 99.771186,         2,         0,         1,         0,        31,         0,        31,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.71, 99.762712,         2,         0,         1,         0,        32,         0,        32,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.72, 99.754237,         2,         0,         1,         0,        33,         0,        33,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.73, 99.745763,         2,         0,         1,         0,        34,         0,        34,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.74, 99.737288,         2,         0,         1,         0,        35,         0,        35,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.75, 99.728814,         2,         0,         1,         0,        36,         0,        36,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.76, 99.720339,         2,         0,         1,         0,        37,         0,        37,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.77, 99.711864,         2,         0,         1,         0,        38,         0,        38,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.78,  99.70339,         2,         0,         1,         0,        39,         0,        39,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.79, 99.694915,         2,         0,         1,         0,        40,         0,        40,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.8, 99.686441,         2,         0,         1,         0,        41,         0,        41,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.81, 99.677966,         2,         0,         1,         0,        42,         0,        42,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.82, 99.669492,         2,         0,         1,         0,        43,         0,        43,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.83, 99.661017,         2,         0,         1,         0,        44,         0,        44,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.84, 99.652542,         2,         0,         1,         0,        45,         0,        45,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.85, 99.644068,         2,         0,         1,         0,        46,         0,        46,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.86, 99.635593,         2,         0,         1,         0,        47,         0,        47,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.87, 99.627119,         2,         0,         1,         0,        48,         0,        48,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.88, 99.618644,         2,         0,         1,         0,        49,         0,        49,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.89, 99.610169,         2,         0,         1,         0,        50,         0,        50,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.9, 99.601695,         2,         0,         1,         0,        51,         0,        51,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.91,  99.59322,         2,         0,         1,         0,        52,         0,        52,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.92, 99.584746,         2,         0,         1,         0,        53,         0,        53,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.93, 99.576271,         2,         0,         1,         0,        54,         0,        54,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.94, 99.567797,         2,         0,         1,         0,        55,         0,        55,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.95, 99.559322,         2,         0,         1,         0,        56,         0,        56,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.96, 99.550847,         2,         0,         1,         0,        57,         0,        57,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.97, 99.542373,         2,         0,         1,         0,        58,         0,        58,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.98, 99.533898,         2,         0,         1,         0,        59,         0,        59,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.99, 99.525424,         2,         0,         1,         0,        60,         0,        60,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
         1, 99.516949,         2,         0,         1,         0,        61,         0,        61,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.01, 99.508475,         2,         0,         1,         0,        62,         0,        62,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.02,      99.5,         2,         0,         1,         0,        63,         0,        63,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.03, 99.491525,         2,         0,         1,         0,        64,         0,        64,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.04, 99.483051,         2,         0,         1,         0,        65,         0,        65,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.05, 99.474576,         2,         0,         1,         0,        66,         0,        66,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.06, 99.466102,         2,         0,         1,         0,        67,         0,        67,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.07, 99.457627,         2,         0,         1,         0,        68,         0,        68,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.08, 99.449153,         2,         0,         1,         0,        69,         0,        69,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.09, 99.440678,         2,         0,         1,         0,        70,         0,        70,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.1, 99.432203,         2,         0,         1,         0,        71,         0,        71,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.11, 99.423729,         2,         0,         1,         0,        72,         0,        72,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.12, 99.415254,         2,         0,         1,         0,        73,         0,        73,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.13,  99.40678,         2,         0,         1,         0,        74,         0,        74,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.14, 99.398305,         2,         0,         1,         0,        75,         0,        75,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.15, 99.389831,         2,         0,         1,         0,        76,         0,        76,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.16, 99.381356,         2,         0,         1,         0,        77,         0,        77,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.17, 99.372881,         2,         0,         1,         0,        78,         0,        78,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.18, 99.364407,         2,         0,         1,         0,        79,         0,        79,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.19, 99.355932,         2,         0,         1,         0,        80,         0,        80,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.2, 99.347458,         2,         0,         1,         0,        81,         0,        81,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.21, 99.338983,         2,         0,         1,         0,        82,         0,        82,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.22, 99.330508,         2,         0,         1,         0,        83,         0,        83,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.23, 99.322034,         2,         0,         1,         0,        84,         0,        84,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.24, 99.313559,         2,         0,         1,         0,        85,         0,        85,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.25, 99.305085,         2,         0,         1,         0,        86,         0,        86,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.26,  99.29661,         2,         0,         1,         0,        87,         0,        87,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.27, 99.288136,         2,         0,         1,         0,        88,         0,        88,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.28, 99.279661,         2,         0,         1,         0,        89,         0,        89,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.29, 99.271186,         2,         0,         1,         0,        90,         0,        90,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.3, 99.262712,         2,         0,         1,         0,        91,         0,        91,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.31, 99.254237,         2,         0,         1,         0,        92,         0,        92,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.32, 99.245763,         2,         0,         1,         0,        93,         0,        93,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.33, 99.237288,         2,         0,         1,         0,        94,         0,        94,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.34, 99.228814,         2,         0,         1,         0,        95,         0,        95,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.35, 99.220339,         2,         0,         1,         0,        96,         0,        96,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.36, 99.211864,         2,         0,         1,         0,        97,         0,        97,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.37,  99.20339,         2,         0,         1,         0,        98,         0,        98,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.38, 99.194915,         2,         0,         1,         0,        99,         0,        99,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.39, 99.186441,         2,         0,         1,         0,       100,         0,       100,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.4, 99.177966,         2,         0,         1,         0,       101,         0,       101,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.41, 99.169492,         2,         0,         1,         0,       102,         0,       102,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.42, 99.161017,         2,         0,         1,         0,       103,         0,       103,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.43, 99.152542,         2,         0,         1,         0,       104,         0,       104,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.44, 99.144068,         2,         0,         1,         0,       105,         0,       105,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.45, 99.135593,         2,         0,         1,         0,       106,         0,       106,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.46, 99.127119,         2,         0,         1,         0,       107,         0,       107,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.47, 99.118644,         2,         0,         1,         0,       108,         0,       108,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.48, 99.110169,         2,         0,         1,         0,       109,         0,       109,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.49, 99.101695,         2,         0,         1,         0,       110,         0,       110,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.5,  99.09322,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.51, 99.084746,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.52, 99.076271,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.53, 99.067797,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.54, 99.059322,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.55, 99.050847,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.56, 99.042373,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.57, 99.033898,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.58, 99.025424,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.59, 99.016949,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.6, 99.008475,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.61,        99,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.62,        98,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.63,        83,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.64,        63,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.65,        52,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
