"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi"
0.012,0.2,0.4,0.9,0.119378,3.68125,0.119378,-9.99898,1,0.119378
0.0125,0.2,0.4,0.9,0.124329,3.82683,0.124329,-9.99889,1,0.124329
0.013,0.2,0.4,0.9,0.129278,3.97148,0.129278,-9.99879,1,0.129278
0.0135,0.2,0.4,0.9,0.134226,4.11514,0.134226,-9.99869,1,0.134226
0.014,0.2,0.4,0.9,0.139173,4.25779,0.139173,-9.99859,1,0.139173
0.0145,0.2,0.4,0.9,0.144118,4.39939,0.144118,-9.99848,1,0.144118
0.015,0.2,0.4,0.9,0.149061,4.53991,0.149061,-9.99837,1,0.149061
0.0155,0.2,0.4,0.9,0.154003,4.6793,0.154003,-9.99825,1,0.154003
0.016,0.2,0.4,0.9,0.158944,4.81754,0.158944,-9.99814,1,0.158944
0.0165,0.2,0.4,0.9,0.163883,4.95459,0.163883,-9.99801,1,0.163883
0.017,0.2,0.4,0.9,0.168822,5.09041,0.168822,-9.99788,1,0.168822
0.0175,0.2,0.4,0.9,0.173759,5.22499,0.173759,-9.99775,1,0.173759
0.018,0.2,0.4,0.9,0.178695,5.35827,0.178695,-9.99762,1,0.178695
0.0185,0.2,0.4,0.9,0.18363,5.49023,0.18363,-9.99748,1,0.18363
0.019,0.2,0.4,0.9,0.188563,5.62083,0.188563,-9.99734,1,0.188563
0.0195,0.2,0.4,0.9,0.193495,5.75005,0.193495,-9.99719,1,0.193495
0.02,0.2,0.4,0.9,0.198426,5.87785,0.198426,-9.99704,1,0.198426
0.0205,0.2,0.4,0.9,0.203357,6.0042,0.203357,-9.99688,1,0.203357
0.021,0.2,0.4,0.9,0.208286,6.12907,0.208286,-9.99673,1,0.208286
0.0215,0.2,0.4,0.9,0.213215,6.25243,0.213215,-9.99656,1,0.213215
0.022,0.2,0.4,0.9,0.218142,6.37424,0.218142,-9.9964,1,0.218142
0.0225,0.2,0.4,0.9,0.223068,6.49448,0.223068,-9.99623,1,0.223068
0.023,0.2,0.4,0.9,0.227994,6.61312,0.227994,-9.99605,1,0.227994
0.0235,0.2,0.4,0.9,0.232918,6.73012,0.232918,-9.99587,1,0.232918
0.024,0.2,0.4,0.9,0.237843,6.84547,0.237843,-9.99569,1,0.237843
0.0245,0.2,0.4,0.9,0.242766,6.95913,0.242766,-9.9955,1,0.242766
0.025,0.2,0.4,0.9,0.247688,7.07107,0.247688,-9.99531,1,0.247688
0.0255,0.2,0.4,0.9,0.252609,7.18126,0.252609,-9.99512,1,0.252609
0.026,0.2,0.4,0.9,0.25753,7.28969,0.25753,-9.99492,1,0.25753
0.0265,0.2,0.4,0.9,0.26245,7.39631,0.26245,-9.99472,1,0.26245
0.027,0.2,0.4,0.9,0.26737,7.50111,0.26737,-9.99451,1,0.26737
0.0275,0.2,0.4,0.9,0.272289,7.60406,0.272289,-9.9943,1,0.272289
0.028,0.2,0.4,0.9,0.277207,7.70513,0.277207,-9.99409,1,0.277207
0.0285,0.2,0.4,0.9,0.282125,7.8043,0.282125,-9.99387,1,0.282125
0.029,0.2,0.4,0.9,0.287042,7.90155,0.287042,-9.99365,1,0.287042
0.0295,0.2,0.4,0.9,0.291958,7.99685,0.291958,-9.99342,1,0.291958
0.03,0.2,0.4,0.9,0.296874,8.09017,0.296874,-9.99319,1,0.296874
0.0305,0.2,0.4,0.9,0.30179,8.1815,0.30179,-9.99296,1,0.30179
0.031,0.2,0.4,0.9,0.306704,8.27081,0.306704,-9.99272,1,0.306704
0.0315,0.2,0.4,0.9,0.311619,8.35807,0.311619,-9.99248,1,0.311619
0.032,0.2,0.4,0.9,0.316533,8.44328,0.316533,-9.99223,1,0.316533
0.0325,0.2,0.4,0.9,0.321447,8.5264,0.321447,-9.99198,1,0.321447
0.033,0.2,0.4,0.9,0.32636,8.60742,0.32636,-9.99173,1,0.32636
0.0335,0.2,0.4,0.9,0.331273,8.68632,0.331273,-9.99147,1,0.331273
0.034,0.2,0.4,0.9,0.336185,8.76307,0.336185,-9.99121,1,0.336185
0.0345,0.2,0.4,0.9,0.341097,8.83766,0.341097,-9.99095,1,0.341097
0.035,0.2,0.4,0.9,0.346009,8.91007,0.346009,-9.99068,1,0.346009
0.0355,0.2,0.4,0.9,0.350921,8.98028,0.350921,-9.9904,1,0.350921
0.036,0.2,0.4,0.9,0.355832,9.04827,0.355832,-9.99013,1,0.355832
0.0365,0.2,0.4,0.9,0.360743,9.11403,0.360743,-9.98984,1,0.360743
0.037,0.2,0.4,0.9,0.365654,9.17755,0.365654,-9.98956,1,0.365654
0.0375,0.2,0.4,0.9,0.370564,9.2388,0.370564,-9.98927,1,0.370564
0.038,0.2,0.4,0.9,0.375474,9.29776,0.375474,-9.98898,1,0.375474
0.0385,0.2,0.4,0.9,0.380385,9.35444,0.380385,-9.98868,1,0.380385
0.039,0.2,0.4,0.9,0.385295,9.40881,0.385295,-9.98838,1,0.385295
0.0395,0.2,0.4,0.9,0.390205,9.46085,0.390205,-9.98808,1,0.390205
0.04,0.2,0.4,0.9,0.395114,9.51056,0.395114,-9.98777,1,0.395114
0.0405,0.2,0.4,0.9,0.400024,9.55793,0.400024,-9.98745,1,0.400024
0.041,0.2,0.4,0.9,0.404934,9.60294,0.404934,-9.98714,1,0.404934
0.0415,0.2,0.4,0.9,0.409843,9.64557,0.409843,-9.98682,1,0.409843
0.042,0.2,0.4,0.9,0.414753,9.68583,0.414753,-9.98649,1,0.414753
0.0425,0.2,0.4,0.9,0.419662,9.7237,0.419662,-9.98616,1,0.419662
0.043,0.2,0.4,0.9,0.424571,9.75917,0.424571,-9.98583,1,0.424571
0.0435,0.2,0.4,0.9,0.42948,9.79223,0.42948,-9.98549,1,0.42948
0.044,0.2,0.4,0.9,0.434389,9.82287,0.434389,-9.98516,1,0.434389
0.0445,0.2,0.4,0.9,0.439299,9.85109,0.439299,-9.98481,1,0.439299
0.045,0.2,0.4,0.9,0.444208,9.87688,0.444208,-9.98446,1,0.444208
0.0455,0.2,0.4,0.9,0.449117,9.90024,0.449117,-9.98411,1,0.449117
0.046,0.2,0.4,0.9,0.454026,9.92115,0.454026,-9.98375,1,0.454026
0.0465,0.2,0.4,0.9,0.458935,9.93961,0.458935,-9.98339,1,0.458935
0.047,0.2,0.4,0.9,0.463844,9.95562,0.463844,-9.98303,1,0.463844
0.0475,0.2,0.4,0.9,0.468753,9.96917,0.468753,-9.98266,1,0.468753
0.048,0.2,0.4,0.9,0.473662,9.98027,0.473662,-9.98229,1,0.473662
0.0485,0.2,0.4,0.9,0.478571,9.9889,0.478571,-9.98192,1,0.478571
0.049,0.2,0.4,0.9,0.48348,9.99507,0.48348,-9.98153,1,0.48348
0.0495,0.2,0.4,0.9,0.488389,9.99877,0.488389,-9.98115,1,0.488389
0.05,0.2,0.4,0.9,0.493299,10,0.493299,-9.98076,1,0.493299
0.0505,0.2,0.4,0.9,0.498208,9.99877,0.498208,-9.98037,1,0.498208
0.051,0.2,0.4,0.9,0.503117,9.99507,0.503117,-9.97998,1,0.503117
0.0515,0.2,0.4,0.9,0.508026,9.9889,0.508026,-9.97958,1,0.508026
0.052,0.2,0.4,0.9,0.512935,9.98027,0.512935,-9.97917,1,0.512935
0.0525,0.2,0.4,0.9,0.517844,9.96917,0.517844,-9.97877,1,0.517844
0.053,0.2,0.4,0.9,0.522753,9.95562,0.522753,-9.97836,1,0.522753
0.0535,0.2,0.4,0.9,0.527662,9.93961,0.527662,-9.97794,1,0.527662
0.054,0.2,0.4,0.9,0.532571,9.92115,0.532571,-9.97752,1,0.532571
0.0545,0.2,0.4,0.9,0.537481,9.90024,0.537481,-9.9771,1,0.537481
0.055,0.2,0.4,0.9,0.54239,9.87688,0.54239,-9.97667,1,0.54239
0.0555,0.2,0.4,0.9,0.547299,9.85109,0.547299,-9.97624,1,0.547299
0.056,0.2,0.4,0.9,0.552208,9.82287,0.552208,-9.97581,1,0.552208
0.0565,0.2,0.4,0.9,0.557117,9.79223,0.557117,-9.97537,1,0.557117
0.057,0.2,0.4,0.9,0.562026,9.75917,0.562026,-9.97493,1,0.562026
0.0575,0.2,0.4,0.9,0.566934,9.7237,0.566934,-9.97448,1,0.566934
0.058,0.2,0.4,0.9,0.571843,9.68583,0.571843,-9.97403,1,0.571843
0.0585,0.2,0.4,0.9,0.576752,9.64557,0.576752,-9.97357,1,0.576752
0.059,0.2,0.4,0.9,0.58166,9.60294,0.58166,-9.97311,1,0.58166
0.0595,0.2,0.4,0.9,0.586568,9.55793,0.586568,-9.97265,1,0.586568
0.06,0.2,0.4,0.9,0.591477,9.51056,0.591477,-9.97219,1,0.591477
0.0605,0.2,0.4,0.9,0.596385,9.46085,0.596385,-9.97171,1,0.596385
0.061,0.2,0.4,0.9,0.601293,9.40881,0.601293,-9.97124,1,0.601293
0.0615,0.2,0.4,0.9,0.606201,9.35444,0.606201,-9.97076,1,0.606201
0.062,0.2,0.4,0.9,0.611109,9.29776,0.611109,-9.97028,1,0.611109
0.0625,0.2,0.4,0.9,0.616016,9.2388,0.616016,-9.9698,1,0.616016
0.063,0.2,0.4,0.9,0.620924,9.17755,0.620924,-9.96931,1,0.620924
0.0635,0.2,0.4,0.9,0.625831,9.11403,0.625831,-9.96881,1,0.625831
0.064,0.2,0.4,0.9,0.630738,9.04827,0.630738,-9.96831,1,0.630738
0.0645,0.2,0.4,0.9,0.635645,8.98028,0.635645,-9.96781,1,0.635645
0.065,0.2,0.4,0.9,0.640551,8.91007,0.640551,-9.96731,1,0.640551
0.0655,0.2,0.4,0.9,0.645457,8.83766,0.645457,-9.9668,1,0.645457
0.066,0.2,0.4,0.9,0.650363,8.76307,0.650363,-9.96628,1,0.650363
0.0665,0.2,0.4,0.9,0.655269,8.68632,0.655269,-9.96576,1,0.655269
0.067,0.2,0.4,0.9,0.660174,8.60742,0.660174,-9.96524,1,0.660174
0.0675,0.2,0.4,0.9,0.665079,8.5264,0.665079,-9.96472,1,0.665079
0.068,0.2,0.4,0.9,0.669983,8.44328,0.669983,-9.96419,1,0.669983
0.0685,0.2,0.4,0.9,0.674888,8.35807,0.674888,-9.96366,1,0.674888
0.069,0.2,0.4,0.9,0.679791,8.27081,0.679791,-9.96312,1,0.679791
0.0695,0.2,0.4,0.9,0.684695,8.1815,0.684695,-9.96258,1,0.684695
0.07,0.2,0.4,0.9,0.689598,8.09017,0.689598,-9.96203,1,0.689598
0.0705,0.2,0.4,0.9,0.6945,7.99685,0.6945,-9.96148,1,0.6945
0.071,0.2,0.4,0.9,0.699402,7.90155,0.699402,-9.96093,1,0.699402
0.0715,0.2,0.4,0.9,0.704304,7.8043,0.704304,-9.96037,1,0.704304
0.072,0.2,0.4,0.9,0.709205,7.70513,0.709205,-9.95981,1,0.709205
0.0725,0.2,0.4,0.9,0.714106,7.60406,0.714106,-9.95925,1,0.714106
0.073,0.2,0.4,0.9,0.719006,7.50111,0.719006,-9.95868,1,0.719006
0.0735,0.2,0.4,0.9,0.723905,7.39631,0.723905,-9.95811,1,0.723905
0.074,0.2,0.4,0.9,0.728803,7.28969,0.728803,-9.95753,1,0.728803
0.0745,0.2,0.4,0.9,0.733701,7.18126,0.733701,-9.95695,1,0.733701
0.075,0.2,0.4,0.9,0.738599,7.07107,0.738599,-9.95637,1,0.738599
0.0755,0.2,0.4,0.9,0.743495,6.95913,0.743495,-9.95578,1,0.743495
0.076,0.2,0.4,0.9,0.748391,6.84547,0.748391,-9.95518,1,0.748391
0.0765,0.2,0.4,0.9,0.753286,6.73012,0.753286,-9.95459,1,0.753286
0.077,0.2,0.4,0.9,0.758181,6.61312,0.758181,-9.95399,1,0.758181
0.0775,0.2,0.4,0.9,0.763074,6.49448,0.763074,-9.95339,1,0.763074
0.078,0.2,0.4,0.9,0.767967,6.37424,0.767967,-9.95278,1,0.767967
0.0785,0.2,0.4,0.9,0.772858,6.25243,0.772858,-9.95217,1,0.772858
0.079,0.2,0.4,0.9,0.777749,6.12907,0.777749,-9.95155,1,0.777749
0.0795,0.2,0.4,0.9,0.782639,6.0042,0.782639,-9.95093,1,0.782639
0.08,0.2,0.4,0.9,0.787528,5.87785,0.787528,-9.95031,1,0.787528
0.0805,0.2,0.4,0.9,0.792416,5.75005,0.792416,-9.94968,1,0.792416
0.081,0.2,0.4,0.9,0.797303,5.62083,0.797303,-9.94905,1,0.797303
0.0815,0.2,0.4,0.9,0.802189,5.49023,0.802189,-9.94841,1,0.802189
0.082,0.2,0.4,0.9,0.807074,5.35827,0.807074,-9.94777,1,0.807074
0.0825,0.2,0.4,0.9,0.811957,5.22499,0.811957,-9.94713,1,0.811957
0.083,0.2,0.4,0.9,0.81684,5.09041,0.81684,-9.94648,1,0.81684
0.0835,0.2,0.4,0.9,0.821721,4.95459,0.821721,-9.94583,1,0.821721
0.084,0.2,0.4,0.9,0.826601,4.81754,0.826601,-9.94518,1,0.826601
0.0845,0.2,0.4,0.9,0.831479,4.6793,0.831479,-9.94452,1,0.831479
0.085,0.2,0.4,0.9,0.836357,4.53991,0.836357,-9.94385,1,0.836357
0.0855,0.2,0.4,0.9,0.841233,4.39939,0.841233,-9.94319,1,0.841233
0.086,0.2,0.4,0.9,0.846107,4.25779,0.846107,-9.94252,1,0.846107
0.0865,0.2,0.4,0.9,0.850981,4.11514,0.850981,-9.94184,1,0.850981
0.087,0.2,0.4,0.9,0.855852,3.97148,0.855852,-9.94116,1,0.855852
0.0875,0.2,0.4,0.9,0.860723,3.82683,0.860723,-9.94048,1,0.860723
0.088,0.2,0.4,0.9,0.865591,3.68125,0.865591,-9.93979,1,0.865591
0.0885,0.2,0.4,0.9,0.870459,3.53475,0.870459,-9.9391,1,0.870459
0.089,0.2,0.4,0.9,0.875324,3.38738,0.875324,-9.93841,1,0.875324
0.0895,0.2,0.4,0.9,0.880188,3.23917,0.880188,-9.93771,1,0.880188
0.09,0.2,0.4,0.9,0.885051,3.09017,0.885051,-9.93701,1,0.885051
0.0905,0.2,0.4,0.9,0.889911,2.9404,0.889911,-9.9363,1,0.889911
0.091,0.2,0.4,0.9,0.89477,2.78991,0.89477,-9.93559,1,0.89477
0.0915,0.2,0.4,0.9,0.899628,2.63873,0.899628,-9.93488,1,0.899628
0.092,0.2,0.4,0.9,0.904483,2.4869,0.904483,-9.93416,1,0.904483
0.0925,0.2,0.4,0.9,0.909336,2.33445,0.909336,-9.93344,1,0.909336
0.093,0.2,0.4,0.9,0.914188,2.18143,0.914188,-9.93271,1,0.914188
0.0935,0.2,0.4,0.9,0.919037,2.02787,0.919037,-9.93198,1,0.919037
0.094,0.2,0.4,0.9,0.923885,1.87381,0.923885,-9.93125,1,0.923885
0.0945,0.2,0.4,0.9,0.928731,1.71929,0.928731,-9.93051,1,0.928731
0.095,0.2,0.4,0.9,0.933574,1.56434,0.933574,-9.92977,1,0.933574
0.0955,0.2,0.4,0.9,0.938416,1.40901,0.938416,-9.92903,1,0.938416
0.096,0.2,0.4,0.9,0.943255,1.25333,0.943255,-9.92828,1,0.943255
0.0965,0.2,0.4,0.9,0.948092,1.09734,0.948092,-9.92752,1,0.948092
0.097,0.2,0.4,0.9,0.952927,0.941083,0.952927,-9.92677,1,0.952927
0.0975,0.2,0.4,0.9,0.95776,0.784591,0.95776,-9.92601,1,0.95776
0.098,0.2,0.4,0.9,0.96259,0.627905,0.96259,-9.92524,1,0.96259
0.0985,0.2,0.4,0.9,0.967418,0.471065,0.967418,-9.92447,1,0.967418
0.099,0.2,0.4,0.9,0.972244,0.314108,0.972244,-9.9237,1,0.972244
0.0995,0.2,0.4,0.9,0.977067,0.157073,0.977067,-9.92292,1,0.977067
0.1,0.2,0.4,0.9,0.981888,1.08247E-15,0.981888,-9.92214,1,0.981888
0.1005,0.2,0.4,0.9,0.986707,-0.157073,0.986707,-9.92136,1,0.986707
0.101,0.2,0.4,0.9,0.991523,-0.314108,0.991523,-9.92057,1,0.991523
0.1015,0.2,0.4,0.9,0.996336,-0.471065,0.996336,-9.91978,1,0.996336
0.102,0.2,0.4,0.9,1.00115,-0.627905,1.00115,-9.91898,1,1.00115
0.1025,0.2,0.4,0.9,1.00595,-0.784591,1.00595,-9.91818,1,1.00595
0.103,0.2,0.4,0.9,1.01076,-0.941083,1.01076,-9.91738,1,1.01076
0.1035,0.2,0.4,0.9,1.01556,-1.09734,1.01556,-9.91657,1,1.01556
0.104,0.2,0.4,0.9,1.02036,-1.25333,1.02036,-9.91576,1,1.02036
0.1045,0.2,0.4,0.9,1.02516,-1.40901,1.02516,-9.91494,1,1.02516
0.105,0.2,0.4,0.9,1.02995,-1.56434,1.02995,-9.91412,1,1.02995
0.1055,0.2,0.4,0.9,1.03475,-1.71929,1.03475,-9.9133,1,1.03475
0.106,0.2,0.4,0.9,1.03953,-1.87381,1.03953,-9.91247,1,1.03953
0.1065,0.2,0.4,0.9,1.04432,-2.02787,1.04432,-9.91164,1,1.04432
0.107,0.2,0.4,0.9,1.0491,-2.18143,1.0491,-9.9108,1,1.0491
0.1075,0.2,0.4,0.9,1.05388,-2.33445,1.05388,-9.90996,1,1.05388
0.108,0.2,0.4,0.9,1.05866,-2.4869,1.05866,-9.90912,1,1.05866
0.1085,0.2,0.4,0.9,1.06343,-2.63873,1.06343,-9.90827,1,1.06343
0.109,0.2,0.4,0.9,1.0682,-2.78991,1.0682,-9.90742,1,1.0682
0.1095,0.2,0.4,0.9,1.07297,-2.9404,1.07297,-9.90657,1,1.07297
0.11,0.2,0.4,0.9,1.07773,-3.09017,1.07773,-9.90571,1,1.07773
0.1105,0.2,0.4,0.9,1.08249,-3.23917,1.08249,-9.90485,1,1.08249
0.111,0.2,0.4,0.9,1.08725,-3.38738,1.08725,-9.90398,1,1.08725
0.1115,0.2,0.4,0.9,1.09201,-3.53475,1.09201,-9.90311,1,1.09201
0.112,0.2,0.4,0.9,1.09676,-3.68125,1.09676,-9.90223,1,1.09676
0.1125,0.2,0.4,0.9,1.1015,-3.82683,1.1015,-9.90136,1,1.1015
0.113,0.2,0.4,0.9,1.10625,-3.97148,1.10625,-9.90047,1,1.10625
0.1135,0.2,0.4,0.9,1.11099,-4.11514,1.11099,-9.89959,1,1.11099
0.114,0.2,0.4,0.9,1.11573,-4.25779,1.11573,-9.8987,1,1.11573
0.1145,0.2,0.4,0.9,1.12046,-4.39939,1.12046,-9.8978,1,1.12046
0.115,0.2,0.4,0.9,1.12519,-4.53991,1.12519,-9.8969,1,1.12519
0.1155,0.2,0.4,0.9,1.12991,-4.6793,1.12991,-9.896,1,1.12991
0.116,0.2,0.4,0.9,1.13464,-4.81754,1.13464,-9.8951,1,1.13464
0.1165,0.2,0.4,0.9,1.13936,-4.95459,1.13936,-9.89419,1,1.13936
0.117,0.2,0.4,0.9,1.14407,-5.09041,1.14407,-9.89327,1,1.14407
0.1175,0.2,0.4,0.9,1.14878,-5.22499,1.14878,-9.89236,1,1.14878
0.118,0.2,0.4,0.9,1.15349,-5.35827,1.15349,-9.89144,1,1.15349
0.1185,0.2,0.4,0.9,1.15819,-5.49023,1.15819,-9.89051,1,1.15819
0.119,0.2,0.4,0.9,1.16289,-5.62083,1.16289,-9.88958,1,1.16289
0.1195,0.2,0.4,0.9,1.16759,-5.75005,1.16759,-9.88865,1,1.16759
0.12,0.2,0.4,0.9,1.17228,-5.87785,1.17228,-9.88771,1,1.17228
0.1205,0.2,0.4,0.9,1.17697,-6.0042,1.17697,-9.88677,1,1.17697
0.121,0.2,0.4,0.9,1.18165,-6.12907,1.18165,-9.88583,1,1.18165
0.1215,0.2,0.4,0.9,1.18633,-6.25243,1.18633,-9.88488,1,1.18633
0.122,0.2,0.4,0.9,1.19101,-6.37424,1.19101,-9.88392,1,1.19101
0.1225,0.2,0.4,0.9,1.19568,-6.49448,1.19568,-9.88297,1,1.19568
0.123,0.2,0.4,0.9,1.20035,-6.61312,1.20035,-9.88201,1,1.20035
0.1235,0.2,0.4,0.9,1.20502,-6.73012,1.20502,-9.88104,1,1.20502
0.124,0.2,0.4,0.9,1.20968,-6.84547,1.20968,-9.88007,1,1.20968
0.1245,0.2,0.4,0.9,1.21433,-6.95913,1.21433,-9.8791,1,1.21433
0.125,0.2,0.4,0.9,1.21898,-7.07107,1.21898,-9.87813,1,1.21898
0.1255,0.2,0.4,0.9,1.22363,-7.18126,1.22363,-9.87715,1,1.22363
0.126,0.2,0.4,0.9,1.22827,-7.28969,1.22827,-9.87616,1,1.22827
0.1265,0.2,0.4,0.9,1.23291,-7.39631,1.23291,-9.87517,1,1.23291
0.127,0.2,0.4,0.9,1.23755,-7.50111,1.23755,-9.87418,1,1.23755
0.1275,0.2,0.4,0.9,1.24218,-7.60406,1.24218,-9.87319,1,1.24218
0.128,0.2,0.4,0.9,1.2468,-7.70513,1.2468,-9.87219,1,1.2468
0.1285,0.2,0.4,0.9,1.25142,-7.8043,1.25142,-9.87118,1,1.25142
0.129,0.2,0.4,0.9,1.25604,-7.90155,1.25604,-9.87018,1,1.25604
0.1295,0.2,0.4,0.9,1.26065,-7.99685,1.26065,-9.86917,1,1.26065
0.13,0.2,0.4,0.9,1.26526,-8.09017,1.26526,-9.86815,1,1.26526
0.1305,0.2,0.4,0.9,1.26986,-8.1815,1.26986,-9.86713,1,1.26986
0.131,0.2,0.4,0.9,1.27446,-8.27081,1.27446,-9.86611,1,1.27446
0.1315,0.2,0.4,0.9,1.27906,-8.35807,1.27906,-9.86508,1,1.27906
0.132,0.2,0.4,0.9,1.28364,-8.44328,1.28364,-9.86405,1,1.28364
0.1325,0.2,0.4,0.9,1.28823,-8.5264,1.28823,-9.86302,1,1.28823
0.133,0.2,0.4,0.9,1.29281,-8.60742,1.29281,-9.86198,1,1.29281
0.1335,0.2,0.4,0.9,1.29739,-8.68632,1.29739,-9.86094,1,1.29739
0.134,0.2,0.4,0.9,1.30196,-8.76307,1.30196,-9.85989,1,1.30196
0.1345,0.2,0.4,0.9,1.30652,-8.83766,1.30652,-9.85884,1,1.30652
0.135,0.2,0.4,0.9,1.31109,-8.91007,1.31109,-9.85779,1,1.31109
0.1355,0.2,0.4,0.9,1.31564,-8.98028,1.31564,-9.85673,1,1.31564
0.136,0.2,0.4,0.9,1.3202,-9.04827,1.3202,-9.85567,1,1.3202
0.1365,0.2,0.4,0.9,1.32474,-9.11403,1.32474,-9.8546,1,1.32474
0.137,0.2,0.4,0.9,1.32929,-9.17755,1.32929,-9.85353,1,1.32929
0.1375,0.2,0.4,0.9,1.33383,-9.2388,1.33383,-9.85246,1,1.33383
0.138,0.2,0.4,0.9,1.33836,-9.29776,1.33836,-9.85138,1,1.33836
0.1385,0.2,0.4,0.9,1.34289,-9.35444,1.34289,-9.8503,1,1.34289
0.139,0.2,0.4,0.9,1.34741,-9.40881,1.34741,-9.84922,1,1.34741
0.1395,0.2,0.4,0.9,1.35193,-9.46085,1.35193,-9.84813,1,1.35193
0.14,0.2,0.4,0.9,1.35645,-9.51056,1.35645,-9.84703,1,1.35645
0.1405,0.2,0.4,0.9,1.36095,-9.55793,1.36095,-9.84594,1,1.36095
0.141,0.2,0.4,0.9,1.36546,-9.60294,1.36546,-9.84484,1,1.36546
0.1415,0.2,0.4,0.9,1.36996,-9.64557,1.36996,-9.84373,1,1.36996
0.142,0.2,0.4,0.9,1.37445,-9.68583,1.37445,-9.84262,1,1.37445
0.1425,0.2,0.4,0.9,1.37894,-9.7237,1.37894,-9.84151,1,1.37894
0.143,0.2,0.4,0.9,1.38343,-9.75917,1.38343,-9.84039,1,1.38343
0.1435,0.2,0.4,0.9,1.38791,-9.79223,1.38791,-9.83928,1,1.38791
0.144,0.2,0.4,0.9,1.39238,-9.82287,1.39238,-9.83815,1,1.39238
0.1445,0.2,0.4,0.9,1.39685,-9.85109,1.39685,-9.83702,1,1.39685
0.145,0.2,0.4,0.9,1.40132,-9.87688,1.40132,-9.83589,1,1.40132
0.1455,0.2,0.4,0.9,1.40578,-9.90024,1.40578,-9.83476,1,1.40578
0.146,0.2,0.4,0.9,1.41024,-9.92115,1.41024,-9.83362,1,1.41024
0.1465,0.2,0.4,0.9,1.41469,-9.93961,1.41469,-9.83247,1,1.41469
0.147,0.2,0.4,0.9,1.41913,-9.95562,1.41913,-9.83133,1,1.41913
0.1475,0.2,0.4,0.9,1.42357,-9.96917,1.42357,-9.83018,1,1.42357
0.148,0.2,0.4,0.9,1.42801,-9.98027,1.42801,-9.82902,1,1.42801
0.1485,0.2,0.4,0.9,1.43244,-9.9889,1.43244,-9.82786,1,1.43244
0.149,0.2,0.4,0.9,1.43687,-9.99507,1.43687,-9.8267,1,1.43687
0.1495,0.2,0.4,0.9,1.44129,-9.99877,1.44129,-9.82553,1,1.44129
0.15,0.2,0.4,0.9,1.4457,-10,1.4457,-9.82436,1,1.4457
0.1505,0.2,0.4,0.9,1.45011,-9.99877,1.45011,-9.82319,1,1.45011
0.151,0.2,0.4,0.9,1.45452,-9.99507,1.45452,-9.82201,1,1.45452
0.1515,0.2,0.4,0.9,1.45892,-9.9889,1.45892,-9.82083,1,1.45892
0.152,0.2,0.4,0.9,1.46332,-9.98027,1.46332,-9.81964,1,1.46332
0.1525,0.2,0.4,0.9,1.46771,-9.96917,1.46771,-9.81845,1,1.46771
0.153,0.2,0.4,0.9,1.47209,-9.95562,1.47209,-9.81726,1,1.47209
0.1535,0.2,0.4,0.9,1.47648,-9.93961,1.47648,-9.81606,1,1.47648
