"time"," headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType"
2.47,1,0,0,0,0,2
2.48,1,0,0,0,0,2
2.49,1,0,0,0,0,2
2.5,1,0,0,0,0,2
2.51,1,0,0,0,0,2
2.52,1,0,0,0,0,2
2.53,1,0,1,0,1,2
2.54,1,0,2,0,2,2
2.55,1,0,3,0,3,2
2.56,1,0,4,0,4,2
