"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0.47,0.2,0.4,-2.720040793191,-2.3403151702047,-1.0239340859379,-3.0325473094089,-0.02450001102626,-0.69999999999962,3.7684748901552,6.0728624796132
0.48,0.2,0.4,-2.7434858050978,-2.345230246709,-1.0536738841965,-2.9152995415786,-0.032000031228208,-0.7999999999996,3.8291597205226,6.0605297882872
0.49,0.2,0.4,-2.7668658240895,-2.3263617336436,-1.0822376554909,-2.7973397562385,-0.040500051339745,-0.89999999999959,3.8896035309202,6.0237014898817
0.5,0.2,0.4,-2.7899187495334,-2.2793103635332,-1.1096182386033,-2.6786550126497,-0.050000051339739,-0.99999999999958,3.9495370394764,5.9579653761825
0.51,0.2,0.4,-2.8123527266698,-2.2025763328874,-1.1358082958617,-2.5592324558543,-0.060500051339734,-1.0999999999996,4.0086610738712,5.8618087887413
0.52,0.2,0.4,-2.8338761574387,-2.0977100851149,-1.1608003854158,-2.4390593617399,-0.072000051339728,-1.1999999999996,4.0666765941943,5.7367694468544
0.53,0.2,0.4,-2.8542276976525,-1.9691625396529,-1.1845869387647,-2.3181231247127,-0.084500051339723,-1.2999999999995,4.123314687757,5.5872856643651
0.54,0.2,0.4,-2.8732033185104,-1.8238518688261,-1.2071602619528,-2.1964112596879,-0.098000051339716,-1.3999999999995,4.1783636318028,5.4202631285136
0.55,0.2,0.4,-2.8906777822048,-1.6704887392494,-1.2285125367841,-2.0739114040616,-0.11250005133971,-1.4999999999995,4.2316903703286,5.2444001433105
0.56,0.2,0.4,-2.906618429201,-1.5187260674598,-1.2486358220573,-1.9506113196625,-0.1280000513397,-1.5999999999995,4.283254302598,5.0693373871218
0.57,0.2,0.4,-2.9210899273517,-1.3782165172398,-1.2675220548196,-1.8264988946847,-0.1445000513397,-1.6999999999995,4.333112033511,4.904715411924
0.58,0.2,0.4,-2.9342495177265,-1.2576699969831,-1.28516305164,-1.7015621456006,-0.16200005133969,-1.7999999999995,4.3814126207062,4.7592321425832
0.59,0.2,0.4,-2.9463332222788,-1.1640034154533,-1.3015505099014,-1.5757892190526,-0.18050005133968,-1.8999999999995,4.4283837835199,4.6397926345054
0.6,0.2,0.4,-2.9576343631862,-1.1016659233959,-1.3166760091117,-1.4491683937253,-0.20000005133968,-1.9999999999995,4.4743104236377,4.5508343171206
0.61,0.2,0.4,-2.9684764962854,-1.0722056906904,-1.3305310122339,-1.3216880821964,-0.22050005133967,-2.0999999999995,4.519507559859,4.4938937728862
