"time","outChar","outDateAndTime2"
14.4,35,4.2195e+06
14.55,38,4.3071e+06
14.7,41,4.3956e+06
14.85,44,4.485e+06
15,47,4.5753e+06
15.15,50,4.6665e+06
15.3,53,4.7586e+06
15.45,56,4.8516e+06
15.6,59,4.9455e+06
15.75,62,5.0403e+06
15.9,65,5.136e+06
16.05,68,5.2326e+06
16.2,71,5.3301e+06
16.35,74,5.4285e+06
16.5,77,5.5278e+06
16.65,80,5.628e+06
16.8,83,5.7291e+06
16.95,86,5.8311e+06
17.1,89,5.934e+06
17.25,92,6.0378e+06
17.4,95,6.1425e+06
17.55,98,6.2481e+06
17.7,101,6.3546e+06
17.85,104,6.462e+06
18,107,6.5703e+06
18.15,110,6.6795e+06
18.3,113,6.7896e+06
18.45,116,6.9006e+06
18.6,119,7.0125e+06
18.75,122,7.1253e+06
18.9,125,7.239e+06
19.05,128,7.3536e+06
19.2,131,7.4691e+06
19.35,134,7.5855e+06
19.5,137,7.7028e+06
19.65,140,7.821e+06
19.8,143,7.9401e+06
19.95,146,8.0601e+06
20.1,149,8.181e+06
20.25,152,8.3028e+06
20.4,155,8.4255e+06
20.55,158,8.5491e+06
20.7,161,8.6736e+06
20.85,164,8.799e+06
21,167,8.9253e+06
21.15,170,9.0525e+06
21.3,173,9.1806e+06
21.45,176,9.3096e+06
21.6,179,9.4395e+06
21.75,182,9.5703e+06
21.9,185,9.702e+06
22.05,188,9.8346e+06
22.2,191,9.9681e+06
22.35,194,1.01025e+07
22.5,197,1.02378e+07
22.65,200,1.0374e+07
22.8,203,1.05111e+07
22.95,206,1.06491e+07
23.1,209,1.0788e+07
23.25,212,1.09278e+07
23.4,215,1.10685e+07
23.55,218,1.12101e+07
23.7,221,1.13526e+07
23.85,224,1.1496e+07
24,227,1.16403e+07
24.15,230,1.17855e+07
24.3,233,1.19316e+07
24.45,236,1.20786e+07
24.6,239,1.22265e+07
24.75,242,1.23753e+07
24.9,245,1.2525e+07
25.05,248,1.26756e+07
25.2,251,1.28271e+07
25.35,254,1.29795e+07
25.5,1,1.31328e+07
25.65,4,1.3287e+07
25.8,7,1.34421e+07
25.95,10,1.35981e+07
26.1,13,1.3755e+07
26.25,16,1.39128e+07
26.4,19,1.40715e+07
26.55,22,1.42311e+07
26.7,25,1.43916e+07
26.85,28,1.4553e+07
27,31,1.47153e+07
27.15,34,1.48785e+07
27.3,37,1.50426e+07
27.45,40,1.52076e+07
27.6,43,1.53735e+07
27.75,46,1.55403e+07
27.9,49,1.5708e+07
28.05,52,1.58766e+07
28.2,55,1.60461e+07
28.35,58,1.62165e+07
28.5,61,1.63878e+07
28.65,64,1.656e+07
28.8,67,1.67331e+07
28.95,70,1.69071e+07
29.1,73,1.7082e+07
29.25,76,1.72578e+07
29.4,79,1.74345e+07
29.55,82,1.76121e+07
29.7,85,1.77906e+07
29.85,88,1.797e+07
30,91,1.81503e+07
30.15,94,1.83315e+07
30.3,97,1.85136e+07
30.45,100,1.86966e+07
30.6,103,1.88805e+07
30.75,106,1.90653e+07
30.9,109,1.9251e+07
31.05,112,1.94376e+07
31.2,115,1.96251e+07
31.35,118,1.98135e+07
31.5,121,2.00028e+07
31.65,124,2.0193e+07
31.8,127,2.03841e+07
31.95,130,2.05761e+07
32.1,133,2.0769e+07
32.25,136,2.09628e+07
32.4,139,2.11575e+07
32.55,142,2.13531e+07
32.7,145,2.15496e+07
32.85,148,2.1747e+07
33,151,2.19453e+07
33.15,154,2.21445e+07
33.3,157,2.23446e+07
33.45,160,2.25456e+07
33.6,163,2.27475e+07
33.75,166,2.29503e+07
33.9,169,2.3154e+07
34.05,172,2.33586e+07
34.2,175,2.35641e+07
34.35,178,2.37705e+07
34.5,181,2.39778e+07
34.65,184,2.4186e+07
34.8,187,2.43951e+07
34.95,190,2.46051e+07
35.1,193,2.4816e+07
35.25,196,2.50278e+07
35.4,199,2.52405e+07
35.55,202,2.54541e+07
35.7,205,2.56686e+07
35.85,208,2.5884e+07
36,211,2.61003e+07
36.15,214,2.63175e+07
36.3,217,2.65356e+07
36.45,220,2.67546e+07
36.6,223,2.69745e+07
36.75,226,2.71953e+07
36.9,229,2.7417e+07
37.05,232,2.76396e+07
37.2,235,2.78631e+07
37.35,238,2.80875e+07
37.5,241,2.83128e+07
37.65,244,2.8539e+07
37.8,247,2.87661e+07
37.95,250,2.89941e+07
38.1,253,2.9223e+07
38.25,0,2.94528e+07
38.4,3,2.96835e+07
38.55,6,2.99151e+07
38.7,9,3.01476e+07
38.85,12,3.0381e+07
39,15,3.06153e+07
39.15,18,3.08505e+07
39.3,21,3.10866e+07
39.45,24,3.13236e+07
39.6,27,3.15615e+07
39.75,30,3.18003e+07
39.9,33,3.204e+07
40.05,36,3.22806e+07
40.2,39,3.25221e+07
40.35,42,3.27645e+07
40.5,45,3.30078e+07
40.65,48,3.3252e+07
40.8,51,3.34971e+07
40.95,54,3.37431e+07
41.1,57,3.399e+07
41.25,60,3.42378e+07
41.4,63,3.44865e+07
41.55,66,3.47361e+07
41.7,69,3.49866e+07
41.85,72,3.5238e+07
42,75,3.54903e+07
42.15,78,3.57435e+07
42.3,81,3.59976e+07
42.45,84,3.62526e+07
42.6,87,3.65085e+07
42.75,90,3.67653e+07
42.9,93,3.7023e+07
43.05,96,3.72816e+07
43.2,99,3.75411e+07
43.35,102,3.78015e+07
43.5,105,3.80628e+07
43.65,108,3.8325e+07
43.8,111,3.85881e+07
43.95,114,3.88521e+07
44.1,117,3.9117e+07
44.25,120,3.93828e+07
44.4,123,3.96495e+07
44.55,126,3.99171e+07
44.7,129,4.01856e+07
44.85,132,4.0455e+07
45,135,4.07253e+07
45.15,138,4.09965e+07
45.3,141,4.12686e+07
45.45,144,4.15416e+07
45.6,147,4.18155e+07
45.75,150,4.20903e+07
45.9,153,4.2366e+07
46.05,156,4.26426e+07
46.2,159,4.29201e+07
46.35,162,4.31985e+07
46.5,165,4.34778e+07
46.65,168,4.3758e+07
46.8,171,4.40391e+07
46.95,174,4.43211e+07
47.1,177,4.4604e+07
47.25,180,4.48878e+07
47.4,183,4.51725e+07
47.55,186,4.54581e+07
47.7,189,4.57446e+07
47.85,192,4.6032e+07
48,195,4.63203e+07
48.15,198,4.66095e+07
48.3,201,4.68996e+07
48.45,204,4.71906e+07
48.6,207,4.74825e+07
48.75,210,4.77753e+07
48.9,213,4.8069e+07
49.05,216,4.83636e+07
49.2,219,4.86591e+07
49.35,222,4.89555e+07
49.5,225,4.92528e+07
49.65,228,4.9551e+07
49.8,231,4.98501e+07
49.95,234,5.01501e+07
50.1,237,5.0451e+07
50.25,240,5.07528e+07
50.4,243,5.10555e+07
50.55,246,5.13591e+07
50.7,249,5.16636e+07
50.85,252,5.1969e+07
51,255,5.22753e+07
51.15,2,5.25825e+07
51.3,5,5.28906e+07
51.45,8,5.31996e+07
51.6,11,5.35095e+07
51.75,14,5.38203e+07
51.9,17,5.4132e+07
52.05,20,5.44446e+07
52.2,23,5.47581e+07
52.35,26,5.50725e+07
52.5,29,5.53878e+07
52.65,32,5.5704e+07
52.8,35,5.60211e+07
52.95,38,5.63391e+07
53.1,41,5.6658e+07
53.25,44,5.69778e+07
53.4,47,5.72985e+07
53.55,50,5.76201e+07
53.7,53,5.79426e+07
53.85,56,5.8266e+07
54,59,5.85903e+07
54.15,62,5.89155e+07
54.3,65,5.92416e+07
54.45,68,5.95686e+07
54.6,71,5.98965e+07
54.75,74,6.02253e+07
54.9,77,6.0555e+07
55.05,80,6.08856e+07
55.2,83,6.12171e+07
55.35,86,6.15495e+07
55.5,89,6.18828e+07
55.65,92,6.2217e+07
55.8,95,6.25521e+07
55.95,98,6.28881e+07
56.1,101,6.3225e+07
56.25,104,6.35628e+07
56.4,107,6.39015e+07
56.55,110,6.42411e+07
56.7,113,6.45816e+07
56.85,116,6.4923e+07
57,119,6.52653e+07
57.15,122,6.56085e+07
57.3,125,6.59526e+07
57.45,128,6.62976e+07
57.6,131,6.66435e+07
57.75,134,6.69903e+07
57.9,137,6.7338e+07
58.05,140,6.76866e+07
58.2,143,6.80361e+07
58.35,146,6.83865e+07
58.5,149,6.87378e+07
58.65,152,6.909e+07
58.8,155,6.94431e+07
58.95,158,6.97971e+07
59.1,161,7.0152e+07
59.25,164,7.05078e+07
59.4,167,7.08645e+07
59.55,170,7.12221e+07
59.7,173,7.15806e+07
59.85,176,7.194e+07
60,179,7.23003e+07
60,179,7.23003e+07
