Time,Piston_frame_a_r_0_1,Piston_frame_a_r_0_2,Piston_frame_a_r_0_3
0.326,0.15,0.223859,0
0.327,0.15,0.240377,0
0.328,0.15,0.260395,0
0.329,0.15,0.282875,0
0.33,0.15,0.306709,0
0.331,0.15,0.330825,0
0.332,0.15,0.354099,0
0.333,0.15,0.375069,0
0.334,0.15,0.391431,0
0.335,0.15,0.399646,0
0.336,0.15,0.396726,0
0.337,0.15,0.383782,0
0.338,0.15,0.364427,0
0.339,0.15,0.341539,0
0.34,0.15,0.316935,0
0.341,0.15,0.291931,0
0.342,0.15,0.267751,0
0.343,0.15,0.245717,0
0.344,0.15,0.22719,0
0.345,0.15,0.21322,0
0.346,0.15,0.204258,0
0.347,0.15,0.200258,0
0.348,0.15,0.201083,0
0.349,0.15,0.206768,0
0.35,0.15,0.21747,0
0.351,0.15,0.233134,0
0.352,0.15,0.253156,0
0.353,0.15,0.276402,0
0.354,0.15,0.301545,0
0.355,0.15,0.327283,0
0.356,0.15,0.352279,0
0.357,0.15,0.374816,0
0.358,0.15,0.392135,0
0.359,0.15,0.399914,0
0.36,0.15,0.394901,0
0.361,0.15,0.37921,0
0.362,0.15,0.357227,0
0.363,0.15,0.33204,0
0.364,0.15,0.305576,0
0.365,0.15,0.279322,0
0.366,0.15,0.25477,0
0.367,0.15,0.233532,0
0.368,0.15,0.217035,0
0.369,0.15,0.206054,0
0.37,0.15,0.200661,0
0.371,0.15,0.20068,0
0.372,0.15,0.206113,0
0.373,0.15,0.217142,0
0.374,0.15,0.233726,0
0.375,0.15,0.255148,0
0.376,0.15,0.28005,0
0.377,0.15,0.306868,0
0.378,0.15,0.334064,0
0.379,0.15,0.359992,0
0.38,0.15,0.382323,0
0.381,0.15,0.397075,0
0.382,0.15,0.398962,0
0.383,0.15,0.386999,0
0.384,0.15,0.365924,0
0.385,0.15,0.34019,0
0.386,0.15,0.312467,0
0.387,0.15,0.284599,0
0.388,0.15,0.258305,0
0.389,0.15,0.235435,0
0.39,0.15,0.217687,0
0.391,0.15,0.206016,0
0.392,0.15,0.20052,0
0.393,0.15,0.201001,0
0.394,0.15,0.207486,0
0.395,0.15,0.220177,0
0.396,0.15,0.238907,0
0.397,0.15,0.262642,0
0.398,0.15,0.289695,0
0.399,0.15,0.318252,0
0.4,0.15,0.34652,0
0.401,0.15,0.37232,0
0.402,0.15,0.392103,0
0.403,0.15,0.4,0
0.404,0.15,0.392023,0
0.405,0.15,0.37205,0
0.406,0.15,0.345848,0
0.407,0.15,0.316962,0
0.408,0.15,0.287649,0
0.409,0.15,0.259879,0
0.41,0.15,0.235758,0
0.411,0.15,0.217231,0
0.412,0.15,0.205371,0
0.413,0.15,0.200257,0
