"time","DoublePendulum_cc.revolute1.w","DoublePendulum_cc.revolute2.w"
0.438,-1.9765191,-9.9481157
0.441,-2.055601,-9.7591713
0.444,-2.144996,-9.5413591
0.447,-2.2434896,-9.2978207
0.45,-2.3498279,-9.0317767
0.453,-2.4627638,-8.7464023
0.456,-2.581094,-8.4447289
0.459,-2.7036866,-8.129573
0.462,-2.829499,-7.8034923
0.465,-2.9575879,-7.4687635
0.468,-3.0871127,-7.1273784
0.471,-3.2173341,-6.781053
0.474,-3.3476093,-6.4312455
0.477,-3.477385,-6.0791798
0.48,-3.601916,-5.7376585
0.483,-3.729402,-5.3839407
0.486,-3.8551945,-5.0304671
0.489,-3.9790151,-4.6777837
0.492,-4.1006351,-4.3263232
0.495,-4.2198699,-3.9764245
0.498,-4.3404173,-3.6167808
0.501,-4.4543834,-3.2707978
0.504,-4.5656149,-2.9269886
0.507,-4.6740516,-2.5854591
0.51,-4.7796549,-2.2462836
0.513,-4.8824044,-1.9095119
0.516,-4.9822963,-1.5751757
0.519,-5.0793406,-1.2432931
0.522,-5.1735595,-0.91387335
0.525,-5.264986,-0.58692025
0.528,-5.3536619,-0.2624352
0.531,-5.4396366,0.05957998
0.534,-5.5229659,0.37912066
0.537,-5.6037104,0.69617707
0.54,-5.6819346,1.0107321
0.543,-5.7577054,1.3227591
0.546,-5.8310905,1.6322197
0.549,-5.9021577,1.9390609
0.552,-5.9709729,2.2432131
0.555,-6.0375988,2.5445866
0.558,-6.1020931,2.8430687
0.561,-6.1645071,3.1385199
0.564,-6.2248833,3.4307698
0.567,-6.283254,3.7196126
0.57,-6.3396384,4.0048025
0.573,-6.394041,4.2860479
0.576,-6.4464488,4.5630056
0.579,-6.4951826,4.8262797
0.582,-6.54355,5.0935764
0.585,-6.5897565,5.3552047
0.588,-6.633695,5.6105562
0.591,-6.6752285,5.8589412
0.594,-6.7141882,6.0995838
0.597,-6.7515277,6.3391951
0.6,-6.7845955,6.5613345
0.603,-6.8143733,6.7728374
0.606,-6.8405595,6.9725809
0.609,-6.862824,7.1593734
0.612,-6.8808134,7.3319714
0.615,-6.894158,7.4891015
0.618,-6.9024808,7.6294893
0.621,-6.9054089,7.7518931
0.624,-6.9025855,7.8551434
0.627,-6.8936842,7.9381847
0.63,-6.8784231,8.0001189
0.633,-6.8565786,8.040247
0.636,-6.8279977,8.0581061
0.639,-6.792608,8.0534981
0.642,-6.7504238,8.0265087
0.645,-6.7015493,7.977514
0.648,-6.6461763,7.9071734
0.651,-6.5845786,7.8164103
0.654,-6.5171024,7.7063814
0.657,-6.4441539,7.5784374
0.66,-6.3661851,7.4340773
0.663,-6.2836784,7.2749007
0.666,-6.197132,7.1025614
0.669,-6.1070462,6.9187229
0.672,-6.0139109,6.7250206
0.675,-5.9181961,6.5230293
0.678,-5.8203438,6.3142388
0.681,-5.7207628,6.1000358
0.684,-5.6198252,5.8816922
0.687,-5.5178649,5.6603594
0.69,-5.4151773,5.4370672
0.693,-5.3120208,5.2127259
0.696,-5.2086182,4.9881318
0.699,-5.1051593,4.7639738
0.702,-5.001804,4.5408422
0.705,-4.9021173,4.3265946
0.708,-4.7993302,4.1068639
0.711,-4.6969728,3.8894145
0.714,-4.5951145,3.674531
0.717,-4.4938089,3.4624412
0.72,-4.3930957,3.2533239
0.723,-4.2930031,3.0473152
0.726,-4.1935497,2.8445141
0.729,-4.0914636,2.6383941
0.732,-3.9933346,2.442294
0.735,-3.8958569,2.2495265
0.738,-3.799024,2.0600884
0.741,-3.7028261,1.8739597
0.744,-3.6072506,1.691107
0.747,-3.5122827,1.5114845
0.75,-3.4179059,1.335037
0.753,-3.3241026,1.1617007
0.756,-3.2308544,0.99140511
0.759,-3.1381422,0.82407387
0.762,-3.0459467,0.65962589
0.765,-2.9542482,0.49797611
0.768,-2.863027,0.33903622
0.771,-2.7722637,0.18271523
0.774,-2.6819387,0.028919971
0.777,-2.5920328,-0.12244452
0.78,-2.5025268,-0.27147464
0.783,-2.413402,-0.41826793
0.786,-2.3246395,-0.56292283
0.789,-2.2362211,-0.70553848
0.792,-2.1481283,-0.84621453
0.795,-2.0603433,-0.98505098
0.798,-1.9728482,-1.122148
0.801,-1.8856252,-1.2576059
0.804,-1.7986569,-1.3915249
0.807,-1.7119258,-1.5240049
0.81,-1.6254147,-1.6551455
0.813,-1.5391066,-1.785046
0.816,-1.4529846,-1.9138046
0.819,-1.367032,-2.0415191
0.822,-1.2812322,-2.1682859
0.825,-1.1955691,-2.2942001
0.828,-1.1100268,-2.4193555
0.831,-1.0245899,-2.5438437
0.834,-0.94208698,-2.6636321
0.837,-0.85681431,-2.7870664
0.84,-0.77160467,-2.9100903
0.843,-0.68644537,-3.0327841
0.846,-0.60132485,-3.1552233
0.849,-0.51623283,-3.2774787
0.852,-0.43116058,-3.3996156
0.855,-0.34610116,-3.5216924
0.858,-0.26104974,-3.6437604
0.861,-0.17316913,-3.7699332
0.864,-0.088129454,-3.8921046
0.867,-0.003099419,-4.0143659
0.87,0.081913749,-4.1367269
0.873,0.16689878,-4.2591842
0.876,0.25183992,-4.3817192
0.879,0.33671641,-4.5042973
0.882,0.42150207,-4.6268657
0.885,0.50616476,-4.7493525
0.888,0.59066599,-4.871665
0.891,0.67496043,-4.9936886
0.894,0.75899562,-5.115285
0.897,0.84271166,-5.2362923
0.9,0.92604103,-5.3565235
0.903,1.0089086,-5.4757667
0.906,1.0912316,-5.5937852
0.909,1.1729203,-5.7103185
0.912,1.2538779,-5.8250834
0.915,1.3340022,-5.9377764
0.918,1.4131856,-6.0480766
0.921,1.4913171,-6.1556491
0.924,1.5682835,-6.2601493
0.927,1.6439713,-6.3612284
0.93,1.7182682,-6.4585385
0.933,1.7910659,-6.5517388
0.936,1.8622614,-6.6405019
0.939,1.9317597,-6.7245201
0.942,1.9994756,-6.8035115
0.945,2.0653358,-6.8772255
0.948,2.1292803,-6.9454481
0.951,2.1912639,-7.0080053
0.954,2.2512569,-7.0647667
0.957,2.309246,-7.1156468
0.96,2.3634,-7.1592028
0.963,2.417472,-7.1984426
0.966,2.4695952,-7.2318123
0.969,2.5198178,-7.259399
0.972,2.568201,-7.2813261
0.975,2.6148178,-7.2977496
0.978,2.6597504,-7.3088525
0.981,2.7030895,-7.3148403
0.984,2.7449316,-7.3159358
0.987,2.785378,-7.3123737
0.99,2.8245326,-7.3043966
0.993,2.8637469,-7.2917763
0.996,2.9005991,-7.2755787
0.999,2.9364771,-7.2557054
1.002,2.9714824,-7.2323902
1.005,3.0057133,-7.2058573
1.008,3.0392645,-7.1763198
1.011,3.0722261,-7.1439784
1.014,3.1046839,-7.1090199
1.017,3.1367186,-7.0716172
1.02,3.1684058,-7.0319286
1.023,3.1998163,-6.9900977
1.026,3.2310157,-6.9462538
1.029,3.2610316,-6.9020662
1.032,3.2930193,-6.8529739
1.035,3.3229003,-6.8053961
1.038,3.3548453,-6.7528498
1.041,3.3847728,-6.7021765
1.044,3.4168511,-6.6464423
1.047,3.4469741,-6.5928794
1.05,3.479329,-6.5341339
1.053,3.5097672,-6.4778083
1.056,3.5425123,-6.4161494
1.059,3.5744266,-6.3550612
1.062,3.6065808,-6.2925777
1.065,3.63899,-6.2286917
1.068,3.6716662,-6.16339
1.071,3.7046191,-6.0966535
1.074,3.7378555,-6.0284577
1.077,3.7713799,-5.9587733
1.08,3.805194,-5.8875666
1.083,3.8392975,-5.8147997
1.086,3.8736872,-5.740431
1.089,3.9083577,-5.6644154
1.092,3.9433013,-5.5867046
1.095,3.9785074,-5.5072476
1.098,4.0139635,-5.4259906
1.101,4.049654,-5.3428777
1.104,4.0855609,-5.2578509
1.107,4.1216637,-5.1708501
1.11,4.157939,-5.081814
1.113,4.1943606,-4.9906795
1.116,4.2308994,-4.8973825
1.119,4.2675232,-4.8018581
1.122,4.3041969,-4.7040404
1.125,4.340882,-4.6038629
1.128,4.3775368,-4.5012592
1.131,4.4141161,-4.3961622
1.134,4.4505713,-4.2885054
1.137,4.48685,-4.1782221
1.14,4.5228961,-4.0652465
1.143,4.5586498,-3.9495133
1.146,4.5940472,-3.830958
1.149,4.6290204,-3.7095175
1.152,4.6634975,-3.5851297
1.155,4.6974023,-3.4577341
1.158,4.7295575,-3.3316708
1.161,4.7631694,-3.1936865
1.164,4.7938163,-3.0615334
1.167,4.8256279,-2.9169283
1.17,4.8544063,-2.7784821
1.173,4.884015,-2.6270488
1.176,4.9105323,-2.4821253
1.179,4.9375009,-2.323678
1.182,4.9613323,-2.1721141
1.185,4.9851904,-2.0064904
1.188,5.0058809,-1.8481457
1.191,5.0261273,-1.6752079
1.194,5.0437494,-1.5042073
1.197,5.0593003,-1.3296006
1.2,5.0726463,-1.1513661
1.203,5.0836512,-0.96948537
1.206,5.0921772,-0.78394218
1.209,5.0980845,-0.59472276
1.212,5.1012325,-0.40181538
1.215,5.1014794,-0.20521003
1.218,5.0986835,-0.004898006
1.221,5.092703,0.1991285
1.224,5.0833969,0.40687696
1.227,5.0706251,0.61835507
1.23,5.0542494,0.8335714
1.233,5.0341335,1.0525362
1.236,5.0101438,1.275262
1.239,4.9821495,1.5017649
1.242,4.9500236,1.7320651
1.245,4.9136427,1.9661882
1.248,4.8728876,2.2041664
1.251,4.8276437,2.4460396
1.254,4.7778012,2.6918568
1.257,4.7232551,2.9416778
1.26,4.6639054,3.1955743
1.263,4.5996571,3.4536322
1.266,4.5304202,3.7159528
1.269,4.4561095,3.9826555
1.272,4.376644,4.2538793
1.275,4.2919469,4.5297854
1.278,4.2019447,4.8105596
1.281,4.1098334,5.0868023
1.284,4.0057443,5.3875957
1.287,3.9030435,5.6743918
1.29,3.7874943,5.9870759
1.293,3.67394,6.2856396
1.296,3.5466422,6.6116801
1.299,3.4219532,6.9235548
1.302,3.2825879,7.2648037
1.305,3.1464421,7.591929
1.308,2.9946317,7.950702
1.311,2.8466373,8.2954909
1.314,2.6819137,8.6746543
1.317,2.521579,9.0400783
1.32,2.3433508,9.4431423
1.323,2.1639637,9.8464846
1.326,1.9775805,10.264022
1.329,1.7839824,10.69697
1.332,1.5829338,11.146635
1.335,1.3741859,11.614406
1.338,1.1574858,12.101734
1.341,0.93258937,12.610099
1.344,0.69928336,13.140955
1.347,0.45741793,13.695642
1.35,0.20695553,14.275255
1.353,-0.051957914,14.88045
1.356,-0.31889167,15.511161
1.359,-0.59298896,16.166203
1.362,-0.87277643,16.842728
1.365,-1.1559178,17.535517
1.368,-1.4389159,18.23611
1.371,-1.7167881,18.93185
1.374,-1.9827823,19.605015
1.377,-2.2282535,20.232405
1.38,-2.44288,20.785873
1.383,-2.615407,21.234384
1.386,-2.7350058,21.547842
1.389,-2.7930806,21.702233
1.392,-2.7850313,21.684671
1.395,-2.711313,21.49643
1.398,-2.5773282,21.152641
1.401,-2.392202,20.678775
1.404,-2.1669642,20.105449
1.407,-1.9127923,19.463429
1.41,-1.6490678,18.803292
1.413,-1.3561739,18.0777
1.416,-1.0780768,17.396399
1.419,-0.78135574,16.677864
1.422,-0.50744215,16.022323
1.425,-0.22083204,15.344337
1.428,0.040193589,14.733794
1.431,0.31082579,14.107477
1.434,0.55578348,13.546113
1.437,0.80873644,12.971477
1.44,1.0371003,12.456603
1.443,1.2725399,11.929032
1.446,1.4848825,11.455426
1.449,1.7036693,10.968904
1.452,1.9009066,10.530854
1.455,2.1040514,10.079407
1.458,2.2933028,9.6577441
1.461,2.4755456,9.2498349
1.464,2.6509688,8.8545705
1.467,2.819742,8.4709375
1.47,2.982016,8.0980134
1.473,3.1379243,7.734962
1.476,3.2875853,7.3810283
1.479,3.4311039,7.0355321
1.482,3.568574,6.6978626
1.485,3.7000806,6.3674724
1.488,3.8257012,6.043873
1.491,3.9455086,5.726629
1.494,4.0595719,5.4153537
1.497,4.1679585,5.1097049
1.5,4.2707354,4.8093807
1.503,4.3679705,4.514116
1.506,4.4597337,4.2236787
1.509,4.5460981,3.9378669
1.512,4.6271403,3.6565058
1.515,4.7029418,3.3794447
1.518,4.7735885,3.1065551
1.521,4.8391723,2.8377277
1.524,4.8997903,2.5728705
1.527,4.9555454,2.3119069
1.53,5.0065466,2.0547733
1.533,5.0529082,1.8014181
1.536,5.0947504,1.5517994
1.539,5.1310196,1.3140214
1.542,5.1653825,1.0636444
1.545,5.1935343,0.83295513
1.548,5.2195032,0.59011727
1.551,5.2400748,0.36645243
1.554,5.258239,0.13109929
1.557,5.2717942,-0.085582679
1.56,5.2827676,-0.31348947
1.563,5.2898889,-0.52322198
1.566,5.2943006,-0.74371867
1.569,5.2955807,-0.94653871
1.572,5.2940666,-1.1596707
1.575,5.2901002,-1.3556282
1.578,5.2832936,-1.5614587
1.581,5.2746694,-1.7506237
1.584,5.2631935,-1.9492406
1.587,5.2500165,-2.1379433
1.59,5.2349477,-2.3232285
1.593,5.2181279,-2.5051324
1.596,5.1996948,-2.6836948
1.599,5.1797822,-2.8589599
1.602,5.1585204,-3.0309755
1.605,5.1360356,-3.1997936
1.608,5.1124498,-3.3654702
1.611,5.0878808,-3.5280647
1.614,5.0624417,-3.6876405
1.617,5.0362417,-3.8442643
1.62,5.0093852,-3.9980064
1.623,4.9819719,-4.1489399
1.626,4.9540974,-4.2971412
1.629,4.9258527,-4.4426892
1.632,4.8973243,-4.5856654
1.635,4.8685942,-4.7261536
1.638,4.8397405,-4.8642396
1.641,4.8108368,-5.0000108
1.644,4.7819526,-5.1335564
1.647,4.7531533,-5.2649667
1.65,4.7245005,-5.3943327
1.653,4.6960518,-5.5217462
1.656,4.6678612,-5.6472993
1.659,4.6399788,-5.7710839
1.662,4.6124511,-5.8931914
1.665,4.5853211,-6.0137125
1.668,4.5595106,-6.1287921
1.671,4.5324085,-6.2503506
1.674,4.507543,-6.3627844
1.677,4.4815143,-6.4816874
1.68,4.4577054,-6.5917926
1.683,4.4328547,-6.7083644
1.686,4.4101858,-6.8164273
1.689,4.3865863,-6.9309523
1.692,4.3651103,-7.0372151
1.695,4.3428009,-7.1499221
1.698,4.3225368,-7.2545662
1.701,4.3015174,-7.3656082
1.704,4.2824443,-7.4687324
1.707,4.2626686,-7.5781605
1.71,4.2447185,-7.679754
1.713,4.2260843,-7.7874845
1.716,4.2091313,-7.8873921
1.719,4.1914681,-7.9931657
1.722,4.1747637,-8.0944009
1.725,4.1583678,-8.1943773
1.728,4.1421936,-8.2929095
1.731,4.1261401,-8.3897718
1.734,4.1100906,-8.4846943
1.737,4.0939111,-8.5773595
1.74,4.0774498,-8.6673982
1.743,4.0605352,-8.7543869
1.746,4.0429761,-8.837845
1.749,4.0245611,-8.9172341
1.752,4.0050583,-8.9919584
1.755,3.9842169,-9.0613671
1.758,3.9617684,-9.1247598
1.761,3.9374298,-9.181394
1.764,3.9109071,-9.2304972
1.767,3.881901,-9.2712817
1.77,3.8501131,-9.3029631
1.773,3.8152532,-9.3247828
1.776,3.7770484,-9.3360328
1.779,3.735252,-9.3360822
1.782,3.6896526,-9.3244041
1.785,3.6400833,-9.3006015
1.788,3.5864291,-9.2644289
1.791,3.528633,-9.2158101
1.794,3.4666997,-9.1548484
1.797,3.4029613,-9.0844526
1.8,3.3307527,-8.9972126
1.803,3.2595674,-8.9049791
1.806,3.1798309,-8.7958279
1.809,3.1020945,-8.6846833
1.812,3.0159555,-8.5572235
1.815,2.9328404,-8.4308701
1.818,2.8416366,-8.2892857
1.821,2.7544341,-8.1517336
1.824,2.6595486,-8.000297
1.827,2.5695235,-7.8554352
1.83,2.4722482,-7.6981033
1.833,2.3805318,-7.5493856
1.836,2.2819773,-7.3895387
1.839,2.1895068,-7.2398096
1.842,2.0905616,-7.0801357
1.845,1.9980619,-6.9315796
1.848,1.89939,-6.774071
1.851,1.8042172,-6.6232485
1.854,1.7094455,-6.474269
1.857,1.6151444,-6.3273327
1.86,1.5213661,-6.1825865
1.863,1.4281478,-6.0401303
1.866,1.3355134,-5.9000232
1.869,1.243476,-5.762289
1.872,1.152039,-5.6269217
1.875,1.061198,-5.4938899
1.878,0.97094201,-5.3631411
1.881,0.88125485,-5.2346051
1.884,0.79211603,-5.1081975
1.887,0.70350178,-4.9838221
1.89,0.61538579,-4.8613735
1.893,0.52773987,-4.7407388
1.896,0.44053459,-4.6217998
1.899,0.35373969,-4.5044338
1.902,0.26732454,-4.3885154
1.905,0.18125844,-4.2739169
1.908,0.095510924,-4.1605095
1.911,0.010051972,-4.048164
1.914,-0.07514779,-3.936751
1.917,-0.16011695,-3.8261416
1.92,-0.24206063,-3.7198628
1.923,-0.3294732,-3.6068226
1.926,-0.41110012,-3.5014865
1.929,-0.4982259,-3.3891954
1.932,-0.57963088,-3.2843208
1.935,-0.66656654,-3.1722703
1.938,-0.74783554,-3.0673873
1.941,-0.83466819,-2.9550815
1.944,-0.91587824,-2.8497322
1.947,-1.0026855,-2.7366879
1.95,-1.083905,-2.6304261
1.953,-1.1707555,-2.5161723
1.956,-1.2520445,-2.4085626
1.959,-1.3389985,-2.2926393
1.962,-1.4204097,-2.183256
1.965,-1.5075199,-2.0652128
1.968,-1.5890996,-1.9536387
1.971,-1.6764122,-1.8330333
1.974,-1.758201,-1.7188577
1.977,-1.8457572,-1.595254
1.98,-1.9277917,-1.4780712
1.983,-2.0156288,-1.3510375
1.986,-2.1007838,-1.226255
1.989,-2.1860962,-1.0995512
1.992,-2.2715745,-0.97082194
1.995,-2.3572274,-0.83996301
1.998,-2.4430636,-0.70686961
2.001,-2.5290928,-0.57143634
2.004,-2.6153248,-0.43355697
2.007,-2.7017703,-0.29312426
2.01,-2.7884411,-0.15002969
2.013,-2.8753498,-0.00416328
2.016,-2.9625105,0.14458666
2.019,-3.0499387,0.29633384
2.022,-3.1376515,0.45119419
2.025,-3.225668,0.60928625
2.028,-3.3140092,0.77073139
2.031,-3.4026988,0.93565424
2.034,-3.4917626,1.1041829
2.037,-3.5812295,1.2764496
2.04,-3.6711313,1.4525906
2.043,-3.7615034,1.6327471
2.046,-3.8523843,1.8170653
2.049,-3.9438167,2.005697
2.052,-4.0358472,2.1987998
2.055,-4.1285269,2.396538
2.058,-4.2187866,2.5922515
2.061,-4.3160612,2.8066104
2.064,-4.4110418,3.0193076
2.067,-4.506924,3.2373665
2.07,-4.6005388,3.4534417
2.073,-4.7017036,3.6903781
2.076,-4.8007699,3.925753
2.079,-4.9010754,4.1673335
2.082,-4.9993073,4.4069729
2.085,-5.1058004,4.6700206
2.088,-5.2104292,4.9315888
2.091,-5.3167145,5.2002802
2.094,-5.4211366,5.4669963
2.097,-5.5347022,5.7599143
2.1,-5.6466268,6.0512604
2.103,-5.7606462,6.3505186
2.106,-5.872946,6.6474357
2.109,-5.9953359,6.973193
2.112,-6.1161457,7.296653
2.115,-6.2393146,7.6280666
2.118,-6.3648317,7.967175
2.121,-6.4926332,8.313544
2.124,-6.622587,8.6665178
2.127,-6.7544742,9.025164
2.13,-6.8879684,9.3882109
2.133,-7.0226118,9.7539777
2.136,-7.1577912,10.120301
2.139,-7.2927125,10.484462
2.142,-7.4263796,10.843125
2.145,-7.5575797,11.192295
2.148,-7.6848801,11.527314
2.151,-7.8066442,11.842908
2.154,-7.9210697,12.133315
2.157,-8.0262557,12.392486
2.16,-8.1202987,12.614384
2.163,-8.2014117,12.793345
2.166,-8.268057,12.924484
2.169,-8.3190738,13.004086
2.172,-8.3537809,13.029919
2.175,-8.3720372,13.00142
2.178,-8.3742471,12.919717
2.181,-8.3613119,12.787483
2.184,-8.3345361,12.608655
2.187,-8.2969862,12.396039
2.19,-8.2459602,12.131074
2.193,-8.187671,11.843163
2.196,-8.1223455,11.529678
2.199,-8.0539866,11.207012
2.202,-7.9766861,10.845369
2.205,-7.8989292,10.482892
2.208,-7.8192652,10.111458
2.211,-7.7411844,9.7464585
2.214,-7.6571826,9.3521119
2.217,-7.5758219,8.9681652
2.22,-7.4947133,8.5833147
2.223,-7.4167378,8.2114041
2.226,-7.3339628,7.8147504
2.229,-7.2544586,7.4323298
2.232,-7.1755142,7.0516866
2.235,-7.0996591,6.6856261
2.238,-7.0189492,6.2964915
2.241,-6.9410644,5.9220699
2.244,-6.8632276,5.5497321
2.247,-6.7852542,5.1793891
2.25,-6.7069488,4.8109169
2.253,-6.6281085,4.4441669
2.256,-6.5485263,4.0789734
2.259,-6.4679938,3.7151598
2.262,-6.3863029,3.3525424
2.265,-6.3032478,2.9909343
2.268,-6.2186263,2.6301469
2.271,-6.1322409,2.2699916
2.274,-6.0438997,1.9102804
2.277,-5.9534173,1.5508259
2.28,-5.8606152,1.1914413
2.283,-5.7653224,0.83193948
2.286,-5.6673757,0.47213246
2.289,-5.5666202,0.11183014
2.292,-5.4629092,-0.24916089
2.295,-5.3561044,-0.61103867
2.298,-5.2460763,-0.97400732
2.301,-5.1327038,-1.3382784
2.304,-5.0158743,-1.7040725
2.307,-4.8954836,-2.0716202
2.31,-4.7714359,-2.441164
2.313,-4.6436439,-2.8129586
2.316,-4.5164777,-3.1747516
2.319,-4.3765179,-3.5643869
2.322,-4.2370506,-3.9445982
2.325,-4.0935727,-4.3282147
2.328,-3.9510237,-4.7025815
2.331,-3.7944196,-5.1069514
2.334,-3.6386891,-5.5027325
2.337,-3.4788415,-5.9032303
2.34,-3.3204176,-6.2951622
2.343,-3.1468555,-6.7196318
2.346,-2.9748067,-7.1360902
2.349,-2.798833,-7.5583369
2.352,-2.6251225,-7.972114
2.355,-2.4357154,-8.4205055
2.358,-2.249032,-8.8602245
2.361,-2.0593804,-9.3052219
2.364,-1.873676,-9.739733
2.367,-1.6732257,-10.2078
2.37,-1.4781505,-10.662688
2.373,-1.2830357,-11.117252
2.376,-1.0955917,-11.553619
2.379,-0.89812161,-12.012895
2.382,-0.71181682,-12.445514
2.385,-0.53250573,-12.860735
2.388,-0.36277167,-13.251895
2.391,-0.20547061,-13.611503
2.394,-0.063623168,-13.931537
2.397,0.059750609,-14.203894
2.4,0.16184694,-14.420994
2.403,0.24032277,-14.576471
2.406,0.29353214,-14.665841
2.409,0.32071005,-14.687023
2.412,0.32206416,-14.640605
2.415,0.29875309,-14.529785
2.418,0.2527562,-14.360002
2.421,0.18666447,-14.138348
2.424,0.10343536,-13.872877
2.427,0.006154502,-13.571941
2.43,-0.10216395,-13.24363
2.433,-0.21473165,-12.907238
2.436,-0.34102862,-12.53373
2.439,-0.46693516,-12.164227
2.442,-0.59464298,-11.791432
2.445,-0.71842014,-11.431361
2.448,-0.84986737,-11.049711
2.451,-0.97527763,-10.685753
2.454,-1.0981958,-10.328674
2.457,-1.2141378,-9.991078
2.46,-1.3345314,-9.6392031
2.463,-1.4472596,-9.3079996
2.466,-1.5560649,-8.9862021
2.469,-1.6573901,-8.684139
2.472,-1.7614331,-8.3709844
2.475,-1.8578801,-8.0773751
2.478,-1.9501498,-7.7928539
