"Time","FMU_Interface_OUT2_Primary Speed - Primary Speed","FMU_Interface_OUT0_Primary Angle - Primary Angle","FMU_Interface_OUT4_Primary Acceleration - Primary Acceleration","FMU_Interface_OUT6_Primary Torque - Primary Torque"
1.42,2200,11483.7,-2.84217e-09,-10
1.43,2200,11615.7,-2.84217e-09,9.99999
1.44,2200,11747.7,-1.49152e-15,9.99999
1.45,2200,11879.7,0,-10
1.46,2200,12011.7,0,-10
1.47,2200,12143.7,0,-10
1.48,2200,12275.7,0,-10
1.49,2200,12407.7,0,-9.99999
1.5,2200,12539.7,2.84217e-09,-9.99999
1.51,2200,12671.7,1.62404e-15,-10
1.52,2200,12803.7,1.64298e-15,-10
1.53,2200,12935.7,-2.84217e-09,-10
1.54,2200,13067.7,-2.84217e-09,-10
1.55,2200,13199.7,-1.69977e-15,-10
1.56,2200,13331.7,-1.71871e-15,-10
1.57,2200,13463.7,0,-10
1.58,2200,13595.7,0,-10
1.59,2200,13727.7,0,-10
1.6,2200,13859.7,2.84217e-09,-10
1.61,2200,13991.7,2.84217e-09,-10
1.62,2200,14123.7,1.8323e-15,9.99999
1.63,2200,14255.7,0,9.99999
1.64,2200,14387.7,-2.84217e-09,-10
1.65,2200,14519.7,-2.84217e-09,-10
1.66,2200,14651.7,-1.90803e-15,-10
1.67,2200,14783.7,-1.92697e-15,-10
1.68,2200,14915.7,0,-10
1.69,2200,15047.7,0,-10
1.7,2200,15179.7,0,-10
1.71,2200,15311.7,2.84217e-09,-10
1.72,2200,15443.7,2.84217e-09,-10
1.73,2200,15575.7,2.04056e-15,-10
1.74,2200,15707.7,2.05949e-15,-10
1.75,2200,15839.7,0,-10
1.76,2200,15971.7,-2.84217e-09,-10
1.77,2200,16103.7,-2.11629e-15,-10
1.78,2200,16235.7,-2.13523e-15,-10
1.79,2200,16367.7,0,-10
1.8,2200,16499.7,0,-9.99998
1.81,2200,16631.7,0,-10
1.82,2200,16763.7,2.84217e-09,-10
1.83,2200,16895.7,2.84217e-09,-10
1.84,2200,17027.7,2.24882e-15,-10
1.85,2200,17159.7,2.26775e-15,-10
1.86,2200,17291.7,0,-10
1.87,2200,17423.7,-2.84217e-09,-10
1.88,2200,17555.7,-2.32455e-15,9.99998
1.89,2200,17687.7,-2.34348e-15,9.99998
1.9,2200,17819.7,0,-9.99998
1.91,2200,17951.7,0,-10
1.92,2200,18083.7,0,-10
1.93,2200,18215.7,2.84217e-09,-10
1.94,2200,18347.7,2.84217e-09,-10
1.95,2200,18479.7,2.45708e-15,-10
1.96,2200,18611.7,2.47601e-15,-10
1.97,2200,18743.7,0,-10
1.98,2200,18875.7,-2.84217e-09,-10
1.99,2200,19007.7,-2.84217e-09,-9.99998
2,2200,19139.7,-2.55168e-15,-10
2.01,2200,19272,2.84217e-09,-10
2.02,2200,19404.2,-2.84217e-09,-10
2.03,2200,19536.5,2.84217e-09,-10
2.04,2200,19668.7,0,-10
2.05,2200,19801,0,-10
2.06,2200,19933.2,1.90791e-15,-10
2.07,2200,20065.5,-1.80062e-15,-10
2.08,2200,20197.7,-2.84217e-09,-10
2.09,2200,20330,-3.1721e-15,-10
2.1,2200,20462.2,0,-10
2.11,2200,20594.5,-2.84217e-09,-10
2.12,2200,20726.7,2.84217e-09,-10
2.13,2200,20859,1.15691e-15,-10
2.14,2200,20991.2,0,-10
2.15,2200,21123.5,9.42342e-16,-10
2.16,2200,21255.7,-2.84217e-09,-10
2.17,2200,21388,-2.84217e-09,-10
2.18,2200,21520.2,-2.84217e-09,-10
2.19,2200,21652.5,0,-10
2.2,2200,21784.7,0,-10
2.21,2200,21916.9,0,-10
2.22,2200,22049.2,1.91346e-16,-10
2.23,2200,22181.4,-8.4061e-17,-10
2.24,2200,22313.7,2.32241e-17,-10
2.25,2200,22445.9,2.84217e-09,-10
2.26,2200,22578.2,-2.84217e-09,-10
2.27,2200,22710.4,-2.84217e-09,-10
2.28,2200,22842.6,2.84217e-09,-10
2.29,2200,22974.9,5.59649e-16,-10
2.3,2200,23107.1,-6.66935e-16,-10
2.31,2200,23239.4,7.7422e-16,-10
2.32,2200,23371.6,0,-10
2.33,2200,23503.8,9.8879e-16,-10
2.34,2200,23636.1,2.84217e-09,-10
2.35,2200,23768.3,-2.84217e-09,-10
2.36,2200,23900.5,-2.84217e-09,-10
2.37,2200,24032.8,2.84217e-09,-10
2.38,2200,24165,1.52522e-15,-10
2.39,2200,24297.2,-1.6325e-15,-10
2.4,2200,24429.5,1.73979e-15,-10
2.41,2200,24561.7,2.84217e-09,-10
2.42,2200,24693.9,0,-10
2.43,2200,24826.2,0,-10
2.44,2200,24958.4,-4.33785e-15,-10
2.45,2200,25090.6,-2.84217e-09,-10
2.46,2200,25222.8,-2.84217e-09,-11.1943
2.47,2200,25355.1,2.49078e-15,-11.9448
2.48,2200,25487.3,-2.59807e-15,-12.8986
2.49,2200,25619.5,2.70535e-15,-14.0546
2.5,2200,25751.7,2.84217e-09,-15.2678
2.51,2200,25883.9,-2.84217e-09,-16.4371
2.52,2200,26016.2,2.84216e-09,-17.584
2.53,2200,26148.4,-6.26898e-15,-18.737
2.54,2200,26280.6,-2.84216e-09,-19.8934
2.55,2200,26412.8,-2.84217e-09,-21.0496
2.56,2200,26545,3.45635e-15,-22.1826
2.57,2200,26677.2,0,-23.3044
2.58,2200,26809.4,0,-24.4144
2.59,2200,26941.6,2.84217e-09,-25.5223
2.6,2200,27073.9,-3.88549e-15,-26.6202
2.61,2200,27206.1,2.84216e-09,-27.7134
2.62,2200,27338.3,-5.68433e-09,-28.796
2.63,2200,27470.5,-2.84216e-09,-29.8771
2.64,2200,27602.7,-4.31463e-15,-30.948
2.65,2200,27734.9,4.42191e-15,-32.0166
2.66,2200,27867.1,2.84217e-09,-33.0721
2.67,2200,27999.3,-2.84217e-09,-34.1245
2.68,2200,28131.5,2.84217e-09,-35.164
2.69,2200,28263.6,-4.85105e-15,-36.2001
2.7,2200,28395.8,2.84216e-09,-37.2242
2.71,2200,28528,-5.68433e-09,-38.2436
2.72,2200,28660.2,5.17291e-15,-39.2519
2.73,2200,28792.4,0,-40.2542
2.74,2200,28924.6,0,-41.2464
2.75,2200,29056.8,2.84217e-09,-42.2311
2.76,2200,29189,-2.84217e-09,-43.2063
2.77,2200,29321.1,2.84217e-09,-44.1729
2.78,2200,29453.3,-5.68432e-09,-45.1307
2.79,2200,29585.5,2.84216e-09,-46.079
2.8,2200,29717.7,-6.03119e-15,-47.019
2.81,2200,29849.8,6.13847e-15,-47.9488
2.82,2200,29982,2.84216e-09,-48.8703
2.83,2200,30114.2,0,-49.7813
2.84,2200,30246.4,2.84216e-09,-50.6837
2.85,2200,30378.5,-2.84216e-09,-51.5756
2.86,2200,30510.7,2.84216e-09,-52.4585
2.87,2200,30642.8,-5.68432e-09,-53.3308
2.88,2200,30775,2.84216e-09,-54.1939
2.89,2200,30907.2,-6.99675e-15,-55.0463
2.9,2200,31039.3,-7.10404e-15,-55.889
2.91,2200,31171.5,2.84216e-09,-56.7211
2.92,2200,31303.6,0,-57.5432
2.93,2200,31435.8,2.84216e-09,-58.3546
2.94,2200,31567.9,-5.68432e-09,-59.1556
2.95,2200,31700.1,0,-59.946
2.96,2200,31832.2,0,-60.7256
2.97,2200,31964.4,2.84216e-09,-61.4946
2.98,2200,32096.5,-7.96232e-15,-62.2525
2.99,2200,32228.6,-8.06961e-15,-62.9996
3,2200,32360.8,2.84216e-09,-63.7355
3.01,2200,32492.9,0,-64.4604
3.02,2200,32625,2.84216e-09,-65.1739
3.03,2200,32757.2,-5.68432e-09,-65.8762
3.04,2200,32889.3,2.84215e-09,-66.5671
3.05,2200,33021.4,8.71332e-15,-67.2466
3.06,2200,33153.5,2.84216e-09,-67.9144
3.07,2200,33285.7,-8.92789e-15,-68.5708
3.08,2200,33417.8,0,-69.2153
3.09,2200,33549.9,2.84216e-09,-69.8482
3.1,2200,33682,-2.84215e-09,-70.4691
3.11,2200,33814.1,0,-71.0782
3.12,2200,33946.2,-5.68431e-09,-71.6753
3.13,2200,34078.3,2.84216e-09,-72.2603
3.14,2200,34210.5,9.67888e-15,-72.8332
3.15,2200,34342.6,2.84214e-09,-73.394
3.16,2200,34474.7,-9.89345e-15,-73.9424
3.17,2200,34606.8,0,-74.4786
3.18,2200,34738.9,2.84216e-09,-75.0024
3.19,2200,34870.9,-5.68431e-09,-75.5137
3.2,2200,35003,2.84215e-09,-76.0126
3.21,2200,35135.1,-2.84215e-09,-76.4989
3.22,2200,35267.2,2.84216e-09,-76.9725
3.23,2200,35399.3,1.06444e-14,-77.4335
3.24,2200,35531.4,2.84214e-09,-77.8818
3.25,2200,35663.5,0,-78.3174
3.26,2200,35795.5,0,-78.7401
3.27,2200,35927.6,2.84217e-09,-79.1499
3.28,2200,36059.7,-2.84216e-09,-79.5468
3.29,2200,36191.8,-2.84215e-09,-79.9307
3.3,2200,36323.8,2.84215e-09,-80.3017
3.31,2200,36455.9,-1.15027e-14,-80.6595
3.32,2200,36588,2.84217e-09,-81.0043
3.33,2200,36720,0,-81.3359
3.34,2200,36852.1,0,-81.6544
3.35,2200,36984.1,-5.68431e-09,-81.9597
3.36,2200,37116.2,2.84217e-09,-82.2517
3.37,2200,37248.2,2.84216e-09,-82.5304
3.38,2200,37380.3,-2.84215e-09,-82.7958
3.39,2200,37512.3,-1.2361e-14,-83.0478
3.4,2200,37644.4,-1.24683e-14,-83.2865
3.41,2200,37776.4,2.84217e-09,-83.5118
3.42,2200,37908.5,0,-83.7237
3.43,2200,38040.5,-2.84216e-09,-83.9221
3.44,2200,38172.5,-5.6843e-09,-84.107
3.45,2200,38304.6,2.84217e-09,-84.2784
3.46,2200,38436.6,2.84216e-09,-84.4363
3.47,2200,38568.6,-2.64386e-14,-84.5807
3.48,2200,38700.6,-1.33266e-14,-84.7115
3.49,2200,38832.7,0,-84.8287
3.5,2200,38964.7,2.84217e-09,-84.9323
3.51,2200,39096.7,-2.84216e-09,-85.0224
3.52,2200,39228.7,-2.84216e-09,-85.0988
3.53,2200,39360.7,1.3863e-14,-85.1617
3.54,2200,39492.7,5.6843e-09,-85.2109
3.55,2200,39624.7,5.6843e-09,-85.2465
3.56,2200,39756.7,-2.83697e-14,-85.2684
3.57,2200,39888.7,-1.42921e-14,-85.2725
3.58,2200,40020.7,-2.84217e-09,-65.2725
3.59,2200,40152.7,2.84217e-09,-65.2725
3.6,2200,40284.7,-2.84216e-09,-65.2725
3.61,2200,40416.7,-2.84216e-09,-65.2725
3.62,2200,40548.7,1.48286e-14,-65.2725
3.63,2200,40680.7,5.6843e-09,-65.2725
3.64,2200,40812.7,5.6843e-09,-65.2725
3.65,2200,40944.7,-5.68431e-09,-65.2725
3.66,2200,41076.6,-1.52577e-14,-65.2725
3.67,2200,41208.6,-5.6843e-09,-65.2725
3.68,2200,41340.6,2.84217e-09,-65.2725
3.69,2200,41472.6,2.84216e-09,-65.2725
3.7,2200,41604.5,-1.56868e-14,-65.2725
3.71,2200,41736.5,1.57941e-14,-65.2725
3.72,2200,41868.5,5.68429e-09,-65.2725
3.73,2200,42000.4,2.84214e-09,-65.2725
3.74,2200,42132.4,-5.68431e-09,-65.2725
3.75,2200,42264.3,0,-65.2725
3.76,2200,42396.3,-5.68429e-09,-65.2725
3.77,2200,42528.2,2.84217e-09,-65.2725
3.78,2200,42660.2,5.68429e-09,-65.2725
3.79,2200,42792.1,-3.33048e-14,-65.2725
3.8,2200,42924.1,1.67597e-14,-65.2725
3.81,2200,43056,2.84214e-09,-65.2725
3.82,2200,43188,2.84215e-09,-65.2725
3.83,2200,43319.9,-5.68429e-09,-65.2725
3.84,2200,43451.8,0,-65.2725
3.85,2200,43583.8,1.72961e-14,-65.2725
3.86,2200,43715.7,5.68429e-09,-65.2725
3.87,2200,43847.6,5.68429e-09,-65.2725
3.88,2200,43979.6,-3.5236e-14,-65.2725
3.89,2200,44111.5,-2.84214e-09,-65.2725
3.9,2200,44243.4,-2.84212e-09,-65.2725
3.91,2200,44375.3,2.84215e-09,-65.2725
3.92,2200,44507.2,-2.84213e-09,-65.2725
3.93,2200,44639.1,0,-65.2725
3.94,2200,44771.1,1.82617e-14,-65.2725
3.95,2200,44903,5.68429e-09,-65.2725
3.96,2200,45034.9,5.68429e-09,-65.2725
3.97,2200,45166.8,-3.71671e-14,-65.2725
3.98,2200,45298.7,-2.84211e-09,-65.2725
3.99,2200,45430.6,-2.84211e-09,-65.2725
4,2200,45562.5,2.84215e-09,-65.2725
4.01,2200,45694.4,0,-65.2725
4.02,2200,45826.3,2.84213e-09,-65.2725
4.03,2200,45958.1,1.9231e-14,-65.2725
4.04,2200,46090,5.68428e-09,-65.2725
4.05,2200,46221.9,2.84213e-09,-65.2725
4.06,2200,46353.8,-5.6843e-09,-65.2725
4.07,2200,46485.7,-2.84211e-09,-65.2725
4.08,2200,46617.6,-2.84211e-09,-65.2725
4.09,2200,46749.4,2.84215e-09,-65.2725
4.1,2200,46881.3,0,-65.2725
4.11,2200,47013.2,2.84213e-09,-65.2725
4.12,2200,47145.1,2.0208e-14,-65.2725
4.13,2200,47276.9,2.84213e-09,-65.2725
4.14,2200,47408.8,2.84213e-09,-65.2725
4.15,2200,47540.7,-5.6843e-09,-65.2725
4.16,2200,47672.5,-2.84211e-09,-65.2725
4.17,2200,47804.4,-2.84211e-09,-65.2725
4.18,2200,47936.2,2.84211e-09,-65.2725
4.19,2200,48068.1,0,-65.2725
4.2,2200,48199.9,2.84211e-09,-65.2725
4.21,2200,48331.8,-2.84213e-09,-65.2725
4.22,2200,48463.7,-2.84213e-09,-65.2725
4.23,2200,48595.5,2.84215e-09,-65.2725
4.24,2200,48727.3,-2.84215e-09,-65.2725
4.25,2200,48859.2,-2.84211e-09,-65.2725
4.26,2200,48991,2.84217e-09,-65.2725
4.27,2200,49122.9,2.84211e-09,-65.2725
4.28,2200,49254.7,0,-65.2725
4.29,2200,49386.5,-4.41065e-14,-65.2725
4.3,2200,49518.4,-2.84213e-09,-65.2725
4.31,2200,49650.2,-2.8421e-09,-65.2725
4.32,2200,49782,2.84215e-09,-65.2725
4.33,2200,49913.9,-2.84215e-09,-65.2725
4.34,2200,50045.7,-2.2596e-14,-65.2725
4.35,2200,50177.5,2.84217e-09,-65.2725
4.36,2200,50309.3,2.8421e-09,-65.2725
4.37,2200,50441.2,-2.84215e-09,-65.2725
4.38,2200,50573,-5.6843e-09,-65.2725
4.39,2200,50704.8,-2.8421e-09,-65.2725
4.4,2200,50836.6,-2.8421e-09,-65.2725
4.41,2200,50968.4,2.84215e-09,-65.2725
4.42,2200,51100.3,-2.34644e-14,-65.2725
4.43,2200,51232.1,-2.35729e-14,-65.2725
4.44,2200,51363.9,2.84217e-09,-65.2725
4.45,2200,51495.7,-2.84217e-09,-65.2725
4.46,2200,51627.5,-2.84215e-09,-65.2725
4.47,2200,51759.3,-5.68429e-09,-65.2725
4.48,2200,51891.1,-2.8421e-09,-65.2725
4.49,2200,52022.9,-2.8421e-09,-65.2725
4.5,2200,52154.7,2.84215e-09,-65.2725
4.51,2200,52286.5,-2.44413e-14,-65.2725
4.52,2200,52418.3,-2.45499e-14,-65.2725
4.53,2200,52550.1,2.84217e-09,-65.2725
4.54,2200,52681.9,-2.84215e-09,-65.2725
4.55,2200,52813.7,-2.84212e-09,-65.2725
4.56,2200,52945.5,-5.68429e-09,-65.2725
4.57,2200,53077.3,-2.8421e-09,-65.2725
4.58,2200,53209,2.84217e-09,-65.2725
4.59,2200,53340.8,2.8421e-09,-65.2725
4.6,2200,53472.6,-2.54182e-14,-65.2725
4.61,2200,53604.4,-2.84217e-09,-65.2725
4.62,2200,53736.2,2.84217e-09,-65.2725
4.63,2200,53868,-2.84215e-09,-65.2725
4.64,2200,53999.8,-2.84212e-09,-65.2725
4.65,2200,54131.5,0,-65.2725
4.66,2200,54263.3,2.60695e-14,-65.2725
4.67,2200,54395.1,2.84217e-09,-65.2725
4.68,2200,54526.9,2.84209e-09,-65.2725
4.69,2200,54658.6,-2.84217e-09,-65.2725
4.7,2200,54790.4,-2.84214e-09,-65.2725
4.71,2200,54922.2,2.84217e-09,-65.2725
4.72,2200,55054,-2.84214e-09,-65.2725
4.73,2200,55185.7,0,-65.2725
4.74,2200,55317.5,2.84212e-09,-65.2725
4.75,2200,55449.3,-2.70464e-14,-65.2725
4.76,2200,55581,2.84217e-09,-65.2725
4.77,2200,55712.8,-2.84217e-09,-65.2725
4.78,2200,55844.6,-2.84217e-09,-65.2725
4.79,2200,55976.3,-5.68426e-09,-65.2725
4.8,2200,56108.1,2.84217e-09,-65.2725
4.81,2200,56239.9,2.84214e-09,-65.2725
4.82,2200,56371.6,0,-65.2725
4.83,2200,56503.4,2.84212e-09,-65.2725
4.84,2200,56635.2,-2.80234e-14,-65.2725
4.85,2200,56766.9,2.84217e-09,-65.2725
4.86,2200,56898.7,-2.84217e-09,-65.2725
4.87,2200,57030.4,-2.84214e-09,-65.2725
4.88,2200,57162.2,-5.68426e-09,-65.2725
4.89,2200,57294,2.84217e-09,-65.2725
4.9,2200,57425.7,5.68426e-09,-65.2725
4.91,2200,57557.5,-5.75664e-14,-65.2725
4.92,2200,57689.2,2.84211e-09,-65.2725
4.93,2200,57821,-2.84217e-09,-65.2725
4.94,2200,57952.7,2.84217e-09,-65.2725
4.95,2200,58084.5,-2.84214e-09,-65.2725
4.96,2200,58216.3,-2.84214e-09,-65.2725
4.97,2200,58348,2.94345e-14,-65.2725
4.98,2200,58479.8,5.68425e-09,-65.2725
4.99,2200,58611.5,5.68425e-09,-65.2725
5,2200,58743.3,0,-65.2725
5.01,2200,58875,-2.98687e-14,-65.2725
5.02,2200,59006.8,-2.84211e-09,-65.2725
5.03,2200,59138.5,2.84217e-09,-65.2725
5.04,2200,59270.3,2.84211e-09,-65.2725
5.05,2200,59402,-2.84217e-09,-65.2725
5.06,2200,59533.8,0,-65.2725
5.07,2200,59665.5,2.84217e-09,-65.2725
5.08,2200,59797.3,2.84211e-09,-65.2725
5.09,2200,59929,-2.84214e-09,-65.2725
5.1,2200,60060.8,-3.08456e-14,-65.2725
5.11,2200,60192.5,-2.84211e-09,-65.2725
5.12,2200,60324.3,2.84217e-09,-65.2725
5.13,2200,60456,0,-65.2725
5.14,2200,60587.8,-2.84217e-09,10
5.15,2200,60719.5,-2.84211e-09,10
5.16,2200,60851.3,2.84217e-09,10
5.17,2200,60983,2.84211e-09,10
5.18,2200,61114.8,-2.84214e-09,10
5.19,2200,61246.5,0,10
5.2,2200,61378.3,-2.84211e-09,10
5.21,2200,61510,2.84217e-09,10
5.22,2200,61641.8,2.84211e-09,10
5.23,2200,61773.5,-2.84217e-09,10
5.24,2200,61905.3,-2.84211e-09,10
5.25,2200,62037,3.24738e-14,10
5.26,2200,62168.8,2.84211e-09,10
5.27,2200,62300.5,-2.84214e-09,10
5.28,2200,62432.3,-3.27994e-14,10
5.29,2200,62564,-2.84211e-09,10
5.3,2200,62695.8,2.84217e-09,10
5.31,2200,62827.5,2.8421e-09,10
5.32,2200,62959.3,-3.32336e-14,10
5.33,2200,63091.1,-2.8421e-09,10
5.34,2200,63222.8,2.84217e-09,10
5.35,2200,63354.6,2.8421e-09,10
5.36,2200,63486.3,-2.84214e-09,10
5.37,2200,63618.1,-3.37764e-14,10
5.38,2200,63749.8,0,10
5.39,2200,63881.6,2.84217e-09,10
5.4,2200,64013.3,2.8421e-09,10
5.41,2200,64145.1,-2.84217e-09,10
5.42,2200,64276.9,-2.8421e-09,10
5.43,2200,64408.6,2.84217e-09,10
5.44,2200,64540.4,2.8421e-09,10
5.45,2200,64672.1,-2.84214e-09,10
5.46,2200,64803.9,-3.47533e-14,10
5.47,2200,64935.7,-2.8421e-09,10
5.48,2200,65067.4,2.84217e-09,10
5.49,2200,65199.2,2.8421e-09,10
5.5,2200,65331,-2.84217e-09,10
5.51,2200,65462.7,0,10
5.52,2200,65594.5,0,10
5.53,2200,65726.3,0,10
5.54,2200,65858,0,10
5.55,2200,65989.8,0,10
5.56,2200,66121.6,0,10
5.57,2200,66253.4,0,10
5.58,2200,66385.1,0,11.0889
5.59,2200,66516.9,0,11.0888
5.6,2200,66648.7,0,12.1557
5.61,2200,66780.4,0,13.2129
5.62,2200,66912.2,0,14.4168
5.63,2200,67044,0,15.3357
5.64,2200,67175.8,0,16.5046
5.65,2200,67307.6,0,17.9021
5.66,2200,67439.3,0,18.9419
5.67,2200,67571.1,0,20.0702
5.68,2200,67702.9,0,21.221
5.69,2200,67834.7,0,22.3938
5.7,2200,67966.5,0,23.5708
5.71,2200,68098.3,0,24.5122
5.72,2200,68230.1,0,25.7961
5.73,2200,68361.9,0,26.9241
5.74,2200,68493.7,0,27.796
5.75,2200,68625.4,0,29.0732
5.76,2200,68757.2,0,30.2182
5.77,2200,68889,0,31.1469
5.78,2200,69020.8,0,32.3125
5.79,2200,69152.6,0,33.3883
5.8,2200,69284.4,0,34.4977
5.81,2200,69416.2,0,35.3609
5.82,2200,69548,0,36.5355
5.83,2200,69679.9,0,37.6664
5.84,2200,69811.7,0,38.4326
5.85,2200,69943.5,0,39.5804
5.86,2200,70075.3,0,40.6976
5.87,2200,70207.1,0,41.5457
5.88,2200,70338.9,0,42.5459
5.89,2200,70470.7,0,43.6662
5.9,2200,70602.5,0,44.6426
5.91,2200,70734.4,0,45.4224
5.92,2200,70866.2,0,46.5108
5.93,2200,70998,0,47.5748
5.94,2200,71129.8,0,48.2471
5.95,2200,71261.7,0,49.2788
5.96,2200,71393.5,0,50.3413
5.97,2200,71525.3,0,51.0812
5.98,2200,71657.1,0,51.9971
5.99,2200,71789,0,53.0275
6,2200,71920.8,0,53.886
6.01,2200,72052.7,-2.84213e-09,54.6116
6.02,2200,72184.5,-2.84213e-09,55.6044
6.03,2200,72316.3,-2.84205e-09,56.566
6.04,2200,72448.2,0,57.1397
6.05,2200,72580,8.23152e-14,58.0453
6.06,2200,72711.9,0,58.9775
6.07,2200,72843.7,5.68422e-09,59.6888
6.08,2200,72975.6,-4.14832e-14,60.5404
6.09,2200,73107.4,-4.15918e-14,61.3221
