"time","fdrag","fk1","fk2","x","y1","y2","y3"
22,203.112,82.9229,191.668,188.285,154.001,76.994,76.9884
22.5,192.262,78.5951,181.507,188.859,154.564,77.2755,77.2702
23,182.157,74.379,171.906,189.414,155.108,77.5477,77.5427
23.5,172.689,70.5416,162.99,189.951,155.634,77.8112,77.8065
24,163.89,66.9587,154.697,190.471,156.144,78.0664,78.0619
24.5,155.645,63.5494,146.883,190.974,156.638,78.3138,78.3095
25,147.94,60.4392,139.639,191.463,157.117,78.5536,78.5496
25.5,140.743,57.478,132.832,191.937,157.582,78.7864,78.7825
26,133.988,54.7158,126.454,192.397,158.034,79.0124,79.0087
26.5,127.669,52.15,120.502,192.845,158.472,79.2319,79.2284
27,121.74,49.709,114.892,193.279,158.899,79.4453,79.4419
27.5,116.171,47.4447,109.643,193.702,159.313,79.6528,79.6496
28,110.946,45.309,104.712,194.113,159.717,79.8548,79.8517
28.5,106.029,43.2936,100.065,194.514,160.11,80.0514,80.0485
29,101.405,41.4129,95.707,194.904,160.493,80.2429,80.2401
29.5,97.0511,39.6281,91.5932,195.284,160.866,80.4296,80.4269
30,92.9456,37.9524,87.7193,195.654,161.229,80.6116,80.609
30.5,89.076,36.3742,84.0689,196.016,161.584,80.7891,80.7866
31,85.4223,34.8773,80.6172,196.368,161.93,80.9623,80.9599
31.5,81.9706,33.4707,77.3618,196.712,162.268,81.1314,81.1291
32,78.7089,32.1375,74.2827,197.049,162.598,81.2965,81.2944
32.5,75.6219,30.875,71.3679,197.377,162.921,81.4579,81.4558
33,72.6998,29.6838,68.6118,197.698,163.236,81.6156,81.6136
33.5,69.9317,28.5515,65.998,198.012,163.544,81.7699,81.7679
34,67.3065,27.4793,63.5202,198.319,163.846,81.9207,81.9189
34.5,64.8164,26.4634,61.1709,198.62,164.141,82.0684,82.0666
35,62.4521,25.4964,58.9384,198.914,164.43,82.2129,82.2111
35.5,60.3497,24.6009,56.9111,199.202,164.713,82.3543,82.3527
36,58.5756,23.9276,55.2885,199.484,164.99,82.4929,82.4913
36.5,56.8849,23.2425,53.7052,199.76,165.261,82.6287,82.6271
37,55.2182,22.5134,52.0916,200.031,165.527,82.7617,82.7602
37.5,53.6127,21.9184,50.6182,200.296,165.788,82.8921,82.8906
38,52.0638,21.2462,49.1303,200.556,166.043,83.0198,83.0184
38.5,50.5465,20.6289,47.6986,200.811,166.294,83.1451,83.1437
39,49.0921,20.061,46.3451,201.061,166.539,83.2679,83.2666
39.5,47.6792,19.4478,44.9852,201.306,166.78,83.3884,83.3871
40,46.3072,18.9085,43.7052,201.547,167.016,83.5066,83.5053
40.5,44.9895,18.3735,42.4644,201.783,167.248,83.6225,83.6213
41,43.708,17.8298,41.2395,202.014,167.475,83.7363,83.7351
41.5,42.4698,17.345,40.0862,202.241,167.699,83.848,83.8468
42,41.2771,16.8492,38.9544,202.464,167.918,83.9576,83.9565
42.5,40.1184,16.3695,37.8556,202.683,168.133,84.0652,84.0641
43,39.0017,15.9276,36.8122,202.898,168.344,84.1709,84.1699
43.5,37.9229,15.4756,35.7857,203.109,168.552,84.2748,84.2737
44,36.8771,15.0507,34.8,203.317,168.756,84.3767,84.3757
44.5,35.8696,14.6456,33.854,203.521,168.956,84.477,84.476
45,34.8946,14.2382,32.9269,203.721,169.153,84.5754,84.5745
45.5,33.9512,13.8587,32.0406,203.918,169.347,84.6722,84.6713
46,33.0415,13.4878,31.1827,204.112,169.537,84.7674,84.7665
46.5,32.1605,13.1228,30.3472,204.302,169.724,84.861,84.8601
47,31.3092,12.7808,29.5478,204.489,169.908,84.953,84.9521
47.5,30.4871,12.4427,28.7702,204.673,170.089,85.0435,85.0427
48,29.6909,12.116,28.0175,204.854,170.267,85.1326,85.1317
48.5,28.9218,11.8058,27.2945,205.032,170.442,85.2202,85.2194
49,28.1782,11.4989,26.5903,205.208,170.615,85.3064,85.3056
49.5,27.4582,11.2057,25.9113,205.38,170.784,85.3912,85.3905
50,26.7625,10.9234,25.2561,205.55,170.951,85.4748,85.474
