"time",	"outputs[1]",	"outputs[2]"
0.0555,	25,	20.55286
0.056,	25,	20.55782
0.0565,	25,	20.56278
0.057,	25,	20.56774
0.0575,	25,	20.5727
0.058,	25,	20.57767
0.0585,	25,	20.58262
0.059,	25,	20.58758
0.0595,	25,	20.59254
0.06,	25,	20.5975
0.0605,	25,	20.60246
0.061,	25,	20.60742
0.0615,	25,	20.61238
0.062,	25,	20.61733
0.0625,	25,	20.62229
0.063,	25,	20.62724
0.0635,	25,	20.6322
0.064,	25,	20.63716
0.0645,	25,	20.64211
0.065,	25,	20.64707
0.0655,	25,	20.65202
0.066,	25,	20.65698
0.0665,	25,	20.66193
0.067,	25,	20.66689
0.0675,	25,	20.67184
0.068,	25,	20.67679
0.0685,	25,	20.68174
0.069,	25,	20.6867
0.0695,	25,	20.69165
0.07,	25,	20.6966
0.0705,	25,	20.70155
0.071,	25,	20.7065
0.0715,	25,	20.71145
0.072,	25,	20.7164
0.0725,	25,	20.72135
0.073,	25,	20.7263
0.0735,	25,	20.73125
0.074,	25,	20.7362
0.0745,	25,	20.74115
0.075,	25,	20.7461
0.0755,	25,	20.75105
0.076,	25,	20.75599
0.0765,	25,	20.76094
0.077,	25,	20.76589
0.0775,	25,	20.77084
0.078,	25,	20.77578
0.0785,	25,	20.78073
0.079,	25,	20.78567
0.0795,	25,	20.79062
0.08,	25,	20.79556
0.0805,	25,	20.80051
0.081,	25,	20.80545
0.0815,	25,	20.81039
0.082,	25,	20.81534
0.0825,	25,	20.82028
0.083,	25,	20.82522
0.0835,	25,	20.83017
0.084,	25,	20.83511
0.0845,	25,	20.84005
0.085,	25,	20.84499
0.0855,	25,	20.84993
0.086,	25,	20.85487
0.0865,	25,	20.85981
0.087,	25,	20.86475
0.0875,	25,	20.86969
0.088,	25,	20.87463
0.0885,	25,	20.87957
0.089,	25,	20.88451
0.0895,	25,	20.88945
0.09,	25,	20.89439
0.0905,	25,	20.89932
0.091,	25,	20.90426
0.0915,	25,	20.9092
0.092,	25,	20.91414
0.0925,	25,	20.91907
0.093,	25,	20.92401
0.0935,	25,	20.92894
0.094,	25,	20.93388
0.0945,	25,	20.93881
0.095,	25,	20.94375
0.0955,	25,	20.94868
0.096,	25,	20.95362
0.0965,	25,	20.95855
0.097,	25,	20.96348
0.0975,	25,	20.96841
0.098,	25,	20.97335
0.0985,	25,	20.97828
0.099,	25,	20.98321
0.0995,	25,	20.98814
0.1,	25,	20.99307
0.1005,	25,	20.998
0.101,	25,	21.00294
0.1015,	25,	21.00787
0.102,	25,	21.01279
0.1025,	25,	21.01772
0.103,	25,	21.02265
0.1035,	25,	21.02758
0.104,	25,	21.03251
0.1045,	25,	21.03744
0.105,	25,	21.04237
0.1055,	25,	21.04729
0.106,	25,	21.05222
0.1065,	25,	21.05715
0.107,	25,	21.06207
0.1075,	25,	21.067
0.108,	25,	21.07193
0.1085,	25,	21.07685
0.109,	25,	21.08178
0.1095,	25,	21.0867
0.11,	25,	21.09163
0.1105,	25,	21.09655
0.111,	25,	21.10147
0.1115,	25,	21.1064
0.112,	25,	21.11132
0.1125,	25,	21.11624
0.113,	25,	21.12116
0.1135,	25,	21.12609
0.114,	25,	21.13101
0.1145,	25,	21.13593
0.115,	25,	21.14085
0.1155,	25,	21.14577
0.116,	25,	21.15069
0.1165,	25,	21.15561
0.117,	25,	21.16053
0.1175,	25,	21.16545
0.118,	25,	21.17037
0.1185,	25,	21.17529
0.119,	25,	21.1802
0.1195,	25,	21.18512
0.12,	25,	21.19004
0.1205,	25,	21.19496
0.121,	25,	21.19987
0.1215,	25,	21.20479
0.122,	25,	21.20971
0.1225,	25,	21.21462
0.123,	25,	21.21954
0.1235,	25,	21.22445
0.124,	25,	21.22937
0.1245,	25,	21.23428
0.125,	25,	21.23919
0.1255,	25,	21.24411
0.126,	25,	21.24902
0.1265,	25,	21.25393
0.127,	25,	21.25885
0.1275,	25,	21.26376
0.128,	25,	21.26867
0.1285,	25,	21.27358
0.129,	25,	21.27849
0.1295,	25,	21.28341
0.13,	25,	21.28831
0.1305,	25,	21.29323
0.131,	25,	21.29814
0.1315,	25,	21.30305
0.132,	25,	21.30795
0.1325,	25,	21.31286
0.133,	25,	21.31777
0.1335,	25,	21.32268
0.134,	25,	21.32759
0.1345,	25,	21.3325
0.135,	25,	21.3374
0.1355,	25,	21.34231
0.136,	25,	21.34722
0.1365,	25,	21.35212
0.137,	25,	21.35703
0.1375,	25,	21.36193
0.138,	25,	21.36684
0.1385,	25,	21.37174
0.139,	25,	21.37665
0.1395,	25,	21.38155
0.14,	25,	21.38646
0.1405,	25,	21.39136
0.141,	25,	21.39626
0.1415,	25,	21.40117
0.142,	25,	21.40607
0.1425,	25,	21.41097
0.143,	25,	21.41587
0.1435,	25,	21.42077
0.144,	25,	21.42567
0.1445,	25,	21.43057
0.145,	25,	21.43547
0.1455,	25,	21.44037
0.146,	25,	21.44527
0.1465,	25,	21.45017
0.147,	25,	21.45507
0.1475,	25,	21.45997
0.148,	25,	21.46487
0.1485,	25,	21.46977
0.149,	25,	21.47467
0.1495,	25,	21.47956
0.15,	25,	21.48446
0.1505,	25,	21.48936
0.151,	25,	21.49425
0.1515,	25,	21.49915
0.152,	25,	21.50405
0.1525,	25,	21.50894
0.153,	25,	21.51384
0.1535,	25,	21.51873
0.154,	25,	21.52362
0.1545,	25,	21.52852
0.155,	25,	21.53341
0.1555,	25,	21.53831
0.156,	25,	21.5432
0.1565,	25,	21.54809
0.157,	25,	21.55298
0.1575,	25,	21.55787
0.158,	25,	21.56277
0.1585,	25,	21.56766
0.159,	25,	21.57255
0.1595,	25,	21.57744
0.16,	25,	21.58233
0.1605,	25,	21.58722
0.161,	25,	21.59211
0.1615,	25,	21.597
0.162,	25,	21.60189
0.1625,	25,	21.60678
0.163,	25,	21.61166
0.1635,	25,	21.61655
0.164,	25,	21.62144
0.1645,	25,	21.62633
0.165,	25,	21.63121
0.1655,	25,	21.6361
0.166,	25,	21.64099
0.1665,	25,	21.64587
0.167,	25,	21.65076
0.1675,	25,	21.65564
0.168,	25,	21.66053
0.1685,	25,	21.66541
0.169,	25,	21.6703
0.1695,	25,	21.67518
0.17,	25,	21.68006
0.1705,	25,	21.68494
0.171,	25,	21.68983
0.1715,	25,	21.69471
0.172,	25,	21.69959
0.1725,	25,	21.70447
0.173,	25,	21.70936
0.1735,	25,	21.71424
0.174,	25,	21.71912
0.1745,	25,	21.724
0.175,	25,	21.72888
0.1755,	25,	21.73376
0.176,	25,	21.73864
0.1765,	25,	21.74352
0.177,	25,	21.7484
0.1775,	25,	21.75327
0.178,	25,	21.75815
0.1785,	25,	21.76303
0.179,	25,	21.76791
0.1795,	25,	21.77278
0.18,	25,	21.77766
0.1805,	25,	21.78254
0.181,	25,	21.78741
0.1815,	25,	21.79229
0.182,	25,	21.79716
0.1825,	25,	21.80204
0.183,	25,	21.80691
0.1835,	25,	21.81179
0.184,	25,	21.81666
0.1845,	25,	21.82153
0.185,	25,	21.82641
0.1855,	25,	21.83128
0.186,	25,	21.83615
0.1865,	25,	21.84103
0.187,	25,	21.8459
0.1875,	25,	21.85077
0.188,	25,	21.85564
0.1885,	25,	21.86051
0.189,	25,	21.86538
0.1895,	25,	21.87025
0.19,	25,	21.87512
0.1905,	25,	21.87999
0.191,	25,	21.88486
0.1915,	25,	21.88973
0.192,	25,	21.8946
0.1925,	25,	21.89947
0.193,	25,	21.90433
0.1935,	25,	21.9092
0.194,	25,	21.91407
0.1945,	25,	21.91894
0.195,	25,	21.9238
0.1955,	25,	21.92867
0.196,	25,	21.93353
0.1965,	25,	21.9384
0.197,	25,	21.94327
0.1975,	25,	21.94813
0.198,	25,	21.953
0.1985,	25,	21.95786
0.199,	25,	21.96272
0.1995,	25,	21.96759
0.2,	25,	21.97245
0.2005,	25,	21.97731
0.201,	25,	21.98218
0.2015,	25,	21.98704
0.202,	25,	21.9919
0.2025,	25,	21.99676
0.203,	25,	22.00162
0.2035,	25,	22.00648
0.204,	25,	22.01134
0.2045,	25,	22.0162
0.205,	25,	22.02106
0.2055,	25,	22.02592
0.206,	25,	22.03078
0.2065,	25,	22.03564
0.207,	25,	22.0405
0.2075,	25,	22.04536
0.208,	25,	22.05021
0.2085,	25,	22.05507
0.209,	25,	22.05993
0.2095,	25,	22.06479
0.21,	25,	22.06964
0.2105,	25,	22.0745
0.211,	25,	22.07935
0.2115,	25,	22.08421
0.212,	25,	22.08906
0.2125,	25,	22.09392
0.213,	25,	22.09877
0.2135,	25,	22.10363
0.214,	25,	22.10848
0.2145,	25,	22.11333
0.215,	25,	22.11819
0.2155,	25,	22.12304
0.216,	25,	22.12789
0.2165,	25,	22.13275
0.217,	25,	22.1376
0.2175,	25,	22.14245
0.218,	25,	22.1473
0.2185,	25,	22.15215
0.219,	25,	22.157
0.2195,	25,	22.16185
0.22,	25,	22.1667
0.2205,	25,	22.17155
0.221,	25,	22.1764
0.2215,	25,	22.18125
0.222,	25,	22.18609
0.2225,	25,	22.19094
0.223,	25,	22.19579
0.2235,	25,	22.20064
0.224,	25,	22.20548
0.2245,	25,	22.21033
0.225,	25,	22.21518
0.2255,	25,	22.22002
0.226,	25,	22.22487
0.2265,	25,	22.22972
0.227,	25,	22.23456
0.2275,	25,	22.2394
0.228,	25,	22.24425
0.2285,	25,	22.24909
0.229,	25,	22.25394
0.2295,	25,	22.25878
0.23,	25,	22.26362
0.2305,	25,	22.26847
0.231,	25,	22.27331
0.2315,	25,	22.27815
0.232,	25,	22.28299
0.2325,	25,	22.28783
0.233,	25,	22.29267
0.2335,	25,	22.29751
0.234,	25,	22.30235
0.2345,	25,	22.3072
0.235,	25,	22.31203
0.2355,	25,	22.31687
0.236,	25,	22.32171
0.2365,	25,	22.32655
0.237,	25,	22.33139
0.2375,	25,	22.33623
0.238,	25,	22.34106
0.2385,	25,	22.3459
0.239,	25,	22.35074
0.2395,	25,	22.35558
0.24,	25,	22.36041
0.2405,	25,	22.36525
0.241,	25,	22.37008
0.2415,	25,	22.37492
0.242,	25,	22.37975
0.2425,	25,	22.38459
0.243,	25,	22.38942
0.2435,	25,	22.39426
0.244,	25,	22.39909
0.2445,	25,	22.40392
0.245,	25,	22.40876
0.2455,	25,	22.41359
0.246,	25,	22.41842
0.2465,	25,	22.42325
0.247,	25,	22.42809
0.2475,	25,	22.43292
0.248,	25,	22.43775
0.2485,	25,	22.44258
0.249,	25,	22.44741
0.2495,	25,	22.45224
0.25,	25,	22.45707
0.2505,	25,	22.4619
0.251,	25,	22.46673
0.2515,	25,	22.47155
0.252,	25,	22.47638
0.2525,	25,	22.48121
0.253,	25,	22.48604
0.2535,	25,	22.49087
0.254,	25,	22.49569
0.2545,	25,	22.50052
0.255,	25,	22.50534
0.2555,	25,	22.51017
0.256,	25,	22.515
0.2565,	25,	22.51982
0.257,	25,	22.52465
0.2575,	25,	22.52947
0.258,	25,	22.53429
0.2585,	25,	22.53912
0.259,	25,	22.54394
0.2595,	25,	22.54877
0.26,	25,	22.55359
0.2605,	25,	22.55841
0.261,	25,	22.56323
0.2615,	25,	22.56806
0.262,	25,	22.57288
0.2625,	25,	22.5777
0.263,	25,	22.58252
0.2635,	25,	22.58734
0.264,	25,	22.59216
0.2645,	25,	22.59698
0.265,	25,	22.6018
0.2655,	25,	22.60662
0.266,	25,	22.61144
0.2665,	25,	22.61626
0.267,	25,	22.62107
0.2675,	25,	22.62589
0.268,	25,	22.63071
0.2685,	25,	22.63553
0.269,	25,	22.64034
0.2695,	25,	22.64516
0.27,	25,	22.64998
0.2705,	25,	22.65479
0.271,	25,	22.65961
0.2715,	25,	22.66442
0.272,	25,	22.66924
0.2725,	25,	22.67405
0.273,	25,	22.67887
0.2735,	25,	22.68368
0.274,	25,	22.6885
0.2745,	25,	22.69331
0.275,	25,	22.69812
0.2755,	25,	22.70293
0.276,	25,	22.70775
0.2765,	25,	22.71256
0.277,	25,	22.71737
0.2775,	25,	22.72218
0.278,	25,	22.72699
0.2785,	25,	22.7318
0.279,	25,	22.73661
0.2795,	25,	22.74142
0.28,	25,	22.74623
0.2805,	25,	22.75104
0.281,	25,	22.75585
0.2815,	25,	22.76066
0.282,	25,	22.76547
0.2825,	25,	22.77027
0.283,	25,	22.77508
0.2835,	25,	22.77989
0.284,	25,	22.7847
0.2845,	25,	22.7895
0.285,	25,	22.79431
0.2855,	25,	22.79911
0.286,	25,	22.80392
0.2865,	25,	22.80873
0.287,	25,	22.81353
0.2875,	25,	22.81833
0.288,	25,	22.82314
0.2885,	25,	22.82794
0.289,	25,	22.83275
0.2895,	25,	22.83755
0.29,	25,	22.84235
0.2905,	25,	22.84716
0.291,	25,	22.85196
0.2915,	25,	22.85676
0.292,	25,	22.86156
0.2925,	25,	22.86636
0.293,	25,	22.87116
0.2935,	25,	22.87596
0.294,	25,	22.88077
0.2945,	25,	22.88556
0.295,	25,	22.89036
0.2955,	25,	22.89516
0.296,	25,	22.89996
0.2965,	25,	22.90476
0.297,	25,	22.90956
0.2975,	25,	22.91436
0.298,	25,	22.91916
0.2985,	25,	22.92395
0.299,	25,	22.92875
0.2995,	25,	22.93355
0.3,	25,	22.93834
0.3005,	25,	22.94314
0.301,	25,	22.94793
0.3015,	25,	22.95273
0.302,	25,	22.95752
0.3025,	25,	22.96232
0.303,	25,	22.96711
0.3035,	25,	22.97191
0.304,	25,	22.9767
0.3045,	25,	22.98149
0.305,	25,	22.98629
0.3055,	25,	22.99108
0.306,	25,	22.99587
0.3065,	25,	23.00066
0.307,	25,	23.00546
0.3075,	25,	23.01025
0.308,	25,	23.01504
0.3085,	25,	23.01983
0.309,	25,	23.02462
0.3095,	25,	23.02941
0.31,	25,	23.0342
0.3105,	25,	23.03899
0.311,	25,	23.04378
0.3115,	25,	23.04856
0.312,	25,	23.05335
0.3125,	25,	23.05814
0.313,	25,	23.06293
0.3135,	25,	23.06772
0.314,	25,	23.0725
0.3145,	25,	23.07729
0.315,	25,	23.08208
0.3155,	25,	23.08686
0.316,	25,	23.09165
0.3165,	25,	23.09643
0.317,	25,	23.10122
0.3175,	25,	23.106
0.318,	25,	23.11079
0.3185,	25,	23.11557
0.319,	25,	23.12036
0.3195,	25,	23.12514
0.32,	25,	23.12992
0.3205,	25,	23.1347
0.321,	25,	23.13949
0.3215,	25,	23.14427
0.322,	25,	23.14905
0.3225,	25,	23.15383
0.323,	25,	23.15861
0.3235,	25,	23.16339
0.324,	25,	23.16817
0.3245,	25,	23.17295
0.325,	25,	23.17773
0.3255,	25,	23.18251
0.326,	25,	23.18729
0.3265,	25,	23.19207
0.327,	25,	23.19685
0.3275,	25,	23.20163
0.328,	25,	23.20641
0.3285,	25,	23.21118
0.329,	25,	23.21596
0.3295,	25,	23.22074
0.33,	25,	23.22551
0.3305,	25,	23.23029
0.331,	25,	23.23506
0.3315,	25,	23.23984
0.332,	25,	23.24462
0.3325,	25,	23.24939
0.333,	25,	23.25416
0.3335,	25,	23.25894
0.334,	25,	23.26371
0.3345,	25,	23.26849
0.335,	25,	23.27326
0.3355,	25,	23.27803
0.336,	25,	23.2828
0.3365,	25,	23.28758
0.337,	25,	23.29235
0.3375,	25,	23.29712
0.338,	25,	23.30189
0.3385,	25,	23.30666
0.339,	25,	23.31143
0.3395,	25,	23.3162
0.34,	25,	23.32097
0.3405,	25,	23.32574
0.341,	25,	23.33051
0.3415,	25,	23.33528
0.342,	25,	23.34005
0.3425,	25,	23.34482
0.343,	25,	23.34958
0.3435,	25,	23.35435
0.344,	25,	23.35912
0.3445,	25,	23.36389
0.345,	25,	23.36865
0.3455,	25,	23.37342
0.346,	25,	23.37818
0.3465,	25,	23.38295
0.347,	25,	23.38771
0.3475,	25,	23.39248
0.348,	25,	23.39724
0.3485,	25,	23.40201
0.349,	25,	23.40677
0.3495,	25,	23.41154
0.35,	25,	23.4163
0.3505,	25,	23.42106
0.351,	25,	23.42583
0.3515,	25,	23.43059
0.352,	25,	23.43535
0.3525,	25,	23.44011
0.353,	25,	23.44487
0.3535,	25,	23.44963
0.354,	25,	23.45439
0.3545,	25,	23.45915
0.355,	25,	23.46391
0.3555,	25,	23.46867
0.356,	25,	23.47343
0.3565,	25,	23.47819
0.357,	25,	23.48295
0.3575,	25,	23.48771
0.358,	25,	23.49247
0.3585,	25,	23.49722
0.359,	25,	23.50198
0.3595,	25,	23.50674
0.36,	25,	23.5115
0.3605,	25,	23.51625
0.361,	25,	23.52101
0.3615,	25,	23.52576
0.362,	25,	23.53052
0.3625,	25,	23.53527
0.363,	25,	23.54003
0.3635,	25,	23.54478
0.364,	25,	23.54954
0.3645,	25,	23.55429
0.365,	25,	23.55904
0.3655,	25,	23.5638
0.366,	25,	23.56855
0.3665,	25,	23.5733
0.367,	25,	23.57805
0.3675,	25,	23.58281
0.368,	25,	23.58756
0.3685,	25,	23.59231
0.369,	25,	23.59706
0.3695,	25,	23.60181
0.37,	25,	23.60656
0.3705,	25,	23.61131
0.371,	25,	23.61606
0.3715,	25,	23.62081
0.372,	25,	23.62556
0.3725,	25,	23.6303
0.373,	25,	23.63505
0.3735,	25,	23.6398
0.374,	25,	23.64455
0.3745,	25,	23.6493
0.375,	25,	23.65404
0.3755,	25,	23.65879
0.376,	25,	23.66353
0.3765,	25,	23.66828
0.377,	25,	23.67303
0.3775,	25,	23.67777
0.378,	25,	23.68252
0.3785,	25,	23.68726
0.379,	25,	23.69201
0.3795,	25,	23.69675
0.38,	25,	23.70149
0.3805,	25,	23.70624
0.381,	25,	23.71098
0.3815,	25,	23.71572
0.382,	25,	23.72046
0.3825,	25,	23.7252
0.383,	25,	23.72995
0.3835,	25,	23.73469
0.384,	25,	23.73943
0.3845,	25,	23.74417
0.385,	25,	23.74891
0.3855,	25,	23.75365
0.386,	25,	23.75839
0.3865,	25,	23.76313
0.387,	25,	23.76787
0.3875,	25,	23.77261
0.388,	25,	23.77734
0.3885,	25,	23.78208
0.389,	25,	23.78682
0.3895,	25,	23.79156
0.39,	25,	23.79629
0.3905,	25,	23.80103
0.391,	25,	23.80577
0.3915,	25,	23.8105
0.392,	25,	23.81524
0.3925,	25,	23.81997
0.393,	25,	23.82471
0.3935,	25,	23.82944
0.394,	25,	23.83418
0.3945,	25,	23.83891
0.395,	25,	23.84365
0.3955,	25,	23.84838
0.396,	25,	23.85311
0.3965,	25,	23.85785
0.397,	25,	23.86258
0.3975,	25,	23.86731
0.398,	25,	23.87204
0.3985,	25,	23.87677
0.399,	25,	23.8815
0.3995,	25,	23.88623
0.4,	25,	23.89096
0.4005,	25,	23.8957
0.401,	25,	23.90042
0.4015,	25,	23.90516
0.402,	25,	23.90988
0.4025,	25,	23.91461
0.403,	25,	23.91934
0.4035,	25,	23.92407
0.404,	25,	23.9288
0.4045,	25,	23.93353
0.405,	25,	23.93825
0.4055,	25,	23.94298
0.406,	25,	23.94771
0.4065,	25,	23.95243
0.407,	25,	23.95716
0.4075,	25,	23.96188
0.408,	25,	23.96661
0.4085,	25,	23.97133
0.409,	25,	23.97606
0.4095,	25,	23.98078
0.41,	25,	23.98551
0.4105,	25,	23.99023
0.411,	25,	23.99495
0.4115,	25,	23.99968
0.412,	25,	24.0044
0.4125,	25,	24.00912
0.413,	25,	24.01384
0.4135,	25,	24.01856
0.414,	25,	24.02329
0.4145,	25,	24.02801
0.415,	25,	24.03273
0.4155,	25,	24.03745
0.416,	25,	24.04217
0.4165,	25,	24.04689
0.417,	25,	24.05161
0.4175,	25,	24.05633
0.418,	25,	24.06104
0.4185,	25,	24.06576
0.419,	25,	24.07048
0.4195,	25,	24.0752
0.42,	25,	24.07992
0.4205,	25,	24.08463
0.421,	25,	24.08935
0.4215,	25,	24.09407
0.422,	25,	24.09878
0.4225,	25,	24.1035
0.423,	25,	24.10821
0.4235,	25,	24.11293
0.424,	25,	24.11764
0.4245,	25,	24.12236
0.425,	25,	24.12707
0.4255,	25,	24.13179
0.426,	25,	24.1365
0.4265,	25,	24.14121
0.427,	25,	24.14593
0.4275,	25,	24.15064
0.428,	25,	24.15535
0.4285,	25,	24.16006
0.429,	25,	24.16477
0.4295,	25,	24.16949
0.43,	25,	24.1742
0.4305,	25,	24.17891
0.431,	25,	24.18362
0.4315,	25,	24.18833
0.432,	25,	24.19304
0.4325,	25,	24.19775
0.433,	25,	24.20246
0.4335,	25,	24.20716
0.434,	25,	24.21187
0.4345,	25,	24.21658
0.435,	25,	24.22129
0.4355,	25,	24.22599
0.436,	25,	24.2307
0.4365,	25,	24.23541
0.437,	25,	24.24011
0.4375,	25,	24.24482
0.438,	25,	24.24953
0.4385,	25,	24.25423
0.439,	25,	24.25894
0.4395,	25,	24.26364
0.44,	25,	24.26835
0.4405,	25,	24.27305
0.441,	25,	24.27775
0.4415,	25,	24.28246
0.442,	25,	24.28716
0.4425,	25,	24.29186
0.443,	25,	24.29657
0.4435,	25,	24.30127
0.444,	25,	24.30597
0.4445,	25,	24.31067
0.445,	25,	24.31537
0.4455,	25,	24.32007
0.446,	25,	24.32477
0.4465,	25,	24.32947
0.447,	25,	24.33417
0.4475,	25,	24.33887
0.448,	25,	24.34357
0.4485,	25,	24.34827
0.449,	25,	24.35297
0.4495,	25,	24.35767
0.45,	25,	24.36237
0.4505,	25,	24.36706
0.451,	25,	24.37176
0.4515,	25,	24.37646
0.452,	25,	24.38116
0.4525,	25,	24.38585
0.453,	25,	24.39055
0.4535,	25,	24.39524
0.454,	25,	24.39994
0.4545,	25,	24.40463
0.455,	25,	24.40933
0.4555,	25,	24.41402
0.456,	25,	24.41872
0.4565,	25,	24.42341
0.457,	25,	24.4281
0.4575,	25,	24.4328
0.458,	25,	24.43749
0.4585,	25,	24.44218
0.459,	25,	24.44687
0.4595,	25,	24.45157
0.46,	25,	24.45626
0.4605,	25,	24.46095
0.461,	25,	24.46564
0.4615,	25,	24.47033
0.462,	25,	24.47502
0.4625,	25,	24.47971
0.463,	25,	24.4844
0.4635,	25,	24.48909
0.464,	25,	24.49378
0.4645,	25,	24.49847
0.465,	25,	24.50315
0.4655,	25,	24.50784
0.466,	25,	24.51253
0.4665,	25,	24.51722
0.467,	25,	24.5219
0.4675,	25,	24.52659
0.468,	25,	24.53128
0.4685,	25,	24.53596
0.469,	25,	24.54065
0.4695,	25,	24.54533
0.47,	25,	24.55002
0.4705,	25,	24.5547
0.471,	25,	24.55939
0.4715,	25,	24.56407
0.472,	25,	24.56876
0.4725,	25,	24.57344
0.473,	25,	24.57812
0.4735,	25,	24.58281
0.474,	25,	24.58749
0.4745,	25,	24.59217
0.475,	25,	24.59685
0.4755,	25,	24.60153
0.476,	25,	24.60621
0.4765,	25,	24.6109
0.477,	25,	24.61558
0.4775,	25,	24.62025
0.478,	25,	24.62494
0.4785,	25,	24.62962
0.479,	25,	24.63429
0.4795,	25,	24.63897
0.48,	25,	24.64365
0.4805,	25,	24.64833
0.481,	25,	24.65301
0.4815,	25,	24.65768
0.482,	25,	24.66236
0.4825,	25,	24.66704
0.483,	25,	24.67172
0.4835,	25,	24.67639
0.484,	25,	24.68107
0.4845,	25,	24.68574
0.485,	25,	24.69042
0.4855,	25,	24.69509
0.486,	25,	24.69977
0.4865,	25,	24.70444
0.487,	25,	24.70912
0.4875,	25,	24.71379
0.488,	25,	24.71846
0.4885,	25,	24.72314
0.489,	25,	24.72781
0.4895,	25,	24.73248
0.49,	25,	24.73715
0.4905,	25,	24.74183
0.491,	25,	24.7465
0.4915,	25,	24.75117
0.492,	25,	24.75584
0.4925,	25,	24.76051
0.493,	25,	24.76518
0.4935,	25,	24.76985
0.494,	25,	24.77452
0.4945,	25,	24.77919
0.495,	25,	24.78386
0.4955,	25,	24.78853
0.496,	25,	24.79319
0.4965,	25,	24.79786
0.497,	25,	24.80253
0.4975,	25,	24.8072
0.498,	25,	24.81186
0.4985,	25,	24.81653
0.499,	25,	24.8212
0.4995,	25,	24.82586
0.5,	25,	24.83053
0.5005,	25,	24.83519
0.501,	25,	24.83986
0.5015,	25,	24.84452
0.502,	25,	24.84919
0.5025,	25,	24.85385
0.503,	25,	24.85852
0.5035,	25,	24.86318
0.504,	25,	24.86784
0.5045,	25,	24.87251
0.505,	25,	24.87717
0.5055,	25,	24.88183
0.506,	25,	24.88649
0.5065,	25,	24.89115
0.507,	25,	24.89581
0.5075,	25,	24.90047
0.508,	25,	24.90514
0.5085,	25,	24.9098
0.509,	25,	24.91446
0.5095,	25,	24.91912
0.51,	25,	24.92377
0.5105,	25,	24.92843
0.511,	25,	24.93309
0.5115,	25,	24.93775
0.512,	25,	24.94241
0.5125,	25,	24.94707
0.513,	25,	24.95172
0.5135,	25,	24.95638
0.514,	25,	24.96104
0.5145,	25,	24.96569
0.515,	25,	24.97035
0.5155,	25,	24.975
0.516,	25,	24.97966
0.5165,	25,	24.98432
0.517,	25,	24.98897
