"Time","SignalOutput1 - SignalOutput1"
6.24,799966
6.25,799967
6.26,799968
6.27,799968
6.28,799969
6.29,799969
6.3,799970
6.31,799970
6.32,799971
6.33,799971
6.34,799972
6.35,799972
6.36,799973
6.37,799973
6.38,799974
6.39,799974
6.4,799975
6.41,799975
6.42,799976
6.43,799976
6.44,799977
6.45,799977
6.46,799977
6.47,799978
6.48,799978
6.49,799979
6.5,799979
6.51,799979
6.52,799980
6.53,799980
6.54,799980
6.55,799981
6.56,799981
6.57,799982
6.58,799982
6.59,799982
6.6,799983
6.61,799983
6.62,799983
6.63,799983
6.64,799984
6.65,799984
6.66,799984
6.67,799985
6.68,799985
6.69,799985
6.7,799985
6.71,799986
6.72,799986
6.73,799986
6.74,799986
6.75,799987
6.76,799987
6.77,799987
6.78,799987
6.79,799988
6.8,799988
6.81,799988
6.82,799988
6.83,799988
6.84,799989
6.85,799989
6.86,799989
6.87,799989
6.88,799989
6.89,799990
6.9,799990
6.91,799990
6.92,799990
6.93,799990
6.94,799991
6.95,799991
6.96,799991
6.97,799991
6.98,799991
6.99,799991
7,799992
7.01,799992
7.02,799992
7.03,799992
7.04,799992
7.05,799992
7.06,799992
7.07,799993
7.08,799993
7.09,799993
7.1,799993
7.11,799993
7.12,799993
7.13,799993
7.14,799993
7.15,799994
7.16,799994
7.17,799994
7.18,799994
7.19,799994
7.2,799994
7.21,799994
7.22,799994
7.23,799994
7.24,799995
7.25,799995
7.26,799995
7.27,799995
7.28,799995
7.29,799995
7.3,799995
7.31,799995
7.32,799995
7.33,799995
7.34,799995
7.35,799995
7.36,799996
7.37,799996
7.38,799996
7.39,799996
7.4,799996
7.41,799996
7.42,799996
7.43,799996
7.44,799996
7.45,799996
7.46,799996
7.47,799996
7.48,799996
7.49,799997
7.5,799997
7.51,799997
7.52,799997
7.53,799997
7.54,799997
7.55,799997
7.56,799997
7.57,799997
7.58,799997
7.59,799997
7.6,799997
7.61,799997
7.62,799997
7.63,799997
7.64,799997
7.65,799997
7.66,799997
7.67,799997
7.68,799998
7.69,799998
7.7,799998
7.71,799998
7.72,799998
7.73,799998
7.74,799998
7.75,799998
7.76,799998
7.77,799998
7.78,799998
7.79,799998
7.8,799998
7.81,799998
7.82,799998
7.83,799998
7.84,799998
7.85,799998
7.86,799998
7.87,799998
7.88,799998
7.89,799998
7.9,799998
7.91,799998
7.92,799998
7.93,799998
7.94,799998
7.95,799998
7.96,799999
7.97,799999
7.98,799999
7.99,799999
8,799999
8.01,799999
8.02,799999
8.03,799999
8.04,799999
8.05,799999
8.06,799999
8.07,799999
8.08,799999
8.09,799999
8.1,799999
8.11,799999
8.12,799999
8.13,799999
8.14,799999
8.15,799999
8.16,799999
8.17,799999
8.18,799999
8.19,799999
8.2,799999
8.21,799999
8.22,799999
8.23,799999
8.24,799999
8.25,799999
8.26,799999
8.27,799999
8.28,799999
8.29,799999
8.3,799999
8.31,799999
8.32,799999
8.33,799999
8.34,799999
8.35,799999
8.36,799999
8.37,799999
8.38,799999
8.39,799999
8.4,799999
8.41,799999
8.42,799999
8.43,799999
8.44,799999
8.45,799999
8.46,799999
8.47,799999
8.48,799999
8.49,799999
8.5,799999
8.51,799999
8.52,799999
8.53,799999
8.54,799999
8.55,799999
8.56,799999
8.57,799999
8.58,800000
8.59,800000
8.6,800000
8.61,800000
8.62,800000
8.63,800000
8.64,800000
8.65,800000
8.66,800000
8.67,800000
8.68,800000
8.69,800000
8.7,800000
8.71,800000
8.72,800000
8.73,800000
8.74,800000
8.75,800000
8.76,800000
8.77,800000
8.78,800000
8.79,800000
8.8,800000
8.81,800000
8.82,800000
8.83,800000
8.84,800000
8.85,800000
8.86,800000
8.87,800000
8.88,800000
8.89,800000
8.9,800000
8.91,800000
8.92,800000
8.93,800000
8.94,800000
8.95,800000
8.96,800000
8.97,800000
8.98,800000
8.99,800000
9,800000
9.01,800000
9.02,800000
9.03,800000
9.04,800000
9.05,800000
9.06,800000
9.07,800000
9.08,800000
9.09,800000
9.1,800000
9.11,800000
9.12,800000
9.13,800000
9.14,800000
9.15,800000
9.16,800000
9.17,800000
9.18,800000
9.19,800000
9.2,800000
9.21,800000
9.22,800000
9.23,800000
9.24,800000
9.25,800000
9.26,800000
9.27,800000
9.28,800000
9.29,800000
9.3,800000
9.31,800000
9.32,800000
9.33,800000
9.34,800000
9.35,800000
9.36,800000
9.37,800000
9.38,800000
9.39,800000
9.4,800000
9.41,800000
9.42,800000
9.43,800000
9.44,800000
9.45,800000
9.46,800000
9.47,800000
9.48,800000
9.49,800000
9.5,800000
9.51,800000
9.52,800000
9.53,800000
9.54,800000
9.55,800000
9.56,800000
9.57,800000
9.58,800000
9.59,800000
9.6,800000
9.61,800000
9.62,800000
9.63,800000
9.64,800000
9.65,800000
9.66,800000
9.67,800000
9.68,800000
9.69,800000
9.7,800000
9.71,800000
9.72,800000
9.73,800000
9.74,800000
9.75,800000
9.76,800000
9.77,800000
9.78,800000
9.79,800000
9.8,800000
9.81,800000
9.82,800000
9.83,800000
9.84,800000
9.85,800000
9.86,800000
9.87,800000
9.88,800000
9.89,800000
9.9,800000
9.91,800000
9.92,800000
9.93,800000
9.94,800000
9.95,800000
9.96,800000
9.97,800000
9.98,800000
9.99,800000
10,800000
10.01,800000
10.02,796654
10.03,793290
10.04,789955
10.05,786648
10.06,783368
10.07,780115
10.08,776888
10.09,773689
10.1,770515
10.11,767368
10.12,764246
10.13,761149
10.14,758077
10.15,755029
10.16,752006
10.17,749008
10.18,746032
10.19,743081
10.2,740152
10.21,737247
10.22,734364
10.23,731503
10.24,728665
10.25,725848
10.26,723053
10.27,720279
10.28,717526
10.29,714794
10.3,712083
10.31,709392
10.32,706721
10.33,704069
10.34,701438
10.35,698825
10.36,696232
10.37,693658
10.38,691102
10.39,688565
10.4,686046
10.41,683545
10.42,681061
10.43,678595
10.44,676147
10.45,673716
10.46,671301
10.47,668904
10.48,666522
10.49,664157
10.5,661809
10.51,659476
10.52,657159
10.53,654857
10.54,652571
10.55,650300
10.56,648044
10.57,645803
10.58,643576
10.59,641364
10.6,639166
10.61,636982
10.62,634813
10.63,632656
10.64,630514
10.65,628385
10.66,626269
10.67,624167
10.68,622077
10.69,620000
10.7,617936
10.71,615885
10.72,613845
10.73,611818
10.74,609804
10.75,607801
10.76,605809
10.77,603830
10.78,601862
10.79,599905
10.8,597960
10.81,596025
10.82,594102
10.83,592189
10.84,590288
10.85,588396
10.86,586516
10.87,584645
10.88,582785
10.89,580935
10.9,579095
10.91,577265
10.92,575445
10.93,573634
10.94,571833
10.95,570042
10.96,568259
10.97,566486
10.98,564722
10.99,562967
11,561221
11.01,559484
11.02,557755
11.03,556035
11.04,554324
11.05,552621
11.06,550926
11.07,549240
11.08,547562
11.09,545891
11.1,544229
11.11,542575
11.12,540928
11.13,539289
11.14,537658
11.15,536034
11.16,534418
11.17,532809
11.18,531208
11.19,529614
11.2,528026
11.21,526446
11.22,524873
11.23,523307
11.24,521748
11.25,520195
11.26,518649
11.27,517110
11.28,515578
11.29,514052
11.3,512532
11.31,511019
11.32,509512
11.33,508011
11.34,506516
11.35,505028
11.36,503546
11.37,502069
11.38,500599
11.39,499134
11.4,497676
11.41,496223
11.42,494776
11.43,493334
11.44,491898
11.45,490468
11.46,489043
11.47,487624
11.48,486209
11.49,484801
11.5,483397
11.51,481999
11.52,480606
11.53,479219
11.54,477836
11.55,476458
11.56,475086
11.57,473718
11.58,472356
11.59,470998
11.6,469645
11.61,468297
11.62,466954
11.63,465615
11.64,464281
11.65,462952
11.66,461627
11.67,460307
11.68,458992
11.69,457681
11.7,456374
11.71,455072
11.72,453774
11.73,452481
11.74,451192
11.75,449907
11.76,448627
11.77,447350
11.78,446078
11.79,444810
11.8,443546
11.81,442287
11.82,441031
11.83,439779
11.84,438532
11.85,437288
11.86,436049
11.87,434813
11.88,433581
11.89,432353
11.9,431129
11.91,429909
11.92,428692
11.93,427480
11.94,426271
11.95,425065
11.96,423864
11.97,422666
11.98,421472
11.99,420281
12,419094
12.01,417911
12.02,416731
12.03,415555
12.04,414382
12.05,413213
12.06,412047
12.07,410885
12.08,409726
12.09,408570
12.1,407418
12.11,406270
12.12,405124
12.13,403982
12.14,402844
12.15,401708
12.16,400576
12.17,399447
12.18,398322
12.19,397200
12.2,396080
12.21,394965
12.22,393852
12.23,392742
12.24,391636
12.25,390533
12.26,389433
12.27,388336
12.28,387242
12.29,386151
12.3,385064
12.31,383979
12.32,382898
12.33,381819
12.34,380744
12.35,379671
12.36,378602
12.37,377536
12.38,376472
12.39,375412
12.4,374354
12.41,373300
12.42,372248
12.43,371199
12.44,370154
12.45,369111
12.46,368071
12.47,367034
12.48,366000
12.49,364968
12.5,363940
12.51,362914
12.52,361892
12.53,360872
12.54,359855
12.55,358840
12.56,357829
12.57,356820
12.58,355814
12.59,354811
12.6,353811
12.61,352813
12.62,351818
12.63,350826
12.64,349837
12.65,348850
12.66,347866
12.67,346885
12.68,345906
12.69,344931
12.7,343957
12.71,342987
12.72,342019
12.73,341054
12.74,340092
12.75,339132
12.76,338175
12.77,337220
12.78,336268
12.79,335319
12.8,334372
12.81,333428
12.82,332486
12.83,331548
12.84,330611
12.85,329677
12.86,328746
12.87,327818
12.88,326892
12.89,325968
12.9,325047
12.91,324129
12.92,323213
12.93,322300
12.94,321389
12.95,320481
12.96,319575
12.97,318672
12.98,317771
12.99,316873
13,315977
13.01,315084
13.02,314193
13.03,313304
13.04,312419
13.05,311535
13.06,310654
13.07,309776
13.08,308900
13.09,308026
13.1,307155
13.11,306286
13.12,305420
13.13,304556
13.14,303694
13.15,302835
13.16,301978
13.17,301124
13.18,300272
13.19,299423
13.2,298576
13.21,297731
13.22,296888
13.23,296048
13.24,295211
13.25,294376
13.26,293543
13.27,292712
13.28,291884
13.29,291058
13.3,290234
13.31,289413
13.32,288594
13.33,287778
13.34,286963
13.35,286151
13.36,285342
13.37,284534
13.38,283729
13.39,282927
13.4,282126
13.41,281328
13.42,280532
13.43,279738
13.44,278947
13.45,278158
13.46,277371
13.47,276587
13.48,275804
13.49,275024
13.5,274246
13.51,273471
13.52,272698
13.53,271926
13.54,271158
13.55,270391
13.56,269627
13.57,268864
13.58,268104
13.59,267347
13.6,266591
13.61,265838
13.62,265086
13.63,264337
13.64,263591
13.65,262846
13.66,262104
13.67,261363
13.68,260625
13.69,259889
13.7,259155
13.71,258424
13.72,257694
13.73,256967
13.74,256242
13.75,255519
13.76,254798
13.77,254079
13.78,253363
13.79,252648
13.8,251936
13.81,251226
13.82,250517
13.83,249811
13.84,249107
13.85,248406
13.86,247706
13.87,247008
13.88,246313
13.89,245619
13.9,244928
13.91,244239
13.92,243552
13.93,242866
13.94,242183
13.95,241502
13.96,240824
13.97,240147
13.98,239472
13.99,238799
14,238128
14.01,237460
14.02,236793
14.03,236128
14.04,235466
14.05,234805
14.06,234147
14.07,233490
14.08,232836
14.09,232183
14.1,231533
14.11,230885
14.12,230238
14.13,229594
14.14,228951
14.15,228311
14.16,227672
14.17,227036
14.18,226401
14.19,225769
14.2,225138
14.21,224510
14.22,223883
14.23,223258
14.24,222636
14.25,222015
14.26,221396
14.27,220779
14.28,220164
14.29,219551
14.3,218940
14.31,218331
14.32,217724
14.33,217119
14.34,216516
14.35,215914
14.36,215315
14.37,214717
14.38,214121
14.39,213528
14.4,212936
14.41,212346
14.42,211758
14.43,211172
14.44,210588
14.45,210005
14.46,209425
14.47,208846
14.48,208269
14.49,207694
14.5,207121
14.51,206550
14.52,205981
14.53,205414
14.54,204848
14.55,204284
14.56,203723
14.57,203163
14.58,202604
14.59,202048
14.6,201494
14.61,200941
14.62,200390
14.63,199841
14.64,199294
14.65,198749
14.66,198205
14.67,197663
14.68,197123
14.69,196585
14.7,196049
14.71,195515
14.72,194982
14.73,194451
14.74,193922
14.75,193395
14.76,192869
14.77,192345
14.78,191823
14.79,191303
14.8,190785
14.81,190268
14.82,189753
14.83,189240
14.84,188728
14.85,188219
14.86,187711
14.87,187205
14.88,186700
14.89,186198
14.9,185697
14.91,185198
14.92,184700
14.93,184205
14.94,183711
14.95,183218
14.96,182728
14.97,182239
14.98,181752
14.99,181267
15,180783
15.01,180301
15.02,179821
15.03,179342
15.04,178866
15.05,178390
15.06,177917
15.07,177445
15.08,176975
15.09,176507
15.1,176040
15.11,175575
15.12,175112
15.13,174650
15.14,174190
15.15,173732
15.16,173275
15.17,172820
15.18,172367
15.19,171915
15.2,171465
15.21,171016
15.22,170570
15.23,170125
15.24,169681
15.25,169239
15.26,168799
15.27,168361
15.28,167924
15.29,167488
15.3,167055
15.31,166623
15.32,166192
15.33,165763
15.34,165336
15.35,164911
15.36,164487
15.37,164064
15.38,163643
15.39,163224
15.4,162807
15.41,162391
15.42,161976
15.43,161564
15.44,161152
15.45,160743
15.46,160335
15.47,159928
15.48,159523
15.49,159120
15.5,158718
15.51,158318
15.52,157920
15.53,157523
15.54,157127
15.55,156733
15.56,156341
15.57,155950
15.58,155561
15.59,155173
15.6,154787
15.61,154402
15.62,154019
15.63,153638
15.64,153258
15.65,152879
15.66,152502
15.67,152127
15.68,151753
15.69,151381
15.7,151010
15.71,150641
15.72,150273
15.73,149907
15.74,149542
15.75,149179
15.76,148817
15.77,148457
15.78,148098
15.79,147741
15.8,147385
15.81,147031
15.82,146678
15.83,146327
15.84,145977
15.85,145629
15.86,145282
15.87,144937
15.88,144593
15.89,144251
15.9,143910
15.91,143571
15.92,143233
15.93,142896
15.94,142561
15.95,142228
15.96,141896
15.97,141565
15.98,141236
15.99,140908
16,140582
16.01,140257
16.02,139934
16.03,139612
16.04,139292
16.05,138973
16.06,138655
16.07,138339
16.08,138024
16.09,137711
16.1,137399
16.11,137089
16.12,136780
16.13,136473
16.14,136166
16.15,135862
16.16,135559
16.17,135257
16.18,134956
16.19,134657
16.2,134360
16.21,134064
16.22,133769
16.23,133475
16.24,133184
16.25,132893
16.26,132604
16.27,132316
16.28,132030
16.29,131745
16.3,131461
16.31,131179
16.32,130898
16.33,130619
16.34,130341
16.35,130064
16.36,129789
16.37,129515
16.38,129243
16.39,128972
16.4,128702
16.41,128433
16.42,128166
16.43,127901
16.44,127637
16.45,127374
16.46,127112
16.47,126852
16.48,126593
16.49,126336
16.5,126080
16.51,125825
16.52,125571
16.53,125319
16.54,125069
16.55,124819
16.56,124571
16.57,124325
16.58,124079
16.59,123835
16.6,123593
16.61,123352
16.62,123112
16.63,122873
16.64,122636
16.65,122400
16.66,122165
16.67,121932
16.68,121700
16.69,121469
16.7,121240
16.71,121012
16.72,120785
16.73,120560
16.74,120336
16.75,120113
16.76,119892
16.77,119671
16.78,119453
16.79,119235
16.8,119019
16.81,118804
16.82,118590
16.83,118378
16.84,118167
16.85,117958
16.86,117749
16.87,117542
16.88,117336
16.89,117132
16.9,116929
16.91,116727
16.92,116526
16.93,116327
16.94,116129
16.95,115932
16.96,115736
16.97,115542
16.98,115349
16.99,115158
17,114967
17.01,114778
17.02,114590
17.03,114404
17.04,114219
17.05,114035
17.06,113852
17.07,113670
17.08,113490
17.09,113311
17.1,113134
17.11,112957
17.12,112782
17.13,112608
17.14,112436
17.15,112264
17.16,112094
17.17,111925
17.18,111758
17.19,111591
17.2,111426
17.21,111262
17.22,111100
17.23,110938
17.24,110778
17.25,110619
17.26,110462
17.27,110305
17.28,110150
17.29,109996
17.3,109844
17.31,109692
17.32,109542
17.33,109393
17.34,109245
17.35,109099
17.36,108954
17.37,108810
17.38,108667
17.39,108525
17.4,108385
17.41,108246
17.42,108108
17.43,107971
17.44,107836
17.45,107702
17.46,107569
17.47,107437
17.48,107306
17.49,107177
17.5,107049
17.51,106922
17.52,106796
17.53,106672
17.54,106548
17.55,106426
17.56,106305
17.57,106186
17.58,106067
17.59,105950
17.6,105834
17.61,105719
17.62,105606
17.63,105493
17.64,105382
17.65,105272
17.66,105163
17.67,105055
17.68,104949
17.69,104844
17.7,104739
17.71,104637
17.72,104535
17.73,104434
17.74,104335
17.75,104237
17.76,104140
17.77,104044
17.78,103950
17.79,103856
17.8,103764
17.81,103673
17.82,103583
17.83,103494
17.84,103407
17.85,103320
17.86,103235
17.87,103151
17.88,103068
17.89,102987
17.9,102906
17.91,102827
17.92,102749
17.93,102672
17.94,102596
17.95,102521
17.96,102448
17.97,102375
17.98,102304
17.99,102234
18,102165
18.01,102097
18.02,102031
18.03,101965
18.04,101901
18.05,101838
18.06,101776
18.07,101715
18.08,101655
18.09,101597
18.1,101539
18.11,101483
18.12,101428
18.13,101373
18.14,101321
18.15,101269
18.16,101218
18.17,101168
18.18,101120
18.19,101073
18.2,101026
18.21,100981
18.22,100937
18.23,100894
18.24,100853
18.25,100812
18.26,100772
18.27,100734
18.28,100696
18.29,100660
18.3,100625
18.31,100591
18.32,100557
18.33,100525
18.34,100494
18.35,100465
18.36,100436
18.37,100408
18.38,100381
18.39,100355
18.4,100331
18.41,100307
18.42,100284
18.43,100263
18.44,100242
18.45,100222
18.46,100204
18.47,100186
18.48,100169
18.49,100154
18.5,100139
18.51,100125
18.52,100112
18.53,100100
18.54,100089
18.55,100078
18.56,100069
18.57,100060
18.58,100052
18.59,100045
18.6,100039
18.61,100033
18.62,100028
18.63,100023
18.64,100020
18.65,100016
18.66,100013
18.67,100011
18.68,100009
18.69,100008
18.7,100006
18.71,100005
18.72,100004
18.73,100004
18.74,100003
18.75,100003
18.76,100002
18.77,100002
18.78,100002
18.79,100001
18.8,100001
18.81,100001
18.82,100001
18.83,100001
18.84,100001
18.85,100001
18.86,100000
18.87,100000
18.88,100000
18.89,100000
18.9,100000
18.91,100000
18.92,100000
18.93,100000
18.94,100000
18.95,100000
18.96,100000
18.97,100000
18.98,100000
18.99,100000
19,100000
19.01,100000
19.02,100000
19.03,100000
19.04,100000
19.05,100000
19.06,100000
19.07,100000
19.08,100000
19.09,100000
19.1,100000
19.11,100000
19.12,100000
19.13,100000
19.14,100000
19.15,100000
19.16,100000
19.17,100000
19.18,100000
19.19,100000
19.2,100000
19.21,100000
19.22,100000
19.23,100000
19.24,100000
19.25,100000
19.26,100000
19.27,100000
19.28,100000
19.29,100000
19.3,100000
19.31,100000
19.32,100000
19.33,100000
19.34,100000
19.35,100000
19.36,100000
19.37,100000
19.38,100000
19.39,100000
19.4,100000
19.41,100000
19.42,100000
19.43,100000
19.44,100000
19.45,100000
19.46,100000
19.47,100000
19.48,100000
19.49,100000
19.5,100000
19.51,100000
19.52,100000
19.53,100000
19.54,100000
19.55,100000
19.56,100000
19.57,100000
19.58,100000
19.59,100000
19.6,100000
19.61,100000
19.62,100000
19.63,100000
19.64,100000
19.65,100000
19.66,100000
19.67,100000
19.68,100000
19.69,100000
19.7,100000
19.71,100000
19.72,100000
19.73,100000
19.74,100000
19.75,100000
19.76,100000
19.77,100000
19.78,100000
19.79,100000
19.8,100000
19.81,100000
19.82,100000
19.83,100000
19.84,100000
19.85,100000
19.86,100000
19.87,100000
19.88,100000
19.89,100000
19.9,100000
19.91,100000
19.92,100000
19.93,100000
19.94,100000
19.95,100000
19.96,100000
19.97,100000
