"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0.1035,0.2,0.4,-0.962081,-8.57042,-0.0534878,-1.03214,0,0,1.01557,9.60255
0.105,0.2,0.4,-0.962081,-8.57042,-0.0534878,-1.03214,0,0,1.01557,9.60255
0.105,0.2,0.4,-0.974913,-8.53867,-0.0550472,-1.04701,0,0,1.02996,9.58568
0.1065,0.2,0.4,-0.974913,-8.53867,-0.0550472,-1.04701,0,0,1.02996,9.58568
0.1065,0.2,0.4,-0.987697,-8.50624,-0.0566289,-1.06188,0,0,1.04433,9.56812
0.108,0.2,0.4,-0.987697,-8.50624,-0.0566289,-1.06188,0,0,1.04433,9.56812
0.108,0.2,0.4,-1.00043,-8.47311,-0.058233,-1.07675,0,0,1.05866,9.54986
0.1095,0.2,0.4,-1.00043,-8.47311,-0.058233,-1.07675,0,0,1.05866,9.54986
0.1095,0.2,0.4,-1.01312,-8.43932,-0.0598592,-1.09161,0,0,1.07297,9.53093
0.111,0.2,0.4,-1.01312,-8.43932,-0.0598592,-1.09161,0,0,1.07297,9.53093
0.111,0.2,0.4,-1.02575,-8.40486,-0.0615078,-1.10647,0,0,1.08726,9.51132
0.1125,0.2,0.4,-1.02575,-8.40486,-0.0615078,-1.10647,0,0,1.08726,9.51132
0.1125,0.2,0.4,-1.03833,-8.36974,-0.0631787,-1.12132,0,0,1.10151,9.49106
0.114,0.2,0.4,-1.03833,-8.36974,-0.0631787,-1.12132,0,0,1.10151,9.49106
0.114,0.2,0.4,-1.05086,-8.33397,-0.0648718,-1.13617,0,0,1.11573,9.47014
0.1155,0.2,0.4,-1.05086,-8.33397,-0.0648718,-1.13617,0,0,1.11573,9.47014
0.1155,0.2,0.4,-1.06333,-8.29758,-0.0665872,-1.15102,0,0,1.12992,9.44859
