"time","outputs"
0.0804,240.193
0.0805,241.327
0.0806,242.656
0.0807,244.164
0.0808,245.833
0.0809,247.641
0.081,249.564
0.0811,251.579
0.0812,253.656
0.0813,255.768
0.0814,257.884
0.0815,259.971
0.0816,261.996
0.0817,263.926
0.0818,265.724
0.0819,267.357
0.082,268.787
0.0821,269.979
0.0822,270.897
0.0823,271.506
0.0824,271.771
0.0825,271.657
0.0826,271.132
0.0827,270.164
0.0828,268.722
0.0829,267.082
0.083,265.503
0.0831,264.001
0.0832,262.587
0.0833,261.273
0.0834,260.066
0.0835,258.974
0.0836,257.999
0.0837,257.145
0.0838,256.41
0.0839,255.793
0.084,255.287
0.0841,254.888
0.0842,254.584
0.0843,254.366
0.0844,254.221
0.0845,254.133
0.0846,254.087
0.0847,254.063
0.0848,254.043
0.0849,254.005
0.085,253.927
0.0851,253.785
0.0852,253.555
0.0853,253.212
0.0854,252.73
0.0855,252.082
0.0856,251.242
0.0857,250.184
0.0858,248.88
0.0859,247.312
0.086,245.743
0.0861,244.333
0.0862,243.101
0.0863,242.06
0.0864,241.223
0.0865,240.599
0.0866,240.195
0.0867,240.013
0.0868,240.055
0.0869,240.319
0.087,240.8
0.0871,241.491
0.0872,242.382
0.0873,243.46
0.0874,244.709
0.0875,246.113
0.0876,247.65
0.0877,249.3
0.0878,251.036
0.0879,252.834
0.088,254.665
0.0881,256.499
0.0882,258.306
0.0883,260.054
0.0884,261.709
0.0885,263.238
0.0886,264.605
0.0887,265.777
0.0888,266.718
0.0889,267.394
0.089,267.769
0.0891,267.811
0.0892,267.485
0.0893,266.759
0.0894,265.603
0.0895,264.029
0.0896,262.428
0.0897,260.918
0.0898,259.51
0.0899,258.217
0.09,257.048
0.0901,256.01
0.0902,255.108
0.0903,254.345
0.0904,253.719
0.0905,253.23
0.0906,252.873
0.0907,252.641
0.0908,252.525
0.0909,252.514
0.091,252.595
0.0911,252.753
0.0912,252.971
0.0913,253.23
0.0914,253.51
0.0915,253.789
0.0916,254.043
0.0917,254.249
0.0918,254.381
0.0919,254.424
0.092,254.375
0.0921,254.228
0.0922,253.978
0.0923,253.619
0.0924,253.143
0.0925,252.587
0.0926,252.118
0.0927,251.764
0.0928,251.539
0.0929,251.452
0.093,251.51
0.0931,251.72
0.0932,252.084
0.0933,252.602
0.0934,253.274
0.0935,254.094
0.0936,255.056
0.0937,256.15
0.0938,257.367
0.0939,258.692
0.094,260.111
0.0941,261.604
0.0942,263.154
0.0943,264.738
0.0944,266.335
0.0945,267.919
0.0946,269.465
0.0947,270.946
0.0948,272.334
0.0949,273.6
0.095,274.715
0.0951,275.65
0.0952,276.373
0.0953,276.854
0.0954,277.064
0.0955,276.972
0.0956,276.55
0.0957,275.767
0.0958,274.597
0.0959,273.033
0.096,271.366
0.0961,269.717
0.0962,268.105
0.0963,266.546
0.0964,265.056
0.0965,263.648
0.0966,262.333
0.0967,261.119
0.0968,260.014
0.0969,259.022
0.097,258.145
0.0971,257.385
0.0972,256.738
0.0973,256.201
0.0974,255.768
0.0975,255.431
0.0976,255.179
0.0977,254.999
0.0978,254.879
0.0979,254.801
0.098,254.749
0.0981,254.703
0.0982,254.643
0.0983,254.547
0.0984,254.392
0.0985,254.156
0.0986,253.833
0.0987,253.42
0.0988,252.915
0.0989,252.315
0.099,251.616
0.0991,250.862
0.0992,250.203
0.0993,249.663
0.0994,249.257
0.0995,248.995
0.0996,248.888
0.0997,248.944
0.0998,249.166
0.0999,249.558
0.1,250.12
