    "time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
      1.12,0.28634447, 36.810471, 58.654368, 9.5186848,-9.0840818
      1.13,0.34997035, 36.867535, 57.493214, 10.027902, -9.478492
      1.14,0.41846347, 36.862867, 56.332476, 10.487294,-9.8109623
      1.15,0.49130748, 36.803063, 55.178203, 10.892467,-10.079278
      1.16, 0.5680089, 36.693384, 54.036819, 11.247413,-10.289371
      1.17,0.64809623, 36.539213, 52.913679, 11.554087,-10.445361
      1.18,0.73112524, 36.346636, 51.812463, 11.824145,-10.560071
      1.19,0.81669476, 36.122012, 50.735381, 12.061181,-10.638693
       1.2,0.90444931, 35.871753, 49.683434, 12.275264,-10.691865
      1.21,0.99408374,  35.60111, 48.657516, 12.461761,-10.717028
      1.22, 1.0853241, 35.313741,  47.65912, 12.623939,-10.718494
      1.23, 1.1779247, 35.013757, 46.688595, 12.769243,-10.703864
      1.24, 1.2716757, 34.705194, 45.745584, 12.900113,-10.676157
      1.25, 1.3663987, 34.390843, 44.830157, 13.013961,-10.634094
      1.26, 1.4619351, 34.073032, 43.942319,  13.11686,-10.583443
      1.27, 1.5581495,  33.75432, 43.081415, 13.209477,-10.525328
      1.28, 1.6549275, 33.436478, 42.247058, 13.292533,-10.460827
      1.29, 1.7521703, 33.120982, 41.438806, 13.367294,-10.391368
       1.3,  1.849793, 32.809136, 40.656099, 13.435251,-10.318457
      1.31, 1.9477239, 32.502087,  39.89829, 13.497653,-10.243319
      1.32, 2.0459028, 32.200713, 39.164757, 13.554494,-10.166158
      1.33, 2.1442789, 31.905793, 38.454819, 13.608023,-10.088828
      1.34, 2.2428114, 31.618033, 37.767721, 13.657966,-10.011222
      1.35, 2.3414674, 31.338012, 37.102708, 13.706468,-9.9349844
      1.36, 2.4402222, 31.066046, 36.459138,  13.75117,-9.8584382
      1.37, 2.5390535, 30.802098, 35.836597, 13.793244,-9.7824913
      1.38,  2.637942, 30.546332, 35.234483, 13.833181,-9.7075247
      1.39, 2.7368722,  30.29886, 34.652201, 13.871562,-9.6339569
       1.4, 2.8358317, 30.059767, 34.089144, 13.908477,-9.5618427
      1.41, 2.9348115, 29.829086, 33.544727, 13.944383,-9.4914838
      1.42, 3.0338045, 29.606643, 33.018495, 13.977793,-9.4218528
      1.43, 3.1328037, 29.392365, 32.509927, 14.011217,-9.3546374
      1.44, 3.2318053, 29.186387, 32.018342, 14.044301,-9.2895467
      1.45, 3.3308086, 28.988634, 31.543201, 14.076929,-9.2264594
      1.46, 3.4298135, 28.798777, 31.084137,  14.10739,-9.1642255
      1.47, 3.5288179, 28.616541, 30.640766, 14.137636,-9.1041005
      1.48, 3.6278213, 28.441932, 30.212517, 14.167306,-9.0458046
      1.49, 3.7268241, 28.274706, 29.798988, 14.196206,-8.9891768
       1.5, 3.8258262, 28.114593, 29.399804, 14.223603,-8.9337248
      1.51, 3.9248271, 27.961431, 29.014532, 14.251106, -8.880429
      1.52, 4.0238274,  27.81507, 28.642734, 14.277363,-8.8284025
      1.53, 4.1228269, 27.675217, 28.284078, 14.302661,-8.7777969
      1.54, 4.2218252,  27.54172, 27.938147, 14.327569,-8.7289256
      1.55,  4.320823, 27.414523, 27.604475, 14.352631, -8.682074
      1.56, 4.4198222, 27.293521, 27.282629, 14.376951,-8.6366495
      1.57, 4.5188243, 27.178356, 26.972349, 14.400008,-8.5923109
      1.58, 4.6178298, 27.068896, 26.673244, 14.423514,-8.5500445
      1.59, 4.7168408, 26.965194, 26.384818,  14.44714, -8.509597
       1.6, 4.8158602, 26.866853, 26.106859, 14.468595,-8.4695849
      1.61, 4.9148875, 26.773466, 25.839174, 14.489091,-8.4307055
      1.62, 5.0139214, 26.684929,   25.5814, 14.509162,-8.3932338
      1.63, 5.1129612, 26.601113, 25.333197,  14.52836,-8.3568725
      1.64, 5.2120073, 26.522197, 25.094049, 14.550199,-8.3235886
      1.65, 5.3110644, 26.448133, 24.863579, 14.569674,-8.2904519
      1.66,  5.410134,  26.37822,  24.64181, 14.587278,-8.2577436
      1.67, 5.5092136, 26.312241, 24.428494,  14.60417,-8.2260987
      1.68, 5.6083018, 26.250334, 24.223184,  14.62229, -8.196562
      1.69, 5.7073999, 26.192346, 24.025607, 14.637848,-8.1669621
       1.7, 5.8065067, 26.137975,  23.83559,  14.65431,-8.1392154
      1.71, 5.9056227, 26.087365, 23.652711,  14.67009,-8.1123854
      1.72, 6.0047489, 26.040387, 23.476711,   14.6866,-8.0872169
      1.73, 6.1038878, 25.997027, 23.307278, 14.702391,-8.0628633
      1.74, 6.2030415, 25.957033, 23.144242, 14.717932,-8.0395539
      1.75, 6.3022111, 25.920183, 22.987427, 14.732065,-8.0166265
      1.76, 6.4013958, 25.886215, 22.836688, 14.745616,-7.9945088
      1.77, 6.5005946,  25.85512, 22.691747, 14.759229,-7.9735138
      1.78, 6.5998078, 25.826817, 22.552374, 14.771931,-7.9530797
      1.79, 6.6990345, 25.801095, 22.418419, 14.784058,-7.9333618
       1.8, 6.7982741, 25.777899, 22.289656, 14.795834,-7.9144483
      1.81, 6.8975257, 25.757092,  22.16591,  14.80673,-7.8960263
      1.82, 6.9967882, 25.738633, 22.046961, 14.817939,-7.8787011
      1.83, 7.0960622, 25.722575, 21.932547, 14.829122,-7.8622532
      1.84, 7.1953484, 25.708777, 21.822517, 14.839701,-7.8463469
      1.85,  7.294647, 25.697042, 21.716761, 14.849264,-7.8307412
      1.86, 7.3939571, 25.687311, 21.615101, 14.859254,-7.8161716
      1.87, 7.4932791, 25.679615, 21.517314, 14.868901,-7.8021971
      1.88, 7.5926133,   25.6738, 21.423288, 14.877972,-7.7886723
      1.89, 7.6919596, 25.669767, 21.332886, 14.886791,-7.7757424
       1.9, 7.7913187, 25.667809, 21.245768, 14.898429,-7.7649707
      1.91, 7.8906956, 25.667907,  21.16177, 14.908028,-7.7537843
      1.92, 7.9900915, 25.669408, 21.081073, 14.915536,-7.7421653
      1.93, 8.0895028, 25.671973, 21.003692, 14.921325,-7.7303035
      1.94, 8.1889238, 25.675384, 20.929583, 14.925302,-7.7181395
      1.95, 8.2883489, 25.680041, 20.858378, 14.933022, -7.708511
      1.96, 8.3877801, 25.686446, 20.789662, 14.940305,-7.6991968
      1.97, 8.4872199, 25.694166, 20.723527, 14.946319,-7.6897628
      1.98, 8.5866679, 25.703131, 20.659875, 14.952902, -7.681141
      1.99, 8.6861248, 25.713332, 20.598578, 14.958631, -7.672575
         2, 8.7855901, 25.724597, 20.539603, 14.964155,-7.6643865
      2.01, 8.8850635, 25.736975, 20.482803, 14.969997,-7.6568218
      2.02, 8.9845629, 25.759718, 20.423213, 15.102168,-7.7139521
      2.03, 9.0843707, 25.835641, 20.338437, 15.477436,-7.8931802
      2.04, 9.1851676, 25.987221, 20.217177, 15.982263,-8.1345805
      2.05,  9.287705, 26.204994,   20.0651, 16.518081,-8.3877461
      2.06, 9.3925695,  26.47054, 19.892536, 17.058774,-8.6401236
      2.07, 9.5001575, 26.766756,  19.70898, 17.576928,-8.8787126
      2.08, 9.6106864, 27.078064, 19.522939, 18.061093,-9.0987604
      2.09, 9.7242274, 27.393438, 19.340344, 18.513359,-9.3022314
       2.1, 9.8407547, 27.705521, 19.165039, 18.930607, -9.488267
      2.11,  9.960175, 28.008964, 18.999676, 19.312627,-9.6573542
      2.12, 10.082346, 28.299183, 18.846382, 19.650448,-9.8055204
      2.13, 10.207082, 28.573654, 18.706103, 19.958339,-9.9402886
      2.14, 10.334193, 28.833206, 18.578009, 20.244922, -10.06605
      2.15, 10.463504, 29.078913, 18.461137, 20.506831,-10.181118
      2.16, 10.594842, 29.309979, 18.355476, 20.736975,-10.282051
      2.17, 10.728032,  29.52605,  18.26076, 20.943805,-10.373113
      2.18, 10.862898, 29.727186, 18.176514, 21.121058, -10.45118
      2.19,  10.99927, 29.914674, 18.101643, 21.288434,-10.525933
       2.2, 11.137003, 30.090334,  18.03483,  21.43377,-10.591145
      2.21,  11.27596, 30.254441, 17.975575, 21.565434,-10.650887
      2.22, 11.416019, 30.408602, 17.922734, 21.684728,-10.705636
      2.23, 11.557069, 30.553213,  17.87582,  21.78687,-10.752924
