"time","Piston_r2"
0.243,0.165466
0.244,0.182994
0.245,0.201291
0.246,0.219853
0.247,0.238184
0.248,0.255745
0.249,0.271854
0.25,0.285553
0.251,0.295458
0.252,0.29989
0.253,0.297776
0.254,0.289603
0.255,0.276869
0.256,0.261049
0.257,0.243222
0.258,0.22417
0.259,0.204521
0.26,0.184873
0.261,0.165865
0.262,0.148211
0.263,0.132647
0.264,0.119816
0.265,0.110116
0.266,0.103674
0.267,0.100441
0.268,0.100341
0.269,0.103371
0.27,0.109605
0.271,0.119112
0.272,0.131811
0.273,0.147371
0.274,0.165223
0.275,0.18468
0.276,0.20504
0.277,0.225632
0.278,0.245768
0.279,0.264647
0.28,0.281157
0.281,0.293609
0.282,0.299712
0.283,0.297741
0.284,0.288252
0.285,0.273373
0.286,0.255092
0.287,0.234782
0.288,0.213411
0.289,0.191785
0.29,0.170706
0.291,0.151062
0.292,0.133787
0.293,0.119713
0.294,0.109352
0.295,0.102844
0.296,0.100107
0.297,0.10106
0.298,0.105733
0.299,0.114237
0.3,0.126589
0.301,0.142511
0.302,0.161373
0.303,0.182316
0.304,0.204442
0.305,0.226884
0.306,0.248755
0.307,0.268973
0.308,0.285946
0.309,0.297179
0.31,0.299698
0.311,0.292569
0.312,0.277994
0.313,0.258807
0.314,0.237001
0.315,0.213898
0.316,0.190534
0.317,0.167915
0.318,0.147145
0.319,0.129367
0.32,0.115509
0.321,0.106038
0.322,0.100982
0.323,0.100216
0.324,0.103709
0.325,0.111575
0.326,0.123897
0.327,0.140433
0.328,0.160469
0.329,0.182965
0.33,0.206812
0.331,0.230937
0.332,0.254214
0.333,0.275175
0.334,0.291508
0.335,0.299664
0.336,0.29667
0.337,0.283666
0.338,0.264272
0.339,0.241359
0.34,0.216739
0.341,0.19173
0.342,0.167557
0.343,0.145544
0.344,0.127047
0.345,0.113117
0.346,0.104198
0.347,0.100243
0.348,0.101116
0.349,0.106852
0.35,0.117611
0.351,0.133335
0.352,0.153409
0.353,0.176696
0.354,0.201863
0.355,0.227609
0.356,0.252593
0.357,0.275091
0.358,0.292319
0.359,0.299934
0.36,0.294739
0.361,0.278919
0.362,0.256862
0.363,0.231635
0.364,0.205151
0.365,0.178902
0.366,0.154387
0.367,0.133213
0.368,0.1168
0.369,0.105913
0.37,0.100614
0.371,0.100729
0.372,0.106261
0.373,0.117392
0.374,0.134074
0.375,0.155574
0.376,0.180529
0.377,0.207367
0.378,0.234556
0.379,0.260442
0.38,0.282677
0.381,0.29724
0.382,0.298857
0.383,0.286676
0.384,0.26548
0.385,0.239686
0.386,0.211942
0.387,0.184085
0.388,0.157839
0.389,0.13505
0.39,0.117408
0.391,0.105855
0.392,0.100474
0.393,0.101067
0.394,0.107665
0.395,0.120473
0.396,0.13931
0.397,0.163127
0.398,0.190226
0.399,0.218793
0.4,0.247034
0.401,0.272761
0.402,0.292382
0.403,0.299996
0.404,0.291736
0.405,0.271599
0.406,0.245321
0.407,0.216411
0.408,0.187109
0.409,0.159391
0.41,0.135359
0.411,0.116948
0.412,0.105216
0.413,0.100225
0.414,0.101763
0.415,0.109913
0.416,0.124877
0.417,0.146233
0.418,0.172515
0.419,0.201684
0.42,0.231688
0.421,0.260362
0.422,0.284583
0.423,0.298775
0.424,0.296372
0.425,0.278667
0.426,0.252527
0.427,0.222712
0.428,0.192023
0.429,0.162719
0.43,0.137152
0.431,0.117556
0.432,0.105194
0.433,0.100155
0.434,0.102207
0.435,0.111468
0.436,0.128128
0.437,0.151534
0.438,0.179844
0.439,0.210718
0.44,0.241837
0.441,0.270528
0.442,0.29239
0.443,0.299885
0.444,0.288613
0.445,0.26458
0.446,0.23467
0.447,0.202773
0.448,0.171547
0.449,0.14358
0.45,0.121478
0.451,0.106997
0.452,0.100464
0.453,0.101613
0.454,0.110512
0.455,0.127399
0.456,0.151615
0.457,0.181121
0.458,0.213297
0.459,0.245533
0.46,0.274699
0.461,0.295352
0.462,0.298773
0.463,0.282717
0.464,0.255304
0.465,0.223181
0.466,0.190042
0.467,0.15874
0.468,0.132219
0.469,0.113077
0.47,0.102456
0.471,0.100208
0.472,0.106192
0.473,0.120698
0.474,0.143485
0.475,0.172744
0.476,0.205645
0.477,0.239287
0.478,0.270403
0.479,0.293557
0.48,0.299314
0.481,0.283816
0.482,0.255643
0.483,0.222355
0.484,0.188078
0.485,0.155974
0.486,0.129295
0.487,0.110762
0.488,0.101364
0.489,0.100851
0.49,0.109184
0.491,0.126672
0.492,0.15261
0.493,0.184518
0.494,0.219183
0.495,0.253361
0.496,0.282757
0.497,0.299247
0.498,0.293165
0.499,0.2686
0.5,0.235713
0.501,0.200294
0.502,0.166015
0.503,0.136395
0.504,0.114746
0.505,0.10273
0.506,0.100256
0.507,0.107155
0.508,0.123765
0.509,0.149578
0.51,0.182082
0.511,0.217774
0.512,0.2531
0.513,0.283361
0.514,0.299556
0.515,0.291541
0.516,0.264879
0.517,0.230334
0.518,0.193778
0.519,0.159127
0.52,0.130249
0.521,0.110467
0.522,0.100986
0.523,0.101507
0.524,0.112067
0.525,0.132932
0.526,0.162735
0.527,0.198093
0.528,0.23515
0.529,0.269713
0.53,0.294753
0.531,0.297949
0.532,0.276804
0.533,0.243382
0.534,0.205993
0.535,0.169303
0.536,0.137469
0.537,0.114444
0.538,0.102209
0.539,0.100635
0.54,0.109605
0.541,0.129476
0.542,0.159134
0.543,0.195108
0.544,0.233212
0.545,0.26895
0.546,0.294827
0.547,0.29758
0.548,0.274964
0.549,0.24008
0.55,0.201543
0.551,0.164272
0.552,0.132785
0.553,0.111137
0.554,0.100941
0.555,0.101887
0.556,0.114047
0.557,0.137618
0.558,0.170587
0.559,0.208753
0.56,0.247578
0.561,0.281484
0.562,0.299632
0.563,0.289377
0.564,0.258561
0.565,0.220115
0.566,0.180716
0.567,0.14524
0.568,0.118485
0.569,0.103448
0.57,0.100301
0.571,0.108808
0.572,0.129375
0.573,0.160771
0.574,0.198945
0.575,0.23902
0.576,0.275504
0.577,0.298327
0.578,0.292592
0.579,0.262925
0.58,0.223976
0.581,0.1835
0.582,0.146785
0.583,0.118996
0.584,0.103448
0.585,0.100367
0.586,0.109518
0.587,0.131308
0.588,0.164222
0.589,0.203758
0.59,0.244673
0.591,0.280727
0.592,0.299742
0.593,0.287553
0.594,0.25395
0.595,0.213121
0.596,0.172243
0.597,0.136908
0.598,0.112349
0.599,0.100942
0.6,0.102393
0.601,0.116818
0.602,0.144235
0.603,0.181532
0.604,0.22329
0.605,0.26373
0.606,0.293922
0.607,0.296919
0.608,0.26999
0.609,0.230193
0.61,0.187737
0.611,0.148813
0.612,0.119335
0.613,0.103178
0.614,0.100626
0.615,0.111477
0.616,0.136102
0.617,0.172221
0.618,0.214374
0.619,0.256508
0.62,0.290251
0.621,0.298675
0.622,0.274252
0.623,0.23439
0.624,0.190993
0.625,0.150814
0.626,0.12016
0.627,0.103311
0.628,0.100654
0.629,0.111977
0.63,0.13764
0.631,0.17505
0.632,0.218317
0.633,0.260945
0.634,0.293328
0.635,0.296694
0.636,0.267846
0.637,0.225835
0.638,0.181707
0.639,0.142387
0.64,0.114389
0.641,0.10117
0.642,0.102556
0.643,0.118665
0.644,0.14932
0.645,0.190319
0.646,0.235025
0.647,0.276017
0.648,0.299435
0.649,0.286691
0.65,0.249152
0.651,0.204324
0.652,0.160893
0.653,0.126002
0.654,0.105363
0.655,0.100178
0.656,0.110074
0.657,0.135496
0.658,0.173937
0.659,0.218908
0.66,0.263076
0.661,0.295231
0.662,0.294253
0.663,0.260973
0.664,0.216233
0.665,0.170944
0.666,0.13273
0.667,0.108324
0.668,0.100008
0.669,0.107326
0.67,0.130743
0.671,0.16838
0.672,0.213766
0.673,0.259226
0.674,0.2937
0.675,0.29536
0.676,0.26247
0.677,0.217046
0.678,0.170909
0.679,0.132122
0.68,0.107731
0.681,0.100004
0.682,0.108486
0.683,0.133656
0.684,0.173096
0.685,0.219717
0.686,0.265313
0.687,0.296873
0.688,0.291224
0.689,0.253849
0.69,0.206736
0.691,0.160778
0.692,0.124373
0.693,0.104011
0.694,0.100779
0.695,0.114419
0.696,0.145146
0.697,0.188598
0.698,0.236663
0.699,0.279955
0.7,0.299985
0.701,0.278106
0.702,0.234042
0.703,0.18558
0.704,0.14222
0.705,0.112411
0.706,0.10032
0.707,0.105625
0.708,0.128722
0.709,0.167855
0.71,0.21569
0.711,0.263219
0.712,0.296623
0.713,0.290687
0.714,0.251379
0.715,0.202466
0.716,0.155617
0.717,0.12004
0.718,0.10211
0.719,0.102332
0.72,0.120728
0.721,0.156763
0.722,0.204029
0.723,0.253279
0.724,0.292147
0.725,0.29526
0.726,0.259245
0.727,0.210154
0.728,0.161671
0.729,0.123541
0.73,0.10315
0.731,0.101568
0.732,0.118668
0.733,0.154176
0.734,0.201807
0.735,0.251927
0.736,0.291807
0.737,0.295193
0.738,0.258371
0.739,0.208403
0.74,0.15943
0.741,0.121619
0.742,0.102339
0.743,0.102381
0.744,0.121751
0.745,0.159705
0.746,0.20896
0.747,0.259298
0.748,0.29588
0.749,0.290445
0.75,0.248711
0.751,0.197323
0.752,0.149294
0.753,0.115014
0.754,0.100525
0.755,0.10575
0.756,0.131066
0.757,0.174019
0.758,0.225475
0.759,0.274241
0.76,0.299952
0.761,0.277617
0.762,0.229498
0.763,0.177415
0.764,0.133111
0.765,0.106423
0.766,0.100403
0.767,0.114651
0.768,0.149314
0.769,0.198284
0.77,0.250732
0.771,0.292351
0.772,0.293686
0.773,0.253137
0.774,0.200487
0.775,0.150705
0.776,0.115124
0.777,0.100423
0.778,0.106565
0.779,0.133954
0.78,0.179387
0.781,0.232599
0.782,0.28095
0.783,0.299334
0.784,0.268031
0.785,0.216297
0.786,0.163802
0.787,0.122749
0.788,0.102161
0.789,0.103166
0.79,0.125845
0.791,0.168571
0.792,0.221814
0.793,0.273066
0.794,0.299981
0.795,0.275226
0.796,0.224253
0.797,0.170412
0.798,0.126709
0.799,0.103313
0.8,0.102169
0.801,0.123194
0.802,0.165218
0.803,0.218852
0.804,0.271215
0.805,0.299915
0.806,0.275847
0.807,0.224308
0.808,0.1698
0.809,0.125854
0.81,0.102874
0.811,0.102689
0.812,0.125292
0.813,0.169059
0.814,0.223782
0.815,0.275824
0.816,0.299872
0.817,0.270017
0.818,0.216464
0.819,0.162029
0.82,0.120413
0.821,0.101201
0.822,0.105215
0.823,0.132731
0.824,0.180443
0.825,0.236528
0.826,0.285771
0.827,0.296781
0.828,0.256678
0.829,0.200699
0.83,0.14795
0.831,0.112027
0.832,0.100001
0.833,0.111633
0.834,0.147223
0.835,0.199991
0.836,0.256382
0.837,0.296877
0.838,0.285108
0.839,0.234704
0.84,0.177659
0.841,0.129909
0.842,0.103807
0.843,0.102276
0.844,0.125219
0.845,0.170867
0.846,0.227817
0.847,0.280547
0.848,0.298575
0.849,0.260936
0.85,0.203981
0.851,0.149535
0.852,0.112278
0.853,0.1
0.854,0.11253
0.855,0.150067
0.856,0.204821
0.857,0.262064
0.858,0.298986
0.859,0.278606
0.86,0.22437
0.861,0.166692
0.862,0.121796
0.863,0.101169
0.864,0.106061
0.865,0.136746
0.866,0.188544
0.867,0.247337
0.868,0.293751
0.869,0.288653
0.87,0.238129
0.871,0.179052
0.872,0.12955
0.873,0.103233
0.874,0.103172
0.875,0.12937
0.876,0.178904
0.877,0.238273
0.878,0.289057
0.879,0.293104
0.88,0.245298
0.881,0.185515
0.882,0.133681
0.883,0.104514
0.884,0.102234
0.885,0.126719
0.886,0.175614
0.887,0.235501
0.888,0.287727
0.889,0.293833
0.89,0.24611
0.891,0.1857
0.892,0.133363
0.893,0.104235
0.894,0.102558
0.895,0.128245
0.896,0.178497
0.897,0.239135
0.898,0.290344
0.899,0.291265
0.9,0.240609
0.901,0.179605
0.902,0.128656
0.903,0.102559
0.904,0.104394
0.905,0.134263
0.906,0.187702
0.907,0.249015
0.908,0.295687
0.909,0.284061
0.91,0.228559
0.911,0.167558
0.912,0.120511
0.913,0.100565
0.914,0.10895
0.915,0.145906
0.916,0.203608
0.917,0.264481
0.918,0.299891
0.919,0.270021
0.92,0.20977
0.921,0.150562
0.922,0.110911
0.923,0.100234
0.924,0.118433
0.925,0.164702
0.926,0.226309
0.927,0.283259
0.928,0.295639
0.929,0.247574
0.93,0.184699
0.931,0.130914
0.932,0.102859
0.933,0.104489
0.934,0.135881
0.935,0.191783
0.936,0.254759
0.937,0.298349
0.938,0.276692
0.939,0.216698
0.94,0.155344
0.941,0.112766
0.942,0.100086
0.943,0.117419
0.944,0.164047
0.945,0.226822
0.946,0.284485
0.947,0.294337
0.948,0.243458
0.949,0.179399
0.95,0.126523
0.951,0.101472
0.952,0.107148
0.953,0.14371
0.954,0.203312
0.955,0.26641
0.956,0.299977
0.957,0.263758
0.958,0.200072
0.959,0.140854
0.96,0.10583
0.961,0.102269
0.962,0.13008
0.963,0.185388
0.964,0.25031
0.965,0.297527
0.966,0.277501
0.967,0.215896
0.968,0.153115
0.969,0.110912
0.97,0.100443
0.971,0.12177
0.972,0.173126
0.973,0.23844
0.974,0.29268
0.975,0.285548
0.976,0.226397
0.977,0.161707
0.978,0.114983
0.979,0.100021
0.98,0.117391
0.981,0.166186
0.982,0.231596
0.983,0.289156
0.984,0.28919
0.985,0.231515
0.986,0.165797
0.987,0.116914
0.988,0.100003
0.989,0.116005
0.99,0.164207
0.991,0.230011
0.992,0.28855
0.993,0.289427
0.994,0.231318
0.995,0.165081
0.996,0.116228
0.997,0.100004
0.998,0.117277
0.999,0.167057
1,0.23372
