"time","outChar","outDateAndTime2"
29.4,76,17257800
29.5,78,17375500
29.6,80,17493600
29.7,82,17612100
29.8,84,17731000
29.9,86,17850300
30,88,17970000
30.1,90,18090100
30.2,92,18210600
30.3,94,18331500
30.4,96,18452800
30.5,98,18574500
30.6,100,18696600
30.7,102,18819100
30.8,104,18942000
30.9,106,19065300
31,108,19189000
31.1,110,19313100
31.2,112,19437600
31.3,114,19562500
31.4,116,19687800
31.5,118,19813500
31.6,120,19939600
31.7,122,20066100
31.8,124,20193000
31.9,126,20320300
32,128,20448000
32.1,130,20576100
32.2,132,20704600
32.3,134,20833500
32.4,136,20962800
32.5,138,21092500
32.6,140,21222600
32.7,142,21353100
32.8,144,21484000
32.9,146,21615300
33,148,21747000
33.1,150,21879100
33.2,152,22011600
33.3,154,22144500
33.4,156,22277800
33.5,158,22411500
33.6,160,22545600
33.7,162,22680100
33.8,164,22815000
33.9,166,22950300
34,168,23086000
34.1,170,23222100
34.2,172,23358600
34.3,174,23495500
34.4,176,23632800
34.5,178,23770500
34.6,180,23908600
34.7,182,24047100
34.8,184,24186000
34.9,186,24325300
35,188,24465000
35.1,190,24605100
35.2,192,24745600
35.3,194,24886500
35.4,196,25027800
35.5,198,25169500
35.6,200,25311600
35.7,202,25454100
35.8,204,25597000
35.9,206,25740300
36,208,25884000
36.1,210,26028100
36.2,212,26172600
36.3,214,26317500
36.4,216,26462800
36.5,218,26608500
36.6,220,26754600
36.7,222,26901100
36.8,224,27048000
36.9,226,27195300
37,228,27343000
37.1,230,27491100
37.2,232,27639600
37.3,234,27788500
37.4,236,27937800
37.5,238,28087500
37.6,240,28237600
37.7,242,28388100
37.8,244,28539000
37.9,246,28690300
38,248,28842000
38.1,250,28994100
38.2,252,29146600
38.3,254,29299500
38.4,0,29452800
38.5,2,29606500
38.6,4,29760600
38.7,6,29915100
38.8,8,30070000
38.9,10,30225300
39,12,30381000
39.1,14,30537100
39.2,16,30693600
39.3,18,30850500
39.4,20,31007800
39.5,22,31165500
39.6,24,31323600
39.7,26,31482100
39.8,28,31641000
39.9,30,31800300
40,32,31960000
40.1,34,32120100
40.2,36,32280600
40.3,38,32441500
40.4,40,32602800
40.5,42,32764500
40.6,44,32926600
40.7,46,33089100
40.8,48,33252000
40.9,50,33415300
41,52,33579000
41.1,54,33743100
41.2,56,33907600
41.3,58,34072500
41.4,60,34237800
41.5,62,34403500
41.6,64,34569600
41.7,66,34736100
41.8,68,34903000
41.9,70,35070300
42,72,35238000
42.1,74,35406100
42.2,76,35574600
42.3,78,35743500
42.4,80,35912800
42.5,82,36082500
42.6,84,36252600
42.7,86,36423100
42.8,88,36594000
42.9,90,36765300
43,92,36937000
43.1,94,37109100
43.2,96,37281600
43.3,98,37454500
43.4,100,37627800
43.5,102,37801500
43.6,104,37975600
43.7,106,38150100
43.8,108,38325000
43.9,110,38500300
44,112,38676000
44.1,114,38852100
44.2,116,39028600
44.3,118,39205500
44.4,120,39382800
44.5,122,39560500
44.6,124,39738600
44.7,126,39917100
44.8,128,40096000
44.9,130,40275300
45,132,40455000
45.1,134,40635100
45.2,136,40815600
45.3,138,40996500
45.4,140,41177800
45.5,142,41359500
45.6,144,41541600
45.7,146,41724100
45.8,148,41907000
45.9,150,42090300
46,152,42274000
46.1,154,42458100
46.2,156,42642600
46.3,158,42827500
46.4,160,43012800
46.5,162,43198500
46.6,164,43384600
46.7,166,43571100
46.8,168,43758000
46.9,170,43945300
47,172,44133000
47.1,174,44321100
47.2,176,44509600
47.3,178,44698500
47.4,180,44887800
47.5,182,45077500
47.6,184,45267600
47.7,186,45458100
47.8,188,45649000
47.9,190,45840300
48,192,46032000
48.1,194,46224100
48.2,196,46416600
48.3,198,46609500
48.4,200,46802800
48.5,202,46996500
48.6,204,47190600
48.7,206,47385100
48.8,208,47580000
48.9,210,47775300
49,212,47971000
49.1,214,48167100
49.2,216,48363600
49.3,218,48560500
49.4,220,48757800
49.5,222,48955500
49.6,224,49153600
49.7,226,49352100
49.8,228,49551000
49.9,230,49750300
50,232,49950000
50.1,234,50150100
50.2,236,50350600
50.3,238,50551500
50.4,240,50752800
50.5,242,50954500
50.6,244,51156600
50.7,246,51359100
50.8,248,51562000
50.9,250,51765300
51,252,51969000
51.1,254,52173100
51.2,0,52377600
51.3,2,52582500
51.4,4,52787800
51.5,6,52993500
51.6,8,53199600
51.7,10,53406100
51.8,12,53613000
51.9,14,53820300
52,16,54028000
52.1,18,54236100
52.2,20,54444600
52.3,22,54653500
52.4,24,54862800
52.5,26,55072500
52.6,28,55282600
52.7,30,55493100
52.8,32,55704000
52.9,34,55915300
53,36,56127000
53.1,38,56339100
53.2,40,56551600
53.3,42,56764500
53.4,44,56977800
53.5,46,57191500
53.6,48,57405600
53.7,50,57620100
53.8,52,57835000
53.9,54,58050300
54,56,58266000
54.1,58,58482100
54.2,60,58698600
54.3,62,58915500
54.4,64,59132800
54.5,66,59350500
54.6,68,59568600
54.7,70,59787100
54.8,72,60006000
54.9,74,60225300
55,76,60445000
55.1,78,60665100
55.2,80,60885600
55.3,82,61106500
55.4,84,61327800
55.5,86,61549500
55.6,88,61771600
55.7,90,61994100
55.8,92,62217000
55.9,94,62440300
56,96,62664000
56.1,98,62888100
56.2,100,63112600
56.3,102,63337500
56.4,104,63562800
56.5,106,63788500
56.6,108,64014600
56.7,110,64241100
56.8,112,64468000
56.9,114,64695300
57,116,64923000
57.1,118,65151100
57.2,120,65379600
57.3,122,65608500
57.4,124,65837800
57.5,126,66067500
57.6,128,66297600
57.7,130,66528100
57.8,132,66759000
57.9,134,66990300
58,136,67222000
58.1,138,67454100
58.2,140,67686600
58.3,142,67919500
58.4,144,68152800
58.5,146,68386500
58.6,148,68620600
58.7,150,68855100
58.8,152,69090000
58.9,154,69325300
59,156,69561000
59.1,158,69797100
59.2,160,70033600
59.3,162,70270500
59.4,164,70507800
59.5,166,70745500
59.6,168,70983600
59.7,170,71222100
59.8,172,71461000
59.9,174,71700300
60,176,71940000
