time,res_bus/Bus_0/vm_pu,res_bus/Bus_R0/vm_pu,res_bus/Bus_R1/vm_pu,res_bus/Bus_R2/vm_pu,res_bus/Bus_R3/vm_pu,res_bus/Bus_R4/vm_pu,res_bus/Bus_R5/vm_pu,res_bus/Bus_R6/vm_pu,res_bus/Bus_R7/vm_pu,res_bus/Bus_R8/vm_pu,res_bus/Bus_R9/vm_pu,res_bus/Bus_R10/vm_pu,res_bus/Bus_R11/vm_pu,res_bus/Bus_R12/vm_pu,res_bus/Bus_R13/vm_pu,res_bus/Bus_R14/vm_pu,res_bus/Bus_R15/vm_pu,res_bus/Bus_R16/vm_pu,res_bus/Bus_R17/vm_pu,res_bus/Bus_R18/vm_pu,res_bus/Bus_I0/vm_pu,res_bus/Bus_I1/vm_pu,res_bus/Bus_I2/vm_pu,res_bus/Bus_C0/vm_pu,res_bus/Bus_C1/vm_pu,res_bus/Bus_C2/vm_pu,res_bus/Bus_C3/vm_pu,res_bus/Bus_C4/vm_pu,res_bus/Bus_C5/vm_pu,res_bus/Bus_C6/vm_pu,res_bus/Bus_C7/vm_pu,res_bus/Bus_C8/vm_pu,res_bus/Bus_C9/vm_pu,res_bus/Bus_C10/vm_pu,res_bus/Bus_C11/vm_pu,res_bus/Bus_C12/vm_pu,res_bus/Bus_C13/vm_pu,res_bus/Bus_C14/vm_pu,res_bus/Bus_C15/vm_pu,res_bus/Bus_C16/vm_pu,res_bus/Bus_C17/vm_pu,res_bus/Bus_C18/vm_pu,res_bus/Bus_C19/vm_pu,res_bus/Bus_C20/vm_pu
11.5,1,1,0.999786,0.999651,0.999515,0.999395,0.999283,0.99917,0.999061,0.998951,0.998842,0.99877,0.999457,0.999363,0.99933,0.999297,0.999269,0.999158,0.998701,0.998499,1,0.999694,0.999033,1,0.999817,0.999604,0.999391,0.999221,0.999051,0.998908,0.998765,0.998621,0.998489,0.999286,0.999192,0.999092,0.999152,0.99927,0.998988,0.998971,0.99892,0.998946,0.998581,0.998019
12.5,1,1,0.999809,0.999658,0.999506,0.99937,0.999242,0.999113,0.998988,0.998863,0.998737,0.998649,0.999449,0.999338,0.999305,0.999272,0.999244,0.999101,0.998596,0.998318,1,0.999657,0.998914,1,0.999803,0.999602,0.999401,0.999244,0.999087,0.998956,0.998826,0.998695,0.998576,0.999296,0.999202,0.999103,0.999162,0.99928,0.999024,0.999007,0.998956,0.998982,0.998655,0.998151
13.5,1,1,0.999839,0.999713,0.999586,0.999475,0.999371,0.999267,0.999166,0.999066,0.998965,0.99887,0.999528,0.999442,0.999409,0.999377,0.999349,0.999255,0.998945,0.998511,1,0.999638,0.998854,1,0.999779,0.999559,0.999339,0.999163,0.998987,0.998837,0.998687,0.998537,0.998399,0.999234,0.99914,0.999041,0.9991,0.999218,0.998924,0.998907,0.998855,0.998881,0.998497,0.997905
14.5,1,1,0.99983,0.999695,0.99956,0.999441,0.999329,0.999217,0.999109,0.999,0.998892,0.998788,0.999502,0.999408,0.999376,0.999343,0.999315,0.999205,0.998871,0.9984,1,0.999633,0.99884,1,0.999767,0.99953,0.999294,0.999101,0.998909,0.998759,0.998609,0.998459,0.998321,0.999189,0.999095,0.998996,0.999055,0.999173,0.998807,0.99875,0.998738,0.998667,0.998419,0.997827
15.5,1,1,0.999827,0.99969,0.999553,0.999432,0.999318,0.999204,0.999093,0.998982,0.998871,0.998766,0.999495,0.999399,0.999366,0.999334,0.999306,0.999191,0.998851,0.998369,1,0.99972,0.999115,1,0.999768,0.999528,0.999288,0.999091,0.998894,0.998744,0.998595,0.998445,0.998306,0.999183,0.999089,0.998989,0.999049,0.999167,0.998782,0.998716,0.998714,0.998618,0.998404,0.997813
16.5,1,1,0.999788,0.999619,0.99945,0.999296,0.999149,0.999003,0.99886,0.998717,0.998574,0.998448,0.999392,0.999263,0.99923,0.999198,0.99917,0.998991,0.998508,0.997974,1,0.9997,0.999051,1,0.999792,0.999537,0.999283,0.999072,0.998861,0.998697,0.998533,0.998368,0.998216,0.999178,0.999084,0.998984,0.999044,0.999161,0.998749,0.998683,0.99868,0.998585,0.998328,0.997672
17.5,1,1,0.999754,0.999556,0.999359,0.999177,0.999003,0.998828,0.998657,0.998485,0.998314,0.998168,0.999301,0.999144,0.999112,0.999079,0.999051,0.998816,0.998218,0.997619,1,0.999695,0.999035,1,0.999802,0.999548,0.999295,0.999085,0.998875,0.998708,0.998541,0.998374,0.998218,0.99919,0.999096,0.998996,0.999056,0.999174,0.998773,0.998717,0.998704,0.998633,0.998333,0.997663
18.5,1,1,0.999738,0.999528,0.999318,0.999123,0.998936,0.998749,0.998564,0.99838,0.998196,0.998038,0.99926,0.999091,0.999058,0.999025,0.998997,0.998736,0.9981,0.99744,1,0.99969,0.999019,1,0.999917,0.999816,0.999714,0.999657,0.999599,0.999568,0.999537,0.999505,0.999486,0.999609,0.999516,0.999416,0.999476,0.999593,0.999536,0.999519,0.999468,0.999494,0.999465,0.999415
19.5,1,1,0.999709,0.999499,0.999289,0.999094,0.998906,0.998719,0.998535,0.998351,0.998167,0.998008,0.999231,0.999061,0.999028,0.998996,0.998968,0.998707,0.998071,0.99741,1,0.99969,0.999019,1,0.99989,0.999754,0.999617,0.999559,0.999502,0.999471,0.999439,0.999408,0.999388,0.999427,0.999248,0.999149,0.999083,0.999411,0.999439,0.999422,0.99937,0.999396,0.999368,0.999317
20.5,1,1,0.999739,0.999558,0.999377,0.999211,0.999053,0.998895,0.998748,0.9986,0.998453,0.998311,0.999319,0.999179,0.999146,0.999113,0.999085,0.998855,0.998433,0.997776,1,0.99969,0.99902,1,0.999837,0.999629,0.999422,0.999319,0.999216,0.999139,0.999062,0.998986,0.998966,0.999171,0.998971,0.998871,0.998773,0.999095,0.999153,0.999135,0.999084,0.99911,0.998784,0.998895
21.5,1,1,0.999741,0.99958,0.999419,0.999273,0.999135,0.998997,0.998874,0.998752,0.998629,0.998512,0.999361,0.999241,0.999208,0.999175,0.999147,0.998938,0.998609,0.998071,1,0.999731,0.999147,1,0.999812,0.999571,0.999331,0.999195,0.999059,0.998949,0.998839,0.998729,0.99871,0.99908,0.99888,0.99878,0.998682,0.999004,0.998995,0.998978,0.998927,0.998953,0.99841,0.998639
22.5,1,1,0.999721,0.999543,0.999366,0.999204,0.999055,0.998906,0.998773,0.998639,0.998506,0.998377,0.999308,0.999147,0.99909,0.999033,0.998984,0.998847,0.998485,0.997895,1,0.999674,0.99897,1,0.999814,0.999577,0.99934,0.999204,0.999068,0.998958,0.998848,0.998739,0.998719,0.999097,0.998897,0.998797,0.998699,0.999033,0.999005,0.998988,0.998936,0.998962,0.998419,0.998648
23.5,1,1,0.99973,0.999545,0.999361,0.999191,0.999057,0.998923,0.998795,0.998666,0.998538,0.998415,0.999303,0.999037,0.998883,0.998729,0.998596,0.998902,0.998518,0.997952,1,0.99965,0.998892,1,0.999851,0.999663,0.999474,0.999338,0.999202,0.999092,0.998983,0.998873,0.998853,0.999348,0.999233,0.999133,0.999161,0.999332,0.999139,0.999122,0.999071,0.999097,0.998554,0.998782
24.5,1,1,0.999766,0.999597,0.999428,0.999274,0.999156,0.999037,0.998922,0.998806,0.998691,0.998581,0.99937,0.99912,0.998966,0.998811,0.998679,0.999025,0.998671,0.998167,1,0.99965,0.998892,1,0.999888,0.999749,0.99961,0.999514,0.999419,0.99935,0.99928,0.999211,0.999191,0.999505,0.999411,0.999312,0.999371,0.999489,0.999356,0.999339,0.999287,0.999313,0.999036,0.99912
25.5,1,1,0.999804,0.999648,0.999492,0.999351,0.999246,0.99914,0.999038,0.998936,0.998834,0.998737,0.999434,0.999197,0.999043,0.998889,0.998757,0.999128,0.998813,0.998372,1,0.999555,0.998592,1,0.999896,0.999786,0.999677,0.999611,0.999545,0.999514,0.999483,0.999452,0.999432,0.999572,0.999478,0.999379,0.999438,0.999556,0.999463,0.999426,0.999394,0.999372,0.999411,0.999361
26.5,1,1,0.999815,0.999669,0.999522,0.999391,0.999295,0.999199,0.999106,0.999013,0.998921,0.998833,0.999464,0.999237,0.999083,0.998928,0.998796,0.999187,0.9989,0.998504,1,0.999641,0.998866,1,0.999877,0.999755,0.999633,0.999555,0.999477,0.999446,0.999415,0.999383,0.999363,0.999528,0.999434,0.999335,0.999394,0.999512,0.999365,0.999299,0.999297,0.999201,0.999343,0.999293
27.5,1,1,0.999824,0.999684,0.999544,0.99942,0.999309,0.999197,0.999089,0.998981,0.998873,0.998771,0.999486,0.999363,0.999306,0.999249,0.9992,0.999185,0.998853,0.998384,1,0.999644,0.998874,1,0.999877,0.999755,0.999633,0.999555,0.999477,0.999446,0.999415,0.999383,0.999363,0.999528,0.999434,0.999335,0.999394,0.999512,0.999365,0.999299,0.999297,0.999201,0.999343,0.999293
28.5,1,1,0.99983,0.999696,0.999562,0.999443,0.999332,0.999221,0.999113,0.999005,0.998897,0.998794,0.999504,0.999411,0.999378,0.999345,0.999317,0.999208,0.998876,0.998407,1,0.999618,0.99879,1,0.999877,0.999755,0.999633,0.999555,0.999477,0.999446,0.999415,0.999383,0.999363,0.999528,0.999434,0.999335,0.999394,0.999512,0.999365,0.999299,0.999297,0.999201,0.999343,0.999293
29.5,1,1,0.999782,0.999608,0.999434,0.999275,0.999124,0.998972,0.998824,0.998676,0.998528,0.998405,0.999376,0.999242,0.99921,0.999177,0.999149,0.99896,0.998436,0.99794,1,0.99965,0.998891,1,0.999894,0.999789,0.999683,0.999622,0.99956,0.999529,0.999497,0.999466,0.999446,0.999578,0.999484,0.999385,0.999444,0.999562,0.999487,0.99946,0.999419,0.99942,0.999426,0.999375
30.5,1,1,0.999779,0.999602,0.999425,0.999263,0.999109,0.998955,0.998804,0.998653,0.998503,0.998389,0.999367,0.999231,0.999198,0.999165,0.999137,0.998943,0.998362,0.997962,1,0.999721,0.999117,1,0.999917,0.999816,0.999714,0.999657,0.999599,0.999568,0.999537,0.999505,0.999486,0.999609,0.999516,0.999416,0.999476,0.999593,0.999536,0.999519,0.999468,0.999494,0.999465,0.999415
31.5,1,1,0.999756,0.999561,0.999365,0.999185,0.999012,0.998839,0.99867,0.998501,0.998331,0.998199,0.999307,0.999152,0.99912,0.999087,0.999059,0.998827,0.99819,0.997702,1,0.99972,0.999113,1,0.999903,0.999801,0.9997,0.999643,0.999585,0.999554,0.999523,0.999491,0.999471,0.999595,0.999501,0.999402,0.999461,0.999579,0.999522,0.999505,0.999454,0.99948,0.999451,0.9994
32.5,1,1,0.999735,0.999522,0.999309,0.999111,0.998921,0.998731,0.998544,0.998357,0.99817,0.998021,0.999251,0.999079,0.999046,0.999013,0.998985,0.998719,0.99803,0.997458,1,0.999676,0.998974,1,0.999893,0.999792,0.999691,0.999633,0.999576,0.999544,0.999513,0.999482,0.999462,0.999586,0.999492,0.999392,0.999452,0.99957,0.999513,0.999496,0.999444,0.99947,0.999441,0.999391
33.5,1,1,0.999726,0.99951,0.999294,0.999094,0.998901,0.998708,0.998518,0.998329,0.998139,0.99798,0.999236,0.999061,0.999029,0.998996,0.998968,0.998696,0.998022,0.997383,1,0.999642,0.998867,1,0.999893,0.999792,0.999691,0.999633,0.999576,0.999544,0.999513,0.999482,0.999462,0.999586,0.999492,0.999392,0.999452,0.99957,0.999513,0.999496,0.999444,0.99947,0.999441,0.999391
34.5,1,1,0.99973,0.999538,0.999345,0.999168,0.998998,0.998828,0.998664,0.9985,0.998336,0.998178,0.999287,0.999135,0.999103,0.99907,0.999042,0.998807,0.998316,0.99758,1,0.999606,0.998753,1,0.999886,0.999776,0.999666,0.999599,0.999532,0.999492,0.999452,0.999411,0.999392,0.999561,0.999467,0.999367,0.999427,0.999545,0.999469,0.999452,0.999401,0.999427,0.999339,0.999321
35.5,1,1,0.999718,0.999516,0.999314,0.999127,0.998947,0.998767,0.998603,0.998439,0.998275,0.998117,0.999256,0.999094,0.999061,0.999028,0.999,0.998709,0.998255,0.997519,1,0.999664,0.998936,1,0.999873,0.999727,0.99958,0.999477,0.999374,0.999297,0.999221,0.999144,0.999124,0.999475,0.999381,0.999282,0.999341,0.999459,0.999311,0.999294,0.999243,0.999269,0.998942,0.999053
36.5,1,1,0.999898,0.999845,0.999791,0.999753,0.999722,0.999692,0.999676,0.999661,0.999646,0.999636,0.999733,0.99972,0.999688,0.999655,0.999627,0.999633,0.999626,0.999599,1,0.999898,0.999676,1,0.999883,0.999736,0.999589,0.999486,0.999383,0.999307,0.99923,0.999153,0.999134,0.999484,0.99939,0.999291,0.99935,0.999468,0.99932,0.999303,0.999252,0.999278,0.998952,0.999063
37.5,1,1,0.999904,0.999855,0.999807,0.999774,0.999748,0.999722,0.999707,0.999692,0.999676,0.999667,0.999749,0.999741,0.999708,0.999676,0.999648,0.999682,0.999656,0.99963,1,0.99994,0.999812,1,0.999883,0.999736,0.999589,0.999486,0.999383,0.999307,0.99923,0.999153,0.999134,0.999484,0.99939,0.999291,0.99935,0.999468,0.99932,0.999303,0.999252,0.999278,0.998952,0.999063
38.5,1,1,0.999936,0.999895,0.999854,0.999828,0.99981,0.999791,0.999776,0.999761,0.999746,0.999736,0.999796,0.999795,0.999763,0.99973,0.999702,0.999779,0.999725,0.999699,1,0.999969,0.999902,1,0.999873,0.999726,0.999579,0.999476,0.999373,0.999297,0.99922,0.999144,0.999124,0.999474,0.999381,0.999281,0.999341,0.999458,0.99931,0.999293,0.999242,0.999268,0.998942,0.999053
39.5,1,1,0.999942,0.999901,0.99986,0.999834,0.999816,0.999797,0.999782,0.999767,0.999752,0.999742,0.999802,0.999801,0.999769,0.999736,0.999708,0.999785,0.999731,0.999705,1,0.999908,0.999707,1,0.999885,0.999775,0.999664,0.999598,0.999531,0.999491,0.999451,0.99941,0.99939,0.99956,0.999466,0.999366,0.999426,0.999543,0.999468,0.999451,0.9994,0.999426,0.999338,0.999319
40.5,1,1,0.999914,0.99985,0.999786,0.999737,0.999706,0.999676,0.999649,0.999622,0.999595,0.999585,0.999728,0.999656,0.999574,0.999493,0.999424,0.999664,0.999529,0.999548,1,0.999867,0.999578,1,0.999892,0.999791,0.999689,0.999632,0.999574,0.999543,0.999512,0.999481,0.999461,0.999585,0.999491,0.999391,0.999451,0.999568,0.999511,0.999494,0.999443,0.999469,0.99944,0.99939
41.5,1,1,0.999885,0.999796,0.999707,0.999633,0.999595,0.999557,0.999521,0.999486,0.999451,0.999441,0.999649,0.999479,0.999325,0.999171,0.999039,0.999544,0.999355,0.999404,1,0.999867,0.999578,1,0.999892,0.999791,0.999689,0.999632,0.999574,0.999543,0.999512,0.999481,0.999461,0.999585,0.999491,0.999391,0.999451,0.999568,0.999511,0.999494,0.999443,0.999469,0.99944,0.99939
42.5,1,1,0.999885,0.999796,0.999707,0.999633,0.999595,0.999557,0.999521,0.999486,0.999451,0.999441,0.999649,0.999479,0.999325,0.999171,0.999039,0.999544,0.999355,0.999404,1,0.999867,0.999578,1,0.999892,0.999791,0.999689,0.999632,0.999574,0.999543,0.999512,0.999481,0.999461,0.999585,0.999491,0.999391,0.999451,0.999568,0.999511,0.999494,0.999443,0.999469,0.99944,0.99939
43.5,1,1,0.999885,0.999796,0.999707,0.999633,0.999595,0.999557,0.999521,0.999486,0.999451,0.999441,0.999649,0.999479,0.999325,0.999171,0.999039,0.999544,0.999355,0.999404,1,0.999887,0.999643,1,0.999917,0.999816,0.999714,0.999657,0.999599,0.999568,0.999537,0.999505,0.999486,0.999609,0.999516,0.999416,0.999476,0.999593,0.999536,0.999519,0.999468,0.999494,0.999465,0.999415
44.5,1,1,0.999903,0.999835,0.999766,0.999712,0.999694,0.999675,0.99966,0.999645,0.99963,0.99962,0.999708,0.999558,0.999404,0.99925,0.999118,0.999663,0.999609,0.999583,1,0.999969,0.999902,1,0.999917,0.999816,0.999714,0.999657,0.999599,0.999568,0.999537,0.999505,0.999486,0.999609,0.999516,0.999416,0.999476,0.999593,0.999536,0.999519,0.999468,0.999494,0.999465,0.999415
45.5,1,1,0.999877,0.999805,0.999734,0.999677,0.999628,0.999578,0.999532,0.999485,0.999439,0.999429,0.999677,0.999646,0.999615,0.999584,0.999557,0.999567,0.9993,0.999394,1,0.999969,0.999905,1,0.999914,0.999812,0.99971,0.999656,0.999601,0.999572,0.999542,0.999513,0.999493,0.999596,0.999506,0.99941,0.99947,0.999559,0.999543,0.999528,0.999478,0.999506,0.999476,0.999426
46.5,1,1,0.99988,0.999813,0.999746,0.999694,0.999647,0.9996,0.999556,0.999511,0.999466,0.999458,0.999694,0.999667,0.999641,0.999615,0.999592,0.999593,0.999331,0.999426,1,0.999971,0.999916,1,0.999914,0.999819,0.999723,0.999679,0.999634,0.99961,0.999585,0.99956,0.999543,0.999605,0.999528,0.999442,0.999502,0.999543,0.999589,0.99958,0.999534,0.999569,0.999533,0.999486
47.5,1,1,0.999876,0.99982,0.999763,0.999719,0.999679,0.999639,0.999599,0.999558,0.999518,0.999512,0.999721,0.999704,0.999689,0.999673,0.99966,0.999641,0.999392,0.99949,1,0.999975,0.99994,1,0.99991,0.999828,0.999745,0.999723,0.999701,0.999687,0.999674,0.99966,0.999649,0.999608,0.999498,0.999435,0.9994,0.999569,0.999686,0.999692,0.999654,0.999704,0.999656,0.999615
48.5,1,1,0.999877,0.999842,0.999806,0.999778,0.99975,0.999722,0.99969,0.999657,0.999625,0.999623,0.99978,0.999783,0.999788,0.999794,0.999798,0.999742,0.999517,0.999619,1,0.999983,0.999985,1,0.9999,0.999839,0.999777,0.999752,0.999727,0.999689,0.999652,0.999614,0.999613,0.999707,0.999612,0.999592,0.999494,0.999747,0.999769,0.999804,0.99978,0.999858,0.999492,0.999622
49.5,1,1,0.999925,0.999916,0.999908,0.999905,0.999898,0.999891,0.999885,0.999878,0.999871,0.999872,0.999897,0.999926,0.999947,0.999969,0.999987,0.999898,0.999849,0.999882,1,0.999918,0.999796,1,0.999895,0.999865,0.999835,0.999809,0.999784,0.99973,0.999676,0.999622,0.999629,0.999847,0.999796,0.99981,0.999712,0.999944,0.99987,0.999927,0.999915,1.00002,0.999416,0.999672
50.5,1,1,0.999934,0.999934,0.999935,0.999939,0.999941,0.999942,0.999948,0.999955,0.999961,0.999962,0.999923,0.999961,0.999983,1,1.00002,0.99993,0.999987,0.999972,1,0.999918,0.999797,1,0.999881,0.999853,0.999824,0.9998,0.999775,0.999721,0.999668,0.999614,0.999622,0.999838,0.999788,0.999803,0.999705,0.999936,0.999862,0.99992,0.999908,1.00001,0.999409,0.999665
51.5,1,1,0.999918,0.999903,0.999888,0.999878,0.999865,0.999853,0.999846,0.999839,0.999832,0.99982,0.999874,0.999897,0.999915,0.999934,0.99995,0.999838,0.999855,0.999781,1,0.999917,0.99979,1,0.999897,0.999884,0.999871,0.999841,0.99981,0.999753,0.999696,0.999639,0.999646,0.999936,0.999941,0.99995,0.999947,1.00003,0.999889,0.999942,0.999928,1.00003,0.999428,0.999683
52.5,1,1,0.999939,0.999919,0.999898,0.999883,0.999864,0.999845,0.99982,0.999796,0.999772,0.999743,0.999887,0.999905,0.999926,0.999948,0.999967,0.99987,0.999799,0.999638,1,0.999947,0.999887,1,0.999939,0.999987,1.00004,1.00004,1.00005,1.00004,1.00003,1.00001,1.00002,1.00016,1.00021,1.00023,1.00029,1.00025,1.00012,1.00016,1.00017,1.00022,0.999952,1.00006
53.5,1,1,0.99993,0.999909,0.999888,0.999869,0.999843,0.999816,0.999779,0.999742,0.999705,0.999679,0.999892,0.999908,0.999948,0.999987,1.00002,0.999866,0.999671,0.999589,1,0.999914,0.999802,1,0.999994,1.00013,1.00027,1.00034,1.00041,1.00045,1.00049,1.00054,1.00055,1.00046,1.00057,1.00062,1.00068,1.0006,1.00049,1.00053,1.00058,1.00058,1.00065,1.00063
54.5,1,1,0.999941,0.999941,0.999942,0.999938,0.999928,0.999917,0.999891,0.999864,0.999838,0.999817,0.999969,0.99998,1.00002,1.00006,1.0001,0.99999,0.999827,0.99975,1,0.999904,0.999797,1,1.00003,1.00027,1.0005,1.00062,1.00075,1.00082,1.00089,1.00096,1.00099,1.0008,1.00098,1.00109,1.00115,1.00099,1.00091,1.00098,1.00105,1.00109,1.00113,1.00113
55.5,1,1,0.999924,0.999917,0.99991,0.999896,0.999894,0.999893,0.999872,0.999851,0.99983,0.999813,0.99995,0.999855,0.999815,0.999775,0.999741,0.999978,0.999832,0.999759,1,0.999909,0.99983,1,1.00004,1.00033,1.00062,1.00077,1.00093,1.00101,1.0011,1.00118,1.00122,1.00098,1.0012,1.00134,1.0014,1.0012,1.00113,1.00122,1.0013,1.00136,1.00138,1.00139
56.5,1,1,0.999975,1.00001,1.00005,1.00008,1.00012,1.00016,1.00018,1.00021,1.00023,1.00024,1.0001,1.00005,1.00002,0.999983,0.999955,1.00026,1.00026,1.00031,1,0.999912,0.999846,1,1.00007,1.0004,1.00072,1.00091,1.0011,1.00119,1.00128,1.00137,1.00142,1.00112,1.00136,1.00151,1.00157,1.00136,1.00136,1.0015,1.00154,1.00171,1.00159,1.0016
57.5,1,1,0.999994,1.00006,1.00012,1.00018,1.00024,1.0003,1.00034,1.00037,1.00041,1.00043,1.00018,1.00016,1.00014,1.00012,1.0001,1.0004,1.00051,1.00051,1,0.999958,1.00001,1,1.00009,1.00047,1.00086,1.00108,1.0013,1.0014,1.00151,1.00162,1.00167,1.00131,1.00159,1.00177,1.00183,1.00158,1.0016,1.00177,1.00182,1.00203,1.00186,1.00188
