time,load/Load_R1/p_mw,load/Load_R1/q_mvar,load/Load_R11/p_mw,load/Load_R11/q_mvar,load/Load_R15/p_mw,load/Load_R15/q_mvar,load/Load_R16/p_mw,load/Load_R16/q_mvar,load/Load_R17/p_mw,load/Load_R17/q_mvar,load/Load_R18/p_mw,load/Load_R18/q_mvar,load/Load_I2/p_mw,load/Load_I2/q_mvar,load/Load_C1/p_mw,load/Load_C1/q_mvar,load/Load_C12/p_mw,load/Load_C12/q_mvar,load/Load_C13/p_mw,load/Load_C13/q_mvar,load/Load_C14/p_mw,load/Load_C14/q_mvar,load/Load_C17/p_mw,load/Load_C17/q_mvar,load/Load_C18/p_mw,load/Load_C18/q_mvar,load/Load_C19/p_mw,load/Load_C19/q_mvar,load/Load_C20/p_mw,load/Load_C20/q_mvar,load/PV_Load_R1/p_mw,load/PV_Load_R1/q_mvar,load/PV_Load_R11/p_mw,load/PV_Load_R11/q_mvar,load/PV_Load_R15/p_mw,load/PV_Load_R15/q_mvar,load/PV_Load_R16/p_mw,load/PV_Load_R16/q_mvar,load/PV_Load_R17/p_mw,load/PV_Load_R17/q_mvar,load/PV_Load_R18/p_mw,load/PV_Load_R18/q_mvar,load/PV_Load_I2/p_mw,load/PV_Load_I2/q_mvar,load/PV_Load_C1/p_mw,load/PV_Load_C1/q_mvar,load/PV_Load_C12/p_mw,load/PV_Load_C12/q_mvar,load/PV_Load_C13/p_mw,load/PV_Load_C13/q_mvar,load/PV_Load_C14/p_mw,load/PV_Load_C14/q_mvar,load/PV_Load_C17/p_mw,load/PV_Load_C17/q_mvar,load/PV_Load_C18/p_mw,load/PV_Load_C18/q_mvar,load/PV_Load_C19/p_mw,load/PV_Load_C19/q_mvar,load/PV_Load_C20/p_mw,load/PV_Load_C20/q_mvar
10,0.00100801,0.000395058,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.0008767,0.000343595,0.00138233,0.000541759,0.001423,0.0005577,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000457106,0.000179148,0.000995261,0.000390061,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,0.000983129,0.000385306,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.0008767,0.000343595,0.00168856,0.000661779,0.00177986,0.000697561,0.000253156,9.92165e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.00116452,0.000456398,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.0008767,0.000343595,0.00206285,0.000808471,0.00199901,0.00078345,0.000535756,0.000209973,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.00105349,0.000412881,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00223299,0.000875149,0.00211007,0.000826975,0.000646492,0.000253372,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.00122207,0.000478952,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00242013,0.000948494,0.00213524,0.00083684,0.000646492,0.000253372,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.000207076,8.11568e-05,0.000100181,3.92629e-05,0.00122207,0.000478952,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00247117,0.000968498,0.00162883,0.000638367,0.000588244,0.000230543,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.00122207,0.000478952,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000408337,0.000160035,0.00294669,0.00115486,0.00174729,0.000684793,0.000189147,7.41301e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.00134733,0.000528042,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000596314,0.000233706,0.00341796,0.00133956,0.0017769,0.0006964,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.000207076,8.11568e-05,0.000100181,3.92629e-05,0.00137441,0.000538656,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000596314,0.000233706,0.00371739,0.00145691,0.00180652,0.000708007,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,0.000730488,0.000286292,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000596314,0.000233706,0.00371739,0.00145691,0.00180652,0.000708007,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,0.000411658,0.000161336,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,0.000838307,0.000328548,0.000360283,0.000141201,0.000174533,6.84029e-05,0.000249588,9.78183e-05,0.000126371,4.95272e-05,0.00332949,0.00130489,0.00180355,0.000706846,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,0.000489754,0.000191944,0.000187332,7.3419e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000500906,0.000196314,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,0.00126958,0.000497573,0.000360283,0.000141201,0.000174533,6.84029e-05,0.000364695,0.000142931,0.000126371,4.95272e-05,0.00274764,0.00107685,0.0015696,0.000615153,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,0.000489754,0.000191944,0.000187332,7.3419e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.00079213,0.00031045,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,0.00126958,0.000497573,0.000360283,0.000141201,0.000304281,0.000119253,0.000364695,0.000142931,0.000126371,4.95272e-05,0.00300284,0.00117687,0.0018961,0.000743117,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,0.000489754,0.000191944,0.000157915,6.18899e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.00079213,0.00031045,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,0.000925073,0.000362553,0.000360283,0.000141201,0.000823271,0.000322655,0.000134481,5.27057e-05,0.000126371,4.95272e-05,0.00288374,0.00113019,0.00203973,0.000799409,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,0.00017737,6.95147e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.00079213,0.00031045,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
24,0.000587581,0.000230284,0.000360283,0.000141201,0.000823271,0.000322655,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.0025775,0.00101017,0.00203973,0.000799409,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000435206,0.000170565,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
25,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000823271,0.000322655,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00227127,0.000890151,0.00259131,0.00101558,0.000253156,9.92165e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.00013489,5.28658e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
26,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000823271,0.000322655,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00205009,0.00080347,0.00208786,0.00081827,0.000369653,0.000144874,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
27,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000304281,0.000119253,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00240737,0.000943493,0.00207305,0.000812466,0.000369653,0.000144874,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
28,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00240737,0.000943493,0.00222705,0.000872821,0.000369653,0.000144874,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
29,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000576569,0.000225968,0.00289395,0.00113419,0.00204121,0.000799989,0.000311404,0.000122045,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,9.87969e-05,3.87203e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
30,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.0008767,0.000343595,0.00265917,0.00104218,0.00162512,0.000636916,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
31,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.0008767,0.000343595,0.00309471,0.00121287,0.00163253,0.000639817,0.000244515,9.58298e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
32,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.0008767,0.000343595,0.00350302,0.0013729,0.00188796,0.000739925,0.000355251,0.000139229,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
33,0.000271142,0.000106266,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000726634,0.000284781,0.00371739,0.00145691,0.00208564,0.000817399,0.000355251,0.000139229,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
34,0.000730488,0.000286292,0.000360283,0.000141201,0.000174533,6.84029e-05,0.000134481,5.27057e-05,0.000126371,4.95272e-05,0.00371739,0.00145691,0.00229516,0.000899516,0.000355251,0.000139229,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000180326,7.06731e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
35,0.000730488,0.000286292,0.000360283,0.000141201,0.000174533,6.84029e-05,0.000364695,0.000142931,0.000126371,4.95272e-05,0.00371739,0.00145691,0.00195829,0.000767491,0.000189147,7.41301e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000500906,0.000196314,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
36,0.000730488,0.000286292,0.000360283,0.000141201,0.000174533,6.84029e-05,0.000364695,0.000142931,0.000126371,4.95272e-05,0.000229679,9.00153e-05,0.000596002,0.000233584,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000500906,0.000196314,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
37,0.000730488,0.000286292,0.000360283,0.000141201,0.000174533,6.84029e-05,0.000249588,9.78183e-05,0.000126371,4.95272e-05,0.000229679,9.00153e-05,0.000347236,0.000136088,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000500906,0.000196314,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
38,0.000271142,0.000106266,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.000229679,9.00153e-05,0.000181392,7.10908e-05,0.000194908,7.63879e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000500906,0.000196314,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
39,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000174533,6.84029e-05,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.000229679,9.00153e-05,0.000538993,0.000211241,0.000369653,0.000144874,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000180326,7.06731e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
