"time","y"
4.65,2.993
4.66,2.971195
4.67,2.94841
4.68,2.924645
4.69,2.8999
4.7,2.874175
4.71,2.84747
4.72,2.819785
4.73,2.79112
4.74,2.761475
4.75,2.73085
4.76,2.699245
4.77,2.66666
4.78,2.633095
4.79,2.59855
4.8,2.563025
4.81,2.52652
4.82,2.489035
4.83,2.45057
4.84,2.411125
4.85,2.3707
4.86,2.329295
4.87,2.28691
4.88,2.243545
4.89,2.1992
4.9,2.153875
4.91,2.10757
4.92,2.060285
4.93,2.01202
4.94,1.962775
4.95,1.91255
4.96,1.861345
4.97,1.80916
4.98,1.755995
4.99,1.70185
5,1.646725
5.01,1.59062
5.02,1.533535
5.03,1.47547
5.04,1.416425
5.05,1.3564
5.06,1.295395
5.07,1.23341
5.08,1.170445
5.09,1.1065
5.1,1.041575
5.11,0.97567
5.12,0.908785
5.13,0.84092
5.14,0.772075
5.15,0.70225
5.16,0.631445
5.17,0.55966
5.18,0.486895
5.19,0.41315
5.2,0.338425
5.21,0.26272
5.22,0.186035
5.23,0.10837
5.24,0.029725
5.25,-0.0499
5.26,0.01055375
5.27,0.0700275
5.28,0.12852125
5.29,0.186035
5.3,0.24256875
5.31,0.2981225
5.32,0.35269625
5.33,0.40629
5.34,0.45890375
5.35,0.5105375
5.36,0.56119125
5.37,0.610865
5.38,0.65955875
5.39,0.7072725
5.4,0.75400625
5.41,0.79976
5.42,0.84453375
5.43,0.8883275
5.44,0.93114125
5.45,0.972975
5.46,1.01382875
5.47,1.0537025
5.48,1.09259625
5.49,1.13051
5.5,1.16744375
5.51,1.2033975
5.52,1.23837125
5.53,1.272365
5.54,1.30537875
5.55,1.3374125
5.56,1.36846625
5.57,1.39854
5.58,1.42763375
5.59,1.4557475
5.6,1.48288125
5.61,1.509035
5.62,1.53420875
5.63,1.5584025
5.64,1.58161625
5.65,1.60385
5.66,1.62510375
5.67,1.6453775
5.68,1.66467125
5.69,1.682985
5.7,1.70031875
5.71,1.7166725
5.72,1.73204625
5.73,1.74644
5.74,1.75985375
5.75,1.7722875
5.76,1.78374125
5.77,1.794215
5.78,1.80370875
5.79,1.8122225
5.8,1.81975625
5.81,1.82631
5.82,1.83188375
5.83,1.8364775
5.84,1.84009125
5.85,1.842725
5.86,1.84437875
5.87,1.8450525
5.88,1.84474625
5.89,1.84346
5.9,1.84119375
5.91,1.8379475
5.92,1.83372125
5.93,1.828515
5.94,1.82232875
5.95,1.8151625
5.96,1.80701625
5.97,1.79789
5.98,1.78778375
5.99,1.7766975
6,1.76463125
6.01,1.751585
6.02,1.73755875
6.03,1.7225525
6.04,1.70656625
6.05,1.6896
6.06,1.67165375
6.07,1.6527275
6.08,1.63282125
6.09,1.611935
6.1,1.59006875
6.11,1.5672225
6.12,1.54339625
6.13,1.51859
6.14,1.49280375
6.15,1.4660375
6.16,1.43829125
6.17,1.409565
6.18,1.37985875
6.19,1.3491725
6.2,1.31750625
6.21,1.28486
6.22,1.25123375
6.23,1.2166275
6.24,1.18104125
6.25,1.144475
6.26,1.10692875
6.27,1.0684025
6.28,1.02889625
6.29,0.98841
6.3,0.94694375
6.31,0.9044975
6.32,0.86107125
6.33,0.816665
6.34,0.77127875
6.35,0.7249125
6.36,0.67756625
6.37,0.62924
6.38,0.57993375
6.39,0.5296475
6.4,0.47838125
6.41,0.426135
6.42,0.37290875
6.43,0.3187025
6.44,0.26351625
6.45,0.20735
6.46,0.15020375
6.47,0.0920775
6.48,0.03297125
6.49,-0.027115
6.5,0.0186846875
6.51,0.063504375
6.52,0.1073440625
6.53,0.15020375
6.54,0.1920834375
6.55,0.232983125
6.56,0.2729028125
6.57,0.3118425
6.58,0.3498021875
6.59,0.386781875
6.6,0.4227815625
6.61,0.45780125
6.62,0.4918409375
6.63,0.524900625
6.64,0.5569803125
6.65,0.58808
6.66,0.6181996875
6.67,0.647339375
6.68,0.6754990625
6.69,0.70267875
6.7,0.7288784375
6.71,0.754098125
6.72,0.7783378125
6.73,0.8015975
6.74,0.8238771875
6.75,0.845176875
6.76,0.8654965625
6.77,0.88483625
6.78,0.9031959375
6.79,0.920575625
6.8,0.9369753125
6.81,0.952395
6.82,0.9668346875
6.83,0.980294375
6.84,0.9927740625
6.85,1.00427375
6.86,1.014793437
6.87,1.024333125
6.88,1.032892812
6.89,1.0404725
6.9,1.047072187
6.91,1.052691875
6.92,1.057331562
6.93,1.06099125
6.94,1.063670937
6.95,1.065370625
6.96,1.066090312
6.97,1.06583
6.98,1.064589687
6.99,1.062369375
7,1.059169062
7.01,1.05498875
7.02,1.049828437
7.03,1.043688125
7.04,1.036567812
7.05,1.0284675
7.06,1.019387187
7.07,1.009326875
7.08,0.9982865625
7.09,0.98626625
7.1,0.9732659375
7.11,0.959285625
7.12,0.9443253125
7.13,0.928385
7.14,0.9114646875
7.15,0.893564375
7.16,0.8746840625
7.17,0.85482375
7.18,0.8339834375
7.19,0.812163125
7.2,0.7893628125
7.21,0.7655825
7.22,0.7408221875
7.23,0.715081875
7.24,0.6883615625
7.25,0.66066125
7.26,0.6319809375
7.27,0.602320625
7.28,0.5716803125
7.29,0.54006
7.3,0.5074596875
7.31,0.473879375
7.32,0.4393190625
7.33,0.40377875
7.34,0.3672584375
7.35,0.329758125
7.36,0.2912778125
7.37,0.2518175
7.38,0.2113771875
7.39,0.169956875
7.4,0.1275565625
7.41,0.08417625
7.42,0.0398159375
7.43,-0.005524375
7.44,0.02921585937
7.45,0.06297609375
7.46,0.09575632812
7.47,0.1275565625
7.48,0.1583767969
7.49,0.1882170312
7.5,0.2170772656
7.51,0.2449575
7.52,0.2718577344
7.53,0.2977779687
7.54,0.3227182031
7.55,0.3466784375
7.56,0.3696586719
7.57,0.3916589062
7.58,0.4126791406
7.59,0.432719375
7.6,0.4517796094
7.61,0.4698598437
7.62,0.4869600781
7.63,0.5030803125
7.64,0.5182205469
7.65,0.5323807812
7.66,0.5455610156
7.67,0.55776125
7.68,0.5689814844
7.69,0.5792217187
7.7,0.5884819531
7.71,0.5967621875
7.72,0.6040624219
7.73,0.6103826562
7.74,0.6157228906
7.75,0.620083125
7.76,0.6234633594
7.77,0.6258635937
7.78,0.6272838281
7.79,0.6277240625
7.8,0.6271842969
7.81,0.6256645312
7.82,0.6231647656
7.83,0.619685
7.84,0.6152252344
7.85,0.6097854687
7.86,0.6033657031
7.87,0.5959659375
7.88,0.5875861719
7.89,0.5782264062
7.9,0.5678866406
7.91,0.556566875
7.92,0.5442671094
7.93,0.5309873437
7.94,0.5167275781
7.95,0.5014878125
7.96,0.4852680469
7.97,0.4680682812
7.98,0.4498885156
7.99,0.43072875
8,0.4105889844
8.01,0.3894692187
8.02,0.3673694531
8.03,0.3442896875
8.04,0.3202299219
8.05,0.2951901562
8.06,0.2691703906
8.07,0.242170625
8.08,0.2141908594
8.09,0.1852310937
8.1,0.1552913281
8.11,0.1243715625
8.12,0.09247179687
8.13,0.05959203125
8.14,0.02573226562
8.15,-0.0091075
8.16,0.01775732422
8.17,0.04364214844
8.18,0.06854697266
8.19,0.09247179687
8.2,0.1154166211
8.21,0.1373814453
8.22,0.1583662695
8.23,0.1783710937
8.24,0.197395918
8.25,0.2154407422
8.26,0.2325055664
8.27,0.2485903906
8.28,0.2636952148
8.29,0.2778200391
8.3,0.2909648633
8.31,0.3031296875
8.32,0.3143145117
8.33,0.3245193359
8.34,0.3337441602
8.35,0.3419889844
8.36,0.3492538086
8.37,0.3555386328
8.38,0.360843457
8.39,0.3651682812
8.4,0.3685131055
8.41,0.3708779297
8.42,0.3722627539
8.43,0.3726675781
8.44,0.3720924023
8.45,0.3705372266
8.46,0.3680020508
8.47,0.364486875
8.48,0.3599916992
8.49,0.3545165234
8.5,0.3480613477
8.51,0.3406261719
8.52,0.3322109961
8.53,0.3228158203
8.54,0.3124406445
8.55,0.3010854687
8.56,0.288750293
8.57,0.2754351172
8.58,0.2611399414
8.59,0.2458647656
8.6,0.2296095898
8.61,0.2123744141
8.62,0.1941592383
8.63,0.1749640625
8.64,0.1547888867
8.65,0.1336337109
8.66,0.1114985352
8.67,0.08838335937
8.68,0.06428818359
8.69,0.03921300781
8.7,0.01315783203
8.71,-0.01387734375
8.72,0.007134038086
8.73,0.02716541992
8.74,0.04621680176
8.75,0.06428818359
8.76,0.08137956543
8.77,0.09749094727
8.78,0.1126223291
8.79,0.1267737109
8.8,0.1399450928
8.81,0.1521364746
8.82,0.1633478564
8.83,0.1735792383
8.84,0.1828306201
8.85,0.191102002
8.86,0.1983933838
8.87,0.2047047656
8.88,0.2100361475
8.89,0.2143875293
8.9,0.2177589111
8.91,0.220150293
8.92,0.2215616748
8.93,0.2219930566
8.94,0.2214444385
8.95,0.2199158203
8.96,0.2174072021
8.97,0.213918584
8.98,0.2094499658
8.99,0.2040013477
9,0.1975727295
9.01,0.1901641113
9.02,0.1817754932
9.03,0.172406875
9.04,0.1620582568
9.05,0.1507296387
9.06,0.1384210205
9.07,0.1251324023
9.08,0.1108637842
9.09,0.09561516602
9.1,0.07938654785
9.11,0.06217792969
9.12,0.04398931152
9.13,0.02482069336
9.14,0.004672075195
9.15,-0.01645654297
9.16,0.0001249206543
9.17,0.01572638428
9.18,0.0303478479
9.19,0.04398931152
9.2,0.05665077515
9.21,0.06833223877
9.22,0.07903370239
9.23,0.08875516602
9.24,0.09749662964
9.25,0.1052580933
9.26,0.1120395569
9.27,0.1178410205
9.28,0.1226624841
9.29,0.1265039478
9.3,0.1293654114
9.31,0.131246875
9.32,0.1321483386
9.33,0.1320698022
9.34,0.1310112659
9.35,0.1289727295
9.36,0.1259541931
9.37,0.1219556567
9.38,0.1169771204
9.39,0.111018584
9.4,0.1040800476
9.41,0.09616151123
9.42,0.08726297485
9.43,0.07738443848
9.44,0.0665259021
9.45,0.05468736572
9.46,0.04186882935
9.47,0.02807029297
9.48,0.01329175659
9.49,-0.002466779785
9.5,0.0100871225
9.51,0.02166102478
9.52,0.03225492706
9.53,0.04186882935
9.54,0.05050273163
9.55,0.05815663391
9.56,0.06483053619
9.57,0.07052443848
9.58,0.07523834076
9.59,0.07897224304
9.6,0.08172614532
9.61,0.08350004761
9.62,0.08429394989
9.63,0.08410785217
9.64,0.08294175446
9.65,0.08079565674
9.66,0.07766955902
9.67,0.0735634613
9.68,0.06847736359
9.69,0.06241126587
9.7,0.05536516815
9.71,0.04733907043
9.72,0.03833297272
9.73,0.028346875
9.74,0.01738077728
9.75,0.005434679565
9.76,-0.007491418152
9.77,0.002938155136
9.78,0.01238772842
9.79,0.02085730171
9.8,0.028346875
9.81,0.03485644829
9.82,0.04038602158
9.83,0.04493559486
9.84,0.04850516815
9.85,0.05109474144
9.86,0.05270431473
9.87,0.05333388802
9.88,0.0529834613
9.89,0.05165303459
9.9,0.04934260788
9.91,0.04605218117
9.92,0.04178175446
9.93,0.03653132774
9.94,0.03030090103
9.95,0.02309047432
9.96,0.01490004761
9.97,0.005729620895
9.98,-0.004420805817
9.99,0.003927014217
10,0.01129483425
