"Time","FMU_Interface_OUT0_Battery Charge - Battery Charge","FMU_Interface_OUT1_Current - Current","FMU_Interface_OUT2_Net Voltage - Net Voltage","FMU_Interface_OUT3_Power - Power"
1.12,91.1644,-115.286,19.579,-2.2572
1.13,91.1641,-115.286,19.579,-2.25719
1.14,91.1638,-115.285,19.579,-2.25718
1.15,91.1635,-115.285,19.579,-2.25717
1.16,91.1632,-115.284,19.5791,-2.25716
1.17,91.1628,-115.284,19.5791,-2.25716
1.18,91.1625,-115.283,19.5791,-2.25715
1.19,91.1622,-115.283,19.5791,-2.25714
1.2,91.1619,-115.282,19.5791,-2.25713
1.21,91.1616,-115.282,19.5791,-2.25712
1.22,91.1612,-115.281,19.5792,-2.25712
1.23,91.1609,-115.281,19.5792,-2.25711
1.24,91.1606,-115.28,19.5792,-2.2571
1.25,91.1603,-115.28,19.5792,-2.25709
1.26,91.16,-115.279,19.5792,-2.25708
1.27,91.1596,-115.278,19.5793,-2.25708
1.28,91.1593,-115.278,19.5793,-2.25707
1.29,91.159,-115.277,19.5793,-2.25706
1.3,91.1587,-115.277,19.5793,-2.25705
1.31,91.1584,-115.276,19.5793,-2.25704
1.32,91.158,-115.276,19.5794,-2.25704
1.33,91.1577,-115.275,19.5794,-2.25703
1.34,91.1574,-115.275,19.5794,-2.25702
1.35,91.1571,-115.274,19.5794,-2.25701
1.36,91.1568,-115.274,19.5794,-2.257
1.37,91.1564,-115.273,19.5795,-2.257
1.38,91.1561,-115.273,19.5795,-2.25699
1.39,91.1558,-115.272,19.5795,-2.25698
1.4,91.1555,-115.272,19.5795,-2.25697
1.41,91.1552,-115.271,19.5795,-2.25696
1.42,91.1548,-115.271,19.5796,-2.25696
1.43,91.1545,-115.27,19.5796,-2.25695
1.44,91.1542,-115.27,19.5796,-2.25694
1.45,91.1539,-115.269,19.5796,-2.25693
1.46,91.1536,-115.268,19.5796,-2.25692
1.47,91.1532,-115.268,19.5797,-2.25692
1.48,91.1529,-115.267,19.5797,-2.25691
1.49,91.1526,-115.267,19.5797,-2.2569
1.5,91.1523,-115.266,19.5797,-2.25689
1.51,91.152,-115.266,19.5797,-2.25688
1.52,91.1516,-115.265,19.5798,-2.25688
1.53,91.1513,-115.265,19.5798,-2.25687
1.54,91.151,-115.264,19.5798,-2.25686
1.55,91.1507,-115.264,19.5798,-2.25685
1.56,91.1504,-115.263,19.5798,-2.25684
1.57,91.15,-115.263,19.5799,-2.25684
1.58,91.1497,-115.262,19.5799,-2.25683
1.59,91.1494,-115.262,19.5799,-2.25682
1.6,91.1491,-115.261,19.5799,-2.25681
1.61,91.1488,-115.261,19.5799,-2.2568
1.62,91.1484,-115.26,19.58,-2.2568
1.63,91.1481,-115.26,19.58,-2.25679
1.64,91.1478,-115.259,19.58,-2.25678
1.65,91.1475,-115.258,19.58,-2.25677
1.66,91.1472,-115.258,19.58,-2.25676
1.67,91.1468,-115.257,19.5801,-2.25676
1.68,91.1465,-115.257,19.5801,-2.25675
1.69,91.1462,-115.256,19.5801,-2.25674
1.7,91.1459,-115.256,19.5801,-2.25673
1.71,91.1456,-115.255,19.5801,-2.25672
1.72,91.1452,-115.255,19.5802,-2.25672
1.73,91.1449,-115.254,19.5802,-2.25671
1.74,91.1446,-115.254,19.5802,-2.2567
1.75,91.1443,-115.253,19.5802,-2.25669
1.76,91.144,-115.253,19.5802,-2.25668
1.77,91.1436,-115.252,19.5803,-2.25668
1.78,91.1433,-115.252,19.5803,-2.25667
1.79,91.143,-115.251,19.5803,-2.25666
1.8,91.1427,-115.251,19.5803,-2.25665
1.81,91.1424,-115.25,19.5803,-2.25664
1.82,91.142,-115.25,19.5804,-2.25664
1.83,91.1417,-115.249,19.5804,-2.25663
1.84,91.1414,-115.249,19.5804,-2.25662
1.85,91.1411,-115.248,19.5804,-2.25661
1.86,91.1408,-115.247,19.5804,-2.2566
1.87,91.1404,-115.247,19.5805,-2.2566
1.88,91.1401,-115.246,19.5805,-2.25659
1.89,91.1398,-115.246,19.5805,-2.25658
1.9,91.1395,-115.245,19.5805,-2.25657
1.91,91.1391,-115.245,19.5805,-2.25656
1.92,91.1388,-115.244,19.5806,-2.25656
1.93,91.1385,-115.244,19.5806,-2.25655
1.94,91.1382,-115.243,19.5806,-2.25654
1.95,91.1379,-115.243,19.5806,-2.25653
1.96,91.1375,-115.242,19.5806,-2.25652
1.97,91.1372,-115.242,19.5807,-2.25652
1.98,91.1369,-115.241,19.5807,-2.25651
1.99,91.1366,-115.241,19.5807,-2.2565
2,91.1363,-115.24,19.5807,-2.25649
2.01,91.1359,-115.24,19.5807,-2.25648
2.02,91.1356,-115.239,19.5808,-2.25648
2.03,91.1353,-115.239,19.5808,-2.25647
2.04,91.135,-115.238,19.5808,-2.25646
2.05,91.1347,-115.237,19.5808,-2.25645
2.06,91.1343,-115.237,19.5808,-2.25644
2.07,91.134,-115.236,19.5809,-2.25644
2.08,91.1337,-115.236,19.5809,-2.25643
2.09,91.1334,-115.235,19.5809,-2.25642
2.1,91.1331,-115.235,19.5809,-2.25641
2.11,91.1327,-115.234,19.5809,-2.2564
2.12,91.1324,-115.234,19.581,-2.2564
2.13,91.1321,-115.233,19.581,-2.25639
2.14,91.1318,-115.233,19.581,-2.25638
2.15,91.1315,-115.232,19.581,-2.25637
2.16,91.1311,-115.232,19.581,-2.25636
2.17,91.1308,-115.231,19.5811,-2.25636
2.18,91.1305,-115.231,19.5811,-2.25635
2.19,91.1302,-115.23,19.5811,-2.25634
2.2,91.1299,-115.23,19.5811,-2.25633
2.21,91.1295,-115.229,19.5811,-2.25632
2.22,91.1292,-115.229,19.5812,-2.25632
2.23,91.1289,-115.228,19.5812,-2.25631
2.24,91.1286,-115.227,19.5812,-2.2563
2.25,91.1283,-115.227,19.5812,-2.25629
2.26,91.1279,-115.226,19.5812,-2.25628
2.27,91.1276,-115.226,19.5813,-2.25628
2.28,91.1273,-115.225,19.5813,-2.25627
2.29,91.127,-115.225,19.5813,-2.25626
2.3,91.1267,-115.224,19.5813,-2.25625
2.31,91.1263,-115.224,19.5813,-2.25624
2.32,91.126,-115.223,19.5814,-2.25624
2.33,91.1257,-115.223,19.5814,-2.25623
2.34,91.1254,-115.222,19.5814,-2.25622
2.35,91.1251,-115.222,19.5814,-2.25621
2.36,91.1247,-115.221,19.5814,-2.2562
2.37,91.1244,-115.221,19.5815,-2.2562
2.38,91.1241,-115.22,19.5815,-2.25619
2.39,91.1238,-115.22,19.5815,-2.25618
2.4,91.1235,-115.219,19.5815,-2.25617
2.41,91.1231,-115.219,19.5815,-2.25616
2.42,91.1228,-115.218,19.5816,-2.25616
2.43,91.1225,-115.217,19.5816,-2.25615
2.44,91.1222,-115.217,19.5816,-2.25614
2.45,91.1219,-115.216,19.5816,-2.25613
2.46,91.1215,-115.216,19.5816,-2.25612
2.47,91.1212,-115.215,19.5817,-2.25612
2.48,91.1209,-115.215,19.5817,-2.25611
2.49,91.1206,-115.214,19.5817,-2.2561
2.5,91.1203,-115.214,19.5817,-2.25609
2.51,91.1199,-115.213,19.5817,-2.25608
2.52,91.1196,-115.213,19.5818,-2.25608
2.53,91.1193,-115.212,19.5818,-2.25607
2.54,91.119,-115.212,19.5818,-2.25606
2.55,91.1187,-115.211,19.5818,-2.25605
2.56,91.1183,-115.211,19.5818,-2.25604
2.57,91.118,-115.21,19.5819,-2.25604
2.58,91.1177,-115.21,19.5819,-2.25603
2.59,91.1174,-115.209,19.5819,-2.25602
2.6,91.1171,-115.209,19.5819,-2.25601
2.61,91.1167,-115.208,19.5819,-2.256
2.62,91.1164,-115.208,19.582,-2.256
2.63,91.1161,-115.207,19.582,-2.25599
2.64,91.1158,-115.206,19.582,-2.25598
2.65,91.1155,-115.206,19.582,-2.25597
2.66,91.1151,-115.205,19.582,-2.25596
2.67,91.1148,-115.205,19.5821,-2.25596
2.68,91.1145,-115.204,19.5821,-2.25595
2.69,91.1142,-115.204,19.5821,-2.25594
2.7,91.1139,-115.203,19.5821,-2.25593
2.71,91.1135,-115.203,19.5821,-2.25592
2.72,91.1132,-115.202,19.5822,-2.25592
2.73,91.1129,-115.202,19.5822,-2.25591
2.74,91.1126,-115.201,19.5822,-2.2559
2.75,91.1123,-115.201,19.5822,-2.25589
2.76,91.1119,-115.2,19.5822,-2.25588
2.77,91.1116,-115.2,19.5823,-2.25588
2.78,91.1113,-115.199,19.5823,-2.25587
2.79,91.111,-115.199,19.5823,-2.25586
2.8,91.1107,-115.198,19.5823,-2.25585
2.81,91.1103,-115.198,19.5823,-2.25584
2.82,91.11,-115.197,19.5824,-2.25584
2.83,91.1097,-115.196,19.5824,-2.25583
2.84,91.1094,-115.196,19.5824,-2.25582
2.85,91.1091,-115.195,19.5824,-2.25581
2.86,91.1087,-115.195,19.5824,-2.2558
2.87,91.1084,-115.194,19.5825,-2.2558
2.88,91.1081,-115.194,19.5825,-2.25579
2.89,91.1078,-115.193,19.5825,-2.25578
2.9,91.1075,-115.193,19.5825,-2.25577
2.91,91.1071,-115.192,19.5825,-2.25576
2.92,91.1068,-115.192,19.5825,-2.25576
2.93,91.1065,-115.191,19.5826,-2.25575
2.94,91.1062,-115.191,19.5826,-2.25574
2.95,91.1059,-115.19,19.5826,-2.25573
2.96,91.1055,-115.19,19.5826,-2.25572
2.97,91.1052,-115.189,19.5826,-2.25572
2.98,91.1049,-115.189,19.5827,-2.25571
2.99,91.1046,-115.188,19.5827,-2.2557
3,91.1043,-115.188,19.5827,-2.25569
3.01,91.1039,-115.187,19.5827,-2.25568
3.02,91.1036,-115.186,19.5827,-2.25568
3.03,91.1033,-115.186,19.5828,-2.25567
3.04,91.103,-115.185,19.5828,-2.25566
3.05,91.1027,-115.185,19.5828,-2.25565
3.06,91.1023,-115.184,19.5828,-2.25564
3.07,91.102,-115.184,19.5828,-2.25564
3.08,91.1017,-115.183,19.5829,-2.25563
3.09,91.1014,-115.183,19.5829,-2.25562
3.1,91.1011,-115.182,19.5829,-2.25561
3.11,91.1007,-115.182,19.5829,-2.2556
3.12,91.1004,-115.181,19.5829,-2.2556
3.13,91.1001,-115.181,19.583,-2.25559
3.14,91.0998,-115.18,19.583,-2.25558
3.15,91.0995,-115.18,19.583,-2.25557
3.16,91.0991,-115.179,19.583,-2.25556
3.17,91.0988,-115.179,19.583,-2.25556
3.18,91.0985,-115.178,19.5831,-2.25555
3.19,91.0982,-115.178,19.5831,-2.25554
3.2,91.0979,-115.177,19.5831,-2.25553
3.21,91.0975,-115.176,19.5831,-2.25552
3.22,91.0972,-115.176,19.5831,-2.25552
3.23,91.0969,-115.175,19.5832,-2.25551
3.24,91.0966,-115.175,19.5832,-2.2555
3.25,91.0963,-115.174,19.5832,-2.25549
3.26,91.0959,-115.174,19.5832,-2.25548
3.27,91.0956,-115.173,19.5832,-2.25548
3.28,91.0953,-115.173,19.5833,-2.25547
3.29,91.095,-115.172,19.5833,-2.25546
3.3,91.0947,-115.172,19.5833,-2.25545
3.31,91.0943,-115.171,19.5833,-2.25544
3.32,91.094,-115.171,19.5833,-2.25544
3.33,91.0937,-115.17,19.5834,-2.25543
3.34,91.0934,-115.17,19.5834,-2.25542
3.35,91.0931,-115.169,19.5834,-2.25541
3.36,91.0927,-115.169,19.5834,-2.2554
3.37,91.0924,-115.168,19.5834,-2.2554
3.38,91.0921,-115.168,19.5835,-2.25539
3.39,91.0918,-115.167,19.5835,-2.25538
3.4,91.0915,-115.167,19.5835,-2.25537
3.41,91.0911,-115.166,19.5835,-2.25536
3.42,91.0908,-115.165,19.5835,-2.25536
3.43,91.0905,-115.165,19.5836,-2.25535
3.44,91.0902,-115.164,19.5836,-2.25534
3.45,91.0899,-115.164,19.5836,-2.25533
3.46,91.0895,-115.163,19.5836,-2.25532
3.47,91.0892,-115.163,19.5836,-2.25532
3.48,91.0889,-115.162,19.5837,-2.25531
3.49,91.0886,-115.162,19.5837,-2.2553
3.5,91.0883,-115.161,19.5837,-2.25529
3.51,91.0879,-115.161,19.5837,-2.25528
3.52,91.0876,-115.16,19.5837,-2.25528
3.53,91.0873,-115.16,19.5838,-2.25527
3.54,91.087,-115.159,19.5838,-2.25526
3.55,91.0867,-115.159,19.5838,-2.25525
3.56,91.0863,-115.158,19.5838,-2.25524
3.57,91.086,-115.158,19.5838,-2.25524
3.58,91.0857,-115.157,19.5839,-2.25523
3.59,91.0854,-115.157,19.5839,-2.25522
3.6,91.0851,-115.156,19.5839,-2.25521
3.61,91.0847,-115.155,19.5839,-2.2552
3.62,91.0844,-115.155,19.5839,-2.2552
3.63,91.0841,-115.154,19.584,-2.25519
3.64,91.0838,-115.154,19.584,-2.25518
3.65,91.0835,-115.153,19.584,-2.25517
3.66,91.0832,-115.153,19.584,-2.25516
3.67,91.0828,-115.152,19.584,-2.25516
3.68,91.0825,-115.152,19.5841,-2.25515
3.69,91.0822,-115.151,19.5841,-2.25514
3.7,91.0819,-115.151,19.5841,-2.25513
3.71,91.0816,-115.15,19.5841,-2.25512
3.72,91.0812,-115.15,19.5841,-2.25512
3.73,91.0809,-115.149,19.5842,-2.25511
3.74,91.0806,-115.149,19.5842,-2.2551
3.75,91.0803,-115.148,19.5842,-2.25509
3.76,91.08,-115.148,19.5842,-2.25508
3.77,91.0796,-115.147,19.5842,-2.25508
3.78,91.0793,-115.147,19.5843,-2.25507
3.79,91.079,-115.146,19.5843,-2.25506
3.8,91.0787,-115.145,19.5843,-2.25505
3.81,91.0784,-115.145,19.5843,-2.25504
3.82,91.078,-115.144,19.5843,-2.25504
3.83,91.0777,-115.144,19.5844,-2.25503
3.84,91.0774,-115.143,19.5844,-2.25502
3.85,91.0771,-115.143,19.5844,-2.25501
3.86,91.0768,-115.142,19.5844,-2.255
3.87,91.0764,-115.142,19.5844,-2.255
3.88,91.0761,-115.141,19.5845,-2.25499
3.89,91.0758,-115.141,19.5845,-2.25498
3.9,91.0755,-115.14,19.5845,-2.25497
3.91,91.0752,-115.14,19.5845,-2.25496
3.92,91.0748,-115.139,19.5845,-2.25496
3.93,91.0745,-115.139,19.5846,-2.25495
3.94,91.0742,-115.138,19.5846,-2.25494
3.95,91.0739,-115.138,19.5846,-2.25493
3.96,91.0736,-115.137,19.5846,-2.25492
3.97,91.0732,-115.137,19.5846,-2.25492
3.98,91.0729,-115.136,19.5847,-2.25491
3.99,91.0726,-115.136,19.5847,-2.2549
4,91.0723,-115.135,19.5847,-2.25489
4.01,91.072,-115.134,19.5847,-2.25488
4.02,91.0716,-115.134,19.5847,-2.25488
4.03,91.0713,-115.133,19.5848,-2.25487
4.04,91.071,-115.133,19.5848,-2.25486
4.05,91.0707,-115.132,19.5848,-2.25485
4.06,91.0704,-115.132,19.5848,-2.25484
4.07,91.07,-115.131,19.5848,-2.25484
4.08,91.0697,-115.131,19.5849,-2.25483
4.09,91.0694,-115.13,19.5849,-2.25482
4.1,91.0691,-115.13,19.5849,-2.25481
4.11,91.0688,-115.129,19.5849,-2.2548
4.12,91.0684,-115.129,19.5849,-2.2548
4.13,91.0681,-115.128,19.585,-2.25479
4.14,91.0678,-115.128,19.585,-2.25478
4.15,91.0675,-115.127,19.585,-2.25477
4.16,91.0672,-115.127,19.585,-2.25476
4.17,91.0668,-115.126,19.585,-2.25476
4.18,91.0665,-115.126,19.5851,-2.25475
4.19,91.0662,-115.125,19.5851,-2.25474
4.2,91.0659,-115.124,19.5851,-2.25473
4.21,91.0656,-115.124,19.5851,-2.25472
4.22,91.0652,-115.123,19.5851,-2.25472
4.23,91.0649,-115.123,19.5852,-2.25471
4.24,91.0646,-115.122,19.5852,-2.2547
4.25,91.0643,-115.122,19.5852,-2.25469
4.26,91.064,-115.121,19.5852,-2.25468
4.27,91.0636,-115.121,19.5852,-2.25468
4.28,91.0633,-115.12,19.5853,-2.25467
4.29,91.063,-115.12,19.5853,-2.25466
4.3,91.0627,-115.119,19.5853,-2.25465
4.31,91.0624,-115.119,19.5853,-2.25464
4.32,91.062,-115.118,19.5853,-2.25464
4.33,91.0617,-115.118,19.5854,-2.25463
4.34,91.0614,-115.117,19.5854,-2.25462
4.35,91.0611,-115.117,19.5854,-2.25461
4.36,91.0608,-115.116,19.5854,-2.2546
4.37,91.0604,-115.116,19.5854,-2.2546
4.38,91.0601,-115.115,19.5855,-2.25459
4.39,91.0598,-115.114,19.5855,-2.25458
4.4,91.0595,-115.114,19.5855,-2.25457
4.41,91.0592,-115.113,19.5855,-2.25456
4.42,91.0588,-115.113,19.5855,-2.25456
4.43,91.0585,-115.112,19.5856,-2.25455
4.44,91.0582,-115.112,19.5856,-2.25454
4.45,91.0579,-115.111,19.5856,-2.25453
4.46,91.0576,-115.111,19.5856,-2.25452
4.47,91.0572,-115.11,19.5856,-2.25452
4.48,91.0569,-115.11,19.5857,-2.25451
4.49,91.0566,-115.109,19.5857,-2.2545
4.5,91.0563,-115.109,19.5857,-2.25449
4.51,91.056,-115.108,19.5857,-2.25448
4.52,91.0556,-115.108,19.5857,-2.25448
4.53,91.0553,-115.107,19.5857,-2.25447
4.54,91.055,-115.107,19.5858,-2.25446
4.55,91.0547,-115.106,19.5858,-2.25445
4.56,91.0544,-115.106,19.5858,-2.25444
4.57,91.054,-115.105,19.5858,-2.25444
4.58,91.0537,-115.105,19.5858,-2.25443
4.59,91.0534,-115.104,19.5859,-2.25442
4.6,91.0531,-115.103,19.5859,-2.25441
4.61,91.0528,-115.103,19.5859,-2.2544
4.62,91.0524,-115.102,19.5859,-2.2544
4.63,91.0521,-115.102,19.5859,-2.25439
4.64,91.0518,-115.101,19.586,-2.25438
4.65,91.0515,-115.101,19.586,-2.25437
4.66,91.0512,-115.1,19.586,-2.25436
4.67,91.0509,-115.1,19.586,-2.25436
4.68,91.0505,-115.099,19.586,-2.25435
4.69,91.0502,-115.099,19.5861,-2.25434
4.7,91.0499,-115.098,19.5861,-2.25433
4.71,91.0496,-115.098,19.5861,-2.25432
4.72,91.0493,-115.097,19.5861,-2.25432
4.73,91.0489,-115.097,19.5861,-2.25431
4.74,91.0486,-115.096,19.5862,-2.2543
4.75,91.0483,-115.096,19.5862,-2.25429
4.76,91.048,-115.095,19.5862,-2.25428
4.77,91.0477,-115.095,19.5862,-2.25428
4.78,91.0473,-115.094,19.5862,-2.25427
4.79,91.047,-115.093,19.5863,-2.25426
4.8,91.0467,-115.093,19.5863,-2.25425
4.81,91.0464,-115.092,19.5863,-2.25424
4.82,91.0461,-115.092,19.5863,-2.25424
4.83,91.0457,-115.091,19.5863,-2.25423
4.84,91.0454,-115.091,19.5864,-2.25422
4.85,91.0451,-115.09,19.5864,-2.25421
4.86,91.0448,-115.09,19.5864,-2.2542
4.87,91.0445,-115.089,19.5864,-2.2542
4.88,91.0441,-115.089,19.5864,-2.25419
4.89,91.0438,-115.088,19.5865,-2.25418
4.9,91.0435,-115.088,19.5865,-2.25417
4.91,91.0432,-115.087,19.5865,-2.25416
4.92,91.0429,-115.087,19.5865,-2.25416
4.93,91.0425,-115.086,19.5865,-2.25415
4.94,91.0422,-115.086,19.5866,-2.25414
4.95,91.0419,-115.085,19.5866,-2.25413
4.96,91.0416,-115.085,19.5866,-2.25412
4.97,91.0413,-115.084,19.5866,-2.25412
4.98,91.0409,-115.083,19.5866,-2.25411
4.99,91.0406,-115.083,19.5867,-2.2541
5,91.0403,-115.082,19.5867,-2.25409
5.01,91.04,-115.082,19.5867,-2.25408
5.02,91.0397,-115.081,19.5867,-2.25408
5.03,91.0393,-115.081,19.5867,-2.25407
5.04,91.039,-115.08,19.5868,-2.25406
5.05,91.0387,-115.08,19.5868,-2.25405
5.06,91.0384,-115.079,19.5868,-2.25404
5.07,91.0381,-115.079,19.5868,-2.25404
5.08,91.0377,-115.078,19.5868,-2.25403
5.09,91.0374,-115.078,19.5869,-2.25402
5.1,91.0371,-115.077,19.5869,-2.25401
5.11,91.0368,-115.077,19.5869,-2.254
5.12,91.0365,-115.076,19.5869,-2.254
5.13,91.0361,-115.076,19.5869,-2.25399
5.14,91.0358,-115.075,19.587,-2.25398
5.15,91.0355,-115.075,19.587,-2.25397
5.16,91.0352,-115.074,19.587,-2.25396
5.17,91.0349,-115.074,19.587,-2.25396
5.18,91.0345,-115.073,19.587,-2.25395
5.19,91.0342,-115.072,19.5871,-2.25394
5.2,91.0339,-115.072,19.5871,-2.25393
5.21,91.0336,-115.071,19.5871,-2.25392
5.22,91.0333,-115.071,19.5871,-2.25392
5.23,91.0329,-115.07,19.5871,-2.25391
5.24,91.0326,-115.07,19.5872,-2.2539
5.25,91.0323,-115.069,19.5872,-2.25389
5.26,91.032,-115.069,19.5872,-2.25388
5.27,91.0317,-115.068,19.5872,-2.25388
5.28,91.0314,-115.068,19.5872,-2.25387
5.29,91.031,-115.067,19.5873,-2.25386
5.3,91.0307,-115.067,19.5873,-2.25385
5.31,91.0304,-115.066,19.5873,-2.25384
5.32,91.0301,-115.066,19.5873,-2.25384
5.33,91.0298,-115.065,19.5873,-2.25383
5.34,91.0294,-115.065,19.5874,-2.25382
5.35,91.0291,-115.064,19.5874,-2.25381
5.36,91.0288,-115.064,19.5874,-2.2538
5.37,91.0285,-115.063,19.5874,-2.2538
5.38,91.0282,-115.062,19.5874,-2.25379
5.39,91.0278,-115.062,19.5875,-2.25378
5.4,91.0275,-115.061,19.5875,-2.25377
5.41,91.0272,-115.061,19.5875,-2.25376
5.42,91.0269,-115.06,19.5875,-2.25376
5.43,91.0266,-115.06,19.5875,-2.25375
5.44,91.0262,-115.059,19.5876,-2.25374
5.45,91.0259,-115.059,19.5876,-2.25373
5.46,91.0256,-115.058,19.5876,-2.25372
5.47,91.0253,-115.058,19.5876,-2.25372
5.48,91.025,-115.057,19.5876,-2.25371
5.49,91.0246,-115.057,19.5877,-2.2537
5.5,91.0243,-115.056,19.5877,-2.25369
5.51,91.024,-115.056,19.5877,-2.25368
5.52,91.0237,-115.055,19.5877,-2.25368
5.53,91.0234,-115.055,19.5877,-2.25367
5.54,91.023,-115.054,19.5878,-2.25366
5.55,91.0227,-115.054,19.5878,-2.25365
5.56,91.0224,-115.053,19.5878,-2.25364
