Time,In1,Out1,
3.64,-0.478027,1.88072,
3.65,-0.486787,1.87594,
3.66,-0.495497,1.87107,
3.67,-0.504159,1.86612,
3.68,-0.512769,1.86107,
3.69,-0.521329,1.85595,
3.7,-0.529836,1.85073,
3.71,-0.538291,1.84544,
3.72,-0.546691,1.84005,
3.73,-0.555037,1.83459,
3.74,-0.563327,1.82904,
3.75,-0.571561,1.8234,
3.76,-0.579738,1.81769,
3.77,-0.587857,1.81189,
3.78,-0.595917,1.80601,
3.79,-0.603918,1.80005,
3.8,-0.611858,1.79401,
3.81,-0.619737,1.78789,
3.82,-0.627554,1.7817,
3.83,-0.635308,1.77542,
3.84,-0.642999,1.76907,
3.85,-0.650625,1.76264,
3.86,-0.658186,1.75613,
3.87,-0.665682,1.74955,
3.88,-0.673111,1.74289,
3.89,-0.680473,1.73616,
3.9,-0.687766,1.72936,
3.91,-0.694991,1.72248,
3.92,-0.702146,1.71553,
3.93,-0.709231,1.70851,
3.94,-0.716246,1.70142,
3.95,-0.723188,1.69425,
3.96,-0.730058,1.68702,
3.97,-0.736856,1.67972,
3.98,-0.743579,1.67235,
3.99,-0.750228,1.66492,
4,-0.756802,1.65741,
4.01,-0.763301,1.64985,
4.02,-0.769723,1.64221,
4.03,-0.776068,1.63452,
4.04,-0.782336,1.62675,
4.05,-0.788525,1.61893,
4.06,-0.794636,1.61105,
4.07,-0.800667,1.6031,
4.08,-0.806618,1.59509,
4.09,-0.812488,1.58703,
4.1,-0.818277,1.5789,
4.11,-0.823984,1.57072,
4.12,-0.829609,1.56248,
4.13,-0.835151,1.55418,
4.14,-0.840609,1.54583,
4.15,-0.845984,1.53743,
4.16,-0.851273,1.52897,
4.17,-0.856478,1.52045,
4.18,-0.861597,1.51189,
4.19,-0.86663,1.50327,
4.2,-0.871576,1.49461,
4.21,-0.876435,1.48589,
4.22,-0.881206,1.47713,
4.23,-0.885889,1.46831,
4.24,-0.890484,1.45946,
4.25,-0.894989,1.45055,
4.26,-0.899405,1.4416,
4.27,-0.903732,1.43261,
4.28,-0.907967,1.42357,
4.29,-0.912112,1.41449,
4.3,-0.916166,1.40537,
4.31,-0.920128,1.39621,
4.32,-0.923998,1.38701,
4.33,-0.927776,1.37777,
4.34,-0.931461,1.36849,
4.35,-0.935053,1.35917,
4.36,-0.938551,1.34982,
4.37,-0.941955,1.34044,
4.38,-0.945266,1.33102,
4.39,-0.948481,1.32156,
4.4,-0.951602,1.31208,
4.41,-0.954628,1.30256,
4.42,-0.957558,1.29302,
4.43,-0.960392,1.28344,
4.44,-0.963131,1.27384,
4.45,-0.965773,1.26421,
4.46,-0.968319,1.25455,
4.47,-0.970767,1.24487,
4.48,-0.973119,1.23516,
4.49,-0.975373,1.22543,
4.5,-0.97753,1.21567,
4.51,-0.979589,1.2059,
4.52,-0.98155,1.1961,
4.53,-0.983413,1.18629,
4.54,-0.985178,1.17645,
4.55,-0.986844,1.1666,
4.56,-0.988411,1.15673,
4.57,-0.98988,1.14685,
4.58,-0.991249,1.13695,
4.59,-0.99252,1.12704,
4.6,-0.993691,1.11711,
4.61,-0.994763,1.10717,
4.62,-0.995735,1.09723,
4.63,-0.996608,1.08727,
4.64,-0.997381,1.0773,
4.65,-0.998054,1.06733,
4.66,-0.998628,1.05735,
4.67,-0.999102,1.04736,
4.68,-0.999476,1.03737,
4.69,-0.999749,1.02738,
4.7,-0.999923,1.01738,
4.71,-0.999997,1.00738,
4.72,-0.999971,0.997381,
4.73,-0.999845,0.987381,
4.74,-0.999619,0.977383,
4.75,-0.999293,0.967386,
4.76,-0.998867,0.957393,
4.77,-0.998341,0.947405,
4.78,-0.997715,0.937421,
4.79,-0.99699,0.927444,
4.8,-0.996165,0.917474,
4.81,-0.99524,0.907513,
4.82,-0.994216,0.89756,
4.83,-0.993092,0.887618,
4.84,-0.991869,0.877687,
4.85,-0.990547,0.867768,
4.86,-0.989125,0.857863,
4.87,-0.987605,0.847972,
4.88,-0.985986,0.838096,
4.89,-0.984269,0.828236,
4.9,-0.982453,0.818393,
4.91,-0.980538,0.808569,
4.92,-0.978526,0.798763,
4.93,-0.976416,0.788978,
4.94,-0.974208,0.779214,
4.95,-0.971903,0.769472,
4.96,-0.969501,0.759753,
4.97,-0.967001,0.750058,
4.98,-0.964405,0.740388,
4.99,-0.961713,0.730744,
5,-0.958924,0.721126,
5.01,-0.95604,0.711537,
5.02,-0.95306,0.701977,
5.03,-0.949984,0.692446,
5.04,-0.946814,0.682946,
5.05,-0.943549,0.673478,
5.06,-0.940189,0.664043,
5.07,-0.936736,0.654641,
5.08,-0.933189,0.645274,
5.09,-0.929548,0.635942,
5.1,-0.925815,0.626646,
5.11,-0.921989,0.617388,
5.12,-0.91807,0.608168,
5.13,-0.91406,0.598987,
5.14,-0.909959,0.589847,
5.15,-0.905767,0.580747,
5.16,-0.901484,0.57169,
5.17,-0.897111,0.562675,
5.18,-0.892648,0.553704,
5.19,-0.888096,0.544777,
5.2,-0.883455,0.535896,
5.21,-0.878725,0.527062,
5.22,-0.873908,0.518274,
5.23,-0.869004,0.509535,
5.24,-0.864012,0.500845,
5.25,-0.858934,0.492205,
5.26,-0.853771,0.483616,
5.27,-0.848522,0.475078,
5.28,-0.843188,0.466593,
5.29,-0.837769,0.458161,
5.3,-0.832267,0.449783,
5.31,-0.826682,0.441461,
5.32,-0.821014,0.433194,
5.33,-0.815264,0.424984,
5.34,-0.809433,0.416831,
5.35,-0.80352,0.408737,
5.36,-0.797527,0.400701,
5.37,-0.791455,0.392726,
5.38,-0.785303,0.384812,
5.39,-0.779073,0.376959,
5.4,-0.772764,0.369168,
5.41,-0.766379,0.36144,
5.42,-0.759917,0.353776,
5.43,-0.753379,0.346177,
5.44,-0.746765,0.338644,
5.45,-0.740077,0.331176,
5.46,-0.733315,0.323775,
5.47,-0.72648,0.316442,
5.48,-0.719572,0.309177,
5.49,-0.712592,0.301981,
5.5,-0.70554,0.294855,
5.51,-0.698418,0.2878,
5.52,-0.691227,0.280816,
5.53,-0.683966,0.273904,
5.54,-0.676637,0.267064,
5.55,-0.66924,0.260298,
5.56,-0.661776,0.253605,
5.57,-0.654246,0.246987,
5.58,-0.646651,0.240445,
5.59,-0.638991,0.233978,
5.6,-0.631267,0.227589,
5.61,-0.62348,0.221276,
5.62,-0.61563,0.215041,
5.63,-0.607719,0.208885,
5.64,-0.599747,0.202808,
5.65,-0.591716,0.19681,
5.66,-0.583625,0.190893,
5.67,-0.575475,0.185057,
5.68,-0.567269,0.179302,
5.69,-0.559005,0.173629,
5.7,-0.550686,0.168039,
5.71,-0.542311,0.162532,
5.72,-0.533882,0.157109,
5.73,-0.5254,0.15177,
5.74,-0.516865,0.146516,
5.75,-0.508279,0.141348,
5.76,-0.499642,0.136265,
5.77,-0.490955,0.131269,
5.78,-0.482218,0.126359,
5.79,-0.473434,0.121537,
5.8,-0.464602,0.116803,
5.81,-0.455724,0.112157,
5.82,-0.4468,0.107599,
5.83,-0.437832,0.103131,
5.84,-0.428819,0.0987529,
5.85,-0.419764,0.0944648,
5.86,-0.410667,0.0902671,
5.87,-0.401529,0.0861604,
5.88,-0.39235,0.0821452,
5.89,-0.383133,0.0782217,
5.9,-0.373877,0.0743903,
5.91,-0.364583,0.0706516,
5.92,-0.355254,0.0670057,
5.93,-0.345888,0.0634532,
5.94,-0.336488,0.0599943,
5.95,-0.327055,0.0566294,
5.96,-0.317589,0.0533589,
5.97,-0.308091,0.050183,
5.98,-0.298562,0.0471021,
5.99,-0.289003,0.0441165,
6,-0.279415,0.0412264,
6.01,-0.2698,0.0384323,
6.02,-0.260157,0.0357343,
6.03,-0.250489,0.0331327,
6.04,-0.240795,0.0306278,
6.05,-0.231078,0.0282199,
6.06,-0.221337,0.0259091,
6.07,-0.211574,0.0236957,
6.08,-0.20179,0.02158,
6.09,-0.191986,0.0195621,
6.1,-0.182163,0.0176422,
6.11,-0.172321,0.0158206,
6.12,-0.162462,0.0140974,
6.13,-0.152587,0.0124728,
6.14,-0.142697,0.0109469,
6.15,-0.132792,0.00951991,
6.16,-0.122874,0.00819199,
6.17,-0.112944,0.00696325,
6.18,-0.103002,0.00583381,
6.19,-0.093051,0.00480379,
6.2,-0.083089,0.00387328,
6.21,-0.07312,0.00304239,
6.22,-0.063143,0.00231119,
6.23,-0.05316,0.00167976,
6.24,-0.043172,0.00114816,
6.25,-0.033179,0.00071644,
6.26,-0.023183,0.00038465,
6.27,-0.013185,0.00015282,
6.28,-0.003185,2.097e-005,
6.29,0.006815,-1.088e-005,
6.3,0.016814,5.727e-005,
6.31,0.026811,0.00022541,
6.32,0.036806,0.00049352,
6.33,0.046798,0.00086158,
6.34,0.056784,0.00132956,
6.35,0.066765,0.0018974,
6.36,0.076739,0.00256505,
6.37,0.086706,0.00333244,
6.38,0.096664,0.0041995,
6.39,0.106612,0.00516614,
6.4,0.116549,0.00623226,
6.41,0.126475,0.00739775,
6.42,0.136388,0.0086625,
6.43,0.146288,0.0100264,
6.44,0.156173,0.0114893,
6.45,0.166042,0.013051,
6.46,0.175895,0.0147114,
6.47,0.18573,0.0164704,
6.48,0.195547,0.0183277,
6.49,0.205344,0.0202831,
6.5,0.21512,0.0223366,
6.51,0.224875,0.0244878,
6.52,0.234607,0.0267365,
6.53,0.244316,0.0290826,
6.54,0.254001,0.0315258,
6.55,0.26366,0.0340658,
6.56,0.273293,0.0367024,
6.57,0.282898,0.0394353,
6.58,0.292476,0.0422643,
6.59,0.302024,0.045189,
6.6,0.311541,0.0482093,
6.61,0.321028,0.0513247,
6.62,0.330482,0.054535,
6.63,0.339904,0.0578398,
6.64,0.349291,0.0612388,
6.65,0.358644,0.0647317,
6.66,0.367961,0.0683182,
6.67,0.37724,0.0719978,
6.68,0.386483,0.0757702,
6.69,0.395686,0.079635,
6.7,0.40485,0.0835919,
6.71,0.413973,0.0876404,
6.72,0.423055,0.0917801,
6.73,0.432095,0.0960107,
6.74,0.441092,0.100332,
6.75,0.450044,0.104743,
6.76,0.458951,0.109243,
6.77,0.467813,0.113832,
6.78,0.476628,0.118511,
6.79,0.485395,0.123277,
6.8,0.494113,0.128131,
6.81,0.502782,0.133072,
6.82,0.511401,0.1381,
6.83,0.519969,0.143214,
6.84,0.528485,0.148413,
6.85,0.536948,0.153698,
6.86,0.545357,0.159068,
6.87,0.553711,0.164521,
6.88,0.562011,0.170058,
6.89,0.570254,0.175679,
6.9,0.57844,0.181381,
6.91,0.586568,0.187166,
6.92,0.594637,0.193031,
6.93,0.602648,0.198978,
6.94,0.610597,0.205004,
6.95,0.618486,0.21111,
6.96,0.626313,0.217295,
6.97,0.634077,0.223558,
6.98,0.641778,0.229899,
6.99,0.649415,0.236317,
7,0.656987,0.242811,
7.01,0.664493,0.249381,
7.02,0.671932,0.256026,
7.03,0.679305,0.262745,
7.04,0.686609,0.269538,
7.05,0.693845,0.276404,
7.06,0.701011,0.283342,
7.07,0.708108,0.290353,
7.08,0.715133,0.297434,
7.09,0.722087,0.304585,
7.1,0.728969,0.311806,
7.11,0.735778,0.319096,
7.12,0.742513,0.326453,
7.13,0.749174,0.333878,
7.14,0.755761,0.34137,
7.15,0.762271,0.348928,
7.16,0.768705,0.35655,
7.17,0.775063,0.364238,
7.18,0.781343,0.371988,
7.19,0.787545,0.379802,
7.2,0.793668,0.387677,
7.21,0.799712,0.395614,
7.22,0.805675,0.403611,
7.23,0.811559,0.411668,
7.24,0.817361,0.419783,
7.25,0.823081,0.427957,
7.26,0.828719,0.436188,
7.27,0.834274,0.444475,
7.28,0.839746,0.452818,
7.29,0.845133,0.461215,
7.3,0.850437,0.469666,
7.31,0.855655,0.478171,
7.32,0.860787,0.486727,
7.33,0.865834,0.495335,
7.34,0.870794,0.503993,
7.35,0.875667,0.512701,
7.36,0.880452,0.521458,
7.37,0.885149,0.530263,
7.38,0.889758,0.539114,
7.39,0.894278,0.548012,
7.4,0.898708,0.556954,
7.41,0.903049,0.565942,
7.42,0.907299,0.574972,
7.43,0.911458,0.584045,
7.44,0.915526,0.59316,
7.45,0.919503,0.602315,
7.46,0.923388,0.61151,
7.47,0.92718,0.620744,
7.48,0.93088,0.630016,
7.49,0.934487,0.639324,
7.5,0.938,0.648669,
7.51,0.941419,0.658049,
7.52,0.944745,0.667463,
7.53,0.947975,0.676911,
7.54,0.951111,0.686391,
7.55,0.954152,0.695902,
7.56,0.957098,0.705443,
7.57,0.959947,0.715014,
7.58,0.962701,0.724614,
7.59,0.965359,0.734241,
7.6,0.96792,0.743894,
7.61,0.970384,0.753573,
7.62,0.972751,0.763277,
7.63,0.975021,0.773005,
7.64,0.977193,0.782755,
7.65,0.979268,0.792527,
7.66,0.981244,0.80232,
7.67,0.983123,0.812132,
7.68,0.984903,0.821963,
7.69,0.986585,0.831812,
7.7,0.988168,0.841678,
7.71,0.989653,0.85156,
7.72,0.991038,0.861456,
7.73,0.992324,0.871367,
7.74,0.993511,0.88129,
7.75,0.994599,0.891225,
7.76,0.995587,0.901171,
7.77,0.996476,0.911127,
7.78,0.997265,0.921092,
7.79,0.997954,0.931064,
7.8,0.998543,0.941044,
7.81,0.999033,0.951029,
7.82,0.999423,0.96102,
7.83,0.999712,0.971014,
7.84,0.999902,0.981011,
7.85,0.999992,0.99101,
7.86,0.999982,1.00101,
7.87,0.999872,1.01101,
7.88,0.999662,1.02101,
7.89,0.999351,1.03101,
7.9,0.998941,1.041,
7.91,0.998431,1.05099,
7.92,0.997822,1.06097,
7.93,0.997112,1.07095,
7.94,0.996303,1.08092,
7.95,0.995394,1.09088,
7.96,0.994385,1.10084,
7.97,0.993277,1.11078,
7.98,0.99207,1.12072,
7.99,0.990764,1.13064,
8,0.989358,1.14054,
8.01,0.987854,1.15044,
8.02,0.986251,1.16032,
8.03,0.984549,1.17018,
8.04,0.982748,1.18002,
8.05,0.98085,1.18985,
8.06,0.978853,1.19966,
8.07,0.976759,1.20945,
8.08,0.974566,1.21922,
8.09,0.972277,1.22896,
8.1,0.96989,1.23868,
8.11,0.967406,1.24838,
8.12,0.964825,1.25806,
8.13,0.962148,1.26771,
8.14,0.959375,1.27733,
8.15,0.956506,1.28692,
8.16,0.953541,1.29649,
8.17,0.95048,1.30602,
8.18,0.947325,1.31553,
8.19,0.944075,1.325,
8.2,0.940731,1.33444,
8.21,0.937292,1.34385,
8.22,0.93376,1.35322,
8.23,0.930134,1.36256,
8.24,0.926415,1.37186,
8.25,0.922604,1.38112,
8.26,0.918701,1.39035,
8.27,0.914705,1.39954,
8.28,0.910618,1.40868,
8.29,0.90644,1.41779,
8.3,0.902172,1.42685,
8.31,0.897813,1.43588,
8.32,0.893364,1.44485,
8.33,0.888827,1.45379,
8.34,0.8842,1.46268,
8.35,0.879484,1.47152,
8.36,0.874681,1.48031,
8.37,0.869791,1.48906,
8.38,0.864813,1.49776,
8.39,0.859749,1.50641,
8.4,0.854599,1.515,
8.41,0.849363,1.52355,
8.42,0.844043,1.53204,
8.43,0.838638,1.54048,
8.44,0.833149,1.54887,
8.45,0.827577,1.5572,
8.46,0.821922,1.56548,
8.47,0.816185,1.5737,
8.48,0.810367,1.58186,
8.49,0.804467,1.58996,
8.5,0.798487,1.59801,
8.51,0.792427,1.60599,
8.52,0.786288,1.61392,
8.53,0.78007,1.62178,
8.54,0.773774,1.62958,
8.55,0.767401,1.63732,
8.56,0.760951,1.64499,
8.57,0.754425,1.6526,
8.58,0.747824,1.66014,
8.59,0.741147,1.66762,
8.6,0.734397,1.67503,
8.61,0.727573,1.68238,
8.62,0.720677,1.68965,
8.63,0.713708,1.69686,
8.64,0.706668,1.704,
8.65,0.699557,1.71106,
8.66,0.692377,1.71806,
8.67,0.685127,1.72498,
8.68,0.677809,1.73183,
8.69,0.670422,1.73861,
8.7,0.662969,1.74532,
8.71,0.65545,1.75195,
8.72,0.647865,1.7585,
8.73,0.640215,1.76498,
8.74,0.632501,1.77138,
8.75,0.624724,1.77771,
8.76,0.616884,1.78395,
8.77,0.608983,1.79012,
8.78,0.601021,1.79621,
8.79,0.592999,1.80222,
8.8,0.584917,1.80815,
8.81,0.576777,1.814,
8.82,0.568579,1.81977,
8.83,0.560325,1.82546,
8.84,0.552014,1.83106,
8.85,0.543648,1.83658,
8.86,0.535228,1.84202,
8.87,0.526755,1.84737,
8.88,0.518228,1.85264,
8.89,0.50965,1.85782,
8.9,0.501021,1.86291,
8.91,0.492342,1.86792,
8.92,0.483613,1.87285,
8.93,0.474836,1.87768,
8.94,0.466012,1.88243,
8.95,0.457141,1.88709,
8.96,0.448224,1.89166,
8.97,0.439263,1.89615,
8.98,0.430257,1.90054,
8.99,0.421209,1.90484,
9,0.412118,1.90905,
9.01,0.402987,1.91317,
9.02,0.393815,1.9172,
9.03,0.384603,1.92114,
