time,TRes
2.707,301.92559385975
2.708,301.92471634435
2.709,301.92383891669
2.71,301.92296157677
2.711,301.92208432458
2.712,301.92120716011
2.713,301.92033008336
2.714,301.9194530943
2.715,301.91857619294
2.716,301.91769937927
2.717,301.91682265328
2.718,301.91594601495
2.719,301.91506946428
2.72,301.91419300126
2.721,301.91331662589
2.722,301.91244033814
2.723,301.91156413803
2.724,301.91068802552
2.725,301.90981200063
2.726,301.90893606333
2.727,301.90806021362
2.728,301.90718445149
2.729,301.90630877694
2.73,301.90543318994
2.731,301.90455769051
2.732,301.90368227861
2.733,301.90280695426
2.734,301.90193171743
2.735,301.90105656812
2.736,301.90018150632
2.737,301.89930653203
2.738,301.89843164522
2.739,301.8975568459
2.74,301.89668213406
2.741,301.89580750968
2.742,301.89493297277
2.743,301.8940585233
2.744,301.89318416127
2.745,301.89230988667
2.746,301.8914356995
2.747,301.89056159974
2.748,301.88968758738
2.749,301.88881366243
2.75,301.88793982486
2.751,301.88706607467
2.752,301.88619241185
2.753,301.88531883639
2.754,301.88444534829
2.755,301.88357194753
2.756,301.88269863411
2.757,301.88182540801
2.758,301.88095226923
2.759,301.88007921776
2.76,301.8792062536
2.761,301.87833337672
2.762,301.87746058713
2.763,301.87658788481
2.764,301.87571526976
2.765,301.87484274196
2.766,301.87397030142
2.767,301.87309794811
2.768,301.87222568203
2.769,301.87135350318
2.77,301.87048141154
2.771,301.8696094071
2.772,301.86873748986
2.773,301.86786565981
2.774,301.86699391694
2.775,301.86612226124
2.776,301.86525069269
2.777,301.8643792113
2.778,301.86350781706
2.779,301.86263650995
2.78,301.86176528996
2.781,301.8608941571
2.782,301.86002311134
2.783,301.85915215268
2.784,301.85828128111
2.785,301.85741049663
2.786,301.85653979922
2.787,301.85566918888
2.788,301.85479866559
2.789,301.85392822935
2.79,301.85305788015
2.791,301.85218761798
2.792,301.85131744284
2.793,301.8504473547
2.794,301.84957735357
2.795,301.84870743944
2.796,301.84783761229
2.797,301.84696787212
2.798,301.84609821892
2.799,301.84522865268
2.8,301.8443591734
2.801,301.84348978106
2.802,301.84262047565
2.803,301.84175125717
2.804,301.8408821256
2.805,301.84001308095
2.806,301.8391441232
2.807,301.83827525233
2.808,301.83740646835
2.809,301.83653777124
2.81,301.835669161
2.811,301.83480063762
2.812,301.83393220108
2.813,301.83306385139
2.814,301.83219558852
2.815,301.83132741248
2.816,301.83045932324
2.817,301.82959132082
2.818,301.82872340519
2.819,301.82785557634
2.82,301.82698783428
2.821,301.82612017898
2.822,301.82525261045
2.823,301.82438512867
2.824,301.82351773363
2.825,301.82265042533
2.826,301.82178320375
2.827,301.82091606889
2.828,301.82004902074
2.829,301.8191820593
2.83,301.81831518454
2.831,301.81744839647
2.832,301.81658169507
2.833,301.81571508033
2.834,301.81484855226
2.835,301.81398211083
