"time","outdata_3263","outdata_0031","rdy_next_next_cycle","rdy_next_cycle","rdy","c17_out_3263","c17_out_0031","b1_out","key_l_out","countup_out"
0.164,1207069092,-700218992,0,0,0,932321637,-636615629,62,204382290,10
0.165,1207069092,-700218992,0,0,0,932321637,-636615629,28,185313300,11
0.166,1207069092,-700218992,0,0,0,932321637,-636615629,30,46328325,12
0.167,1207069092,-700218992,0,0,0,932321637,-636615629,34,78690945,13
0.168,1207069092,-700218992,1,0,0,932321637,-636615629,16,86781600,14
0.169,1207069092,-700218992,0,1,0,932321637,-636615629,54,43390800,15
0.17,1869575272,1701978228,0,0,1,-1079732461,16714531,44,21695400,0
0.171,1869575272,1701978228,0,0,0,-1079732461,16714531,22,43390800,0
0.172,1869575272,1701978228,0,0,0,-1079732461,16714531,54,86781600,1
0.173,1869575272,1701978228,0,0,0,-1079732461,16714531,46,78690945,2
0.174,1869575272,1701978228,0,0,0,-1079732461,16714531,2,46328325,3
0.175,1869575272,1701978228,0,0,0,-1079732461,16714531,9,185313300,4
0.176,1869575272,1701978228,0,0,0,-1079732461,16714531,57,204382290,5
0.177,1869575272,1701978228,0,0,0,-1079732461,16714531,8,12222795,6
0.178,1869575272,1701978228,0,0,0,-1079732461,16714531,57,48891180,7
0.179,1869575272,1701978228,0,0,0,-1079732461,16714531,28,97782360,8
0.18,1869575272,1701978228,0,0,0,-1079732461,16714531,46,122693985,9
0.181,1869575272,1701978228,0,0,0,-1079732461,16714531,45,222340485,10
0.182,1869575272,1701978228,0,0,0,-1079732461,16714531,61,84055575,11
0.183,1869575272,1701978228,0,0,0,-1079732461,16714531,38,67786845,12
0.184,1869575272,1701978228,0,0,0,-1079732461,16714531,34,2711925,13
0.185,1869575272,1701978228,1,0,0,-1079732461,16714531,3,10847700,14
0.186,1869575272,1701978228,0,1,0,-1079732461,16714531,1,21695400,15
0.187,-640340104,-181042023,0,0,1,465270455,-751006460,27,43390800,0
0.188,-640340104,-181042023,0,0,0,465270455,-751006460,1,21695400,0
0.189,-640340104,-181042023,0,0,0,465270455,-751006460,3,10847700,1
0.19,-640340104,-181042023,0,0,0,465270455,-751006460,34,2711925,2
0.191,-640340104,-181042023,0,0,0,465270455,-751006460,38,67786845,3
0.192,-640340104,-181042023,0,0,0,465270455,-751006460,61,84055575,4
0.193,-640340104,-181042023,0,0,0,465270455,-751006460,45,222340485,5
0.194,-640340104,-181042023,0,0,0,465270455,-751006460,46,122693985,6
0.195,-640340104,-181042023,0,0,0,465270455,-751006460,28,97782360,7
0.196,-640340104,-181042023,0,0,0,465270455,-751006460,57,48891180,8
0.197,-640340104,-181042023,0,0,0,465270455,-751006460,8,12222795,9
0.198,-640340104,-181042023,0,0,0,465270455,-751006460,57,204382290,10
0.199,-640340104,-181042023,0,0,0,465270455,-751006460,9,185313300,11
0.2,-640340104,-181042023,0,0,0,465270455,-751006460,2,46328325,12
0.201,-640340104,-181042023,0,0,0,465270455,-751006460,46,78690945,13
0.202,-640340104,-181042023,1,0,0,465270455,-751006460,54,86781600,14
0.203,-640340104,-181042023,0,1,0,465270455,-751006460,22,43390800,15
0.204,1751215648,1986098021,0,0,1,-145713950,16713044,12,21695400,0
0.205,1751215648,1986098021,0,0,0,-145713950,16713044,22,43390800,0
0.206,1751215648,1986098021,0,0,0,-145713950,16713044,57,86781600,1
0.207,1751215648,1986098021,0,0,0,-145713950,16713044,8,78690945,2
0.208,1751215648,1986098021,0,0,0,-145713950,16713044,46,46328325,3
0.209,1751215648,1986098021,0,0,0,-145713950,16713044,30,185313300,4
0.21,1751215648,1986098021,0,0,0,-145713950,16713044,43,204382290,5
0.211,1751215648,1986098021,0,0,0,-145713950,16713044,8,12222795,6
0.212,1751215648,1986098021,0,0,0,-145713950,16713044,52,48891180,7
0.213,1751215648,1986098021,0,0,0,-145713950,16713044,53,97782360,8
0.214,1751215648,1986098021,0,0,0,-145713950,16713044,54,122693985,9
0.215,1751215648,1986098021,0,0,0,-145713950,16713044,2,222340485,10
0.216,1751215648,1986098021,0,0,0,-145713950,16713044,20,84055575,11
0.217,1751215648,1986098021,0,0,0,-145713950,16713044,51,67786845,12
