"time","Inductor1.der(i)","Inductor2.der(i)","Capacitor1.der(v)","Capacitor2.der(v)","Inductor1.i","Inductor1.n.i","Inductor2.i","Inductor2.n.i","SineVoltage1.n.v","SineVoltage2.n.v","SineVoltage2.v","Inductor1.v","Inductor1.p.v","Inductor2.v","Inductor2.p.v","Inductor3.v","SineVoltage3.n.i","SineVoltage3.i","Inductor3.p.v","IdealDiode1.s","IdealDiode1.v","IdealDiode1.p.v","IdealDiode1.p.i","IdealDiode1.i","IdealDiode1.n.i","IdealDiode1.LossPower","IdealDiode6.s","IdealDiode6.v","IdealDiode6.n.i","IdealDiode6.LossPower","Capacitor1.p.v","Capacitor1.p.i","Capacitor2.n.v","Ground1.p.i","SignalCurrent1.v","Inductor3.der(i)","IdealDiode1.off","IdealDiode2.off","IdealDiode3.off","IdealDiode4.off","IdealDiode5.off","IdealDiode6.off"
0.0058,-941110.4345,1643417.058,-1252.869526,-1252.869526,464.0843762,-464.0843762,-263.6303916,263.6303916,-93.08511948,-93.08511948,-87.82884563,-56.46662607,223.2528163,98.60502346,-180.9139651,-42.13839739,-200.4539846,200.4539846,-321.5942096,463.5254009,2.463525401,279.7194424,463.5274009,463.5274009,-463.5274009,1141.911526,199.8952729,2.199895273,-199.8972729,439.7530657,277.255917,-37.58608577,-277.255917,5.684341886e-014,554.5118339,-702306.6231,0,1,1,1,0,0
0.006,-34429.23462,301.0747137,-6149.513815,-6149.513815,317.0031122,-317.0031122,-0.2037650113,0.2037650113,-33.9607673,-33.9607673,-67.90367388,-2.065754077,276.6529902,0.01806448282,-101.8644412,2.047689595,-316.7993472,316.7993472,-276.670851,316.4459912,2.316445991,278.7187443,316.4479912,316.4479912,-316.4479912,733.0346806,316.2422264,2.316242226,-316.2442264,732.498231,276.4022983,-184.4854145,-276.4022983,5.684341886e-014,552.8045966,34128.15991,0,1,1,1,1,0
0.0062,38590.72178,304.5084557,-6124.083359,-6124.083359,317.7295605,-317.7295605,-0.1431862204,0.1431862204,-23.86432233,-23.86432233,-47.71051734,2.315443307,279.7994064,0.01827050734,-71.57483967,-2.333713814,-317.5863743,317.5863743,-279.8175337,317.1749097,2.31717491,277.4839631,317.1769097,317.1769097,-317.1769097,734.9543772,317.0317237,2.317031724,-317.0337237,734.5771952,275.1667882,-183.7225008,-275.1667882,-5.684341886e-014,550.3335763,-38895.23024,0,1,1,1,1,0
0.0064,92169.00271,306.73058,-5675.783103,-5675.783103,331.1420934,-331.1420934,-0.08204233704,0.08204233704,-13.67369549,-13.67369549,-27.32906919,5.530140162,281.8415824,0.0184038348,-41.00276468,-5.548543997,-331.0600511,331.0600511,-281.8599042,330.5898011,2.330589801,276.3114422,330.5918011,330.5918011,-330.5918011,770.4738801,330.5077589,2.330507759,-330.5097589,770.2555575,273.9808524,-170.2734931,-273.9808524,5.684341886e-014,547.9617048,-92475.73329,0,1,1,1,1,0
0.0066,125050.6693,307.7437322,-4938.701501,-4938.701501,353.2185264,-353.2185264,-0.02057467037,0.02057467037,-3.429104871,-3.429104871,-6.839765692,7.503040156,282.7714584,0.01846462393,-10.26887056,-7.52150478,-353.1979517,353.1979517,-282.7899024,352.6683422,2.352668342,275.2684182,352.6703422,352.6703422,-352.6703422,829.7163493,352.6477675,2.352647768,-352.6497675,829.6606883,272.9157499,-148.161045,-272.9157499,0,545.8314997,-125358.413,0,1,1,1,1,0
0.0068,136515.9633,307.5424882,-4053.638205,-4053.638205,379.7352013,-379.7352013,0.04097419509,-0.04097419509,6.829018857,6.829018857,13.67653124,8.190957795,282.5853646,0.01845254929,20.50555009,-8.209410345,-379.7761755,379.7761755,-282.6038581,379.1867916,2.379186792,274.3944068,379.1887916,379.1887916,-379.1887916,902.1609646,379.2277658,2.379227766,-379.2297658,902.2739884,272.01522,-121.6091461,-272.01522,5.684341886e-014,544.03044,-136823.5057,0,1,1,1,1,0
0.007,126394.7143,306.127179,-3164.18178,-3164.18178,406.3846503,-406.3846503,0.1023613542,-0.1023613542,17.06019158,17.06019158,34.13885315,7.583682855,281.2840355,0.01836763074,51.19904472,-7.602050486,-406.4870116,406.4870116,-281.3025055,405.8376554,2.405837655,273.7003527,405.8396554,405.8396554,-405.8396554,976.384325,405.9400167,2.405940017,-405.9420167,976.6721423,271.294515,-94.9254534,-271.294515,0,542.58903,-126700.8414,0,1,1,1,1,0
0.0072,95066.30672,303.5041229,-2413.28349,-2413.28349,428.8783813,-428.8783813,0.1633445397,-0.1633445397,27.2240355,27.2240355,54.4664446,5.703978403,278.8726068,0.01821024737,81.6904801,-5.722188651,-429.0417259,429.0417259,-278.8909804,428.3324724,2.428332472,273.1686284,428.3344724,428.3344724,-428.3344724,1040.138508,428.4958168,2.428495817,-428.4978168,1040.605156,270.7402959,-72.39850471,-270.7402959,-5.684341886e-014,541.4805919,-95369.81084,0,1,1,1,1,0
0.0074,43455.79183,299.7011404,-1939.540126,-1939.540126,443.0583936,-443.0583936,0.2236830757,-0.2236830757,37.28043806,37.28043806,74.57908188,2.60734751,275.3605948,0.01798206842,111.8595199,-2.625329578,-443.2820767,443.2820767,-275.3788006,442.5133296,2.44251333,272.7532473,442.5153296,442.5153296,-442.5153296,1080.849591,442.7370125,2.442737012,-442.7390125,1081.494973,270.310734,-58.18620379,-270.310734,0,540.621468,-43755.49297,0,1,1,1,1,0
0.0076,-26997.59364,294.6854937,-1873.628562,-1873.628562,445.0041492,-445.0041492,0.2831388423,-0.2831388423,47.18971266,47.18971266,94.39738959,-1.619855618,270.7618613,0.01768112962,141.5871023,1.602174489,-445.2872881,445.2872881,-270.7798255,444.4598302,2.44445983,272.3817169,444.4618302,444.4618302,-444.4618302,1086.46909,444.7429688,2.444742969,-444.7449688,1087.287135,269.937257,-56.20885685,-269.937257,-5.684341886e-014,539.8745141,26702.90815,0,1,1,1,1,0
0.0078,-114369.1564,288.5116342,-2335.014377,-2335.014377,431.1313222,-431.1313222,0.3414771882,-0.3414771882,56.91275088,56.91275088,113.8431539,-6.862149384,265.0945542,0.01731069805,170.7559048,6.844838686,-431.4727994,431.4727994,-265.1122063,430.5878394,2.430587839,271.9567036,430.5898394,430.5898394,-430.5898394,1046.586427,430.9293162,2.430929316,-430.9313162,1047.56357,269.5261157,-70.05043132,-269.5261157,5.684341886e-014,539.0522314,114080.6448,0,1,1,1,1,0
0.008,-216296.1232,281.2084017,-3428.826033,-3428.826033,398.2855863,-398.2855863,0.3984678781,-0.3984678781,66.4111802,66.4111802,132.8396314,-12.97776739,258.3810397,0.0168725041,199.2508116,12.96089489,-398.6840542,398.6840542,-258.3983107,397.7432664,2.397743266,271.3588071,397.7452664,397.7452664,-397.7452664,953.6910343,398.1417339,2.398141734,-398.1437339,954.8051043,268.9610638,-102.864781,-268.9610638,-5.684341886e-014,537.9221277,216014.9148,0,1,1,1,1,0
0.0082,-330033.106,272.7911053,-5243.110725,-5243.110725,343.8249549,-343.8249549,0.4538859981,-0.4538859981,75.64751505,75.64751505,151.3118515,-19.80198636,250.6478135,0.01636746632,226.9593665,19.78561889,-344.2788409,344.2788409,-250.6646348,343.2843985,2.343284399,270.4497998,343.2863985,343.2863985,-343.2863985,804.417662,343.7382841,2.343738284,-343.7402841,805.6372636,268.1065154,-157.2933217,-268.1065154,5.684341886e-014,536.2130309,329760.3149,0,1,1,1,1,0
0.0084,-452515.389,263.3015704,-7846.532205,-7846.532205,265.6888641,-265.6888641,0.5075128366,-0.5075128366,84.58530359,84.58530359,169.1869128,-27.15092334,241.9253947,0.01579809422,253.7722164,27.13512524,-266.1963769,266.1963769,-241.9417003,265.1509766,2.265150977,269.076318,265.1529766,265.1529766,-265.1529766,600.6115239,265.6584889,2.265658489,-265.6604889,601.8959419,266.8111671,-235.3959662,-266.8111671,1.136868377e-013,533.6223341,452252.0874,0,1,1,1,1,0
0.0086,-650725.5843,140733.758,-11178.59627,-11178.59627,159.2311286,-159.2311286,7.00680656,-7.00680656,88.9716192,88.9716192,186.3942707,-39.04353506,228.0305535,8.444025478,275.3658899,30.59950958,-166.2379352,166.2379352,-236.4815858,158.6971392,2.158697139,267.0740886,158.6991392,158.6991392,-158.6991392,342.5833777,165.7039387,2.165703939,-165.7059387,358.8700041,264.9153914,-335.357888,-264.9153914,0,529.8307829,509991.8263,0,0,1,1,1,0
0.0088,-933351.914,442854.6559,-14509.36752,-14509.36752,0.8266071544,-0.8266071544,65.47256466,-65.47256466,88.11463184,88.11463184,202.8660155,-56.00111484,208.3436073,26.57127936,290.9806474,29.42983548,-66.29917182,66.29917182,-234.9803591,0.2979180081,2.000297918,264.3447221,0.2999180081,0.2999180081,-0.2999180081,0.5999253671,65.7704172,2.065770417,-65.7724172,135.8707137,262.3444242,-435.2810257,-262.3444242,0,524.6888484,490497.2581,0,0,1,1,1,0
0.009,-292.7408874,124545.665,-14167.96254,-14167.96254,0.3028259738,-0.3028259738,76.11116071,-76.11116071,50.47089468,50.47089468,218.5371409,-0.01756445324,151.3954224,7.4727399,269.0080356,-7.455175447,-76.41398669,76.41398669,-268.990774,-110.0467207,-108.0467207,151.4129869,-0.1080467207,-0.1080467207,0.1080467207,11.67409384,75.89099138,2.075890991,-75.89299138,157.5455771,259.4597075,-425.0388763,-259.4597075,0,518.9194151,-124252.9241,1,0,1,1,1,0
0.0092,-298.1368517,251888.2019,-12901.2239,-12901.2239,0.243718752,-0.243718752,114.1293441,-114.1293441,40.61971076,40.61971076,233.3458,-0.0178882111,121.8414878,15.11329212,273.9655108,-15.09540391,-114.3730628,114.3730628,-273.9478663,-136.8792309,-134.8792309,121.859376,-0.1348792309,-0.1348792309,0.1348792309,18.19240693,113.8554717,2.113855472,-113.8574717,240.6782396,256.7386069,-387.0367171,-256.7386069,0,513.4772139,-251590.0651,1,0,1,1,1,0
0.0094,-302.3562213,355272.8286,-10863.87041,-10863.87041,0.1836496837,-0.1836496837,175.2681659,-175.2681659,30.6082194,30.6082194,247.2335499,-0.01814137328,91.80670048,21.31636972,277.8417693,-21.29822834,-175.4518156,175.4518156,-277.8238116,-164.5258024,-162.5258024,91.82484185,-0.1625258024,-0.1625258024,0.1625258024,26.41463646,174.9389393,2.174938939,-174.9409393,380.485861,254.3506443,-325.9161122,-254.3506443,0,508.7012886,-354970.4724,1,0,1,1,1,0
0.0096,-305.3822831,432237.1893,-8224.262929,-8224.262929,0.122855834,-0.122855834,254.4773588,-254.4773588,20.47593138,20.47593138,260.1455819,-0.01832293699,61.40959405,25.93423136,280.6215132,-25.91590842,-254.6002147,254.6002147,-280.6033132,-193.0053967,-191.0053967,61.42791699,-0.1910053967,-0.1910053967,0.1910053967,36.48306155,254.091094,2.254091094,-254.093094,572.7489801,252.4333136,-246.7278879,-252.4333136,0,504.8666273,-431931.8071,1,0,1,1,1,0
0.0098,-307.2031533,480983.2653,-5164.923947,-5164.923947,0.0615771284,-0.0615771284,346.2816297,-346.2816297,10.26283421,10.26283421,272.0309381,-0.0184321892,30.77013201,28.85899592,282.2937723,-28.84056373,-346.3432068,346.3432068,-282.2754017,-222.3004371,-220.3004371,30.7885642,-0.2203004371,-0.2203004371,0.2203004371,48.53228257,345.8366829,2.345836683,-345.8386829,811.2810688,251.0890013,-154.9477184,-251.0890013,-5.684341886e-014,502.1780026,-480676.0621,1,0,1,1,1,0
