"time","tempc_tpf_st_chamber","press_tpf_st_chamber","out2_division","tau_tpf_st_chamber","dm2_tpf_pump","torque_expseu_","heat_expseu_","speed_expseu_"
56,172.033,8.30431,0.251288,26.1288,0.0196275,-97.3122,53683.6,962.622
57,171.882,8.2744,0.251075,26.1075,0.0204711,-97.1947,54272.8,963.398
58,171.749,8.24794,0.250922,26.0922,0.0210795,-97.1197,54736.5,963.772
59,171.631,8.2247,0.250813,26.0813,0.0215129,-97.0831,55094.2,963.929
60,171.527,8.20426,0.250738,26.0738,0.0218159,-97.0788,55366.3,964.001
61,171.436,8.18621,0.250686,26.0686,0.0220234,-97.1005,55571.3,964.075
62,171.354,8.17013,0.250652,26.0652,0.0221619,-97.1421,55725.4,964.206
63,171.28,8.15566,0.25063,26.063,0.0222511,-97.1985,55841.8,964.424
64,171.213,8.14248,0.250617,26.0617,0.0223057,-97.2655,55930.9,964.742
65,171.151,8.13036,0.25061,26.061,0.0223364,-97.3396,56000.6,965.161
66,171.093,8.11909,0.250607,26.0607,0.022351,-97.418,56057,965.675
67,171.039,8.10851,0.250606,26.0606,0.0223552,-97.499,56104.5,966.276
68,170.988,8.0985,0.250607,26.0607,0.0223528,-97.5809,56146.2,966.949
69,170.939,8.08896,0.25061,26.061,0.0223466,-97.6626,56184.2,967.683
70,170.892,8.07982,0.250612,26.0612,0.0223382,-97.7434,56220.1,968.465
71,170.847,8.07104,0.250615,26.0615,0.0223291,-97.8226,56254.7,969.284
72,170.803,8.06256,0.250618,26.0618,0.0223198,-97.9,56288.7,970.127
73,170.761,8.05436,0.250621,26.0621,0.0223109,-97.9754,56322.2,970.987
74,170.72,8.04642,0.250623,26.0623,0.0223026,-98.0485,56355.6,971.856
75,170.68,8.0387,0.250626,26.0626,0.022295,-98.1194,56388.7,972.725
76,170.641,8.03121,0.250628,26.0628,0.0222882,-98.1881,56421.5,973.591
77,170.604,8.02393,0.25063,26.063,0.0222821,-98.2545,56454,974.449
78,170.567,8.01685,0.250632,26.0632,0.0222766,-98.3187,56486.1,975.294
79,170.532,8.00997,0.250633,26.0633,0.0222717,-98.3808,56517.7,976.124
80,170.497,8.00327,0.250635,26.0635,0.0222673,-98.4408,56548.6,976.938
81,170.463,7.99674,0.250636,26.0636,0.0222633,-98.4989,56578.9,977.733
82,170.43,7.9904,0.250638,26.0638,0.0222597,-98.555,56608.3,978.507
83,170.398,7.98422,0.250639,26.0639,0.0222564,-98.6092,56637,979.262
84,170.367,7.9782,0.25064,26.064,0.0222532,-98.6617,56664.8,979.995
85,170.337,7.97234,0.250641,26.0641,0.0222503,-98.7124,56691.7,980.707
86,170.307,7.96664,0.250642,26.0642,0.0222474,-98.7614,56717.7,981.398
87,170.278,7.96108,0.250643,26.0643,0.0222447,-98.8087,56742.7,982.067
88,170.25,7.95567,0.250644,26.0644,0.022242,-98.8546,56766.9,982.716
89,170.222,7.9504,0.250645,26.0645,0.0222394,-98.8988,56790.1,983.344
90,170.196,7.94527,0.250646,26.0646,0.0222368,-98.9417,56812.4,983.951
91,170.17,7.94027,0.250647,26.0647,0.0222343,-98.983,56833.8,984.539
92,170.144,7.9354,0.250648,26.0648,0.0222317,-99.023,56854.4,985.107
93,170.12,7.93065,0.250649,26.0649,0.0222291,-99.0617,56874,985.657
94,170.095,7.92602,0.25065,26.065,0.0222265,-99.099,56892.9,986.188
95,170.072,7.92151,0.250651,26.0651,0.0222239,-99.1351,56910.9,986.702
96,170.049,7.91711,0.250652,26.0652,0.0222212,-99.1699,56928.1,987.198
97,170.026,7.91282,0.250653,26.0653,0.0222186,-99.2036,56944.6,987.677
98,170.005,7.90864,0.250653,26.0653,0.0222159,-99.2361,56960.3,988.14
99,169.983,7.90456,0.250654,26.0654,0.0222132,-99.2675,56975.3,988.588
100,169.962,7.90058,0.250655,26.0655,0.0222104,-99.2978,56989.6,989.02
