time,y,z
5.84,1.76287249995,-0.575749999714
5.86,1.74939749995,-0.771749999714
5.88,1.73200249996,-0.967749999714
5.9,1.71068749997,-1.16374999971
5.92,1.68545249997,-1.35974999971
5.94,1.65629749998,-1.55574999971
5.96,1.62322249998,-1.75174999971
5.98,1.58622749999,-1.94774999971
6.0,1.54531249999,-2.14374999971
6.04,1.45172250001,-2.53574999971
6.08,1.34245250002,-2.92774999971
6.12,1.21750250003,-3.31974999971
6.16,1.07687250004,-3.71174999971
6.18,1.00067750005,-3.90774999971
6.2,0.920562500051,-4.10374999971
6.22,0.836527500057,-4.29974999971
6.24,0.748572500063,-4.49574999971
6.26,0.656697500069,-4.69174999971
6.28,0.560902500074,-4.88774999971
6.3,0.46118750008,-5.08374999971
6.32,0.357552500086,-5.27974999971
6.34,0.249997500092,-5.47574999971
6.36,0.138522500097,-5.67174999971
6.38,0.023127500103,-5.86774999971
6.4,0.0699257810021,4.27218750038
6.42,0.15340953101,4.07618750038
6.44,0.232973281017,3.88018750038
6.46,0.308617031025,3.68418750038
6.48,0.380340781032,3.48818750038
6.5,0.44814453104,3.29218750038
6.54,0.571992031055,2.90018750038
6.58,0.68015953107,2.50818750038
6.62,0.772647031086,2.11618750038
6.66,0.849454531101,1.72418750038
6.68,0.881978281108,1.52818750038
6.7,0.910582031116,1.33218750038
6.72,0.935265781124,1.13618750038
6.74,0.956029531131,0.940187500379
6.76,0.972873281139,0.744187500379
6.78,0.985797031146,0.548187500379
6.8,0.994800781154,0.352187500379
6.82,0.999884531161,0.156187500379
6.84,1.00104828117,-0.0398124996206
6.86,0.998292031177,-0.235812499621
6.88,0.991615781184,-0.431812499621
6.9,0.981019531192,-0.627812499621
6.92,0.966503281199,-0.823812499621
6.94,0.948067031207,-1.01981249962
6.96,0.925710781215,-1.21581249962
6.98,0.899434531222,-1.41181249962
7.0,0.86923828123,-1.60781249962
7.04,0.797085781245,-1.99981249962
7.08,0.70925328126,-2.39181249962
7.12,0.605740781275,-2.78381249962
7.16,0.48654828129,-3.17581249962
7.18,0.421072031298,-3.37181249962
7.2,0.351675781306,-3.56781249962
7.22,0.278359531313,-3.76381249962
7.24,0.201123281321,-3.95981249962
7.26,0.119967031328,-4.15581249962
7.28,0.034890781336,-4.35181249962
7.3,0.0393332517162,3.20414062545
7.32,0.101456064225,3.00814062545
7.34,0.159658876734,2.81214062545
7.36,0.213941689243,2.61614062545
7.38,0.264304501752,2.42014062545
7.4,0.310747314261,2.22414062545
7.42,0.35327012677,2.02814062545
7.44,0.391872939279,1.83214062545
7.46,0.426555751788,1.63614062545
