Time,y_multiSwitch,y_triggeredAdd,y_product,y_sum
5.27,4.0,5.0,9.0,3.0
5.27,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.28,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.29,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.3,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.31,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.32,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.33,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.34,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
