"time","FMU_Interface_OUT1_Current","FMU_Interface_OUT3_Power"
62.6,-112.074,-2.20796
63,-112.054,-2.20763
63.4,-112.033,-2.20731
63.8,-112.012,-2.20699
64.3,-111.986,-2.20659
64.8,-111.96,-2.20619
65.3,-111.934,-2.20579
65.8,-111.908,-2.20539
66.3,-111.882,-2.20499
66.8,-111.856,-2.20459
67.3,-111.83,-2.20419
67.8,-111.804,-2.20379
68.3,-111.779,-2.20339
68.8,-111.753,-2.20298
69.3,-111.727,-2.20258
69.8,-111.701,-2.20218
70.3,-111.675,-2.20178
70.8,-111.649,-2.20138
71.3,-111.623,-2.20098
71.8,-111.597,-2.20058
72.3,-111.571,-2.20018
72.8,-111.545,-2.19978
73.3,-111.519,-2.19938
73.8,-111.493,-2.19898
74.3,-111.468,-2.19857
74.8,-111.442,-2.19817
75.3,-111.416,-2.19777
75.8,-111.39,-2.19737
76.3,-111.364,-2.19697
76.8,-111.338,-2.19657
77.3,-111.312,-2.19617
77.8,-111.286,-2.19577
78.3,-111.26,-2.19537
78.8,-111.235,-2.19497
79.3,-111.209,-2.19456
79.8,-111.183,-2.19416
80.3,-111.157,-2.19376
80.8,-111.131,-2.19336
81.3,-111.105,-2.19296
81.8,-111.079,-2.19256
82.3,-111.054,-2.19216
82.8,-111.028,-2.19176
83.3,-111.002,-2.19136
83.8,-110.976,-2.19095
84.3,-110.95,-2.19055
84.8,-110.924,-2.19015
85.3,-110.898,-2.18975
85.8,-110.873,-2.18935
86.3,-110.847,-2.18895
86.8,-110.821,-2.18855
87.3,-110.795,-2.18815
87.8,-110.769,-2.18775
88.3,-110.743,-2.18734
88.8,-110.718,-2.18694
89.3,-110.692,-2.18654
89.8,-110.666,-2.18614
90.3,-110.64,-2.18574
90.8,-110.614,-2.18534
91.3,-110.589,-2.18494
91.8,-110.563,-2.18454
92.3,-110.537,-2.18414
92.8,-110.511,-2.18373
93.3,-110.485,-2.18333
93.8,-110.46,-2.18293
94.3,-110.434,-2.18253
94.8,-110.408,-2.18213
95.3,-110.382,-2.18173
95.8,-110.356,-2.18133
96.3,-110.331,-2.18093
96.8,-110.305,-2.18052
97.3,-110.279,-2.18012
97.8,-110.253,-2.17972
98.3,-110.227,-2.17932
98.8,-110.202,-2.17892
99.3,-110.176,-2.17852
99.8,-110.15,-2.17812
100.3,-110.193,-2.17866
100.8,-110.285,-2.17994
101.3,-110.377,-2.18122
101.8,-110.469,-2.1825
102.3,-110.562,-2.18378
102.8,-110.654,-2.18505
103.3,-110.746,-2.18633
103.8,-110.839,-2.18761
104.3,-110.931,-2.18889
104.8,-111.024,-2.19017
105.3,-111.116,-2.19144
105.8,-111.209,-2.19272
106.3,-111.302,-2.194
106.8,-111.394,-2.19528
107.3,-111.487,-2.19655
107.8,-111.58,-2.19783
108.3,-111.673,-2.1991
108.8,-111.766,-2.20038
109.3,-111.859,-2.20166
109.8,-111.952,-2.20293
110.3,-112.045,-2.20421
110.8,-112.138,-2.20548
111.3,-112.231,-2.20676
111.8,-112.324,-2.20803
112.3,-112.417,-2.2093
112.8,-112.511,-2.21058
113.3,-112.604,-2.21185
113.8,-112.697,-2.21312
114.3,-112.791,-2.2144
114.8,-112.884,-2.21567
115.3,-112.978,-2.21694
115.8,-113.072,-2.21821
116.3,-113.165,-2.21948
116.8,-113.259,-2.22076
117.3,-113.353,-2.22203
117.8,-113.446,-2.2233
118.3,-113.54,-2.22457
118.8,-113.634,-2.22584
119.3,-113.728,-2.22711
119.8,-113.822,-2.22838
120.3,-113.916,-2.22965
120.8,-114.01,-2.23092
121.3,-114.104,-2.23219
121.8,-114.199,-2.23345
122.3,-114.293,-2.23472
122.8,-114.387,-2.23599
123.3,-114.481,-2.23726
123.8,-114.576,-2.23853
124.3,-114.67,-2.23979
124.8,-114.765,-2.24106
125.3,-114.859,-2.24233
125.8,-114.954,-2.24359
126.3,-115.049,-2.24486
126.8,-115.143,-2.24613
127.3,-115.238,-2.24739
127.8,-115.333,-2.24866
128.3,-115.428,-2.24992
128.8,-115.523,-2.25119
129.3,-115.618,-2.25245
129.8,-115.713,-2.25371
130.3,-115.808,-2.25498
130.8,-115.903,-2.25624
131.3,-115.998,-2.25751
131.8,-116.093,-2.25877
132.3,-116.188,-2.26003
132.8,-116.284,-2.26129
133.3,-116.379,-2.26256
133.8,-116.401,-2.26284
134.3,-116.416,-2.26301
134.8,-116.432,-2.26318
135.3,-116.447,-2.26335
135.8,-116.462,-2.26352
136.3,-116.477,-2.26369
136.8,-116.493,-2.26386
137.3,-116.508,-2.26403
137.8,-116.523,-2.2642
138.3,-116.538,-2.26437
138.8,-116.554,-2.26454
139.3,-116.569,-2.26471
139.8,-116.584,-2.26488
140.3,-116.599,-2.26505
140.8,-116.615,-2.26522
141.3,-116.63,-2.26539
141.8,-116.645,-2.26555
142.3,-116.66,-2.26572
142.8,-116.676,-2.26589
143.3,-116.691,-2.26606
143.8,-116.706,-2.26623
144.3,-116.721,-2.2664
144.8,-116.737,-2.26657
145.3,-116.752,-2.26674
145.8,-116.767,-2.26691
146.3,-116.782,-2.26708
146.8,-116.798,-2.26725
147.3,-116.813,-2.26742
147.8,-116.828,-2.26759
148.3,-116.843,-2.26776
148.8,-116.859,-2.26793
149.3,-116.874,-2.2681
149.8,-116.889,-2.26826
150.3,-116.905,-2.26843
150.8,-116.92,-2.2686
151.3,-116.935,-2.26877
151.8,-116.95,-2.26894
152.3,-116.966,-2.26911
152.8,-116.981,-2.26928
153.3,-116.996,-2.26945
153.8,-117.012,-2.26962
154.3,-117.027,-2.26979
154.8,-117.042,-2.26996
155.3,-117.057,-2.27013
155.8,-117.073,-2.2703
156.3,-117.088,-2.27046
156.8,-117.103,-2.27063
157.3,-117.119,-2.2708
157.8,-117.134,-2.27097
158.3,-117.149,-2.27114
158.8,-117.165,-2.27131
159.3,-117.18,-2.27148
159.8,-117.195,-2.27165
160.3,-117.211,-2.27182
160.8,-117.226,-2.27199
161.3,-117.241,-2.27215
161.8,-117.257,-2.27232
162.3,-117.272,-2.27249
162.8,-117.287,-2.27266
163.3,-117.303,-2.27283
163.8,-117.318,-2.273
164.3,-117.333,-2.27317
164.8,-117.349,-2.27334
165.3,-117.364,-2.27351
165.8,-117.379,-2.27367
166.3,-117.395,-2.27384
166.8,-117.41,-2.27401
167.3,-117.425,-2.27418
167.8,-117.441,-2.27435
168.3,-117.456,-2.27452
168.8,-117.471,-2.27469
169.3,-117.487,-2.27486
169.8,-117.502,-2.27502
170.3,-117.517,-2.27519
170.8,-117.533,-2.27536
171.3,-117.548,-2.27553
171.8,-117.563,-2.2757
172.3,-117.579,-2.27587
172.8,-117.594,-2.27604
173.3,-117.61,-2.27621
173.8,-117.625,-2.27637
174.3,-117.64,-2.27654
174.8,-117.656,-2.27671
175.3,-117.671,-2.27688
175.8,-117.686,-2.27705
176.3,-117.702,-2.27722
176.8,-117.717,-2.27739
177.3,-117.733,-2.27755
177.8,-117.748,-2.27772
178.3,-117.763,-2.27789
178.8,-117.779,-2.27806
179.3,-117.794,-2.27823
179.8,-117.809,-2.2784
180.3,-117.825,-2.27857
180.8,-117.84,-2.27873
181.3,-117.856,-2.2789
181.8,-117.871,-2.27907
182.3,-117.886,-2.27924
182.8,-117.902,-2.27941
183.3,-117.917,-2.27958
183.8,-117.933,-2.27974
184.3,-117.948,-2.27991
184.8,-117.963,-2.28008
185.3,-117.979,-2.28025
185.8,-117.994,-2.28042
186.3,-118.01,-2.28059
186.8,-118.025,-2.28075
187.3,-118.041,-2.28092
187.8,-118.056,-2.28109
188.3,-118.071,-2.28126
188.8,-118.087,-2.28143
189.3,-118.102,-2.28159
189.8,-118.118,-2.28176
190.3,-118.133,-2.28193
190.8,-118.149,-2.2821
191.3,-118.164,-2.28227
191.8,-118.179,-2.28244
192.3,-118.195,-2.2826
192.8,-118.21,-2.28277
193.3,-118.226,-2.28294
193.8,-118.241,-2.28311
194.3,-118.257,-2.28328
194.8,-118.272,-2.28344
195.3,-118.288,-2.28361
195.8,-118.303,-2.28378
196.3,-118.318,-2.28395
196.8,-118.334,-2.28412
197.3,-118.349,-2.28428
197.8,-118.365,-2.28445
198.3,-118.38,-2.28462
198.8,-118.396,-2.28479
199.3,-118.411,-2.28496
199.8,-118.427,-2.28512
200.1,-3.09364e+15,-3.35808e+13
