"time","h","der(h)","v","der(v)","g","e"
1.51,0.1331884,-1.671624,-1.671624,-9.81,9.81,0.7
1.52,0.11647216,-1.769724,-1.769724,-9.81,9.81,0.7
1.53,0.09877492,-1.867824,-1.867824,-9.81,9.81,0.7
1.54,0.08009668,-1.965924,-1.965924,-9.81,9.81,0.7
1.55,0.06043744,-2.064024,-2.064024,-9.81,9.81,0.7
1.56,0.0397972,-2.162124,-2.162124,-9.81,9.81,0.7
1.57,0.01817596,-2.260224,-2.260224,-9.81,9.81,0.7
1.58,-0.00442628,1.6508268,1.6508268,-9.81,9.81,0.7
1.59,0.012081988,1.5527268,1.5527268,-9.81,9.81,0.7
1.6,0.027609256,1.4546268,1.4546268,-9.81,9.81,0.7
1.61,0.042155524,1.3565268,1.3565268,-9.81,9.81,0.7
1.62,0.055720792,1.2584268,1.2584268,-9.81,9.81,0.7
1.63,0.06830506,1.1603268,1.1603268,-9.81,9.81,0.7
1.64,0.079908328,1.0622268,1.0622268,-9.81,9.81,0.7
1.65,0.090530596,0.9641268,0.9641268,-9.81,9.81,0.7
1.66,0.100171864,0.8660268,0.8660268,-9.81,9.81,0.7
1.67,0.108832132,0.7679268,0.7679268,-9.81,9.81,0.7
1.68,0.1165114,0.6698268,0.6698268,-9.81,9.81,0.7
1.69,0.123209668,0.5717268,0.5717268,-9.81,9.81,0.7
1.7,0.128926936,0.4736268,0.4736268,-9.81,9.81,0.7
1.71,0.133663204,0.3755268,0.3755268,-9.81,9.81,0.7
1.72,0.137418472,0.2774268,0.2774268,-9.81,9.81,0.7
1.73,0.14019274,0.1793268,0.1793268,-9.81,9.81,0.7
1.74,0.141986008,0.0812268,0.0812268,-9.81,9.81,0.7
1.75,0.142798276,-0.0168732,-0.0168732,-9.81,9.81,0.7
1.76,0.142629544,-0.1149732,-0.1149732,-9.81,9.81,0.7
1.77,0.141479812,-0.2130732,-0.2130732,-9.81,9.81,0.7
1.78,0.13934908,-0.3111732,-0.3111732,-9.81,9.81,0.7
1.79,0.136237348,-0.4092732,-0.4092732,-9.81,9.81,0.7
1.8,0.132144616,-0.5073732,-0.5073732,-9.81,9.81,0.7
1.81,0.127070884,-0.6054732,-0.6054732,-9.81,9.81,0.7
1.82,0.121016152,-0.7035732,-0.7035732,-9.81,9.81,0.7
1.83,0.11398042,-0.8016732,-0.8016732,-9.81,9.81,0.7
1.84,0.105963688,-0.8997732,-0.8997732,-9.81,9.81,0.7
1.85,0.096965956,-0.9978732,-0.9978732,-9.81,9.81,0.7
1.86,0.086987224,-1.0959732,-1.0959732,-9.81,9.81,0.7
1.87,0.076027492,-1.1940732,-1.1940732,-9.81,9.81,0.7
1.88,0.06408676,-1.2921732,-1.2921732,-9.81,9.81,0.7
1.89,0.051165028,-1.3902732,-1.3902732,-9.81,9.81,0.7
1.9,0.037262296,-1.4883732,-1.4883732,-9.81,9.81,0.7
1.91,0.022378564,-1.5864732,-1.5864732,-9.81,9.81,0.7
1.92,0.006513832,-1.6845732,-1.6845732,-9.81,9.81,0.7
1.93,-0.0103319,1.24787124,1.24787124,-9.81,9.81,0.7
1.94,0.0021468124,1.14977124,1.14977124,-9.81,9.81,0.7
1.95,0.0136445248,1.05167124,1.05167124,-9.81,9.81,0.7
1.96,0.0241612372,0.95357124,0.95357124,-9.81,9.81,0.7
1.97,0.0336969496,0.85547124,0.85547124,-9.81,9.81,0.7
1.98,0.042251662,0.75737124,0.75737124,-9.81,9.81,0.7
1.99,0.0498253744,0.65927124,0.65927124,-9.81,9.81,0.7
2,0.0564180868,0.56117124,0.56117124,-9.81,9.81,0.7
2.01,0.0620297992,0.46307124,0.46307124,-9.81,9.81,0.7
2.02,0.0666605116,0.36497124,0.36497124,-9.81,9.81,0.7
2.03,0.070310224,0.26687124,0.26687124,-9.81,9.81,0.7
2.04,0.0729789364,0.16877124,0.16877124,-9.81,9.81,0.7
2.05,0.0746666488,0.07067124,0.07067124,-9.81,9.81,0.7
2.06,0.0753733612,-0.02742876,-0.02742876,-9.81,9.81,0.7
2.07,0.0750990736,-0.12552876,-0.12552876,-9.81,9.81,0.7
2.08,0.073843786,-0.22362876,-0.22362876,-9.81,9.81,0.7
2.09,0.0716074984,-0.32172876,-0.32172876,-9.81,9.81,0.7
2.1,0.0683902108,-0.41982876,-0.41982876,-9.81,9.81,0.7
2.11,0.0641919232,-0.51792876,-0.51792876,-9.81,9.81,0.7
2.12,0.0590126356,-0.61602876,-0.61602876,-9.81,9.81,0.7
2.13,0.052852348,-0.71412876,-0.71412876,-9.81,9.81,0.7
2.14,0.0457110604,-0.81222876,-0.81222876,-9.81,9.81,0.7
2.15,0.0375887728,-0.91032876,-0.91032876,-9.81,9.81,0.7
2.16,0.0284854852,-1.00842876,-1.00842876,-9.81,9.81,0.7
2.17,0.0184011976,-1.10652876,-1.10652876,-9.81,9.81,0.7
2.18,0.00733591,-1.20462876,-1.20462876,-9.81,9.81,0.7
2.19,-0.0047103776,0.911910132,0.911910132,-9.81,9.81,0.7
2.2,0.00440872372,0.813810132,0.813810132,-9.81,9.81,0.7
2.21,0.01254682504,0.715710132,0.715710132,-9.81,9.81,0.7
2.22,0.01970392636,0.617610132,0.617610132,-9.81,9.81,0.7
2.23,0.02588002768,0.519510132,0.519510132,-9.81,9.81,0.7
2.24,0.031075129,0.421410132,0.421410132,-9.81,9.81,0.7
2.25,0.03528923032,0.323310132,0.323310132,-9.81,9.81,0.7
2.26,0.03852233164,0.225210132,0.225210132,-9.81,9.81,0.7
2.27,0.04077443296,0.127110132,0.127110132,-9.81,9.81,0.7
2.28,0.04204553428,0.029010132,0.029010132,-9.81,9.81,0.7
2.29,0.0423356356,-0.069089868,-0.069089868,-9.81,9.81,0.7
2.3,0.04164473692,-0.167189868,-0.167189868,-9.81,9.81,0.7
2.31,0.03997283824,-0.265289868,-0.265289868,-9.81,9.81,0.7
2.32,0.03731993956,-0.363389868,-0.363389868,-9.81,9.81,0.7
2.33,0.03368604088,-0.461489868,-0.461489868,-9.81,9.81,0.7
2.34,0.0290711422,-0.559589868,-0.559589868,-9.81,9.81,0.7
2.35,0.02347524352,-0.657689868,-0.657689868,-9.81,9.81,0.7
2.36,0.01689834484,-0.755789868,-0.755789868,-9.81,9.81,0.7
2.37,0.00934044616,-0.853889868,-0.853889868,-9.81,9.81,0.7
2.38,0.00080154748,-0.951989868,-0.951989868,-9.81,9.81,0.7
2.39,-0.0087183512,0.7350629076,0.7350629076,-9.81,9.81,0.7
2.4,-0.001367722124,0.6369629076,0.6369629076,-9.81,9.81,0.7
2.41,0.005001906952,0.5388629076,0.5388629076,-9.81,9.81,0.7
2.42,0.01039053603,0.4407629076,0.4407629076,-9.81,9.81,0.7
2.43,0.0147981651,0.3426629076,0.3426629076,-9.81,9.81,0.7
2.44,0.01822479418,0.2445629076,0.2445629076,-9.81,9.81,0.7
2.45,0.02067042326,0.1464629076,0.1464629076,-9.81,9.81,0.7
2.46,0.02213505233,0.0483629076,0.0483629076,-9.81,9.81,0.7
2.47,0.02261868141,-0.0497370924,-0.0497370924,-9.81,9.81,0.7
2.48,0.02212131048,-0.1478370924,-0.1478370924,-9.81,9.81,0.7
2.49,0.02064293956,-0.2459370924,-0.2459370924,-9.81,9.81,0.7
2.5,0.01818356864,-0.3440370924,-0.3440370924,-9.81,9.81,0.7
2.51,0.01474319771,-0.4421370924,-0.4421370924,-9.81,9.81,0.7
2.52,0.01032182679,-0.5402370924,-0.5402370924,-9.81,9.81,0.7
2.53,0.004919455864,-0.6383370924,-0.6383370924,-9.81,9.81,0.7
2.54,-0.00146391506,0.5155059647,0.5155059647,-9.81,9.81,0.7
2.55,0.003691144587,0.4174059647,0.4174059647,-9.81,9.81,0.7
2.56,0.007865204234,0.3193059647,0.3193059647,-9.81,9.81,0.7
2.57,0.01105826388,0.2212059647,0.2212059647,-9.81,9.81,0.7
2.58,0.01327032353,0.1231059647,0.1231059647,-9.81,9.81,0.7
2.59,0.01450138317,0.02500596468,0.02500596468,-9.81,9.81,0.7
2.6,0.01475144282,-0.07309403532,-0.07309403532,-9.81,9.81,0.7
2.61,0.01402050247,-0.1711940353,-0.1711940353,-9.81,9.81,0.7
2.62,0.01230856211,-0.2692940353,-0.2692940353,-9.81,9.81,0.7
2.63,0.009615621761,-0.3673940353,-0.3673940353,-9.81,9.81,0.7
2.64,0.005941681408,-0.4654940353,-0.4654940353,-9.81,9.81,0.7
2.65,0.001286741055,-0.5635940353,-0.5635940353,-9.81,9.81,0.7
2.66,-0.004349199298,0.4631858247,0.4631858247,-9.81,9.81,0.7
2.67,0.0002826589488,0.3650858247,0.3650858247,-9.81,9.81,0.7
2.68,0.003933517196,0.2669858247,0.2669858247,-9.81,9.81,0.7
2.69,0.006603375443,0.1688858247,0.1688858247,-9.81,9.81,0.7
2.7,0.008292233691,0.07078582472,0.07078582472,-9.81,9.81,0.7
2.71,0.009000091938,-0.02731417528,-0.02731417528,-9.81,9.81,0.7
2.72,0.008726950185,-0.1254141753,-0.1254141753,-9.81,9.81,0.7
2.73,0.007472808432,-0.2235141753,-0.2235141753,-9.81,9.81,0.7
2.74,0.00523766668,-0.3216141753,-0.3216141753,-9.81,9.81,0.7
2.75,0.002021524927,-0.4197141753,-0.4197141753,-9.81,9.81,0.7
2.76,-0.002175616826,0.3624699227,0.3624699227,-9.81,9.81,0.7
2.77,0.001449082401,0.2643699227,0.2643699227,-9.81,9.81,0.7
2.78,0.004092781628,0.1662699227,0.1662699227,-9.81,9.81,0.7
2.79,0.005755480855,0.06816992269,0.06816992269,-9.81,9.81,0.7
2.8,0.006437180082,-0.02993007731,-0.02993007731,-9.81,9.81,0.7
2.81,0.006137879309,-0.1280300773,-0.1280300773,-9.81,9.81,0.7
2.82,0.004857578536,-0.2261300773,-0.2261300773,-9.81,9.81,0.7
2.83,0.002596277763,-0.3242300773,-0.3242300773,-9.81,9.81,0.7
2.84,-0.0006460230105,0.2956310541,0.2956310541,-9.81,9.81,0.7
2.85,0.002310287531,0.1975310541,0.1975310541,-9.81,9.81,0.7
2.86,0.004285598072,0.09943105411,0.09943105411,-9.81,9.81,0.7
2.87,0.005279908613,0.001331054115,0.001331054115,-9.81,9.81,0.7
2.88,0.005293219154,-0.09676894589,-0.09676894589,-9.81,9.81,0.7
2.89,0.004325529695,-0.1948689459,-0.1948689459,-9.81,9.81,0.7
2.9,0.002376840236,-0.2929689459,-0.2929689459,-9.81,9.81,0.7
2.91,-0.0005528492225,0.2737482621,0.2737482621,-9.81,9.81,0.7
2.92,0.002184633399,0.1756482621,0.1756482621,-9.81,9.81,0.7
2.93,0.00394111602,0.07754826212,0.07754826212,-9.81,9.81,0.7
2.94,0.004716598641,-0.02055173788,-0.02055173788,-9.81,9.81,0.7
2.95,0.004511081262,-0.1186517379,-0.1186517379,-9.81,9.81,0.7
2.96,0.003324563883,-0.2167517379,-0.2167517379,-9.81,9.81,0.7
2.97,0.001157046505,-0.3148517379,-0.3148517379,-9.81,9.81,0.7
2.98,-0.001991470874,0.2890662165,0.2890662165,-9.81,9.81,0.7
2.99,0.000899191291,0.1909662165,0.1909662165,-9.81,9.81,0.7
3,0.002808853456,0.09286621652,0.09286621652,-9.81,9.81,0.7
3.01,0.003737515621,-0.005233783484,-0.005233783484,-9.81,9.81,0.7
3.02,0.003685177787,-0.1033337835,-0.1033337835,-9.81,9.81,0.7
3.03,0.002651839952,-0.2014337835,-0.2014337835,-9.81,9.81,0.7
3.04,0.0006375021168,-0.2995337835,-0.2995337835,-9.81,9.81,0.7
3.05,-0.002357835718,0.2783436484,0.2783436484,-9.81,9.81,0.7
3.06,0.0004256007664,0.1802436484,0.1802436484,-9.81,9.81,0.7
3.07,0.002228037251,0.08214364844,0.08214364844,-9.81,9.81,0.7
3.08,0.003049473735,-0.01595635156,-0.01595635156,-9.81,9.81,0.7
3.09,0.00288991022,-0.1140563516,-0.1140563516,-9.81,9.81,0.7
3.1,0.001749346704,-0.2121563516,-0.2121563516,-9.81,9.81,0.7
3.11,-0.0003722168117,0.2171794461,0.2171794461,-9.81,9.81,0.7
3.12,0.001799577649,0.1190794461,0.1190794461,-9.81,9.81,0.7
3.13,0.00299037211,0.02097944609,0.02097944609,-9.81,9.81,0.7
3.14,0.003200166571,-0.07712055391,-0.07712055391,-9.81,9.81,0.7
3.15,0.002428961032,-0.1752205539,-0.1752205539,-9.81,9.81,0.7
3.16,0.000676755493,-0.2733205539,-0.2733205539,-9.81,9.81,0.7
3.17,-0.002056450046,0.2599943877,0.2599943877,-9.81,9.81,0.7
3.18,0.0005434938312,0.1618943877,0.1618943877,-9.81,9.81,0.7
3.19,0.002162437709,0.06379438773,0.06379438773,-9.81,9.81,0.7
3.2,0.002800381586,-0.03430561227,-0.03430561227,-9.81,9.81,0.7
3.21,0.002457325463,-0.1324056123,-0.1324056123,-9.81,9.81,0.7
3.22,0.001133269341,-0.2305056123,-0.2305056123,-9.81,9.81,0.7
3.23,-0.001171786782,0.2300239286,0.2300239286,-9.81,9.81,0.7
3.24,0.001128452504,0.1319239286,0.1319239286,-9.81,9.81,0.7
3.25,0.00244769179,0.03382392859,0.03382392859,-9.81,9.81,0.7
3.26,0.002785931076,-0.06427607141,-0.06427607141,-9.81,9.81,0.7
3.27,0.002143170361,-0.1623760714,-0.1623760714,-9.81,9.81,0.7
3.28,0.0005194096473,-0.2604760714,-0.2604760714,-9.81,9.81,0.7
3.29,-0.002085351067,0.25100325,0.25100325,-9.81,9.81,0.7
3.3,0.000424681433,0.15290325,0.15290325,-9.81,9.81,0.7
3.31,0.001953713933,0.05480324999,0.05480324999,-9.81,9.81,0.7
3.32,0.002501746433,-0.04329675001,-0.04329675001,-9.81,9.81,0.7
3.33,0.002068778933,-0.14139675,-0.14139675,-9.81,9.81,0.7
3.34,0.0006548114326,-0.23949675,-0.23949675,-9.81,9.81,0.7
3.35,-0.001740156067,0.236317725,0.236317725,-9.81,9.81,0.7
3.36,0.0006230211826,0.138217725,0.138217725,-9.81,9.81,0.7
3.37,0.002005198433,0.04011772501,0.04011772501,-9.81,9.81,0.7
3.38,0.002406375683,-0.05798227499,-0.05798227499,-9.81,9.81,0.7
3.39,0.001826552933,-0.156082275,-0.156082275,-9.81,9.81,0.7
3.4,0.0002657301829,-0.254182275,-0.254182275,-9.81,9.81,0.7
3.41,-0.002276092567,0.2465975925,0.2465975925,-9.81,9.81,0.7
3.42,0.0001898833579,0.1484975925,0.1484975925,-9.81,9.81,0.7
3.43,0.001674859283,0.0503975925,0.0503975925,-9.81,9.81,0.7
3.44,0.002178835208,-0.0477024075,-0.0477024075,-9.81,9.81,0.7
3.45,0.001701811133,-0.1458024075,-0.1458024075,-9.81,9.81,0.7
3.46,0.0002437870577,-0.2439024075,-0.2439024075,-9.81,9.81,0.7
3.47,-0.002195237017,0.2394016853,0.2394016853,-9.81,9.81,0.7
3.48,0.0001987798352,0.1413016853,0.1413016853,-9.81,9.81,0.7
3.49,0.001611796688,0.04320168525,0.04320168525,-9.81,9.81,0.7
3.5,0.00204381354,-0.05489831475,-0.05489831475,-9.81,9.81,0.7
3.51,0.001494830393,-0.1529983147,-0.1529983147,-9.81,9.81,0.7
3.52,-3.515275467e-005,0.1757688203,0.1757688203,-9.81,9.81,0.7
3.53,0.001722535449,0.07766882032,0.07766882032,-9.81,9.81,0.7
3.54,0.002499223652,-0.02043117968,-0.02043117968,-9.81,9.81,0.7
3.55,0.002294911855,-0.1185311797,-0.1185311797,-9.81,9.81,0.7
3.56,0.001109600058,-0.2166311797,-0.2166311797,-9.81,9.81,0.7
3.57,-0.001056711739,0.2203118258,0.2203118258,-9.81,9.81,0.7
3.58,0.001146406519,0.1222118258,0.1222118258,-9.81,9.81,0.7
3.59,0.002368524777,0.02411182577,0.02411182577,-9.81,9.81,0.7
3.6,0.002609643035,-0.07398817423,-0.07398817423,-9.81,9.81,0.7
3.61,0.001869761292,-0.1720881742,-0.1720881742,-9.81,9.81,0.7
3.62,0.0001488795502,-0.2701881742,-0.2701881742,-9.81,9.81,0.7
3.63,-0.002553002192,0.257801722,0.257801722,-9.81,9.81,0.7
3.64,2.501502749e-005,0.159701722,0.159701722,-9.81,9.81,0.7
3.65,0.001622032247,0.06160172196,0.06160172196,-9.81,9.81,0.7
3.66,0.002238049467,-0.03649827804,-0.03649827804,-9.81,9.81,0.7
3.67,0.001873066686,-0.134598278,-0.134598278,-9.81,9.81,0.7
3.68,0.0005270839058,-0.232698278,-0.232698278,-9.81,9.81,0.7
3.69,-0.001799898875,0.2315587946,0.2315587946,-9.81,9.81,0.7
3.7,0.0005156890717,0.1334587946,0.1334587946,-9.81,9.81,0.7
3.71,0.001850277018,0.03535879463,0.03535879463,-9.81,9.81,0.7
3.72,0.002203864964,-0.06274120537,-0.06274120537,-9.81,9.81,0.7
3.73,0.001576452911,-0.1608412054,-0.1608412054,-9.81,9.81,0.7
3.74,-3.195914314e-005,0.1812588438,0.1812588438,-9.81,9.81,0.7
3.75,0.001780629294,0.08315884376,0.08315884376,-9.81,9.81,0.7
3.76,0.002612217732,-0.01494115624,-0.01494115624,-9.81,9.81,0.7
3.77,0.00246280617,-0.1130411562,-0.1130411562,-9.81,9.81,0.7
3.78,0.001332394607,-0.2111411562,-0.2111411562,-9.81,9.81,0.7
3.79,-0.0007790169552,0.2164688094,0.2164688094,-9.81,9.81,0.7
3.8,0.001385671139,0.1183688094,0.1183688094,-9.81,9.81,0.7
3.81,0.002569359232,0.02026880937,0.02026880937,-9.81,9.81,0.7
3.82,0.002772047326,-0.07783119063,-0.07783119063,-9.81,9.81,0.7
