"time","headlight","light_intensity","light_switch"
4.27,0,28.22142857,2
4.28,0,28.24285714,2
4.29,0,28.26428571,2
4.3,0,28.28571429,2
4.31,0,28.30714286,2
4.32,0,28.32857143,2
4.33,0,28.35,2
4.34,0,28.37142857,2
4.35,0,28.39285714,2
4.36,0,28.41428571,2
4.37,0,28.43571429,2
4.38,0,28.45714286,2
4.39,0,28.47857143,2
4.4,0,28.5,2
4.41,0,28.52142857,2
4.42,0,28.54285714,2
4.43,0,28.56428571,2
4.44,0,28.58571429,2
4.45,0,28.60714286,2
4.46,0,28.62857143,2
4.47,0,28.65,2
4.48,0,28.67142857,2
4.49,0,28.69285714,2
4.5,0,28.71428571,2
4.51,0,28.73571429,2
4.52,0,28.75714286,2
4.53,0,28.77857143,2
4.54,0,28.8,2
4.55,0,28.82142857,2
4.56,0,28.84285714,2
4.57,0,28.86428571,2
4.58,0,28.88571429,2
4.59,0,28.90714286,2
4.6,0,28.92857143,2
4.61,0,28.95,2
4.62,0,28.97142857,2
4.63,0,28.99285714,2
4.64,0,29.01428571,2
4.65,0,29.03571429,2
4.66,0,29.05714286,2
4.67,0,29.07857143,2
4.68,0,29.1,2
4.69,0,29.12142857,2
4.7,0,29.14285714,2
4.71,0,29.16428571,2
4.72,0,29.18571429,2
4.73,0,29.20714286,2
4.74,0,29.22857143,2
4.75,0,29.25,2
4.76,0,29.27142857,2
4.77,0,29.29285714,2
4.78,0,29.31428571,2
4.79,0,29.33571429,2
4.8,0,29.35714286,2
4.81,0,29.37857143,2
4.82,0,29.4,2
4.83,0,29.42142857,2
4.84,0,29.44285714,2
4.85,0,29.46428571,2
4.86,0,29.48571429,2
4.87,0,29.50714286,2
4.88,0,29.52857143,2
4.89,0,29.55,2
4.9,0,29.57142857,2
4.91,0,29.59285714,2
4.92,0,29.61428571,2
4.93,0,29.63571429,2
4.94,0,29.65714286,2
4.95,0,29.67857143,2
4.96,0,29.7,2
4.97,0,29.72142857,2
4.98,0,29.74285714,2
4.99,0,29.76428571,2
5,0,29.78571429,2
5.01,0,29.80714286,2
5.02,0,29.82857143,2
5.03,0,29.85,2
5.04,0,29.87142857,2
5.05,0,29.89285714,2
5.06,0,29.91428571,2
5.07,0,29.93571429,2
5.08,0,29.95714286,2
5.09,0,29.97857143,2
5.1,0,30,2
5.11,0,30.02142857,2
5.12,0,30.04285714,2
5.13,0,30.06428571,2
5.14,0,30.08571429,2
5.15,0,30.10714286,2
5.16,0,30.12857143,2
5.17,0,30.15,2
5.18,0,30.17142857,2
5.19,0,30.19285714,2
5.2,0,30.21428571,2
5.21,0,30.23571429,2
5.22,0,30.25714286,2
5.23,0,30.27857143,2
5.24,0,30.3,2
5.25,0,30.32142857,2
5.26,0,30.34285714,2
5.27,0,30.36428571,2
5.28,0,30.38571429,2
5.29,0,30.40714286,2
5.3,0,30.42857143,2
5.31,0,30.45,2
5.32,0,30.47142857,2
5.33,0,30.49285714,2
5.34,0,30.51428571,2
5.35,0,30.53571429,2
5.36,0,30.55714286,2
5.37,0,30.57857143,2
5.38,0,30.6,2
5.39,0,30.62142857,2
5.4,0,30.64285714,2
5.41,0,30.66428571,2
5.42,0,30.68571429,2
5.43,0,30.70714286,2
5.44,0,30.72857143,2
5.45,0,30.75,2
5.46,0,30.77142857,2
5.47,0,30.79285714,2
5.48,0,30.81428571,2
5.49,0,30.83571429,2
5.5,0,30.85714286,2
5.51,0,30.87857143,2
5.52,0,30.9,2
5.53,0,30.92142857,2
5.54,0,30.94285714,2
5.55,0,30.96428571,2
5.56,0,30.98571429,2
5.57,0,31.00714286,2
5.58,0,31.02857143,2
5.59,0,31.05,2
5.6,0,31.07142857,2
5.61,0,31.09285714,2
5.62,0,31.11428571,2
5.63,0,31.13571429,2
5.64,0,31.15714286,2
5.65,0,31.17857143,2
5.66,1,31.2,2
5.67,1,31.22142857,2
5.68,1,31.24285714,2
5.69,1,31.26428571,2
5.7,1,31.28571429,2
5.71,1,31.30714286,2
5.72,1,31.32857143,2
5.73,1,31.35,2
5.74,1,31.37142857,2
5.75,1,31.39285714,2
5.76,1,31.41428571,2
5.77,1,31.43571429,2
5.78,1,31.45714286,2
5.79,1,31.47857143,2
5.8,1,31.5,2
5.81,1,31.52142857,2
5.82,1,31.54285714,2
5.83,1,31.56428571,2
5.84,1,31.58571429,2
5.85,1,31.60714286,2
5.86,1,31.62857143,2
5.87,1,31.65,2
5.88,1,31.67142857,2
5.89,1,31.69285714,2
5.9,1,31.71428571,2
5.91,1,31.73571429,2
5.92,1,31.75714286,2
5.93,1,31.77857143,2
5.94,1,31.8,2
5.95,1,31.82142857,2
5.96,1,31.84285714,2
5.97,1,31.86428571,2
5.98,1,31.88571429,2
5.99,1,31.90714286,2
6,1,31.92857143,2
6.01,1,31.95,2
6.02,1,31.97142857,2
6.03,1,31.99285714,2
6.04,1,32.01428571,2
6.05,1,32.03571429,2
6.06,1,32.05714286,2
6.07,1,32.07857143,2
6.08,1,32.1,2
6.09,1,32.12142857,2
6.1,1,32.14285714,2
6.11,1,32.16428571,2
6.12,1,32.18571429,2
6.13,1,32.20714286,2
6.14,1,32.22857143,2
6.15,1,32.25,2
6.16,1,32.27142857,2
6.17,1,32.29285714,2
6.18,1,32.31428571,2
6.19,1,32.33571429,2
6.2,1,32.35714286,2
6.21,1,32.37857143,2
6.22,1,32.4,2
6.23,1,32.42142857,2
6.24,1,32.44285714,2
6.25,1,32.46428571,2
6.26,1,32.48571429,2
6.27,1,32.50714286,2
6.28,1,32.52857143,2
6.29,1,32.55,2
6.3,1,32.57142857,2
6.31,1,32.59285714,2
6.32,1,32.61428571,2
6.33,1,32.63571429,2
6.34,1,32.65714286,2
6.35,1,32.67857143,2
6.36,1,32.7,2
6.37,1,32.72142857,2
6.38,1,32.74285714,2
6.39,1,32.76428571,2
6.4,1,32.78571429,2
6.41,1,32.80714286,2
6.42,1,32.82857143,2
6.43,1,32.85,2
6.44,1,32.87142857,2
6.45,1,32.89285714,2
6.46,1,32.91428571,2
6.47,1,32.93571429,2
6.48,1,32.95714286,2
6.49,1,32.97857143,2
6.5,1,33,2
6.51,1,48,2
6.52,1,60,2
6.53,1,72,2
6.54,1,88,2
6.55,1,100,2
6.56,1,100,2
6.57,1,100,2
6.58,1,100,2
6.59,1,100,2
6.6,1,100,2
6.61,1,100,2
6.62,1,100,2
6.63,1,100,2
6.64,1,100,2
6.65,1,100,2
6.66,1,100,2
6.67,1,100,2
6.68,1,100,2
6.69,1,100,2
6.7,1,100,2
6.71,1,100,2
6.72,1,100,2
6.73,1,100,2
6.74,1,100,2
6.75,1,100,2
6.76,1,100,2
6.77,1,100,2
6.78,1,100,2
6.79,1,100,2
6.8,1,100,2
6.81,1,100,2
6.82,1,100,2
6.83,1,100,2
6.84,1,100,2
6.85,1,100,2
6.86,1,100,2
6.87,1,100,2
6.88,1,100,2
6.89,1,100,2
6.9,1,100,2
6.91,1,100,2
6.92,1,100,2
6.93,1,100,2
6.94,1,100,2
6.95,1,100,2
6.96,1,100,2
6.97,1,100,2
6.98,1,100,2
6.99,1,100,2
7,1,100,2
7.01,1,100,2
