"time","C1.v","C3.v","C5.v","L1.i","L2.i"
2.35645047996727E+00,5.60911226430123E-01,1.19892826036191E-01,5.52512934982155E-02,3.10304017269746E-01,4.66361704506259E-02
2.51778409729391E+00,5.76355380320187E-01,1.40992921124078E-01,6.57855807427772E-02,3.64646766188269E-01,5.97644522188588E-02
2.76609365881563E+00,5.85830555172775E-01,1.77214875646409E-01,8.46330130768275E-02,4.45552446229646E-01,8.39781725054921E-02
3.01440322033736E+00,5.81225474931165E-01,2.18034161273982E-01,1.06896334813302E-01,5.18946148383907E-01,1.13464401778694E-01
3.26271278185908E+00,5.66557506705464E-01,2.61582445329169E-01,1.32028682029712E-01,5.82947437715122E-01,1.48240234813047E-01
3.51102234338081E+00,5.44663959237652E-01,3.07330079254454E-01,1.60026914450199E-01,6.34873390202030E-01,1.88273921328006E-01
3.75933190490253E+00,5.18989327861987E-01,3.53736019955360E-01,1.90481444334473E-01,6.73322139072471E-01,2.33217581714068E-01
4.00764146642426E+00,4.92232577943786E-01,3.99277147889764E-01,2.22952251022749E-01,6.97869384887249E-01,2.82398399626534E-01
4.25595102794598E+00,4.66597715717577E-01,4.42442074631089E-01,2.56945209376740E-01,7.08898496896913E-01,3.34828277124737E-01
4.63552671946039E+00,4.33405731575117E-01,5.00810685150201E-01,3.10637730250753E-01,7.01942863114390E-01,4.18379230048523E-01
5.01510241097479E+00,4.11230090825320E-01,5.45705811938077E-01,3.64566382627668E-01,6.72396127410948E-01,5.00794879586606E-01
5.39467810248920E+00,4.00958248491530E-01,5.75875012340520E-01,4.16624161208917E-01,6.26538280845799E-01,5.76640204897380E-01
5.77425379400360E+00,4.03398275978064E-01,5.89386119680474E-01,4.64713534446887E-01,5.72934824880224E-01,6.40012812059785E-01
6.15382948551801E+00,4.15815460945255E-01,5.87175449451154E-01,5.06764919465586E-01,5.20007636667870E-01,6.85793214094258E-01
6.53340517703241E+00,4.34931140861664E-01,5.71606053506118E-01,5.40994733074343E-01,4.74744492188502E-01,7.10464282614574E-01
6.91298086854682E+00,4.57381736451584E-01,5.46267637754145E-01,5.66099877780908E-01,4.41853925749792E-01,7.12695932065633E-01
7.29255656006122E+00,4.79821089047961E-01,5.15538395435952E-01,5.81370275611966E-01,4.23787387676581E-01,6.93435537165432E-01
7.67213225157562E+00,4.99118896438128E-01,4.84068826970794E-01,5.86748156649986E-01,4.20922873884152E-01,6.55743141710446E-01
8.05170794309003E+00,5.13003274389774E-01,4.56119416959791E-01,5.82875735219129E-01,4.31672775366785E-01,6.04481224468756E-01
8.43128363460444E+00,5.20468744631554E-01,4.35029542893703E-01,5.71087284142083E-01,4.52792299305934E-01,5.45787950312936E-01
8.81085932611884E+00,5.21597370453927E-01,4.22985698325136E-01,5.53298315329776E-01,4.80006507812516E-01,4.86341336059123E-01
9.19043501763325E+00,5.17208095158830E-01,4.20946944988404E-01,5.31812901450304E-01,5.08731862200737E-01,4.32569409860936E-01
9.57001070914765E+00,5.08703554077038E-01,4.28596572799077E-01,5.09100162801546E-01,5.34677095540809E-01,3.89952290479148E-01
9.94958640066206E+00,4.97967143738682E-01,4.44401558782158E-01,4.87565012775812E-01,5.54314254142511E-01,3.62466352757288E-01
1.03291620921765E+01,4.87072605455202E-01,4.65883625856842E-01,4.69321797075181E-01,5.65259912439128E-01,3.52195311362645E-01
1.07087377836909E+01,4.77890649901598E-01,4.90037865776909E-01,4.55994658847990E-01,5.66512059926508E-01,3.59164518483209E-01
1.10883134752053E+01,4.71820145697041E-01,5.13754313811647E-01,4.48577327366339E-01,5.58467950168258E-01,3.81439976518613E-01
1.14678891667197E+01,4.69692234079132E-01,5.34178990493280E-01,4.47368900846434E-01,5.42737485183323E-01,4.15465738572040E-01
1.18474648582341E+01,4.71742530612686E-01,5.49026915699043E-01,4.51984468214115E-01,5.21830420179680E-01,4.56566796064311E-01
1.22270405497485E+01,4.77604920532378E-01,5.56835261657952E-01,4.61436031340736E-01,4.98776759505778E-01,4.99545997048294E-01
1.26066162412629E+01,4.86378145256094E-01,5.57103005645246E-01,4.74277247198642E-01,4.76709691684669E-01,5.39312804822400E-01
1.29861919327773E+01,4.96791735407979E-01,5.50286250081930E-01,4.88794410331162E-01,4.58452398238813E-01,5.71473244962306E-01
1.33657676242917E+01,5.07419626937048E-01,5.37671119433327E-01,5.03215874778762E-01,4.46170698169808E-01,5.92805423770926E-01
1.37453433158061E+01,5.16879163730700E-01,5.21164287375402E-01,5.15913188732089E-01,4.41140847551741E-01,6.01564619358480E-01
1.41249190073205E+01,5.23998025809260E-01,5.03028304382652E-01,5.25574084875366E-01,4.43648597104662E-01,5.97594655544606E-01
1.45044946988349E+01,5.27952043716641E-01,4.85585666524841E-01,5.31331123768057E-01,4.53014493477004E-01,5.82247797365343E-01
1.48840703903493E+01,5.28359760550303E-01,4.70928813970937E-01,5.32832033652973E-01,4.67734338054249E-01,5.58132430277074E-01
1.52636460818637E+01,5.25311297978510E-01,4.60678148870302E-01,5.30244846224252E-01,4.85715215697698E-01,5.28725318748907E-01
1.56432217733781E+01,5.19328222812523E-01,4.55816579770706E-01,5.24201613829989E-01,5.04572606288247E-01,4.97902738654487E-01
1.60227974648925E+01,5.11271590584022E-01,4.56611632478637E-01,5.15692567497469E-01,5.21944705973627E-01,4.69453497411556E-01
1.64023731564070E+01,5.02217498617884E-01,4.62626590254113E-01,5.05926096083002E-01,5.35782717793092E-01,4.46633608627065E-01
1.67819488479214E+01,4.93313968296149E-01,4.72815826073827E-01,4.96171890798509E-01,5.44584661238423E-01,4.31812021422660E-01
1.71615245394358E+01,4.85634297051221E-01,4.85689632521635E-01,4.87606445032085E-01,5.47548867907966E-01,4.26243634314232E-01
1.75411002309502E+01,4.80046730896183E-01,4.99523424274169E-01,4.81179748855053E-01,5.44632560046046E-01,4.29989751182753E-01
1.79206759224646E+01,4.77118406341322E-01,5.12581637281430E-01,4.77518039319599E-01,5.36513155198312E-01,4.41987078908723E-01
1.83002516139790E+01,4.77063152757782E-01,5.23328425964636E-01,4.76871452723506E-01,5.24463253373341E-01,4.60247501038126E-01
1.86798273054934E+01,4.79735118126159E-01,5.30601495752618E-01,4.79109562061333E-01,5.10160612690864E-01,4.82156077989361E-01
1.90594029970078E+01,4.84665939830559E-01,5.33730461009597E-01,4.83762476461591E-01,4.95460325220171E-01,5.04825490522329E-01
1.94389786885222E+01,4.91139408026664E-01,5.32588188124006E-01,4.90100022095701E-01,4.82158830663442E-01,5.25461148913650E-01
1.98185543800366E+01,4.98292746463370E-01,5.27572780602425E-01,4.97237070092579E-01,4.71778891672213E-01,5.41692390854935E-01
2.01981300715510E+01,5.05217505490653E-01,5.19541169964021E-01,5.04238029660013E-01,4.65397311253735E-01,5.51836871319770E-01
2.05777057630654E+01,5.11115884255354E-01,5.09635390947734E-01,5.10276047324706E-01,4.63544175106177E-01,5.55055065315919E-01
2.09572814545798E+01,5.15334538443077E-01,4.99170095236079E-01,5.14671514812567E-01,4.66173455061923E-01,5.51394716296212E-01
2.13368571460942E+01,5.17463470899419E-01,4.89450073643082E-01,5.16990380421417E-01,4.72700680379452E-01,5.41732571809209E-01
2.17164328376086E+01,5.17376547387450E-01,4.81601184916011E-01,5.17087310063103E-01,4.82104909907406E-01,5.27617782464031E-01
2.20960085291230E+01,5.15221259683392E-01,4.76452330345967E-01,5.15095888411127E-01,4.93080432259791E-01,5.11039348114749E-01
2.24755842206374E+01,5.11380452784276E-01,4.74458344834167E-01,5.11390039085273E-01,5.04212872316827E-01,4.94156352825343E-01
2.28551599121518E+01,5.06414788760803E-01,4.75667287022214E-01,5.06525967948551E-01,5.14155137431971E-01,4.79028604095430E-01
2.34273463548792E+01,4.98316449982419E-01,4.82589976209517E-01,4.98517940479082E-01,5.24537605749602E-01,4.63151795307250E-01
