"time","outp","overflw","out_stato"
0.76,0,0,3
0.761,1,1,1
0.762,1,0,2
0.763,0,0,7
0.764,1,0,0
0.765,0,0,4
0.766,0,0,5
0.767,0,0,7
0.768,0,0,3
0.769,1,1,1
0.77,0,0,5
0.771,1,0,6
0.772,1,0,0
0.773,0,0,1
0.774,0,0,5
0.775,0,0,7
0.776,1,0,0
0.777,1,0,1
0.778,0,0,5
0.779,0,0,7
0.78,0,0,3
0.781,0,1,4
0.782,1,0,2
0.783,0,0,7
0.784,0,0,3
0.785,1,1,1
0.786,1,0,2
0.787,1,0,6
0.788,1,0,0
0.789,1,0,1
0.79,1,0,2
0.791,0,0,7
0.792,1,0,0
0.793,0,0,1
0.794,0,0,2
0.795,0,0,6
0.796,1,0,0
0.797,0,0,4
0.798,0,0,5
0.799,0,0,7
0.8,0,0,3
0.801,1,1,1
0.802,1,0,2
0.803,1,0,6
0.804,0,0,3
0.805,1,1,1
0.806,1,0,2
0.807,1,0,6
0.808,1,0,0
0.809,0,0,4
0.81,1,0,2
0.811,0,0,6
0.812,0,0,0
0.813,1,0,1
0.814,0,0,5
0.815,0,0,7
0.816,0,0,3
0.817,0,1,4
0.818,0,0,5
0.819,0,0,7
0.82,1,0,0
0.821,1,0,1
0.822,0,0,2
0.823,0,0,7
0.824,0,0,3
0.825,0,1,4
0.826,0,0,5
0.827,1,0,7
0.828,0,0,3
0.829,0,1,4
0.83,1,0,2
0.831,0,0,7
0.832,0,0,3
0.833,0,1,1
0.834,1,0,2
0.835,1,0,6
0.836,1,0,0
0.837,0,0,1
0.838,0,0,5
0.839,1,0,6
0.84,1,0,0
0.841,1,0,1
0.842,1,0,2
0.843,1,0,6
0.844,1,0,0
0.845,0,0,1
0.846,0,0,5
0.847,0,0,7
0.848,1,0,3
0.849,0,1,4
0.85,0,0,5
0.851,1,0,6
0.852,0,0,0
0.853,1,0,1
0.854,1,0,2
0.855,0,0,6
0.856,0,0,0
0.857,0,0,1
0.858,0,0,5
0.859,1,0,7
0.86,0,0,3
0.861,0,1,1
0.862,0,0,2
0.863,1,0,6
0.864,0,0,3
0.865,0,1,4
0.866,1,0,5
0.867,1,0,6
0.868,1,0,0
0.869,0,0,1
0.87,0,0,2
0.871,1,0,6
0.872,0,0,3
0.873,0,1,1
0.874,0,0,5
0.875,1,0,7
0.876,0,0,3
0.877,0,1,4
0.878,0,0,5
0.879,1,0,7
0.88,1,0,3
0.881,0,1,4
0.882,1,0,5
0.883,1,0,7
0.884,1,0,3
0.885,0,1,4
0.886,1,0,2
0.887,0,0,7
0.888,0,0,3
0.889,1,1,1
0.89,0,0,2
0.891,1,0,6
0.892,0,0,0
0.893,1,0,1
0.894,0,0,2
0.895,0,0,7
0.896,0,0,3
0.897,1,1,1
0.898,1,0,2
0.899,0,0,6
0.9,0,0,0
0.901,0,0,1
0.902,0,0,5
0.903,0,0,7
0.904,1,0,0
0.905,1,0,1
0.906,1,0,2
0.907,1,0,6
0.908,1,0,0
0.909,0,0,4
0.91,1,0,5
0.911,1,0,7
0.912,1,0,0
0.913,1,0,1
0.914,0,0,5
0.915,0,0,7
0.916,1,0,0
0.917,0,0,4
0.918,1,0,2
0.919,1,0,6
0.92,0,0,0
0.921,1,0,1
0.922,0,0,2
0.923,1,0,6
0.924,1,0,0
0.925,0,0,4
0.926,0,0,5
0.927,0,0,7
0.928,1,0,3
0.929,0,1,1
0.93,0,0,5
0.931,0,0,7
0.932,1,0,3
0.933,0,1,4
0.934,1,0,2
0.935,0,0,6
0.936,0,0,3
0.937,1,1,1
0.938,1,0,2
0.939,0,0,6
0.94,0,0,0
0.941,0,0,4
0.942,0,0,5
0.943,1,0,6
0.944,0,0,3
0.945,0,1,4
0.946,0,0,5
0.947,1,0,7
0.948,0,0,3
0.949,0,1,4
0.95,1,0,2
0.951,1,0,6
0.952,0,0,0
0.953,1,0,1
0.954,1,0,2
0.955,1,0,6
0.956,0,0,0
0.957,1,0,1
0.958,0,0,2
0.959,0,0,6
0.96,1,0,0
0.961,0,0,4
0.962,1,0,5
0.963,1,0,7
0.964,0,0,3
0.965,0,1,1
0.966,1,0,2
0.967,0,0,6
0.968,0,0,3
0.969,0,1,1
0.97,1,0,2
0.971,1,0,6
0.972,1,0,0
0.973,0,0,4
0.974,0,0,5
0.975,1,0,7
0.976,0,0,3
0.977,0,1,1
0.978,1,0,2
0.979,1,0,6
0.98,0,0,0
0.981,1,0,1
0.982,1,0,2
0.983,0,0,6
0.984,1,0,0
0.985,1,0,1
0.986,0,0,5
0.987,0,0,7
0.988,0,0,3
0.989,1,1,1
0.99,0,0,5
0.991,0,0,7
0.992,0,0,3
0.993,0,1,1
0.994,0,0,5
0.995,0,0,7
0.996,0,0,3
0.997,0,1,1
0.998,0,0,2
0.999,1,0,6
1,0,0,3
1.001,0,1,1
1.002,0,0,2
1.003,1,0,6
1.004,1,0,0
1.005,1,0,1
1.006,0,0,5
1.007,0,0,7
1.008,0,0,3
1.009,1,1,1
1.01,1,0,2
1.011,1,0,6
1.012,1,0,0
1.013,1,0,1
1.014,0,0,2
1.015,0,0,7
1.016,1,0,3
1.017,1,1,1
1.018,1,0,2
1.019,0,0,7
1.02,1,0,0
1.021,1,0,1
1.022,0,0,5
1.023,1,0,7
1.024,1,0,3
1.025,0,1,1
1.026,0,0,5
1.027,0,0,7
1.028,1,0,3
1.029,1,1,1
1.03,0,0,5
1.031,1,0,6
1.032,0,0,0
1.033,0,0,4
1.034,0,0,5
1.035,0,0,7
1.036,0,0,3
1.037,0,1,1
1.038,0,0,5
1.039,0,0,7
1.04,1,0,0
1.041,1,0,1
1.042,1,0,2
1.043,0,0,7
1.044,0,0,3
1.045,1,1,1
1.046,1,0,2
1.047,1,0,6
1.048,0,0,3
1.049,0,1,4
1.05,1,0,2
1.051,0,0,6
1.052,0,0,0
1.053,0,0,4
1.054,1,0,5
1.055,1,0,6
1.056,0,0,3
1.057,1,1,1
1.058,1,0,2
1.059,0,0,6
1.06,1,0,0
1.061,0,0,1
1.062,0,0,2
1.063,0,0,7
1.064,1,0,0
1.065,0,0,4
1.066,0,0,5
1.067,0,0,7
1.068,1,0,0
1.069,1,0,1
1.07,1,0,2
1.071,0,0,7
1.072,1,0,3
1.073,1,1,1
1.074,1,0,2
1.075,1,0,6
1.076,0,0,3
1.077,1,1,1
1.078,1,0,2
1.079,1,0,6
1.08,1,0,0
1.081,0,0,1
1.082,1,0,2
1.083,0,0,6
1.084,1,0,0
1.085,0,0,4
1.086,1,0,2
1.087,1,0,6
1.088,1,0,0
1.089,0,0,1
1.09,1,0,2
1.091,1,0,6
1.092,0,0,3
1.093,0,1,1
1.094,0,0,5
1.095,0,0,7
1.096,0,0,3
1.097,1,1,1
1.098,1,0,2
1.099,1,0,6
1.1,0,0,3
1.101,1,1,1
1.102,1,0,2
1.103,1,0,6
1.104,0,0,3
1.105,0,1,1
1.106,0,0,5
1.107,1,0,7
1.108,0,0,3
1.109,0,1,4
1.11,1,0,2
1.111,0,0,7
1.112,0,0,3
1.113,0,1,4
1.114,0,0,5
1.115,1,0,6
1.116,0,0,3
1.117,1,1,1
1.118,0,0,2
1.119,1,0,6
1.12,1,0,0
1.121,0,0,4
1.122,0,0,5
1.123,1,0,6
1.124,1,0,0
1.125,1,0,1
1.126,1,0,2
1.127,1,0,6
1.128,1,0,0
1.129,0,0,4
1.13,0,0,5
1.131,0,0,7
1.132,0,0,3
1.133,0,1,4
1.134,1,0,5
1.135,1,0,7
1.136,0,0,3
1.137,0,1,1
1.138,0,0,2
1.139,1,0,6
1.14,1,0,0
1.141,1,0,1
1.142,0,0,5
1.143,1,0,7
1.144,1,0,3
1.145,0,1,4
1.146,0,0,5
1.147,0,0,7
1.148,0,0,3
1.149,0,1,1
1.15,0,0,5
1.151,1,0,7
1.152,0,0,3
1.153,0,1,1
1.154,1,0,2
1.155,0,0,7
1.156,1,0,0
1.157,1,0,1
1.158,1,0,2
1.159,1,0,6
1.16,1,0,0
1.161,1,0,1
1.162,1,0,2
1.163,0,0,6
1.164,1,0,0
1.165,0,0,4
1.166,0,0,5
1.167,1,0,7
1.168,1,0,3
1.169,0,1,1
1.17,1,0,2
1.171,0,0,7
1.172,1,0,0
1.173,0,0,1
1.174,1,0,2
1.175,0,0,6
1.176,0,0,0
1.177,0,0,1
1.178,0,0,5
1.179,1,0,7
1.18,1,0,0
1.181,1,0,1
1.182,0,0,5
1.183,0,0,7
1.184,0,0,3
1.185,0,1,1
1.186,0,0,2
1.187,1,0,6
1.188,1,0,0
1.189,1,0,1
1.19,1,0,2
1.191,0,0,6
1.192,0,0,3
1.193,1,1,1
1.194,0,0,2
1.195,1,0,6
1.196,0,0,3
1.197,1,1,1
1.198,1,0,2
1.199,1,0,6
1.2,1,0,0
1.201,1,0,1
1.202,0,0,2
1.203,0,0,7
1.204,0,0,3
1.205,1,1,1
1.206,1,0,2
1.207,1,0,6
1.208,1,0,0
1.209,0,0,1
1.21,1,0,2
1.211,0,0,6
1.212,1,0,0
1.213,0,0,4
1.214,1,0,2
1.215,1,0,6
1.216,0,0,3
1.217,1,1,1
1.218,0,0,5
1.219,0,0,7
1.22,0,0,3
1.221,0,1,4
1.222,0,0,5
1.223,0,0,7
1.224,0,0,3
1.225,1,1,1
1.226,0,0,5
1.227,0,0,7
1.228,1,0,0
1.229,0,0,1
1.23,1,0,2
1.231,1,0,6
1.232,0,0,0
1.233,1,0,1
1.234,1,0,2
1.235,1,0,6
1.236,0,0,3
1.237,0,1,4
1.238,0,0,5
1.239,1,0,7
1.24,1,0,3
1.241,1,1,1
1.242,1,0,2
1.243,0,0,7
1.244,1,0,0
1.245,1,0,1
1.246,0,0,2
1.247,1,0,6
1.248,1,0,0
1.249,1,0,1
1.25,1,0,2
1.251,0,0,7
1.252,0,0,3
1.253,0,1,1
1.254,1,0,2
1.255,0,0,6
1.256,1,0,0
1.257,1,0,1
1.258,0,0,5
1.259,0,0,7
1.26,1,0,3
1.261,1,1,1
1.262,1,0,2
1.263,0,0,7
1.264,1,0,0
1.265,1,0,1
1.266,0,0,2
1.267,0,0,7
1.268,0,0,3
1.269,0,1,1
1.27,0,0,5
1.271,0,0,7
1.272,0,0,3
1.273,0,1,4
1.274,1,0,2
1.275,1,0,6
1.276,1,0,0
1.277,1,0,1
1.278,1,0,2
1.279,1,0,6
1.28,1,0,0
1.281,0,0,1
1.282,0,0,2
1.283,1,0,6
1.284,1,0,0
1.285,1,0,1
1.286,1,0,2
1.287,0,0,7
1.288,0,0,3
1.289,1,1,1
1.29,1,0,2
1.291,1,0,6
1.292,1,0,0
1.293,0,0,1
1.294,1,0,2
1.295,1,0,6
1.296,0,0,3
1.297,0,1,1
1.298,1,0,2
1.299,1,0,6
1.3,0,0,3
1.301,1,1,1
1.302,0,0,2
1.303,1,0,6
1.304,0,0,3
1.305,1,1,1
1.306,0,0,5
1.307,1,0,6
1.308,1,0,0
1.309,1,0,1
1.31,0,0,2
1.311,0,0,6
1.312,0,0,0
1.313,0,0,4
1.314,1,0,5
1.315,1,0,6
1.316,1,0,0
1.317,0,0,4
1.318,1,0,5
1.319,0,0,7
1.32,1,0,0
1.321,0,0,1
1.322,0,0,2
1.323,0,0,6
1.324,0,0,3
1.325,1,1,1
1.326,0,0,2
1.327,1,0,6
1.328,1,0,0
1.329,1,0,1
1.33,0,0,5
1.331,1,0,6
1.332,1,0,0
1.333,0,0,4
1.334,0,0,5
1.335,1,0,6
1.336,0,0,0
1.337,0,0,4
1.338,0,0,5
1.339,1,0,7
1.34,0,0,3
1.341,1,1,1
1.342,0,0,5
1.343,0,0,7
1.344,0,0,3
1.345,0,1,1
1.346,0,0,5
1.347,1,0,6
1.348,0,0,0
1.349,0,0,4
1.35,1,0,2
1.351,1,0,6
1.352,0,0,0
1.353,1,0,1
1.354,0,0,2
1.355,0,0,6
1.356,0,0,0
1.357,0,0,4
1.358,0,0,5
1.359,1,0,6
1.36,1,0,0
1.361,1,0,1
1.362,1,0,2
1.363,0,0,6
1.364,1,0,0
1.365,0,0,1
1.366,1,0,2
1.367,1,0,6
1.368,1,0,0
1.369,0,0,1
1.37,1,0,2
1.371,1,0,6
1.372,1,0,0
1.373,1,0,1
1.374,0,0,5
1.375,0,0,7
1.376,0,0,3
1.377,1,1,1
1.378,0,0,2
1.379,1,0,6
1.38,0,0,0
1.381,1,0,1
1.382,0,0,2
1.383,0,0,7
1.384,0,0,3
1.385,0,1,4
1.386,0,0,5
1.387,0,0,7
1.388,1,0,0
1.389,0,0,1
1.39,1,0,2
1.391,0,0,7
1.392,1,0,3
1.393,0,1,1
1.394,0,0,2
1.395,1,0,6
1.396,1,0,0
