    "time",   "der_p",   "der_T"
     0.616, 1786.4552,-1.1983488
     0.618, 1786.8276,-1.1376586
      0.62, 1786.6618,-1.0766078
     0.622, 1785.9501,-1.0152058
     0.624,  1784.685,-0.95346199
     0.626,  1782.859,-0.89138553
     0.628, 1780.4647,-0.82898578
      0.63, 1777.4944,-0.76627205
     0.632, 1773.9407,-0.70325364
     0.634, 1769.7961,-0.63993986
     0.636,  1765.053,  -0.57634
     0.638,  1759.704,-0.51246339
      0.64, 1753.7415,-0.44831931
     0.642, 1747.1581,-0.38391706
     0.644, 1739.9461,-0.31926595
     0.646, 1732.0981,-0.25437528
     0.648, 1723.6066,-0.18925435
      0.65, 1714.4641,-0.12391245
     0.652,  1704.663,-0.05835888
     0.654, 1694.1959,0.0073970616
     0.656, 1683.0552,0.07334608
     0.658, 1671.2334,0.13947888
      0.66, 1658.7231,0.20578617
     0.662, 1645.5166,0.27225865
     0.664, 1631.6065,0.33888704
     0.666, 1616.9853,0.40566204
     0.668, 1601.6454,0.47257435
      0.67, 1585.5794, 0.5396147
     0.672, 1568.7797, 0.6067738
     0.674, 1551.2388,0.67404234
     0.676, 1532.9493,0.74141105
     0.678, 1513.9035,0.80887064
      0.68,  1494.094,0.87641183
     0.682, 1473.5133,0.94402533
     0.684, 1452.1539, 1.0117018
     0.686, 1430.0082, 1.0794321
     0.688, 1407.0688, 1.1472068
      0.69, 1383.3281, 1.2150167
     0.692, 1358.7786, 1.2828525
     0.694, 1333.4128, 1.3507049
     0.696, 1307.2232, 1.4185647
     0.698, 1280.2023, 1.4864225
       0.7, 1252.3426, 1.5542691
     0.702, 1252.3393, 1.5542142
     0.704, 1252.3361, 1.5541594
     0.706, 1252.3328, 1.5541045
     0.708, 1252.3295, 1.5540496
      0.71, 1252.3262, 1.5539948
     0.712, 1252.3229, 1.5539399
     0.714, 1252.3197,  1.553885
     0.716, 1252.3164, 1.5538302
     0.718, 1252.3131, 1.5537753
      0.72, 1252.3098, 1.5537205
     0.722, 1252.3066, 1.5536656
     0.724, 1252.3033, 1.5536108
     0.726,    1252.3, 1.5535559
     0.728, 1252.2967, 1.5535011
      0.73, 1252.2934, 1.5534463
     0.732, 1252.2902, 1.5533914
     0.734, 1252.2869, 1.5533366
     0.736, 1252.2836, 1.5532818
     0.738, 1252.2803,  1.553227
      0.74, 1252.2771, 1.5531721
     0.742, 1252.2738, 1.5531173
     0.744, 1252.2705, 1.5530625
     0.746, 1252.2672, 1.5530077
     0.748,  1252.264, 1.5529529
      0.75, 1252.2607, 1.5528981
     0.752, 1252.2574, 1.5528433
     0.754, 1252.2541, 1.5527885
     0.756, 1252.2509, 1.5527337
     0.758, 1252.2476, 1.5526789
      0.76, 1252.2443, 1.5526241
     0.762,  1252.241, 1.5525693
     0.764, 1252.2378, 1.5525145
     0.766, 1252.2345, 1.5524598
     0.768, 1252.2312,  1.552405
      0.77,  1252.228, 1.5523502
     0.772, 1252.2247, 1.5522954
     0.774, 1252.2214, 1.5522407
     0.776, 1252.2181, 1.5521859
     0.778, 1252.2149, 1.5521311
      0.78, 1252.2116, 1.5520764
     0.782, 1252.2083, 1.5520216
     0.784, 1252.2051, 1.5519669
     0.786, 1252.2018, 1.5519121
     0.788, 1252.1985, 1.5518574
      0.79, 1252.1952, 1.5518026
     0.792,  1252.192, 1.5517479
     0.794, 1252.1887, 1.5516931
     0.796, 1252.1854, 1.5516384
     0.798, 1252.1822, 1.5515837
