"time",	"e",	"g",	"der(h)",	"der(v)",	"h",	"v"
0.87,	0.7,	9.81,	-0.86328,	-9.81,	0.4753612,	-0.86328
0.88,	0.7,	9.81,	-0.96138,	-9.81,	0.4667284,	-0.96138
0.89,	0.7,	9.81,	-1.05948,	-9.81,	0.4571146,	-1.05948
0.9,	0.7,	9.81,	-1.15758,	-9.81,	0.4465198,	-1.15758
0.91,	0.7,	9.81,	-1.25568,	-9.81,	0.434944,	-1.25568
0.92,	0.7,	9.81,	-1.35378,	-9.81,	0.4223872,	-1.35378
0.93,	0.7,	9.81,	-1.45188,	-9.81,	0.4088494,	-1.45188
0.94,	0.7,	9.81,	-1.54998,	-9.81,	0.3943306,	-1.54998
0.95,	0.7,	9.81,	-1.64808,	-9.81,	0.3788308,	-1.64808
0.96,	0.7,	9.81,	-1.74618,	-9.81,	0.36235,	-1.74618
0.97,	0.7,	9.81,	-1.84428,	-9.81,	0.3448882,	-1.84428
0.98,	0.7,	9.81,	-1.94238,	-9.81,	0.3264454,	-1.94238
0.99,	0.7,	9.81,	-2.04048,	-9.81,	0.3070216,	-2.04048
1,	0.7,	9.81,	-2.13858,	-9.81,	0.2866168,	-2.13858
1.01,	0.7,	9.81,	-2.23668,	-9.81,	0.265231,	-2.23668
1.02,	0.7,	9.81,	-2.33478,	-9.81,	0.2428642,	-2.33478
1.03,	0.7,	9.81,	-2.43288,	-9.81,	0.2195164,	-2.43288
1.04,	0.7,	9.81,	-2.53098,	-9.81,	0.1951876,	-2.53098
1.05,	0.7,	9.81,	-2.62908,	-9.81,	0.1698778,	-2.62908
1.06,	0.7,	9.81,	-2.72718,	-9.81,	0.143587,	-2.72718
1.07,	0.7,	9.81,	-2.82528,	-9.81,	0.1163152,	-2.82528
1.08,	0.7,	9.81,	-2.92338,	-9.81,	0.0880624,	-2.92338
1.09,	0.7,	9.81,	-3.02148,	-9.81,	0.0588286,	-3.02148
1.1,	0.7,	9.81,	-3.11958,	-9.81,	0.0286138,	-3.11958
1.11,	0.7,	9.81,	-3.21768,	-9.81,	-0.002582,	-3.21768
1.12,	0.7,	9.81,	2.154276,	-9.81,	0.0199418,	2.154276
1.13,	0.7,	9.81,	2.056176,	-9.81,	0.0414845,	2.056176
1.14,	0.7,	9.81,	1.958076,	-9.81,	0.0620463,	1.958076
1.15,	0.7,	9.81,	1.859976,	-9.81,	0.081627,	1.859976
1.16,	0.7,	9.81,	1.761876,	-9.81,	0.1002268,	1.761876
1.17,	0.7,	9.81,	1.663776,	-9.81,	0.1178456,	1.663776
1.18,	0.7,	9.81,	1.565676,	-9.81,	0.1344833,	1.565676
1.19,	0.7,	9.81,	1.467576,	-9.81,	0.1501401,	1.467576
1.2,	0.7,	9.81,	1.369476,	-9.81,	0.1648158,	1.369476
1.21,	0.7,	9.81,	1.271376,	-9.81,	0.1785106,	1.271376
1.22,	0.7,	9.81,	1.173276,	-9.81,	0.1912244,	1.173276
1.23,	0.7,	9.81,	1.075176,	-9.81,	0.2029571,	1.075176
1.24,	0.7,	9.81,	0.977076,	-9.81,	0.2137089,	0.977076
1.25,	0.7,	9.81,	0.878976,	-9.81,	0.2234796,	0.878976
1.26,	0.7,	9.81,	0.780876,	-9.81,	0.2322694,	0.780876
1.27,	0.7,	9.81,	0.682776,	-9.81,	0.2400782,	0.682776
1.28,	0.7,	9.81,	0.584676,	-9.81,	0.2469059,	0.584676
1.29,	0.7,	9.81,	0.486576,	-9.81,	0.2527527,	0.486576
1.3,	0.7,	9.81,	0.388476,	-9.81,	0.2576184,	0.388476
1.31,	0.7,	9.81,	0.290376,	-9.81,	0.2615032,	0.290376
1.32,	0.7,	9.81,	0.192276,	-9.81,	0.264407,	0.192276
1.33,	0.7,	9.81,	0.094176,	-9.81,	0.2663297,	0.094176
1.34,	0.7,	9.81,	-0.003924,	-9.81,	0.2672715,	-0.003924
1.35,	0.7,	9.81,	-0.102024,	-9.81,	0.2672322,	-0.102024
1.36,	0.7,	9.81,	-0.200124,	-9.81,	0.266212,	-0.200124
1.37,	0.7,	9.81,	-0.298224,	-9.81,	0.2642108,	-0.298224
1.38,	0.7,	9.81,	-0.396324,	-9.81,	0.2612285,	-0.396324
1.39,	0.7,	9.81,	-0.494424,	-9.81,	0.2572653,	-0.494424
1.4,	0.7,	9.81,	-0.592524,	-9.81,	0.252321,	-0.592524
1.41,	0.7,	9.81,	-0.690624,	-9.81,	0.2463958,	-0.690624
1.42,	0.7,	9.81,	-0.788724,	-9.81,	0.2394896,	-0.788724
1.43,	0.7,	9.81,	-0.886824,	-9.81,	0.2316023,	-0.886824
1.44,	0.7,	9.81,	-0.984924,	-9.81,	0.2227341,	-0.984924
1.45,	0.7,	9.81,	-1.083024,	-9.81,	0.2128848,	-1.083024
1.46,	0.7,	9.81,	-1.181124,	-9.81,	0.2020546,	-1.181124
1.47,	0.7,	9.81,	-1.279224,	-9.81,	0.1902434,	-1.279224
1.48,	0.7,	9.81,	-1.377324,	-9.81,	0.1774511,	-1.377324
1.49,	0.7,	9.81,	-1.475424,	-9.81,	0.1636779,	-1.475424
1.5,	0.7,	9.81,	-1.573524,	-9.81,	0.1489236,	-1.573524
1.51,	0.7,	9.81,	-1.671624,	-9.81,	0.1331884,	-1.671624
1.52,	0.7,	9.81,	-1.769724,	-9.81,	0.1164722,	-1.769724
1.53,	0.7,	9.81,	-1.867824,	-9.81,	0.0987749,	-1.867824
1.54,	0.7,	9.81,	-1.965924,	-9.81,	0.0800967,	-1.965924
1.55,	0.7,	9.81,	-2.064024,	-9.81,	0.0604374,	-2.064024
1.56,	0.7,	9.81,	-2.162124,	-9.81,	0.0397972,	-2.162124
1.57,	0.7,	9.81,	-2.260224,	-9.81,	0.018176,	-2.260224
1.58,	0.7,	9.81,	-2.358324,	-9.81,	-0.0044263,	-2.358324
1.59,	0.7,	9.81,	1.552727,	-9.81,	0.012082,	1.552727
1.6,	0.7,	9.81,	1.454627,	-9.81,	0.0276093,	1.454627
1.61,	0.7,	9.81,	1.356527,	-9.81,	0.0421555,	1.356527
1.62,	0.7,	9.81,	1.258427,	-9.81,	0.0557208,	1.258427
1.63,	0.7,	9.81,	1.160327,	-9.81,	0.0683051,	1.160327
1.64,	0.7,	9.81,	1.062227,	-9.81,	0.0799083,	1.062227
1.65,	0.7,	9.81,	0.9641268,	-9.81,	0.0905306,	0.9641268
1.66,	0.7,	9.81,	0.8660268,	-9.81,	0.1001719,	0.8660268
1.67,	0.7,	9.81,	0.7679268,	-9.81,	0.1088321,	0.7679268
1.68,	0.7,	9.81,	0.6698268,	-9.81,	0.1165114,	0.6698268
1.69,	0.7,	9.81,	0.5717268,	-9.81,	0.1232097,	0.5717268
1.7,	0.7,	9.81,	0.4736268,	-9.81,	0.1289269,	0.4736268
1.71,	0.7,	9.81,	0.3755268,	-9.81,	0.1336632,	0.3755268
1.72,	0.7,	9.81,	0.2774268,	-9.81,	0.1374185,	0.2774268
1.73,	0.7,	9.81,	0.1793268,	-9.81,	0.1401927,	0.1793268
1.74,	0.7,	9.81,	0.0812268,	-9.81,	0.141986,	0.0812268
1.75,	0.7,	9.81,	-0.0168732,	-9.81,	0.1427983,	-0.0168732
1.76,	0.7,	9.81,	-0.1149732,	-9.81,	0.1426295,	-0.1149732
1.77,	0.7,	9.81,	-0.2130732,	-9.81,	0.1414798,	-0.2130732
1.78,	0.7,	9.81,	-0.3111732,	-9.81,	0.1393491,	-0.3111732
1.79,	0.7,	9.81,	-0.4092732,	-9.81,	0.1362373,	-0.4092732
1.8,	0.7,	9.81,	-0.5073732,	-9.81,	0.1321446,	-0.5073732
1.81,	0.7,	9.81,	-0.6054732,	-9.81,	0.1270709,	-0.6054732
1.82,	0.7,	9.81,	-0.7035732,	-9.81,	0.1210162,	-0.7035732
1.83,	0.7,	9.81,	-0.8016732,	-9.81,	0.1139804,	-0.8016732
1.84,	0.7,	9.81,	-0.8997732,	-9.81,	0.1059637,	-0.8997732
1.85,	0.7,	9.81,	-0.9978732,	-9.81,	0.096966,	-0.9978732
1.86,	0.7,	9.81,	-1.095973,	-9.81,	0.0869872,	-1.095973
1.87,	0.7,	9.81,	-1.194073,	-9.81,	0.0760275,	-1.194073
1.88,	0.7,	9.81,	-1.292173,	-9.81,	0.0640868,	-1.292173
1.89,	0.7,	9.81,	-1.390273,	-9.81,	0.051165,	-1.390273
1.9,	0.7,	9.81,	-1.488373,	-9.81,	0.0372623,	-1.488373
1.91,	0.7,	9.81,	-1.586473,	-9.81,	0.0223786,	-1.586473
1.92,	0.7,	9.81,	-1.684573,	-9.81,	0.0065138,	-1.684573
1.93,	0.7,	9.81,	-1.782673,	-9.81,	-0.0103319,	-1.782673
1.94,	0.7,	9.81,	1.149771,	-9.81,	0.0021468,	1.149771
1.95,	0.7,	9.81,	1.051671,	-9.81,	0.0136445,	1.051671
1.96,	0.7,	9.81,	0.9535712,	-9.81,	0.0241612,	0.9535712
1.97,	0.7,	9.81,	0.8554712,	-9.81,	0.0336969,	0.8554712
1.98,	0.7,	9.81,	0.7573712,	-9.81,	0.0422517,	0.7573712
1.99,	0.7,	9.81,	0.6592712,	-9.81,	0.0498254,	0.6592712
2,	0.7,	9.81,	0.5611712,	-9.81,	0.0564181,	0.5611712
2.01,	0.7,	9.81,	0.4630712,	-9.81,	0.0620298,	0.4630712
2.02,	0.7,	9.81,	0.3649712,	-9.81,	0.0666605,	0.3649712
2.03,	0.7,	9.81,	0.2668712,	-9.81,	0.0703102,	0.2668712
2.04,	0.7,	9.81,	0.1687712,	-9.81,	0.0729789,	0.1687712
2.05,	0.7,	9.81,	0.0706712,	-9.81,	0.0746666,	0.0706712
2.06,	0.7,	9.81,	-0.0274288,	-9.81,	0.0753734,	-0.0274288
2.07,	0.7,	9.81,	-0.1255288,	-9.81,	0.0750991,	-0.1255288
2.08,	0.7,	9.81,	-0.2236288,	-9.81,	0.0738438,	-0.2236288
2.09,	0.7,	9.81,	-0.3217288,	-9.81,	0.0716075,	-0.3217288
2.1,	0.7,	9.81,	-0.4198288,	-9.81,	0.0683902,	-0.4198288
2.11,	0.7,	9.81,	-0.5179288,	-9.81,	0.0641919,	-0.5179288
2.12,	0.7,	9.81,	-0.6160288,	-9.81,	0.0590126,	-0.6160288
2.13,	0.7,	9.81,	-0.7141288,	-9.81,	0.0528523,	-0.7141288
2.14,	0.7,	9.81,	-0.8122288,	-9.81,	0.0457111,	-0.8122288
2.15,	0.7,	9.81,	-0.9103288,	-9.81,	0.0375888,	-0.9103288
2.16,	0.7,	9.81,	-1.008429,	-9.81,	0.0284855,	-1.008429
2.17,	0.7,	9.81,	-1.106529,	-9.81,	0.0184012,	-1.106529
2.18,	0.7,	9.81,	-1.204629,	-9.81,	0.0073359,	-1.204629
2.19,	0.7,	9.81,	-1.302729,	-9.81,	-0.0047104,	-1.302729
2.2,	0.7,	9.81,	0.8138101,	-9.81,	0.0044087,	0.8138101
2.21,	0.7,	9.81,	0.7157101,	-9.81,	0.0125468,	0.7157101
2.22,	0.7,	9.81,	0.6176101,	-9.81,	0.0197039,	0.6176101
2.23,	0.7,	9.81,	0.5195101,	-9.81,	0.02588,	0.5195101
2.24,	0.7,	9.81,	0.4214101,	-9.81,	0.0310751,	0.4214101
2.25,	0.7,	9.81,	0.3233101,	-9.81,	0.0352892,	0.3233101
2.26,	0.7,	9.81,	0.2252101,	-9.81,	0.0385223,	0.2252101
2.27,	0.7,	9.81,	0.1271101,	-9.81,	0.0407744,	0.1271101
2.28,	0.7,	9.81,	0.0290101,	-9.81,	0.0420455,	0.0290101
2.29,	0.7,	9.81,	-0.0690899,	-9.81,	0.0423356,	-0.0690899
2.3,	0.7,	9.81,	-0.1671899,	-9.81,	0.0416447,	-0.1671899
2.31,	0.7,	9.81,	-0.2652899,	-9.81,	0.0399728,	-0.2652899
2.32,	0.7,	9.81,	-0.3633899,	-9.81,	0.0373199,	-0.3633899
2.33,	0.7,	9.81,	-0.4614899,	-9.81,	0.033686,	-0.4614899
2.34,	0.7,	9.81,	-0.5595899,	-9.81,	0.0290711,	-0.5595899
2.35,	0.7,	9.81,	-0.6576899,	-9.81,	0.0234752,	-0.6576899
2.36,	0.7,	9.81,	-0.7557899,	-9.81,	0.0168983,	-0.7557899
2.37,	0.7,	9.81,	-0.8538899,	-9.81,	0.0093404,	-0.8538899
2.38,	0.7,	9.81,	-0.9519899,	-9.81,	0.0008015,	-0.9519899
2.39,	0.7,	9.81,	-1.05009,	-9.81,	-0.0087184,	-1.05009
2.4,	0.7,	9.81,	0.6369629,	-9.81,	-0.0013677,	0.6369629
2.41,	0.7,	9.81,	0.5388629,	-9.81,	0.0050019,	0.5388629
2.42,	0.7,	9.81,	0.4407629,	-9.81,	0.0103905,	0.4407629
2.43,	0.7,	9.81,	0.3426629,	-9.81,	0.0147982,	0.3426629
2.44,	0.7,	9.81,	0.2445629,	-9.81,	0.0182248,	0.2445629
2.45,	0.7,	9.81,	0.1464629,	-9.81,	0.0206704,	0.1464629
2.46,	0.7,	9.81,	0.0483629,	-9.81,	0.0221351,	0.0483629
2.47,	0.7,	9.81,	-0.0497371,	-9.81,	0.0226187,	-0.0497371
2.48,	0.7,	9.81,	-0.1478371,	-9.81,	0.0221213,	-0.1478371
2.49,	0.7,	9.81,	-0.2459371,	-9.81,	0.0206429,	-0.2459371
2.5,	0.7,	9.81,	-0.3440371,	-9.81,	0.0181836,	-0.3440371
2.51,	0.7,	9.81,	-0.4421371,	-9.81,	0.0147432,	-0.4421371
2.52,	0.7,	9.81,	-0.5402371,	-9.81,	0.0103218,	-0.5402371
2.53,	0.7,	9.81,	-0.6383371,	-9.81,	0.0049195,	-0.6383371
2.54,	0.7,	9.81,	-0.7364371,	-9.81,	-0.0014639,	-0.7364371
2.55,	0.7,	9.81,	0.417406,	-9.81,	0.0036911,	0.417406
2.56,	0.7,	9.81,	0.319306,	-9.81,	0.0078652,	0.319306
2.57,	0.7,	9.81,	0.221206,	-9.81,	0.0110583,	0.221206
2.58,	0.7,	9.81,	0.123106,	-9.81,	0.0132703,	0.123106
2.59,	0.7,	9.81,	0.025006,	-9.81,	0.0145014,	0.025006
2.6,	0.7,	9.81,	-0.073094,	-9.81,	0.0147514,	-0.073094
2.61,	0.7,	9.81,	-0.171194,	-9.81,	0.0140205,	-0.171194
2.62,	0.7,	9.81,	-0.269294,	-9.81,	0.0123086,	-0.269294
2.63,	0.7,	9.81,	-0.367394,	-9.81,	0.0096156,	-0.367394
2.64,	0.7,	9.81,	-0.465494,	-9.81,	0.0059417,	-0.465494
2.65,	0.7,	9.81,	-0.563594,	-9.81,	0.0012867,	-0.563594
2.66,	0.7,	9.81,	-0.661694,	-9.81,	-0.0043492,	-0.661694
2.67,	0.7,	9.81,	0.3650858,	-9.81,	0.0002827,	0.3650858
2.68,	0.7,	9.81,	0.2669858,	-9.81,	0.0039335,	0.2669858
2.69,	0.7,	9.81,	0.1688858,	-9.81,	0.0066034,	0.1688858
2.7,	0.7,	9.81,	0.0707858,	-9.81,	0.0082922,	0.0707858
2.71,	0.7,	9.81,	-0.0273142,	-9.81,	0.0090001,	-0.0273142
2.72,	0.7,	9.81,	-0.1254142,	-9.81,	0.008727,	-0.1254142
2.73,	0.7,	9.81,	-0.2235142,	-9.81,	0.0074728,	-0.2235142
2.74,	0.7,	9.81,	-0.3216142,	-9.81,	0.0052377,	-0.3216142
2.75,	0.7,	9.81,	-0.4197142,	-9.81,	0.0020215,	-0.4197142
2.76,	0.7,	9.81,	-0.5178142,	-9.81,	-0.0021756,	-0.5178142
2.77,	0.7,	9.81,	0.2643699,	-9.81,	0.0014491,	0.2643699
2.78,	0.7,	9.81,	0.1662699,	-9.81,	0.0040928,	0.1662699
2.79,	0.7,	9.81,	0.0681699,	-9.81,	0.0057555,	0.0681699
2.8,	0.7,	9.81,	-0.0299301,	-9.81,	0.0064372,	-0.0299301
2.81,	0.7,	9.81,	-0.1280301,	-9.81,	0.0061379,	-0.1280301
2.82,	0.7,	9.81,	-0.2261301,	-9.81,	0.0048576,	-0.2261301
2.83,	0.7,	9.81,	-0.3242301,	-9.81,	0.0025963,	-0.3242301
2.84,	0.7,	9.81,	-0.4223301,	-9.81,	-0.000646,	-0.4223301
2.85,	0.7,	9.81,	0.1975311,	-9.81,	0.0023103,	0.1975311
2.86,	0.7,	9.81,	0.0994311,	-9.81,	0.0042856,	0.0994311
2.87,	0.7,	9.81,	0.0013311,	-9.81,	0.0052799,	0.0013311
2.88,	0.7,	9.81,	-0.0967689,	-9.81,	0.0052932,	-0.0967689
2.89,	0.7,	9.81,	-0.1948689,	-9.81,	0.0043255,	-0.1948689
2.9,	0.7,	9.81,	-0.2929689,	-9.81,	0.0023768,	-0.2929689
2.91,	0.7,	9.81,	-0.3910689,	-9.81,	-0.0005528,	-0.3910689
2.92,	0.7,	9.81,	0.1756483,	-9.81,	0.0021846,	0.1756483
2.93,	0.7,	9.81,	0.0775483,	-9.81,	0.0039411,	0.0775483
2.94,	0.7,	9.81,	-0.0205517,	-9.81,	0.0047166,	-0.0205517
2.95,	0.7,	9.81,	-0.1186517,	-9.81,	0.0045111,	-0.1186517
2.96,	0.7,	9.81,	-0.2167517,	-9.81,	0.0033246,	-0.2167517
2.97,	0.7,	9.81,	-0.3148517,	-9.81,	0.001157,	-0.3148517
2.98,	0.7,	9.81,	-0.4129517,	-9.81,	-0.0019915,	-0.4129517
2.99,	0.7,	9.81,	0.1909662,	-9.81,	0.0008992,	0.1909662
3,	0.7,	9.81,	0.0928662,	-9.81,	0.0028089,	0.0928662
3.01,	0.7,	9.81,	-0.0052338,	-9.81,	0.0037375,	-0.0052338
3.02,	0.7,	9.81,	-0.1033338,	-9.81,	0.0036852,	-0.1033338
3.03,	0.7,	9.81,	-0.2014338,	-9.81,	0.0026518,	-0.2014338
3.04,	0.7,	9.81,	-0.2995338,	-9.81,	0.0006375,	-0.2995338
3.05,	0.7,	9.81,	-0.3976338,	-9.81,	-0.0023578,	-0.3976338
3.06,	0.7,	9.81,	0.1802436,	-9.81,	0.0004256,	0.1802436
3.07,	0.7,	9.81,	0.0821436,	-9.81,	0.002228,	0.0821436
3.08,	0.7,	9.81,	-0.0159564,	-9.81,	0.0030495,	-0.0159564
3.09,	0.7,	9.81,	-0.1140564,	-9.81,	0.0028899,	-0.1140564
3.1,	0.7,	9.81,	-0.2121564,	-9.81,	0.0017493,	-0.2121564
3.11,	0.7,	9.81,	-0.3102564,	-9.81,	-0.0003722,	-0.3102564
3.12,	0.7,	9.81,	0.1190794,	-9.81,	0.0017996,	0.1190794
3.13,	0.7,	9.81,	0.0209794,	-9.81,	0.0029904,	0.0209794
3.14,	0.7,	9.81,	-0.0771206,	-9.81,	0.0032002,	-0.0771206
3.15,	0.7,	9.81,	-0.1752206,	-9.81,	0.002429,	-0.1752206
3.16,	0.7,	9.81,	-0.2733206,	-9.81,	0.0006768,	-0.2733206
3.17,	0.7,	9.81,	-0.3714206,	-9.81,	-0.0020565,	-0.3714206
3.18,	0.7,	9.81,	0.1618944,	-9.81,	0.0005435,	0.1618944
3.19,	0.7,	9.81,	0.0637944,	-9.81,	0.0021624,	0.0637944
3.2,	0.7,	9.81,	-0.0343056,	-9.81,	0.0028004,	-0.0343056
3.21,	0.7,	9.81,	-0.1324056,	-9.81,	0.0024573,	-0.1324056
3.22,	0.7,	9.81,	-0.2305056,	-9.81,	0.0011333,	-0.2305056
3.23,	0.7,	9.81,	-0.3286056,	-9.81,	-0.0011718,	-0.3286056
3.24,	0.7,	9.81,	0.1319239,	-9.81,	0.0011285,	0.1319239
3.25,	0.7,	9.81,	0.0338239,	-9.81,	0.0024477,	0.0338239
3.26,	0.7,	9.81,	-0.0642761,	-9.81,	0.0027859,	-0.0642761
3.27,	0.7,	9.81,	-0.1623761,	-9.81,	0.0021432,	-0.1623761
3.28,	0.7,	9.81,	-0.2604761,	-9.81,	0.0005194,	-0.2604761
3.29,	0.7,	9.81,	-0.3585761,	-9.81,	-0.0020854,	-0.3585761
3.3,	0.7,	9.81,	0.1529032,	-9.81,	0.0004247,	0.1529032
3.31,	0.7,	9.81,	0.0548032,	-9.81,	0.0019537,	0.0548032
3.32,	0.7,	9.81,	-0.0432968,	-9.81,	0.0025017,	-0.0432968
3.33,	0.7,	9.81,	-0.1413968,	-9.81,	0.0020688,	-0.1413968
3.34,	0.7,	9.81,	-0.2394968,	-9.81,	0.0006548,	-0.2394968
3.35,	0.7,	9.81,	-0.3375968,	-9.81,	-0.0017402,	-0.3375968
3.36,	0.7,	9.81,	0.1382177,	-9.81,	0.000623,	0.1382177
3.37,	0.7,	9.81,	0.0401177,	-9.81,	0.0020052,	0.0401177
3.38,	0.7,	9.81,	-0.0579823,	-9.81,	0.0024064,	-0.0579823
3.39,	0.7,	9.81,	-0.1560823,	-9.81,	0.0018266,	-0.1560823
