    "time","outputs[1]","outputs[2]"
     0.625,        25, 25.987325
     0.626,        25, 25.996496
     0.627,        25, 26.005667
     0.628,        25, 26.005066
     0.629,        25, 26.004466
      0.63,        25, 26.003865
     0.631,        25, 26.003265
     0.632,        25, 26.002665
     0.633,        25, 26.002064
     0.634,        25, 26.001464
     0.635,        25, 26.000864
     0.636,        25, 26.000264
     0.637,        25, 25.999664
     0.638,        25, 25.999064
     0.639,        25, 25.998464
      0.64,        25, 25.997864
     0.641,        25, 25.997265
     0.642,        25, 25.996665
     0.643,        25, 25.996065
     0.644,        25, 25.995466
     0.645,        25, 25.994866
     0.646,        25, 25.994266
     0.647,        25, 25.993667
     0.648,        25, 25.993068
     0.649,        25, 25.992468
      0.65,        25, 25.991869
     0.651,        25,  25.99127
     0.652,        25, 25.990671
     0.653,        25, 25.990072
     0.654,        25, 25.989473
     0.655,        25, 25.988874
     0.656,        25, 25.988275
     0.657,        25, 25.987676
     0.658,        25, 25.987077
     0.659,        25, 25.986479
      0.66,        25,  25.98588
     0.661,        25, 25.985281
     0.662,        25, 25.984683
     0.663,        25, 25.984084
     0.664,        25, 25.983486
     0.665,        25, 25.982888
     0.666,        25, 25.982289
     0.667,        25, 25.981691
     0.668,        25, 25.981093
     0.669,        25, 25.980495
      0.67,        25, 25.979897
     0.671,        25, 25.979299
     0.672,        25, 25.978701
     0.673,        25, 25.978103
     0.674,        25, 25.977505
     0.675,        25, 25.976907
     0.676,        25,  25.97631
     0.677,        25, 25.975712
     0.678,        25, 25.975115
     0.679,        25, 25.974517
      0.68,        25,  25.97392
     0.681,        25, 25.973322
     0.682,        25, 25.972725
     0.683,        25, 25.972128
     0.684,        25,  25.97153
     0.685,        25, 25.970933
     0.686,        25, 25.970336
     0.687,        25, 25.969739
     0.688,        25, 25.969142
     0.689,        25, 25.968545
      0.69,        25, 25.967948
     0.691,        25, 25.967352
     0.692,        25, 25.966755
     0.693,        25, 25.966158
     0.694,        25, 25.965562
     0.695,        25, 25.964965
     0.696,        25, 25.964368
     0.697,        25, 25.963772
     0.698,        25, 25.963176
     0.699,        25, 25.962579
       0.7,        25, 25.961983
     0.701,        25, 25.961387
     0.702,        25, 25.960791
     0.703,        25, 25.960195
     0.704,        25, 25.959599
     0.705,        25, 25.959003
     0.706,        25, 25.958407
     0.707,        25, 25.957811
     0.708,        25, 25.957215
     0.709,        25, 25.956619
      0.71,        25, 25.956024
     0.711,        25, 25.955428
     0.712,        25, 25.954833
     0.713,        25, 25.954237
     0.714,        25, 25.953642
     0.715,        25, 25.953046
     0.716,        25, 25.952451
     0.717,        25, 25.951856
     0.718,        25, 25.951261
     0.719,        25, 25.950666
      0.72,        25,  25.95007
     0.721,        25, 25.949475
     0.722,        25,  25.94888
     0.723,        25, 25.948286
     0.724,        25, 25.947691
     0.725,        25, 25.947096
     0.726,        25, 25.946501
     0.727,        25, 25.945907
     0.728,        25, 25.945312
     0.729,        25, 25.944718
      0.73,        25, 25.944123
     0.731,        25, 25.943529
     0.732,        25, 25.942934
     0.733,        25,  25.94234
     0.734,        25, 25.941746
     0.735,        25, 25.941152
     0.736,        25, 25.940557
     0.737,        25, 25.939963
     0.738,        25, 25.939369
     0.739,        25, 25.938775
      0.74,        25, 25.938182
     0.741,        25, 25.937588
     0.742,        25, 25.936994
