"time","OAT","fanspeed","valveopen","room.Awall","room.LWT","room.RATinit","room.cAir","room.cWater","room.eps","room.hAir","room.mdotat","room.mdotwt","room.rohAir","room.vAir","wall.TisurfInit","wall.TosurfInit","wall.aWall","wall.cWall","wall.hi","wall.ho","wall.lWall","wall.lambda_Wall","wall.rhoWall","RAT","wall.RAT","room.energy","room.Tisurf","wall.Tosurf","room.der(RAT)","room.der(energy)","wall.der(Tisurf)","wall.der(Tosurf)","room.DT","room.EWT","room.Qin","room.Qout","room.SAT","room.fs","room.mdota","room.mdotw","room.vo","wall.C","wall.R"
0.01,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.004857599999,15.9999911,9.999884439,1.323049717e-006,0.4857599997,-0.0008902704279,-0.01155600844,0.4836201845,28.38172687,0.4857599997,0.002139815277,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0105,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.005100479999,15.99999065,9.999878661,1.322757019e-006,0.4857599997,-0.0008902710805,-0.01155600046,0.4835131932,28.38172687,0.4857599997,0.002246806494,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.011,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,16.00000001,0.005343359998,15.99999021,9.999872883,1.322464321e-006,0.4857599997,-0.0008902717331,-0.01155599248,0.4834062019,28.38172687,0.4857599997,0.002353797755,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0115,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.005586239998,15.99998976,9.999867105,1.322171622e-006,0.4857599997,-0.0008902723857,-0.01155598449,0.4832992106,28.38172687,0.4857599997,0.002460789059,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.012,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.005829119998,15.99998932,9.999861327,1.321878924e-006,0.4857599997,-0.0008902730383,-0.01155597651,0.4831922193,28.38172687,0.4857599997,0.002567780405,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0125,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.006071999998,15.99998887,9.999855549,1.321586225e-006,0.4857599997,-0.0008902736909,-0.01155596853,0.4830852279,28.38172687,0.4857599997,0.002674771796,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.013,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.006314879998,15.99998843,9.999849771,1.321293526e-006,0.4857599997,-0.0008902743435,-0.01155596055,0.4829782364,28.38172687,0.4857599997,0.002781763229,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0135,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.006557759998,15.99998798,9.999843993,1.321000828e-006,0.4857599996,-0.0008902749961,-0.01155595256,0.4828712449,28.38172687,0.4857599996,0.002888754706,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.014,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.006800639997,15.99998754,9.999838215,1.320708129e-006,0.4857599996,-0.0008902756487,-0.01155594458,0.4827642534,28.38172687,0.4857599996,0.002995746225,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0145,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.007043519997,15.99998709,9.999832437,1.32041543e-006,0.4857599996,-0.0008902763013,-0.0115559366,0.4826572618,28.38172687,0.4857599996,0.003102737788,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.015,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.007286399997,15.99998665,9.999826659,1.32012273e-006,0.4857599996,-0.0008902769539,-0.01155592861,0.4825502702,28.38172687,0.4857599996,0.003209729394,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0155,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.007529279997,15.9999862,9.999820881,1.319830031e-006,0.4857599996,-0.0008902776064,-0.01155592063,0.4824432785,28.38172687,0.4857599996,0.003316721043,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.016,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.007772159997,15.99998576,9.999815103,1.319537332e-006,0.4857599996,-0.000890278259,-0.01155591265,0.4823362868,28.38172687,0.4857599996,0.003423712736,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0165,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.008015039996,15.99998531,9.999809325,1.319244632e-006,0.4857599996,-0.0008902789116,-0.01155590467,0.4822292951,28.38172687,0.4857599996,0.003530704471,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
