Time,_dummy,_derdummy,_qtronic_silver_real_0time_start,qtronic_silver_real_0time,y_00,y_01,y_02,counter,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_StartTime,fmi_StopTime,fmi_NumberOfSteps,fmi_CommunicationStepSize,fmi_forceShutDownAtStopTime
0.076,1,0,0,0,0.0697716,1.05816,2.03419,8,0,1,0,1,500,0.002,0
0.078,1,0,0,0,0.0697716,1.05816,2.03419,8,0,1,0,1,500,0.002,0
0.08,1,0,0,0,0.0697716,1.05816,2.03419,8,0,1,0,1,500,0.002,0
0.082,1,0,0,0,0.0697716,1.05816,2.03419,8,0,1,0,1,500,0.002,0
0.082,1,0,0,0,0.0796591,1.07672,2.05678,9,0,1,0,1,500,0.002,0
0.084,1,0,0,0,0.0796591,1.07672,2.05678,9,0,1,0,1,500,0.002,0
0.086,1,0,0,0,0.0796591,1.07672,2.05678,9,0,1,0,1,500,0.002,0
0.088,1,0,0,0,0.0796591,1.07672,2.05678,9,0,1,0,1,500,0.002,0
0.09,1,0,0,0,0.0796591,1.07672,2.05678,9,0,1,0,1,500,0.002,0
0.092,1,0,0,0,0.0796591,1.07672,2.05678,9,0,1,0,1,500,0.002,0
0.092,1,0,0,0,0.0895148,1.07672,2.05678,10,0,1,0,1,500,0.002,0
0.094,1,0,0,0,0.0895148,1.07672,2.05678,10,0,1,0,1,500,0.002,0
0.096,1,0,0,0,0.0895148,1.07672,2.05678,10,0,1,0,1,500,0.002,0
0.098,1,0,0,0,0.0895148,1.07672,2.05678,10,0,1,0,1,500,0.002,0
0.1,1,0,0,0,0.0895148,1.07672,2.05678,10,0,1,0,1,500,0.002,0
0.102,1,0,0,0,0.0895148,1.07672,2.05678,10,0,1,0,1,500,0.002,0
0.102,1,0,0,0,0.0993347,1.09484,2.05678,11,0,1,0,1,500,0.002,0
0.104,1,0,0,0,0.0993347,1.09484,2.05678,11,0,1,0,1,500,0.002,0
0.106,1,0,0,0,0.0993347,1.09484,2.05678,11,0,1,0,1,500,0.002,0
0.108,1,0,0,0,0.0993347,1.09484,2.05678,11,0,1,0,1,500,0.002,0
0.11,1,0,0,0,0.0993347,1.09484,2.05678,11,0,1,0,1,500,0.002,0
0.112,1,0,0,0,0.0993347,1.09484,2.05678,11,0,1,0,1,500,0.002,0
0.112,1,0,0,0,0.109115,1.09484,2.05678,12,0,1,0,1,500,0.002,0
0.114,1,0,0,0,0.109115,1.09484,2.05678,12,0,1,0,1,500,0.002,0
0.116,1,0,0,0,0.109115,1.09484,2.05678,12,0,1,0,1,500,0.002,0
0.118,1,0,0,0,0.109115,1.09484,2.05678,12,0,1,0,1,500,0.002,0
0.12,1,0,0,0,0.109115,1.09484,2.05678,12,0,1,0,1,500,0.002,0
0.122,1,0,0,0,0.109115,1.09484,2.05678,12,0,1,0,1,500,0.002,0
0.122,1,0,0,0,0.118851,1.11252,2.06786,13,0,1,0,1,500,0.002,0
0.124,1,0,0,0,0.118851,1.11252,2.06786,13,0,1,0,1,500,0.002,0
0.126,1,0,0,0,0.118851,1.11252,2.06786,13,0,1,0,1,500,0.002,0
0.128,1,0,0,0,0.118851,1.11252,2.06786,13,0,1,0,1,500,0.002,0
0.13,1,0,0,0,0.118851,1.11252,2.06786,13,0,1,0,1,500,0.002,0
0.132,1,0,0,0,0.118851,1.11252,2.06786,13,0,1,0,1,500,0.002,0
0.132,1,0,0,0,0.12854,1.11252,2.06786,14,0,1,0,1,500,0.002,0
0.134,1,0,0,0,0.12854,1.11252,2.06786,14,0,1,0,1,500,0.002,0
0.136,1,0,0,0,0.12854,1.11252,2.06786,14,0,1,0,1,500,0.002,0
0.138,1,0,0,0,0.12854,1.11252,2.06786,14,0,1,0,1,500,0.002,0
0.14,1,0,0,0,0.12854,1.11252,2.06786,14,0,1,0,1,500,0.002,0
0.142,1,0,0,0,0.12854,1.11252,2.06786,14,0,1,0,1,500,0.002,0
0.142,1,0,0,0,0.138178,1.12976,2.06786,15,0,1,0,1,500,0.002,0
0.144,1,0,0,0,0.138178,1.12976,2.06786,15,0,1,0,1,500,0.002,0
0.146,1,0,0,0,0.138178,1.12976,2.06786,15,0,1,0,1,500,0.002,0
0.148,1,0,0,0,0.138178,1.12976,2.06786,15,0,1,0,1,500,0.002,0
0.15,1,0,0,0,0.138178,1.12976,2.06786,15,0,1,0,1,500,0.002,0
0.152,1,0,0,0,0.138178,1.12976,2.06786,15,0,1,0,1,500,0.002,0
0.152,1,0,0,0,0.14776,1.12976,2.06786,16,0,1,0,1,500,0.002,0
0.154,1,0,0,0,0.14776,1.12976,2.06786,16,0,1,0,1,500,0.002,0
0.156,1,0,0,0,0.14776,1.12976,2.06786,16,0,1,0,1,500,0.002,0
0.158,1,0,0,0,0.14776,1.12976,2.06786,16,0,1,0,1,500,0.002,0
0.16,1,0,0,0,0.14776,1.12976,2.06786,16,0,1,0,1,500,0.002,0
0.162,1,0,0,0,0.14776,1.12976,2.06786,16,0,1,0,1,500,0.002,0
0.162,1,0,0,0,0.157283,1.14655,2.06761,17,0,1,0,1,500,0.002,0
0.164,1,0,0,0,0.157283,1.14655,2.06761,17,0,1,0,1,500,0.002,0
0.166,1,0,0,0,0.157283,1.14655,2.06761,17,0,1,0,1,500,0.002,0
0.168,1,0,0,0,0.157283,1.14655,2.06761,17,0,1,0,1,500,0.002,0
0.17,1,0,0,0,0.157283,1.14655,2.06761,17,0,1,0,1,500,0.002,0
0.172,1,0,0,0,0.157283,1.14655,2.06761,17,0,1,0,1,500,0.002,0
0.172,1,0,0,0,0.166744,1.14655,2.06761,18,0,1,0,1,500,0.002,0
0.174,1,0,0,0,0.166744,1.14655,2.06761,18,0,1,0,1,500,0.002,0
0.176,1,0,0,0,0.166744,1.14655,2.06761,18,0,1,0,1,500,0.002,0
0.178,1,0,0,0,0.166744,1.14655,2.06761,18,0,1,0,1,500,0.002,0
0.18,1,0,0,0,0.166744,1.14655,2.06761,18,0,1,0,1,500,0.002,0
0.182,1,0,0,0,0.166744,1.14655,2.06761,18,0,1,0,1,500,0.002,0
0.182,1,0,0,0,0.176137,1.16287,2.06761,19,0,1,0,1,500,0.002,0
0.184,1,0,0,0,0.176137,1.16287,2.06761,19,0,1,0,1,500,0.002,0
0.186,1,0,0,0,0.176137,1.16287,2.06761,19,0,1,0,1,500,0.002,0
0.188,1,0,0,0,0.176137,1.16287,2.06761,19,0,1,0,1,500,0.002,0
0.19,1,0,0,0,0.176137,1.16287,2.06761,19,0,1,0,1,500,0.002,0
0.192,1,0,0,0,0.176137,1.16287,2.06761,19,0,1,0,1,500,0.002,0
0.192,1,0,0,0,0.18546,1.16287,2.06761,20,0,1,0,1,500,0.002,0
0.194,1,0,0,0,0.18546,1.16287,2.06761,20,0,1,0,1,500,0.002,0
0.196,1,0,0,0,0.18546,1.16287,2.06761,20,0,1,0,1,500,0.002,0
0.198,1,0,0,0,0.18546,1.16287,2.06761,20,0,1,0,1,500,0.002,0
0.2,1,0,0,0,0.18546,1.16287,2.06761,20,0,1,0,1,500,0.002,0
0.202,1,0,0,0,0.18546,1.16287,2.06761,20,0,1,0,1,500,0.002,0
0.202,1,0,0,0,0.194709,1.17874,2.05632,21,0,1,0,1,500,0.002,0
0.204,1,0,0,0,0.194709,1.17874,2.05632,21,0,1,0,1,500,0.002,0
0.206,1,0,0,0,0.194709,1.17874,2.05632,21,0,1,0,1,500,0.002,0
0.208,1,0,0,0,0.194709,1.17874,2.05632,21,0,1,0,1,500,0.002,0
0.21,1,0,0,0,0.194709,1.17874,2.05632,21,0,1,0,1,500,0.002,0
0.212,1,0,0,0,0.194709,1.17874,2.05632,21,0,1,0,1,500,0.002,0
0.212,1,0,0,0,0.20388,1.17874,2.05632,22,0,1,0,1,500,0.002,0
0.214,1,0,0,0,0.20388,1.17874,2.05632,22,0,1,0,1,500,0.002,0
0.216,1,0,0,0,0.20388,1.17874,2.05632,22,0,1,0,1,500,0.002,0
0.218,1,0,0,0,0.20388,1.17874,2.05632,22,0,1,0,1,500,0.002,0
0.22,1,0,0,0,0.20388,1.17874,2.05632,22,0,1,0,1,500,0.002,0
0.222,1,0,0,0,0.20388,1.17874,2.05632,22,0,1,0,1,500,0.002,0
0.222,1,0,0,0,0.21297,1.19413,2.05632,23,0,1,0,1,500,0.002,0
0.224,1,0,0,0,0.21297,1.19413,2.05632,23,0,1,0,1,500,0.002,0
0.226,1,0,0,0,0.21297,1.19413,2.05632,23,0,1,0,1,500,0.002,0
0.228,1,0,0,0,0.21297,1.19413,2.05632,23,0,1,0,1,500,0.002,0
0.23,1,0,0,0,0.21297,1.19413,2.05632,23,0,1,0,1,500,0.002,0
0.232,1,0,0,0,0.21297,1.19413,2.05632,23,0,1,0,1,500,0.002,0
0.232,1,0,0,0,0.221974,1.19413,2.05632,24,0,1,0,1,500,0.002,0
0.234,1,0,0,0,0.221974,1.19413,2.05632,24,0,1,0,1,500,0.002,0
0.236,1,0,0,0,0.221974,1.19413,2.05632,24,0,1,0,1,500,0.002,0
0.238,1,0,0,0,0.221974,1.19413,2.05632,24,0,1,0,1,500,0.002,0
0.24,1,0,0,0,0.221974,1.19413,2.05632,24,0,1,0,1,500,0.002,0
0.242,1,0,0,0,0.221974,1.19413,2.05632,24,0,1,0,1,500,0.002,0
0.242,1,0,0,0,0.23089,1.20904,2.03438,25,0,1,0,1,500,0.002,0
0.244,1,0,0,0,0.23089,1.20904,2.03438,25,0,1,0,1,500,0.002,0
0.246,1,0,0,0,0.23089,1.20904,2.03438,25,0,1,0,1,500,0.002,0
0.248,1,0,0,0,0.23089,1.20904,2.03438,25,0,1,0,1,500,0.002,0
0.25,1,0,0,0,0.23089,1.20904,2.03438,25,0,1,0,1,500,0.002,0
0.252,1,0,0,0,0.23089,1.20904,2.03438,25,0,1,0,1,500,0.002,0
0.252,1,0,0,0,0.239713,1.20904,2.03438,26,0,1,0,1,500,0.002,0
0.254,1,0,0,0,0.239713,1.20904,2.03438,26,0,1,0,1,500,0.002,0
0.256,1,0,0,0,0.239713,1.20904,2.03438,26,0,1,0,1,500,0.002,0
0.258,1,0,0,0,0.239713,1.20904,2.03438,26,0,1,0,1,500,0.002,0
0.26,1,0,0,0,0.239713,1.20904,2.03438,26,0,1,0,1,500,0.002,0
0.262,1,0,0,0,0.239713,1.20904,2.03438,26,0,1,0,1,500,0.002,0
0.262,1,0,0,0,0.24844,1.22347,2.03438,27,0,1,0,1,500,0.002,0
0.264,1,0,0,0,0.24844,1.22347,2.03438,27,0,1,0,1,500,0.002,0
0.266,1,0,0,0,0.24844,1.22347,2.03438,27,0,1,0,1,500,0.002,0
0.268,1,0,0,0,0.24844,1.22347,2.03438,27,0,1,0,1,500,0.002,0
0.27,1,0,0,0,0.24844,1.22347,2.03438,27,0,1,0,1,500,0.002,0
0.272,1,0,0,0,0.24844,1.22347,2.03438,27,0,1,0,1,500,0.002,0
0.272,1,0,0,0,0.257068,1.22347,2.03438,28,0,1,0,1,500,0.002,0
0.274,1,0,0,0,0.257068,1.22347,2.03438,28,0,1,0,1,500,0.002,0
0.276,1,0,0,0,0.257068,1.22347,2.03438,28,0,1,0,1,500,0.002,0
0.278,1,0,0,0,0.257068,1.22347,2.03438,28,0,1,0,1,500,0.002,0
0.28,1,0,0,0,0.257068,1.22347,2.03438,28,0,1,0,1,500,0.002,0
0.282,1,0,0,0,0.257068,1.22347,2.03438,28,0,1,0,1,500,0.002,0
0.282,1,0,0,0,0.265593,1.23741,2.00225,29,0,1,0,1,500,0.002,0
0.284,1,0,0,0,0.265593,1.23741,2.00225,29,0,1,0,1,500,0.002,0
0.286,1,0,0,0,0.265593,1.23741,2.00225,29,0,1,0,1,500,0.002,0
0.288,1,0,0,0,0.265593,1.23741,2.00225,29,0,1,0,1,500,0.002,0
0.29,1,0,0,0,0.265593,1.23741,2.00225,29,0,1,0,1,500,0.002,0
0.292,1,0,0,0,0.265593,1.23741,2.00225,29,0,1,0,1,500,0.002,0
0.292,1,0,0,0,0.274012,1.23741,2.00225,30,0,1,0,1,500,0.002,0
0.294,1,0,0,0,0.274012,1.23741,2.00225,30,0,1,0,1,500,0.002,0
0.296,1,0,0,0,0.274012,1.23741,2.00225,30,0,1,0,1,500,0.002,0
0.298,1,0,0,0,0.274012,1.23741,2.00225,30,0,1,0,1,500,0.002,0
0.3,1,0,0,0,0.274012,1.23741,2.00225,30,0,1,0,1,500,0.002,0
0.302,1,0,0,0,0.274012,1.23741,2.00225,30,0,1,0,1,500,0.002,0
0.302,1,0,0,0,0.282321,1.25086,2.00225,31,0,1,0,1,500,0.002,0
0.304,1,0,0,0,0.282321,1.25086,2.00225,31,0,1,0,1,500,0.002,0
0.306,1,0,0,0,0.282321,1.25086,2.00225,31,0,1,0,1,500,0.002,0
0.308,1,0,0,0,0.282321,1.25086,2.00225,31,0,1,0,1,500,0.002,0
0.31,1,0,0,0,0.282321,1.25086,2.00225,31,0,1,0,1,500,0.002,0
0.312,1,0,0,0,0.282321,1.25086,2.00225,31,0,1,0,1,500,0.002,0
0.312,1,0,0,0,0.290518,1.25086,2.00225,32,0,1,0,1,500,0.002,0
0.314,1,0,0,0,0.290518,1.25086,2.00225,32,0,1,0,1,500,0.002,0
0.316,1,0,0,0,0.290518,1.25086,2.00225,32,0,1,0,1,500,0.002,0
0.318,1,0,0,0,0.290518,1.25086,2.00225,32,0,1,0,1,500,0.002,0
0.32,1,0,0,0,0.290518,1.25086,2.00225,32,0,1,0,1,500,0.002,0
0.322,1,0,0,0,0.290518,1.25086,2.00225,32,0,1,0,1,500,0.002,0
0.322,1,0,0,0,0.298598,1.2638,1.96051,33,0,1,0,1,500,0.002,0
0.324,1,0,0,0,0.298598,1.2638,1.96051,33,0,1,0,1,500,0.002,0
0.326,1,0,0,0,0.298598,1.2638,1.96051,33,0,1,0,1,500,0.002,0
0.328,1,0,0,0,0.298598,1.2638,1.96051,33,0,1,0,1,500,0.002,0
0.33,1,0,0,0,0.298598,1.2638,1.96051,33,0,1,0,1,500,0.002,0
0.332,1,0,0,0,0.298598,1.2638,1.96051,33,0,1,0,1,500,0.002,0
0.332,1,0,0,0,0.306558,1.2638,1.96051,34,0,1,0,1,500,0.002,0
0.334,1,0,0,0,0.306558,1.2638,1.96051,34,0,1,0,1,500,0.002,0
0.336,1,0,0,0,0.306558,1.2638,1.96051,34,0,1,0,1,500,0.002,0
0.338,1,0,0,0,0.306558,1.2638,1.96051,34,0,1,0,1,500,0.002,0
0.34,1,0,0,0,0.306558,1.2638,1.96051,34,0,1,0,1,500,0.002,0
0.342,1,0,0,0,0.306558,1.2638,1.96051,34,0,1,0,1,500,0.002,0
0.342,1,0,0,0,0.314397,1.27624,1.96051,35,0,1,0,1,500,0.002,0
0.344,1,0,0,0,0.314397,1.27624,1.96051,35,0,1,0,1,500,0.002,0
0.346,1,0,0,0,0.314397,1.27624,1.96051,35,0,1,0,1,500,0.002,0
0.348,1,0,0,0,0.314397,1.27624,1.96051,35,0,1,0,1,500,0.002,0
0.35,1,0,0,0,0.314397,1.27624,1.96051,35,0,1,0,1,500,0.002,0
0.352,1,0,0,0,0.314397,1.27624,1.96051,35,0,1,0,1,500,0.002,0
0.352,1,0,0,0,0.322109,1.27624,1.96051,36,0,1,0,1,500,0.002,0
0.354,1,0,0,0,0.322109,1.27624,1.96051,36,0,1,0,1,500,0.002,0
0.356,1,0,0,0,0.322109,1.27624,1.96051,36,0,1,0,1,500,0.002,0
0.358,1,0,0,0,0.322109,1.27624,1.96051,36,0,1,0,1,500,0.002,0
0.36,1,0,0,0,0.322109,1.27624,1.96051,36,0,1,0,1,500,0.002,0
0.362,1,0,0,0,0.322109,1.27624,1.96051,36,0,1,0,1,500,0.002,0
0.362,1,0,0,0,0.329692,1.28817,1.90978,37,0,1,0,1,500,0.002,0
0.364,1,0,0,0,0.329692,1.28817,1.90978,37,0,1,0,1,500,0.002,0
0.366,1,0,0,0,0.329692,1.28817,1.90978,37,0,1,0,1,500,0.002,0
0.368,1,0,0,0,0.329692,1.28817,1.90978,37,0,1,0,1,500,0.002,0
0.37,1,0,0,0,0.329692,1.28817,1.90978,37,0,1,0,1,500,0.002,0
0.372,1,0,0,0,0.329692,1.28817,1.90978,37,0,1,0,1,500,0.002,0
0.372,1,0,0,0,0.337144,1.28817,1.90978,38,0,1,0,1,500,0.002,0
0.374,1,0,0,0,0.337144,1.28817,1.90978,38,0,1,0,1,500,0.002,0
0.376,1,0,0,0,0.337144,1.28817,1.90978,38,0,1,0,1,500,0.002,0
0.378,1,0,0,0,0.337144,1.28817,1.90978,38,0,1,0,1,500,0.002,0
0.38,1,0,0,0,0.337144,1.28817,1.90978,38,0,1,0,1,500,0.002,0
0.382,1,0,0,0,0.337144,1.28817,1.90978,38,0,1,0,1,500,0.002,0
0.382,1,0,0,0,0.344461,1.29959,1.90978,39,0,1,0,1,500,0.002,0
0.384,1,0,0,0,0.344461,1.29959,1.90978,39,0,1,0,1,500,0.002,0
0.386,1,0,0,0,0.344461,1.29959,1.90978,39,0,1,0,1,500,0.002,0
0.388,1,0,0,0,0.344461,1.29959,1.90978,39,0,1,0,1,500,0.002,0
0.39,1,0,0,0,0.344461,1.29959,1.90978,39,0,1,0,1,500,0.002,0
0.392,1,0,0,0,0.344461,1.29959,1.90978,39,0,1,0,1,500,0.002,0
0.392,1,0,0,0,0.35164,1.29959,1.90978,40,0,1,0,1,500,0.002,0
0.394,1,0,0,0,0.35164,1.29959,1.90978,40,0,1,0,1,500,0.002,0
0.396,1,0,0,0,0.35164,1.29959,1.90978,40,0,1,0,1,500,0.002,0
0.398,1,0,0,0,0.35164,1.29959,1.90978,40,0,1,0,1,500,0.002,0
0.4,1,0,0,0,0.35164,1.29959,1.90978,40,0,1,0,1,500,0.002,0
0.402,1,0,0,0,0.35164,1.29959,1.90978,40,0,1,0,1,500,0.002,0
0.402,1,0,0,0,0.358678,1.31048,1.85078,41,0,1,0,1,500,0.002,0
0.404,1,0,0,0,0.358678,1.31048,1.85078,41,0,1,0,1,500,0.002,0
0.406,1,0,0,0,0.358678,1.31048,1.85078,41,0,1,0,1,500,0.002,0
0.408,1,0,0,0,0.358678,1.31048,1.85078,41,0,1,0,1,500,0.002,0
0.41,1,0,0,0,0.358678,1.31048,1.85078,41,0,1,0,1,500,0.002,0
0.412,1,0,0,0,0.358678,1.31048,1.85078,41,0,1,0,1,500,0.002,0
0.412,1,0,0,0,0.365573,1.31048,1.85078,42,0,1,0,1,500,0.002,0
0.414,1,0,0,0,0.365573,1.31048,1.85078,42,0,1,0,1,500,0.002,0
0.416,1,0,0,0,0.365573,1.31048,1.85078,42,0,1,0,1,500,0.002,0
0.418,1,0,0,0,0.365573,1.31048,1.85078,42,0,1,0,1,500,0.002,0
0.42,1,0,0,0,0.365573,1.31048,1.85078,42,0,1,0,1,500,0.002,0
0.422,1,0,0,0,0.365573,1.31048,1.85078,42,0,1,0,1,500,0.002,0
0.422,1,0,0,0,0.372322,1.32085,1.85078,43,0,1,0,1,500,0.002,0
0.424,1,0,0,0,0.372322,1.32085,1.85078,43,0,1,0,1,500,0.002,0
0.426,1,0,0,0,0.372322,1.32085,1.85078,43,0,1,0,1,500,0.002,0
0.428,1,0,0,0,0.372322,1.32085,1.85078,43,0,1,0,1,500,0.002,0
0.43,1,0,0,0,0.372322,1.32085,1.85078,43,0,1,0,1,500,0.002,0
0.432,1,0,0,0,0.372322,1.32085,1.85078,43,0,1,0,1,500,0.002,0
0.432,1,0,0,0,0.378921,1.32085,1.85078,44,0,1,0,1,500,0.002,0
0.434,1,0,0,0,0.378921,1.32085,1.85078,44,0,1,0,1,500,0.002,0
0.436,1,0,0,0,0.378921,1.32085,1.85078,44,0,1,0,1,500,0.002,0
0.438,1,0,0,0,0.378921,1.32085,1.85078,44,0,1,0,1,500,0.002,0
0.44,1,0,0,0,0.378921,1.32085,1.85078,44,0,1,0,1,500,0.002,0
0.442,1,0,0,0,0.378921,1.32085,1.85078,44,0,1,0,1,500,0.002,0
0.442,1,0,0,0,0.385369,1.33069,1.78429,45,0,1,0,1,500,0.002,0
0.444,1,0,0,0,0.385369,1.33069,1.78429,45,0,1,0,1,500,0.002,0
0.446,1,0,0,0,0.385369,1.33069,1.78429,45,0,1,0,1,500,0.002,0
0.448,1,0,0,0,0.385369,1.33069,1.78429,45,0,1,0,1,500,0.002,0
0.45,1,0,0,0,0.385369,1.33069,1.78429,45,0,1,0,1,500,0.002,0
0.452,1,0,0,0,0.385369,1.33069,1.78429,45,0,1,0,1,500,0.002,0
0.452,1,0,0,0,0.391663,1.33069,1.78429,46,0,1,0,1,500,0.002,0
0.454,1,0,0,0,0.391663,1.33069,1.78429,46,0,1,0,1,500,0.002,0
0.456,1,0,0,0,0.391663,1.33069,1.78429,46,0,1,0,1,500,0.002,0
0.458,1,0,0,0,0.391663,1.33069,1.78429,46,0,1,0,1,500,0.002,0
0.46,1,0,0,0,0.391663,1.33069,1.78429,46,0,1,0,1,500,0.002,0
0.462,1,0,0,0,0.391663,1.33069,1.78429,46,0,1,0,1,500,0.002,0
0.462,1,0,0,0,0.397801,1.34,1.78429,47,0,1,0,1,500,0.002,0
0.464,1,0,0,0,0.397801,1.34,1.78429,47,0,1,0,1,500,0.002,0
0.466,1,0,0,0,0.397801,1.34,1.78429,47,0,1,0,1,500,0.002,0
0.468,1,0,0,0,0.397801,1.34,1.78429,47,0,1,0,1,500,0.002,0
0.47,1,0,0,0,0.397801,1.34,1.78429,47,0,1,0,1,500,0.002,0
0.472,1,0,0,0,0.397801,1.34,1.78429,47,0,1,0,1,500,0.002,0
0.472,1,0,0,0,0.403779,1.34,1.78429,48,0,1,0,1,500,0.002,0
0.474,1,0,0,0,0.403779,1.34,1.78429,48,0,1,0,1,500,0.002,0
0.476,1,0,0,0,0.403779,1.34,1.78429,48,0,1,0,1,500,0.002,0
0.478,1,0,0,0,0.403779,1.34,1.78429,48,0,1,0,1,500,0.002,0
0.48,1,0,0,0,0.403779,1.34,1.78429,48,0,1,0,1,500,0.002,0
0.482,1,0,0,0,0.403779,1.34,1.78429,48,0,1,0,1,500,0.002,0
0.482,1,0,0,0,0.409596,1.34877,1.71113,49,0,1,0,1,500,0.002,0
0.484,1,0,0,0,0.409596,1.34877,1.71113,49,0,1,0,1,500,0.002,0
0.486,1,0,0,0,0.409596,1.34877,1.71113,49,0,1,0,1,500,0.002,0
0.488,1,0,0,0,0.409596,1.34877,1.71113,49,0,1,0,1,500,0.002,0
0.49,1,0,0,0,0.409596,1.34877,1.71113,49,0,1,0,1,500,0.002,0
0.492,1,0,0,0,0.409596,1.34877,1.71113,49,0,1,0,1,500,0.002,0
0.492,1,0,0,0,0.415249,1.34877,1.71113,50,0,1,0,1,500,0.002,0
0.494,1,0,0,0,0.415249,1.34877,1.71113,50,0,1,0,1,500,0.002,0
0.496,1,0,0,0,0.415249,1.34877,1.71113,50,0,1,0,1,500,0.002,0
0.498,1,0,0,0,0.415249,1.34877,1.71113,50,0,1,0,1,500,0.002,0
0.5,1,0,0,0,0.415249,1.34877,1.71113,50,0,1,0,1,500,0.002,0
0.502,1,0,0,0,0.415249,1.34877,1.71113,50,0,1,0,1,500,0.002,0
0.502,1,0,0,0,0.420735,1.35701,1.71113,51,0,1,0,1,500,0.002,0
0.504,1,0,0,0,0.420735,1.35701,1.71113,51,0,1,0,1,500,0.002,0
0.506,1,0,0,0,0.420735,1.35701,1.71113,51,0,1,0,1,500,0.002,0
0.508,1,0,0,0,0.420735,1.35701,1.71113,51,0,1,0,1,500,0.002,0
