time,Out1[1],Out1[2],Out2,Out3,Out4,Out5,Out6[1],Out6[2],Out6[3],Out6[4],Out6[5],Out6[6],Out7,Out8.signal1,Out8.signal2,Out9,Out10,Out11
6.55,1.0,0.263660182373,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0168139004827,0.263660182373,1.0,0.0966635216339,0.0430239976172,6.0
6.56,1.0,0.273292994977,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0168139004827,0.273292994977,1.0,0.0966635216339,0.0430239976172,6.0
6.57,1.0,0.282898478509,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0168139004827,0.282898478509,1.0,0.0966635216339,0.0430239976172,6.0
6.58,1.0,0.29247567243,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0168139004827,0.29247567243,1.0,0.0966635216339,0.0430239976172,6.0
6.59,1.0,0.302023619027,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0168139004827,0.302023619027,1.0,0.0966635216339,0.0430239976172,6.0
6.6,1.0,0.311541363513,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0168139004827,0.311541363513,1.0,0.0966635216339,0.0430239976172,6.0
6.61,1.0,0.321027954123,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.321027954123,1.0,0.311541363519,0.0623082727022,6.0
6.62,1.0,0.330482442205,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.330482442205,1.0,0.311541363519,0.0623082727022,6.0
6.63,1.0,0.339903882319,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.339903882319,1.0,0.311541363519,0.0623082727022,6.0
6.64,1.0,0.349291332327,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.349291332327,1.0,0.311541363519,0.0623082727022,6.0
6.65,1.0,0.358643853493,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.358643853493,1.0,0.311541363519,0.0623082727022,6.0
6.66,1.0,0.367960510572,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.367960510572,1.0,0.311541363519,0.0623082727022,6.0
6.67,1.0,0.377240371908,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.377240371908,1.0,0.311541363519,0.0623082727022,6.0
6.68,1.0,0.38648250952,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.38648250952,1.0,0.311541363519,0.0623082727022,6.0
6.69,1.0,0.395685999203,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.395685999203,1.0,0.311541363519,0.0623082727022,6.0
6.7,1.0,0.404849920617,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.404849920617,1.0,0.311541363519,0.0623082727022,6.0
6.71,1.0,0.413973357375,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.413973357375,1.0,0.311541363519,0.0809699841228,6.0
6.72,1.0,0.423055397143,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.423055397143,1.0,0.311541363519,0.0809699841228,6.0
6.73,1.0,0.432095131724,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.432095131724,1.0,0.311541363519,0.0809699841228,6.0
6.74,1.0,0.441091657151,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.441091657151,1.0,0.311541363519,0.0809699841228,6.0
6.75,1.0,0.450044073781,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.450044073781,1.0,0.311541363519,0.0809699841228,6.0
6.76,1.0,0.458951486378,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.458951486378,1.0,0.311541363519,0.0809699841228,6.0
6.77,1.0,0.467813004209,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.467813004209,1.0,0.311541363519,0.0809699841228,6.0
6.78,1.0,0.476627741129,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.476627741129,1.0,0.311541363519,0.0809699841228,6.0
6.79,1.0,0.485394815672,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.485394815672,1.0,0.311541363519,0.0809699841228,6.0
6.8,1.0,0.494113351139,5.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.494113351139,1.0,0.311541363519,0.0809699841228,6.0
6.81,1.0,0.502782475682,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.502782475682,1.0,0.311541363519,0.0988226702272,6.0
