"Time","h","v","der_h","der_v"
1.0887152,0.010846772,2.120825151,2.120825151,-9.81
1.090913037,0.015484306,2.099264369,2.099264369,-9.81
1.093505609,0.020893832,2.073831238,2.073831238,-9.81
1.096493443,0.027046306,2.044520592,2.044520592,-9.81
1.099875129,0.033904141,2.011346249,2.011346249,-9.81
1.10364767,0.041422219,1.974337621,1.974337621,-9.81
1.107806701,0.049548707,1.933537525,1.933537525,-9.81
1.112346645,0.058225762,1.889000672,1.889000672,-9.81
1.117260823,0.067390194,1.840792593,1.840792593,-9.81
1.122541534,0.076974108,1.788988817,1.788988817,-9.81
1.128180126,0.086905538,1.733674225,1.733674225,-9.81
1.134167048,0.0971091,1.674942519,1.674942519,-9.81
1.140491897,0.10750664,1.612895754,1.612895754,-9.81
1.147143459,0.118017903,1.54764393,1.54764393,-9.81
1.154109751,0.128561206,1.479304611,1.479304611,-9.81
1.161378053,0.139054116,1.408002566,1.408002566,-9.81
1.168934949,0.149414137,1.333869418,1.333869418,-9.81
1.176766356,0.159559383,1.257043311,1.257043311,-9.81
1.184857564,0.169409263,1.177668566,1.177668566,-9.81
1.193193264,0.178885136,1.095895346,1.095895346,-9.81
1.201757589,0.18791097,1.01187932,1.01187932,-9.81
1.210534144,0.196413962,0.925781315,0.925781315,-9.81
1.219506044,0.204325152,0.837766976,0.837766976,-9.81
1.228655948,0.211579989,0.748006411,0.748006411,-9.81
1.237966098,0.218118881,0.656673839,0.656673839,-9.81
1.247418353,0.223887692,0.563947225,0.563947225,-9.81
1.256994225,0.228838203,0.47000792,0.47000792,-9.81
1.266674921,0.23292853,0.375040288,0.375040288,-9.81
1.276441379,0.236123489,0.279231335,0.279231335,-9.81
1.286274305,0.238394903,0.182770329,0.182770329,-9.81
1.296154214,0.239721867,0.085848423,0.085848423,-9.81
1.306061467,0.240090945,-0.011341731,-0.011341731,-9.81
1.306062467,0.240090934,-0.011351541,-0.011351541,-9.81
1.306067467,0.240090877,-0.011400591,-0.011400591,-9.81
1.306092467,0.240090589,-0.011645841,-0.011645841,-9.81
1.306217467,0.240089057,-0.012872091,-0.012872091,-9.81
1.306842467,0.240079096,-0.019003341,-0.019003341,-9.81
1.309967467,0.23997181,-0.049659591,-0.049659591,-9.81
1.319879863,0.238997621,-0.146900189,-0.146900189,-9.81
1.329772201,0.237064439,-0.243944027,-0.243944027,-9.81
1.339624617,0.234184872,-0.340596232,-0.340596232,-9.81
1.349417266,0.230379163,-0.436662117,-0.436662117,-9.81
1.359130361,0.225675064,-0.531947574,-0.531947574,-9.81
1.368744211,0.22010765,-0.626259448,-0.626259448,-9.81
1.378239264,0.213719068,-0.719405914,-0.719405914,-9.81
1.387596138,0.206558239,-0.811196852,-0.811196852,-9.81
1.396795665,0.198680496,-0.901444208,-0.901444208,-9.81
1.405818922,0.190147172,-0.989962357,-0.989962357,-9.81
1.414647269,0.181025146,-1.076568448,-1.076568448,-9.81
1.423262386,0.171386332,-1.161082747,-1.161082747,-9.81
1.431646302,0.16130714,-1.24332896,-1.24332896,-9.81
1.439781429,0.150867887,-1.32313455,-1.32313455,-9.81
1.44765059,0.140152192,-1.400331026,-1.400331026,-9.81
1.455237053,0.129246329,-1.474754221,-1.474754221,-9.81
1.462524547,0.118238573,-1.546244542,-1.546244542,-9.81
1.469497293,0.107218525,-1.614647185,-1.614647185,-9.81
1.476140019,0.09627643,-1.679812321,-1.679812321,-9.81
1.48243797,0.085502501,-1.741595224,-1.741595224,-9.81
1.488376922,0.074986245,-1.799856344,-1.799856344,-9.81
1.493943176,0.064815816,-1.854461291,-1.854461291,-9.81
1.499123544,0.055077392,-1.905280703,-1.905280703,-9.81
1.503905322,0.045854608,-1.952189943,-1.952189943,-9.81
1.50827623,0.037228057,-1.995068549,-1.995068549,-9.81
1.512224316,0.029274898,-2.033799272,-2.033799272,-9.81
1.51573779,0.022068646,-2.06826646,-2.06826646,-9.81
1.518804739,0.015679241,-2.098353229,-2.098353229,-9.81
1.521412596,0.010173679,-2.123936298,-2.123936298,-9.81
1.523055275,0.006671497,-2.140050984,-2.140050984,-9.81
1.524311649,0.003975051,-2.152376008,-2.152376008,-9.81
1.52519172,0.002077008,-2.161009505,-2.161009505,-9.81
1.525565089,0.00126947,-2.164672258,-2.164672258,-9.81
1.525938458,0.000460564,-2.16833501,-2.16833501,-9.81
1.526149683,2.34E-06,-2.17040713,-2.17040713,-9.81
1.526150683,1.68E-07,-2.17041694,-2.17041694,-9.81
1.526151683,-2.00E-06,1.519298725,1.519298725,-9.81
1.526152683,-4.83E-07,1.519288938,1.519288938,-9.81
1.526153683,1.04E-06,1.519279128,1.519279128,-9.81
1.526158683,8.63E-06,1.519230078,1.519230078,-9.81
1.526183683,4.66E-05,1.518984805,1.518984805,-9.81
1.526308683,0.000236406,1.517758555,1.517758555,-9.81
1.526933683,0.001183089,1.511627305,1.511627305,-9.81
1.52787716,0.002604908,1.502371797,1.502371797,-9.81
1.529089551,0.00441916,1.490478244,1.490478244,-9.81
1.530576039,0.0066239,1.475895794,1.475895794,-9.81
1.532339168,0.009210847,1.458599498,1.458599498,-9.81
1.53437962,0.012166628,1.438582664,1.438582664,-9.81
1.536696656,0.015473542,1.415852541,1.415852541,-9.81
1.539288382,0.019110096,1.390427715,1.390427715,-9.81
1.542151917,0.023051415,1.362336432,1.362336432,-9.81
1.545283514,0.027269601,1.331615469,1.331615469,-9.81
1.548678635,0.031734058,1.298309327,1.298309327,-9.81
1.55233202,0.036411813,1.262469622,1.262469622,-9.81
1.556237729,0.041267828,1.224154618,1.224154618,-9.81
1.560389185,0.046265317,1.183428833,1.183428833,-9.81
1.564779208,0.051366066,1.140362709,1.140362709,-9.81
1.569400043,0.056530762,1.095032317,1.095032317,-9.81
1.57424339,0.061719321,1.047519087,1.047519087,-9.81
1.579300427,0.066891226,0.99790955,0.99790955,-9.81
1.584561839,0.072005857,0.946295097,0.946295097,-9.81
1.590017839,0.077022831,0.89277174,0.89277174,-9.81
1.595658193,0.081902334,0.837439869,0.837439869,-9.81
1.601472244,0.086605447,0.780404025,0.780404025,-9.81
1.607448938,0.091094473,0.721772653,0.721772653,-9.81
1.613576847,0.095333241,0.66165787,0.66165787,-9.81
1.619844192,0.099287412,0.600175219,0.600175219,-9.81
1.62623887,0.102924765,0.537443424,0.537443424,-9.81
1.632748481,0.106215463,0.473584144,0.473584144,-9.81
1.639360349,0.109132308,0.408721714,0.408721714,-9.81
1.646061553,0.111650971,0.342982899,0.342982899,-9.81
1.652838951,0.113750201,0.276496629,0.276496629,-9.81
1.659679205,0.115412007,0.209393739,0.209393739,-9.81
1.666568811,0.116621824,0.141806705,0.141806705,-9.81
1.673494124,0.117368636,0.073869379,0.073869379,-9.81
1.680441389,0.117645089,0.005716717,0.005716717,-9.81
1.680442389,0.117645094,0.005706907,0.005706907,-9.81
1.680447389,0.117645123,0.005657857,0.005657857,-9.81
1.680472389,0.117645261,0.005412607,0.005412607,-9.81
1.680597389,0.117645861,0.004186357,0.004186357,-9.81
1.681222389,0.117646562,-0.001944893,-0.001944893,-9.81
1.684347389,0.117592583,-0.032601143,-0.032601143,-9.81
1.691301222,0.117128695,-0.100818244,-0.100818244,-9.81
1.698241441,0.116192737,-0.168901796,-0.168901796,-9.81
1.705154111,0.114790789,-0.236715091,-0.236715091,-9.81
1.71202531,0.112932691,-0.304121549,-0.304121549,-9.81
1.718841154,0.110631981,-0.370984983,-0.370984983,-9.81
1.725587829,0.107905802,-0.437169868,-0.437169868,-9.81
1.732251615,0.104774784,-0.502541602,-0.502541602,-9.81
1.73881891,0.101262895,-0.566966772,-0.566966772,-9.81
1.745276263,0.097397265,-0.630313405,-0.630313405,-9.81
1.751610394,0.093207983,-0.692451225,-0.692451225,-9.81
1.757808219,0.088727875,-0.753251893,-0.753251893,-9.81
1.76385688,0.083992254,-0.812589249,-0.812589249,-9.81
1.769743759,0.079038655,-0.87033954,-0.87033954,-9.81
1.775456511,0.073906543,-0.926381638,-0.926381638,-9.81
1.780983078,0.068637021,-0.980597252,-0.980597252,-9.81
1.786311708,0.063272507,-1.032871114,-1.032871114,-9.81
1.791430979,0.057856415,-1.083091162,-1.083091162,-9.81
1.796329809,0.052432822,-1.131148687,-1.131148687,-9.81
1.800997473,0.047046135,-1.176938467,-1.176938467,-9.81
1.805423608,0.041740753,-1.220358857,-1.220358857,-9.81
1.809598225,0.036560742,-1.261311845,-1.261311845,-9.81
1.8135117,0.031549508,-1.299703035,-1.299703035,-9.81
1.817154771,0.026749498,-1.335441567,-1.335441567,-9.81
1.820518516,0.022201914,-1.368439905,-1.368439905,-9.81
1.823594311,0.017946469,-1.398613454,-1.398613454,-9.81
1.826373766,0.014021193,-1.425879907,-1.425879907,-9.81
1.828848609,0.010462321,-1.45015812,-1.45015812,-9.81
1.83101049,0.007304328,-1.471366173,-1.471366173,-9.81
1.832850617,0.004580219,-1.489417816,-1.489417816,-9.81
1.834014532,0.002840018,-1.500835821,-1.500835821,-9.81
1.834907211,0.001496344,-1.509593005,-1.509593005,-9.81
1.835243511,0.000988114,-1.512892106,-1.512892106,-9.81
1.835579811,0.000478774,-1.516191206,-1.516191206,-9.81
1.835894242,1.55E-06,-1.519275774,-1.519275774,-9.81
1.835895242,3.23E-08,-1.519285584,-1.519285584,-9.81
1.835896242,-1.49E-06,1.063506776,1.063506776,-9.81
1.835897242,-4.24E-07,1.063496982,1.063496982,-9.81
1.835898242,6.40E-07,1.063487172,1.063487172,-9.81
1.835903242,5.96E-06,1.063438122,1.063438122,-9.81
1.835928242,3.25E-05,1.063192856,1.063192856,-9.81
1.836053242,0.000165363,1.061966606,1.061966606,-9.81
1.836678242,0.000827176,1.055835356,1.055835356,-9.81
1.837541391,0.001734864,1.047367867,1.047367867,-9.81
1.838597389,0.002835414,1.03700852,1.03700852,-9.81
1.839847941,0.004124575,1.024740609,1.024740609,-9.81
1.841293462,0.00559561,1.010560047,1.010560047,-9.81
1.842933383,0.007239658,0.99447242,0.99447242,-9.81
1.844766331,0.009045995,0.976491203,0.976491203,-9.81
1.846790245,0.011002237,0.95663661,0.95663661,-9.81
1.849002456,0.013094514,0.934934819,0.934934819,-9.81
1.851399746,0.015307635,0.911417405,0.911417405,-9.81
1.853978387,0.017625239,0.886120931,0.886120931,-9.81
1.856734179,0.020029953,0.859086613,0.859086613,-9.81
1.859662473,0.022503551,0.830360051,0.830360051,-9.81
1.862758197,0.025027109,0.799990999,0.799990999,-9.81
1.866015877,0.02758117,0.768033155,0.768033155,-9.81
1.869429657,0.030145904,0.734543976,0.734543976,-9.81
1.872993314,0.032701275,0.699584496,0.699584496,-9.81
1.876700281,0.035227209,0.663219154,0.663219154,-9.81
1.880543657,0.037703755,0.625515631,0.625515631,-9.81
1.884516232,0.040111255,0.586544676,0.586544676,-9.81
1.888610496,0.042430502,0.546379944,0.546379944,-9.81
1.892818662,0.044642898,0.505097831,0.505097831,-9.81
1.897132682,0.046730614,0.4627773,0.4627773,-9.81
1.90154426,0.048676732,0.419499716,0.419499716,-9.81
1.906044877,0.050465385,0.375348669,0.375348669,-9.81
1.910625801,0.052081898,0.330409802,0.330409802,-9.81
1.915278112,0.053512904,0.284770634,0.284770634,-9.81
1.919992715,0.054746458,0.238520376,0.238520376,-9.81
1.924760362,0.055772147,0.191749755,0.191749755,-9.81
1.92957167,0.056581169,0.144550824,0.144550824,-9.81
1.934417138,0.057166424,0.097016783,0.097016783,-9.81
1.939287169,0.057522565,0.049241785,0.049241785,-9.81
1.944172085,0.057646062,0.001320751,0.001320751,-9.81
1.944173085,0.057646064,0.001310941,0.001310941,-9.81
1.944178085,0.05764607,0.001261891,0.001261891,-9.81
1.944203085,0.057646098,0.001016641,0.001016641,-9.81
1.944328085,0.057646149,-0.000209609,-0.000209609,-9.81
1.944953085,0.057644102,-0.006340859,-0.006340859,-9.81
1.948078085,0.057576386,-0.036997109,-0.036997109,-9.81
1.952965248,0.057278423,-0.084940173,-0.084940173,-9.81
1.957839965,0.056747807,-0.132761144,-0.132761144,-9.81
1.962692439,0.055988091,-0.180363917,-0.180363917,-9.81
1.967512889,0.05500468,-0.227652527,-0.227652527,-9.81
1.972291565,0.053804792,-0.274531346,-0.274531346,-9.81
1.977018774,0.052397416,-0.320905261,-0.320905261,-9.81
1.981684891,0.05079324,-0.366679868,-0.366679868,-9.81
1.986280383,0.049004579,-0.411761646,-0.411761646,-9.81
1.990795826,0.047045283,-0.456058143,-0.456058143,-9.81
1.995221922,0.044930635,-0.499478149,-0.499478149,-9.81
1.999549518,0.042677234,-0.541931866,-0.541931866,-9.81
2.003769621,0.040302872,-0.583331077,-0.583331077,-9.81
2.007873416,0.037826395,-0.623589302,-0.623589302,-9.81
2.011852279,0.035267565,-0.662621952,-0.662621952,-9.81
2.015697796,0.032646907,-0.70034647,-0.70034647,-9.81
2.019401771,0.029985547,-0.736682466,-0.736682466,-9.81
2.022956243,0.027305059,-0.771551835,-0.771551835,-9.81
2.026353493,0.024627294,-0.804878858,-0.804878858,-9.81
2.029586055,0.021974219,-0.836590292,-0.836590292,-9.81
2.032646721,0.019367747,-0.86661542,-0.86661542,-9.81
2.035528542,0.016829581,-0.894886083,-0.894886083,-9.81
2.038224828,0.014381053,-0.921336655,-0.921336655,-9.81
2.040729141,0.012042976,-0.945903961,-0.945903961,-9.81
2.043035271,0.009835512,-0.968527099,-0.968527099,-9.81
2.04513721,0.007778056,-0.989147125,-0.989147125,-9.81
2.047029095,0.005889147,-1.007706514,-1.007706514,-9.81
2.048705111,0.004186436,-1.024148233,-1.024148233,-9.81
2.050159331,0.002686727,-1.038414128,-1.038414128,-9.81
2.051385403,0.001406183,-1.050441895,-1.050441895,-9.81
2.05213032,0.000620969,-1.05774953,-1.05774953,-9.81
2.052423853,0.000310062,-1.060629091,-1.060629091,-9.81
2.052714796,1.06E-06,-1.063483241,-1.063483241,-9.81
2.052715796,8.45E-10,-1.063493051,-1.063493051,-9.81
2.052716796,-1.06E-06,0.744452002,0.744452002,-9.81
2.052717796,-3.18E-07,0.744442204,0.744442204,-9.81
2.052718796,4.26E-07,0.744432394,0.744432394,-9.81
2.052723796,4.15E-06,0.744383344,0.744383344,-9.81
2.052748796,2.28E-05,0.744138082,0.744138082,-9.81
2.052873796,0.000115695,0.742911832,0.742911832,-9.81
2.053498796,0.000578099,0.736780582,0.736780582,-9.81
2.054300959,0.001165961,0.728911363,0.728911363,-9.81
2.055240728,0.001846637,0.719692236,0.719692236,-9.81
2.056318089,0.002616313,0.709123317,0.709123317,-9.81
2.057532396,0.003470173,0.697210966,0.697210966,-9.81
2.05888247,0.00440252,0.683966737,0.683966737,-9.81
2.060366675,0.005406861,0.669406694,0.669406694,-9.81
2.06198296,0.006476,0.653550931,0.653550931,-9.81
2.063728904,0.007602111,0.636423227,0.636423227,-9.81
2.065601732,0.008776818,0.61805078,0.61805078,-9.81
2.067598347,0.009991273,0.59846399,0.59846399,-9.81
2.06971534,0.011236235,0.577696285,0.577696285,-9.81
2.071949012,0.012502147,0.555783963,0.555783963,-9.81
2.074295384,0.013779218,0.532766052,0.532766052,-9.81
2.076750213,0.01505751,0.508684181,0.508684181,-9.81
2.079309003,0.01632701,0.483582454,0.483582454,-9.81
2.081967017,0.017577725,0.457507334,0.457507334,-9.81
2.084719292,0.018799756,0.43050752,0.43050752,-9.81
2.087560646,0.019983381,0.402633833,0.402633833,-9.81
2.090485696,0.021119138,0.373939098,0.373939098,-9.81
2.093488863,0.022197901,0.344478022,0.344478022,-9.81
2.096564393,0.023210958,0.314307082,0.314307082,-9.81
2.099706358,0.024150078,0.283484396,0.283484396,-9.81
2.102908682,0.025007586,0.252069605,0.252069605,-9.81
2.10616514,0.025776425,0.22012375,0.22012375,-9.81
2.109469382,0.026450215,0.18770914,0.18770914,-9.81
2.112814938,0.027023306,0.154889231,0.154889231,-9.81
2.116195237,0.027490831,0.121728493,0.121728493,-9.81
2.119603618,0.027848746,0.088292282,0.088292282,-9.81
2.12303334,0.028093867,0.054646706,0.054646706,-9.81
2.126477602,0.028223897,0.020858493,0.020858493,-9.81
2.129929553,0.028237452,-0.013005141,-0.013005141,-9.81
2.129930553,0.028237438,-0.013014951,-0.013014951,-9.81
2.129935553,0.028237373,-0.013064001,-0.013064001,-9.81
2.129960553,0.028237044,-0.013309251,-0.013309251,-9.81
2.130085553,0.028235303,-0.014535501,-0.014535501,-9.81
2.130710553,0.028224303,-0.020666751,-0.020666751,-9.81
2.133835553,0.028111819,-0.051323001,-0.051323001,-9.81
2.137280878,0.027876771,-0.085121637,-0.085121637,-9.81
2.140712265,0.027526932,-0.118783551,-0.118783551,-9.81
2.144122804,0.027064762,-0.152240939,-0.152240939,-9.81
2.147505603,0.026493632,-0.185426195,-0.185426195,-9.81
2.150853804,0.0258178,-0.218272049,-0.218272049,-9.81
2.154160598,0.025042384,-0.250711693,-0.250711693,-9.81
2.157419234,0.024173321,-0.282678913,-0.282678913,-9.81
2.160623037,0.023217327,-0.314108217,-0.314108217,-9.81
2.163765416,0.022181845,-0.344934957,-0.344934957,-9.81
2.16683988,0.021074991,-0.375095455,-0.375095455,-9.81
2.16984005,0.019905492,-0.404527116,-0.404527116,-9.81
2.172759665,0.018682617,-0.433168545,-0.433168545,-9.81
2.175592602,0.017416112,-0.460959657,-0.460959657,-9.81
2.178332879,0.016116123,-0.487841774,-0.487841774,-9.81
2.180974669,0.014793116,-0.513757728,-0.513757728,-9.81
2.183512305,0.013457799,-0.538651942,-0.538651942,-9.81
2.185940294,0.012121043,-0.562470507,-0.562470507,-9.81
2.188253315,0.010793794,-0.585161248,-0.585161248,-9.81
2.190446232,0.009486997,-0.606673767,-0.606673767,-9.81
2.192514092,0.008211506,-0.62695947,-0.62695947,-9.81
2.194452123,0.006978016,-0.645971559,-0.645971559,-9.81
2.196255735,0.005796979,-0.663664985,-0.663664985,-9.81
2.197920502,0.004678537,-0.679996349,-0.679996349,-9.81
2.199442148,0.003632466,-0.6949237,-0.6949237,-9.81
2.200816512,0.002668123,-0.708406206,-0.708406206,-9.81
2.202039486,0.001794424,-0.720403587,-0.720403587,-9.81
2.203106922,0.001019851,-0.73087513,-0.73087513,-9.81
2.20401444,0.000352529,-0.73977788,-0.73977788,-9.81
2.204488476,7.46E-07,-0.744428172,-0.744428172,-9.81
