    "time","accelPedal","egsCarSpeed", "egsGear","egsTargetGear",     "k15",   "nAtIn",  "nAtOut",    "prnd","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
       0.4,         0,     0.146,        -2,         0,         1, 5.2151044, 3.4284482,         3,      0.17,         0,         0,      0.44,      0.44,         0,         0,         0,         0,         0
      0.41,         0,     0.154,        -2,         0,         1, 5.4663384, 3.5936114,         3,      0.17,         0,         0,      0.46,      0.46,         0,         0,         0,         0,         0
      0.42,         0,     0.161,        -2,         0,         1, 5.7181503, 3.7591543,         3,      0.17,         0,         0,      0.48,      0.48,         0,         0,         0,         0,         0
      0.43,         0,     0.169,        -2,         0,         1, 5.9699726, 3.9247042,         3,      0.17,         0,         0,       0.5,       0.5,         0,         0,         0,         0,         0
      0.44,         7,     0.176,        -2,         0,         1, 6.2216604, 4.0901656,         3,      0.17,         0,         0,      0.52,      0.52,         0,         0,         0,         0,         0
      0.45,         7,     0.184,        -2,         0,         1, 6.4732142,  4.255539,         3,      0.17,         0,         0,      0.54,      0.54,         0,         0,         0,         0,         0
      0.46,        17,     0.191,        -2,         0,         1, 6.7246489,  4.420834,         3,      0.17,         0,         0,      0.56,      0.56,         0,         0,         0,         0,         0
      0.47,        33,     0.198,        -2,         0,         1, 7.2087065, 4.7390571,         3,      0.17,         0,         0,      0.58,      0.58,         0,         0,         0,         0,         0
      0.48,        51,     0.213,        -2,         0,         1, 8.3279526, 5.4748577,         3,      0.17,         0,         0,       0.6,       0.6,         0,         0,         0,         0,         0
      0.49,        69,     0.246,        -2,         0,         1, 10.317414, 6.7802754,         3,      0.17,         0,         0,      0.62,      0.62,         0,         0,         0,         0,         0
       0.5,        85,     0.305,        -2,         0,         1, 38.006599,  5.706696,         3,      0.17,         0,         0,      0.64,      0.64,         0,         0,         0,         0,         0
      0.51,        99,     0.256,        -2,         0,         1, 118.07686, 4.9068528,         3,      0.17,         0,         0,      0.66,      0.66,         0,         0,         0,         0,         0
      0.52,       100,      0.22,        -2,         0,         1,  291.1653, 3.2365899,         3,      0.17,         0,         0,      0.68,      0.68,         0,         0,         0,         0,         0
      0.53,       100,     0.145,        -2,         0,         1, 542.14967,  4.584397,         3,      0.17,         0,         0,       0.7,       0.7,         0,         0,         0,         0,         0
      0.54,       100,     0.206,        -2,         0,         1, 849.19683, 5.0584707,         3,      0.17,         0,         0,      0.72,      0.72,         0,         0,         0,         0,         0
      0.55,       100,     0.227,        -2,         0,         1,  1182.827, 5.2217492,         3,      0.17,         0,         0,      0.74,      0.74,         0,         0,         0,         0,         0
      0.56,       100,     0.234,        -2,         0,         1, 1519.2847, 5.2755008,         3,      0.17,         0,         0,      0.76,      0.76,         0,         0,         0,         0,         0
      0.57,       100,     0.237,        -2,         0,         1, 1846.6739, 5.2904608,         3,      0.17,         0,         0,      0.78,      0.78,         0,         0,         0,         0,         0
      0.58,       100,     0.238,        -2,         0,         1,  2151.751, 5.2915302,         3,      0.17,         0,         0,       0.8,       0.8,         0,         0,         0,         0,         0
      0.59,       100,     0.238,        -2,         0,         1, 2407.2217, 5.2877153,         3,      0.17,         0,         0,      0.82,      0.82,         0,         0,         0,         0,         0
       0.6,       100,     0.237,        -2,         0,         1, 2645.2365,  5.282151,         3,      0.17,         0,         0,      0.84,      0.84,         0,         0,         0,         0,         0
      0.61,       100,     0.237,        -2,         0,         1, 2876.5563, 5.2759657,         3,      0.17,         0,         0,      0.86,      0.86,         0,         0,         0,         0,         0
      0.62,       100,     0.237,        -2,         0,         1, 3100.3731, 5.2695736,         3,      0.17,         0,         0,      0.88,      0.88,         0,         0,         0,         0,         0
      0.63,       100,     0.237,        -2,         0,         1, 3314.5467, 5.2631051,         3,      0.17,         0,         0,       0.9,       0.9,         0,         0,         0,         0,         0
      0.64,       100,     0.236,        -2,         0,         1, 3518.7824, 5.2566191,         3,      0.17,         0,         0,      0.92,      0.92,         0,         0,         0,         0,         0
      0.65,       100,     0.236,        -2,         0,         1, 3713.7268, 5.2501306,         3,      0.17,         0,         0,      0.94,      0.94,         0,         0,         0,         0,         0
      0.66,       100,     0.236,        -2,         0,         1, 3899.2057, 5.2436459,         3,      0.17,         0,         0,      0.96,      0.96,         0,         0,         0,         0,         0
      0.67,       100,     0.235,        -2,         0,         1, 4072.6072, 5.2371679,         3,      0.17,         0,         0,      0.98,      0.98,         0,         0,         0,         0,         0
      0.68,       100,     0.235,        -2,         0,         1, 4232.0418, 5.2306974,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.69,       100,     0.235,        -2,         0,         1, 4378.0947, 5.2242347,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
       0.7,       100,     0.235,        -2,         0,         1, 4511.9886,   5.21778,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.71,       100,     0.234,        -2,         0,         1, 4634.7972, 5.2113331,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.72,       100,     0.234,        -2,         0,         1, 4747.4411, 5.2048943,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.73,       100,     0.234,        -2,         0,         1, 4850.7694, 5.1984633,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.74,       100,     0.233,        -2,         0,         1, 4945.5602, 5.1920404,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.75,       100,     0.233,        -2,         0,         1, 5032.5247, 5.1856253,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.76,       100,     0.233,        -2,         0,         1, 5112.3122, 5.1792182,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.77,       100,     0.233,        -2,         0,         1, 5185.5234,  5.172819,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.78,       100,     0.232,        -2,         0,         1, 5252.6995, 5.1664277,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.79,       100,     0.232,        -2,         0,         1, 5314.3364, 5.1600443,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
       0.8,       100,     0.232,        -2,         0,         1, 5370.8892, 5.1536688,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.81,       100,     0.231,        -2,         0,         1, 5422.7774, 5.1473012,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.82,       100,     0.231,        -2,         0,         1, 5470.3859, 5.1409414,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.83,       100,     0.231,        -2,         0,         1, 5514.0683, 5.1345895,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.84,       100,     0.231,        -2,         0,         1, 5554.1481, 5.1282455,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.85,       100,      0.23,        -2,         0,         1, 5590.9225, 5.1219093,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.86,       100,      0.23,        -2,         0,         1,  5624.664, 5.1155809,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.87,       100,      0.23,        -2,         0,         1,  5655.623, 5.1092603,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.88,       100,     0.229,        -2,         0,         1, 5684.0288, 5.1029476,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.89,       100,     0.229,        -2,         0,         1,  5710.092, 5.0966426,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
       0.9,       100,     0.229,        -2,         0,         1, 5734.0057, 5.0903454,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.91,       100,     0.229,        -2,         0,         1, 5755.9473, 5.0840561,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.92,       100,     0.228,        -2,         0,         1,  5776.079, 5.0777744,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.93,       100,     0.228,        -2,         0,         1, 5794.5505, 5.0715006,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.94,       100,     0.228,        -2,         0,         1, 5811.4983, 5.0652345,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.95,       100,     0.227,        -2,         0,         1, 5827.0485, 5.0589761,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.96,       100,     0.227,        -2,         0,         1, 5841.3158, 5.0527255,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.97,       100,     0.227,        -2,         0,         1, 5854.4066, 5.0464826,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.98,       100,     0.227,        -2,         0,         1, 5866.4172, 5.0402474,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.99,       100,     0.226,        -2,         0,         1, 5877.4375,   5.03402,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
         1,       100,     0.226,        -2,         0,         1, 5887.5482, 5.0278002,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.01,       100,     0.226,        -2,         0,         1, 5896.8249, 5.0215881,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.02,       100,     0.225,        -2,         0,         1, 5905.3364, 5.0153837,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.03,       100,     0.225,        -2,         0,         1, 5913.1482, 5.0091869,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.04,       100,     0.225,        -2,         0,         1,  5920.315, 5.0029978,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.05,       100,     0.225,        -2,         0,         1, 5889.7336, 14.701993,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.06,       100,     0.661,        -2,         0,         1, 5830.8864, 17.772013,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.07,       100,     0.799,        -2,         0,         1, 5746.2571,  20.29112,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.08,       100,     0.913,        -2,         0,         1,  5637.798, 23.017109,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.09,       100,     1.035,        -2,         0,         1, 5507.2627, 26.220055,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
       1.1,       100,     1.179,        -2,         0,         1, 5356.2017, 29.992252,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.11,       100,     1.349,        -2,         0,         1, 5185.9601, 34.332834,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.12,       100,     1.544,        -2,         0,         1, 4997.8944, 39.349249,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.13,       100,      1.77,        -2,         0,         1, 4919.2901, 18.452699,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.14,       100,      0.83,        -2,         0,         1, 4841.4575, 37.895529,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.15,       100,     1.705,        -2,         0,         1, 4747.8064, 47.965551,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.16,       100,     2.158,        -2,         0,         1, 4643.8409, 55.018012,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.17,       100,     2.475,        -2,         0,         1, 4530.7515, 61.381839,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.18,       100,     2.762,        -2,         0,         1,  4409.215, 67.845871,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.19,       100,     3.053,         0,         0,         1, 4279.6301, 74.609421,         3,      0.17,         0,         0,         1,         1,         0,         0,         0,         0,         0
       1.2,       100,     3.357,         0,         1,         1, 4142.4708, 81.785028,         3,      1.19,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.21,       100,      3.68,         0,         1,         1, 3998.1045, 89.397133,         3,      1.19,         0,         0,      0.98,         1,         0,      0.02,         0,         0,         0
      1.22,       100,     4.022,         0,         1,         1, 3846.8172, 97.453488,         3,      1.19,         0,         0,      0.96,         1,         0,      0.04,         0,         0,         0
      1.23,       100,     4.385,         0,         1,         1, 3689.2971, 106.00728,         3,      1.19,         0,         0,      0.94,         1,         0,      0.06,         0,         0,         0
      1.24,       100,      4.77,         0,         1,         1, 3526.7705, 115.02798,         3,      1.19,         0,         0,      0.92,         1,         0,      0.08,         0,         0,         0
      1.25,       100,     5.176,         0,         1,         1,  3356.995, 124.30272,         3,      1.19,         0,         0,       0.9,         1,         0,       0.1,         0,         0,         0
      1.26,       100,     5.593,         0,         1,         1, 3177.3164,  132.6877,         3,      1.19,         0,         0,      0.88,         1,         0,      0.12,         0,         0,         0
      1.27,       100,      5.97,         0,         1,         1, 2998.8296, 135.12266,         3,      1.19,         0,         0,      0.86,         1,         0,      0.14,         0,         0,         0
      1.28,       100,      6.08,         0,         1,         1, 2827.5355,  142.1887,         3,      1.19,         0,         0,      0.84,         1,         0,      0.16,         0,         0,         0
      1.29,       100,     6.398,         0,         1,         1, 2661.7659, 150.98041,         3,      1.19,         0,         0,      0.82,         1,         0,      0.18,         0,         0,         0
       1.3,       100,     6.794,         0,         1,         1, 2498.6864, 160.50766,         3,      1.19,         0,         0,       0.8,         1,         0,       0.2,         0,         0,         0
      1.31,       100,     7.222,         0,         1,         1, 2326.7535, 172.24247,         3,      1.19,         0,         0,      0.78,         1,         0,      0.22,         0,         0,         0
      1.32,       100,      7.75,         0,         1,         1, 2152.1244, 184.47715,         3,      1.19,         0,         0,      0.76,         1,         0,      0.24,         0,         0,         0
      1.33,       100,     8.301,         0,         1,         1, 1979.6647,   196.165,         3,      1.19,         0,         0,      0.74,         1,         0,      0.26,         0,         0,         0
      1.34,       100,     8.827,         0,         1,         1, 1811.3996, 207.29272,         3,      1.19,         0,         0,      0.72,         1,         0,      0.28,         0,         0,         0
      1.35,       100,     9.328,         0,         1,         1, 1648.3472, 218.26974,         3,      1.19,         0,         0,       0.7,         1,         0,       0.3,         0,         0,         0
      1.36,       100,     9.822,         0,         1,         1, 1491.2181, 229.33929,         3,      1.19,         0,         0,      0.68,         1,         0,      0.32,         0,         0,         0
      1.37,       100,     10.32,         0,         1,         1, 1339.6342, 240.44552,         3,      1.19,         0,         0,      0.66,         1,         0,      0.34,         0,         0,         0
      1.38,       100,     10.82,         0,         1,         1, 1190.0584,  252.0154,         3,      1.19,         0,         0,      0.64,         1,         0,      0.36,         0,         0,         0
      1.39,       100,     11.34,         0,         1,         1, 1046.1397, 250.82282,         3,      1.19,         0,         0,      0.62,         1,         0,      0.38,         0,         0,         0
       1.4,       100,    11.287,         0,         1,         1,  982.6156, 235.59226,         3,      1.19,         0,         0,       0.6,         1,         0,       0.4,         0,         0,         0
      1.41,       100,    10.601,         0,         1,         1, 1004.1587, 240.75745,         3,      1.19,         0,         0,      0.58,         1,         0,      0.42,         0,         0,         0
      1.42,       100,    10.834,         0,         1,         1, 1075.4014, 257.83862,         3,      1.19,         0,         0,      0.56,         1,         0,      0.44,         0,         0,         0
      1.43,       100,    11.602,         0,         1,         1, 1161.0428, 278.37203,         3,      1.19,         0,         0,      0.54,         1,         0,      0.46,         0,         0,         0
      1.44,       100,    12.526,         0,         1,         1, 1237.0037, 296.58444,         3,      1.19,         0,         0,      0.52,         1,         0,      0.48,         0,         0,         0
      1.45,       100,    13.346,         0,         1,         1, 1293.7951, 310.20076,         3,      1.19,         0,         0,       0.5,         1,         0,       0.5,         0,         0,         0
      1.46,       100,    13.959,         0,         1,         1, 1332.4421, 319.46677,         3,      1.19,         0,         0,      0.48,         1,         0,      0.52,         0,         0,         0
      1.47,       100,    14.376,         0,         1,         1,  1358.815, 325.78996,         3,      1.19,         0,         0,      0.46,         1,         0,      0.54,         0,         0,         0
      1.48,       100,     14.66,         0,         1,         1, 1380.4242, 330.97099,         3,      1.19,         0,         0,      0.44,         1,         0,      0.56,         0,         0,         0
      1.49,       100,    14.893,         0,         1,         1,  1402.754, 336.32479,         3,      1.19,         0,         0,      0.42,         1,         0,      0.58,         0,         0,         0
       1.5,       100,    15.134,         0,         1,         1,  1428.063, 342.39288,         3,      1.19,         0,         0,       0.4,         1,         0,       0.6,         0,         0,         0
      1.51,       100,    15.407,         0,         1,         1, 1456.3704, 349.17987,         3,      1.19,         0,         0,      0.38,         1,         0,      0.62,         0,         0,         0
      1.52,       100,    15.713,         0,         1,         1, 1486.5419, 356.41381,         3,      1.19,         0,         0,      0.36,         1,         0,      0.64,         0,         0,         0
      1.53,       100,    16.038,         0,         1,         1,  1517.392, 363.81043,         3,      1.19,         0,         0,      0.34,         1,         0,      0.66,         0,         0,         0
      1.54,       100,    16.371,         0,         1,         1, 1547.9777, 371.14366,         3,      1.19,         0,         0,      0.32,         1,         0,      0.68,         0,         0,         0
      1.55,       100,    16.701,         0,         1,         1,  1577.842, 378.30394,         3,      1.19,         0,         0,       0.3,         1,         0,       0.7,         0,         0,         0
      1.56,       100,    17.023,         0,         1,         1, 1606.7988, 385.24665,         3,      1.19,         0,         0,      0.28,         1,         0,      0.72,         0,         0,         0
      1.57,       100,    17.336,         0,         1,         1, 1635.0787, 392.02705,         3,      1.19,         0,         0,      0.26,         1,         0,      0.74,         0,         0,         0
      1.58,       100,    17.641,         0,         1,         1, 1662.8863, 398.69421,         3,      1.19,         0,         0,      0.24,         1,         0,      0.76,         0,         0,         0
      1.59,       100,    17.941,         0,         1,         1, 1690.4178, 405.29516,         3,      1.19,         0,         0,      0.22,         1,         0,      0.78,         0,         0,         0
       1.6,       100,    18.238,         0,         1,         1,  1717.788, 411.85745,         3,      1.19,         0,         0,       0.2,         1,         0,       0.8,         0,         0,         0
      1.61,       100,    18.533,         0,         1,         1, 1745.0507, 418.39396,         3,      1.19,         0,         0,      0.18,         1,         0,      0.82,         0,         0,         0
      1.62,       100,    18.827,         0,         1,         1, 1772.2098, 424.90564,         3,      1.19,         0,         0,      0.16,         1,         0,      0.84,         0,         0,         0
      1.63,       100,     19.12,         0,         1,         1, 1799.2385, 431.38604,         3,      1.19,         0,         0,      0.14,         1,         0,      0.86,         0,         0,         0
      1.64,       100,    19.412,         0,         1,         1, 1826.1013, 437.82668,         3,      1.19,         0,         0,      0.12,         1,         0,      0.88,         0,         0,         0
      1.65,       100,    19.702,         0,         1,         1, 1852.7703, 444.22086,         3,      1.19,         0,         0,       0.1,         1,         0,       0.9,         0,         0,         0
      1.66,       100,    19.989,         0,         1,         1, 1879.2322, 450.56536,         3,      1.19,         0,         0,      0.08,         1,         0,      0.92,         0,         0,         0
      1.67,       100,    20.275,         0,         1,         1, 1905.4857, 456.85992,         3,      1.19,         0,         0,      0.06,         1,         0,      0.94,         0,         0,         0
      1.68,       100,    20.558,         0,         1,         1, 1931.5406, 463.10685,         3,      1.19,         0,         0,      0.04,         1,         0,      0.96,         0,         0,         0
      1.69,       100,    20.839,         0,         1,         1, 1957.4101, 469.30932,         3,      1.19,         0,         0,      0.02,         1,         0,      0.98,         0,         0,         0
       1.7,       100,    21.118,         0,         1,         1, 1983.1037, 475.46964,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.71,       100,    21.396,         0,         1,         1, 2008.6264, 481.58897,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.72,       100,    21.671,         0,         1,         1, 2033.9791, 487.66755,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.73,       100,    21.945,         0,         1,         1, 2059.1615, 493.70527,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.74,       100,    22.216,         0,         1,         1, 2084.1735, 499.70218,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.75,       100,    22.486,         0,         1,         1, 2109.0168, 505.65861,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.76,       100,    22.754,         0,         1,         1, 2133.6933, 511.57506,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.77,       100,     23.02,         0,         1,         1, 2158.2052, 517.45204,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.78,       100,    23.285,         0,         1,         1, 2182.5547, 523.29007,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.79,       100,    23.548,         0,         1,         1, 2206.7436, 529.08962,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
       1.8,       100,    23.809,         0,         1,         1, 2230.7741, 534.85117,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.81,       100,    24.068,         0,         1,         1, 2254.6478, 540.57514,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.82,       100,    24.325,         0,         1,         1, 2278.3665, 546.26195,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.83,       100,    24.581,         0,         1,         1, 2301.9319, 551.91199,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.84,       100,    24.836,         0,         1,         1, 2324.5183, 557.32732,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.85,       100,    25.079,         0,         1,         1, 2346.0449, 562.48855,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
      1.86,       100,    25.312,         0,         1,         1, 2368.1236, 567.78215,         3,      1.19,         0,         0,         0,         1,         0,         1,         0,         0,         0
