"time","light_intensity","light_switch","resetReq","HYSTERESE_TIME_ON","HYSTERESE_TIME_OFF","MIN_LIGHT_ON","MIN_LIGHT_OFF","headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType","solver.numSteps","solver.minStepSize","solver.maxStepSize","solver.minOrder","solver.maxOrder","solver.numStateEvents","solver.numTimeEvents","qtronic.silver.real_time","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
      0.21,0.44444444,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        84,         0,0.0073472312,         0,         1,         1,        20,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.22,0.55555556,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        88,         0,0.0074331783,         0,         1,         1,        21,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.23,0.66666667,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        92,         0,0.0075162435,         0,         1,         1,        22,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.24,0.77777778,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,        96,         0,0.0075966425,         0,         1,         1,        23,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.25,0.88888889,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       100,         0,0.007674567,         0,         1,         1,        24,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.26,         1,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       104,         0,0.0077501877,         0,         1,         1,        25,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.27, 1.1111111,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       108,         0,0.0078236574,         0,         1,         1,        26,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.28, 1.2222222,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       112,         0,0.0078951137,         0,         1,         1,        27,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.29, 1.3333333,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       116,         0,0.0079646809,         0,         1,         1,        28,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.3, 1.4444444,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       120,         0,0.0080324715,         0,         1,         1,        29,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.31, 1.5555556,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       124,         0,0.008098588,         0,         1,         1,        30,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.32, 1.6666667,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       128,         0,0.0081631237,         0,         1,         1,        31,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.33, 1.7777778,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       132,         0,0.008226164,         0,         1,         1,        32,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.34, 1.8888889,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       136,         0,0.0082877876,         0,         1,         1,        33,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.35,         2,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       140,         0,0.0083480663,         0,         1,         1,        34,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.36,        11,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       144,         0,0.008407067,         0,         1,         1,        35,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.37,        23,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       148,         0,0.0084648509,         0,         1,         1,        36,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.38,        41,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       152,         0,0.0085214751,         0,         1,         1,        37,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.39,        59,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         0,         0,         0,         2,       156,         0,0.0085769925,         0,         1,         1,        38,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.4,        72,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         1,         0,         1,         2,       160,         0,0.0086314524,         0,         1,         1,        39,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.41,        83,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         2,         0,         2,         2,       164,         0,0.0086849005,         0,         1,         1,        40,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.42,        95,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         3,         0,         3,         2,       168,         0,0.0087373796,         0,         1,         1,        41,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.43,       100,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         4,         0,         4,         2,       172,         0,0.0087889298,         0,         1,         1,        42,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.44, 99.991525,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         5,         0,         5,         2,       176,         0,0.0088395885,         0,         1,         1,        43,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.45, 99.983051,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         6,         0,         6,         2,       180,         0,0.008889391,         0,         1,         1,        44,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.46, 99.974576,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         7,         0,         7,         2,       184,         0,0.0089383702,         0,         1,         1,        45,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.47, 99.966102,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         8,         0,         8,         2,       188,         0,0.0089865573,         0,         1,         1,        46,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.48, 99.957627,         2,         0,       0.7,       1.1,        40,        50,         1,         0,         9,         0,         9,         2,       192,         0,0.0090339814,         0,         1,         1,        47,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.49, 99.949153,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        10,         0,        10,         2,       196,         0,0.0090806702,         0,         1,         1,        48,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.5, 99.940678,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        11,         0,        11,         2,       200,         0,0.0091266497,         0,         1,         1,        49,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.51, 99.932203,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        12,         0,        12,         2,       204,         0,0.0091719446,         0,         1,         1,        50,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.52, 99.923729,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        13,         0,        13,         2,       208,         0,0.0092165783,         0,         1,         1,        51,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.53, 99.915254,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        14,         0,        14,         2,       212,         0,0.0092605728,         0,         1,         1,        52,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.54,  99.90678,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        15,         0,        15,         2,       216,         0,0.009303949,         0,         1,         1,        53,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.55, 99.898305,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        16,         0,        16,         2,       220,         0,0.0093467269,         0,         1,         1,        54,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.56, 99.889831,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        17,         0,        17,         2,       224,         0,0.0093889254,         0,         1,         1,        55,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.57, 99.881356,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        18,         0,        18,         2,       228,         0,0.0094305624,         0,         1,         1,        56,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.58, 99.872881,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        19,         0,        19,         2,       232,         0,0.0094716552,         0,         1,         1,        57,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.59, 99.864407,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        20,         0,        20,         2,       236,         0,0.0095122199,         0,         1,         1,        58,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.6, 99.855932,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        21,         0,        21,         2,       240,         0,0.0095522723,         0,         1,         1,        59,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.61, 99.847458,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        22,         0,        22,         2,       244,         0,0.0095918271,         0,         1,         1,        60,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.62, 99.838983,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        23,         0,        23,         2,       248,         0,0.0096308984,         0,         1,         1,        61,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.63, 99.830508,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        24,         0,        24,         2,       252,         0, 0.0096695,         0,         1,         1,        62,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.64, 99.822034,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        25,         0,        25,         2,       256,         0,0.0097076447,         0,         1,         1,        63,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.65, 99.813559,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        26,         0,        26,         2,       260,         0,0.009745345,         0,         1,         1,        64,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.66, 99.805085,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        27,         0,        27,         2,       264,         0,0.0097826128,         0,         1,         1,        65,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.67,  99.79661,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        28,         0,        28,         2,       268,         0,0.0098194595,         0,         1,         1,        66,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.68, 99.788136,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        29,         0,        29,         2,       272,         0,0.0098558959,         0,         1,         1,        67,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.69, 99.779661,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        30,         0,        30,         2,       276,         0,0.0098919327,         0,         1,         1,        68,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.7, 99.771186,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        31,         0,        31,         2,       280,         0,0.0099275799,         0,         1,         1,        69,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.71, 99.762712,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        32,         0,        32,         2,       284,         0,0.0099628472,         0,         1,         1,        70,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.72, 99.754237,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        33,         0,        33,         2,       288,         0,0.0099977438,         0,         1,         1,        71,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.73, 99.745763,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        34,         0,        34,         2,       291,         0,1.0032279e-006,         0,         1,         1,        72,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.74, 99.737288,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        35,         0,        35,         2,       294,         0,0.0099986535,         0,         1,         1,        73,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.75, 99.728814,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        36,         0,        36,         2,       297,         0,0.0099986501,         0,         1,         1,        74,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.76, 99.720339,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        37,         0,        37,         2,       300,         0,0.0099986467,         0,         1,         1,        75,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.77, 99.711864,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        38,         0,        38,         2,       303,         0,0.0099986434,         0,         1,         1,        76,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.78,  99.70339,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        39,         0,        39,         2,       306,         0,0.0099986401,         0,         1,         1,        77,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.79, 99.694915,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        40,         0,        40,         2,       309,         0,0.0099986368,         0,         1,         1,        78,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.8, 99.686441,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        41,         0,        41,         2,       312,         0,0.0099986335,         0,         1,         1,        79,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.81, 99.677966,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        42,         0,        42,         2,       315,         0,0.0099986303,         0,         1,         1,        80,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.82, 99.669492,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        43,         0,        43,         2,       318,         0,0.0099986271,         0,         1,         1,        81,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.83, 99.661017,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        44,         0,        44,         2,       321,         0,0.009998624,         0,         1,         1,        82,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.84, 99.652542,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        45,         0,        45,         2,       324,         0,0.0099986208,         0,         1,         1,        83,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.85, 99.644068,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        46,         0,        46,         2,       327,         0,0.0099986177,         0,         1,         1,        84,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.86, 99.635593,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        47,         0,        47,         2,       330,         0,0.0099986146,         0,         1,         1,        85,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.87, 99.627119,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        48,         0,        48,         2,       333,         0,0.0099986116,         0,         1,         1,        86,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.88, 99.618644,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        49,         0,        49,         2,       336,         0,0.0099986086,         0,         1,         1,        87,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.89, 99.610169,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        50,         0,        50,         2,       339,         0,0.0099986056,         0,         1,         1,        88,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.9, 99.601695,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        51,         0,        51,         2,       342,         0,0.0099986026,         0,         1,         1,        89,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.91,  99.59322,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        52,         0,        52,         2,       345,         0,0.0099985996,         0,         1,         1,        90,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.92, 99.584746,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        53,         0,        53,         2,       348,         0,0.0099985967,         0,         1,         1,        91,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.93, 99.576271,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        54,         0,        54,         2,       351,         0,0.0099985938,         0,         1,         1,        92,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.94, 99.567797,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        55,         0,        55,         2,       354,         0,0.0099985909,         0,         1,         1,        93,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.95, 99.559322,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        56,         0,        56,         2,       357,         0,0.0099985881,         0,         1,         1,        94,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.96, 99.550847,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        57,         0,        57,         2,       360,         0,0.0099985853,         0,         1,         1,        95,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.97, 99.542373,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        58,         0,        58,         2,       363,         0,0.0099985824,         0,         1,         1,        96,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.98, 99.533898,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        59,         0,        59,         2,       366,         0,0.0099985797,         0,         1,         1,        97,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.99, 99.525424,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        60,         0,        60,         2,       369,         0,0.0099985769,         0,         1,         1,        98,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
         1, 99.516949,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        61,         0,        61,         2,       372,         0,0.0099985742,         0,         1,         1,        99,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.01, 99.508475,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        62,         0,        62,         2,       375,         0,0.0099985714,         0,         1,         1,       100,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.02,      99.5,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        63,         0,        63,         2,       378,         0,0.0099985687,         0,         1,         1,       101,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.03, 99.491525,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        64,         0,        64,         2,       381,         0,0.009998566,         0,         1,         1,       102,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.04, 99.483051,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        65,         0,        65,         2,       384,         0,0.0099985634,         0,         1,         1,       103,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.05, 99.474576,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        66,         0,        66,         2,       387,         0,0.0099985607,         0,         1,         1,       104,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.06, 99.466102,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        67,         0,        67,         2,       390,         0,0.0099985581,         0,         1,         1,       105,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.07, 99.457627,         2,         0,       0.7,       1.1,        40,        50,         1,         0,        68,         0,        68,         2,       393,         0,0.0099985555,         0,         1,         1,       106,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
